# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9801324012; 0.9991071239; 0.9999788947
0.01000000000;  0.8726357857; 0.9794789486; 0.9936129768; 0.9527446910
0.02000000000;  0.8400144894; 0.9788259318; 0.9881680019; 0.9115495433
0.03000000000;  0.7987425060; 0.9781733503; 0.9827717539; 0.8756115920
0.04000000000;  0.7997476113; 0.9775212039; 0.9774237915; 0.8442502182
0.05000000000;  0.7827601038; 0.9768694922; 0.9721236776; 0.8168729348
0.06000000000;  0.7671833093; 0.9762182151; 0.9668709788; 0.7929639740
0.07000000000;  0.7559489878; 0.9755673721; 0.9616652660; 0.7720743538
0.08000000000;  0.7335480578; 0.9749169631; 0.9565061135; 0.7538132292
0.09000000000;  0.7287593259; 0.9742669877; 0.9513930999; 0.7378403649
0.1000000000;  0.7192358798; 0.9736174457; 0.9463258073; 0.7238595815
0.1100000000;  0.7225522248; 0.9729683367; 0.9413038218; 0.7116130511
0.1200000000;  0.7009036220; 0.9723196604; 0.9363267331; 0.7008763311
0.1300000000;  0.6963859779; 0.9716714166; 0.9313941347; 0.6914540411
0.1400000000;  0.6922815271; 0.9710236050; 0.9265056238; 0.6831761002
0.1500000000;  0.6987143818; 0.9703762253; 0.9216608011; 0.6758944503
0.1600000000;  0.6930290140; 0.9697292772; 0.9168592711; 0.6694802051
0.1700000000;  0.6870575405; 0.9690827605; 0.9121006418; 0.6638211671
0.1800000000;  0.6863222976; 0.9684366747; 0.9073845248; 0.6588196668
0.1900000000;  0.6830723908; 0.9677910197; 0.9027105350; 0.6543906816
0.2000000000;  0.6847511516; 0.9671457952; 0.8980782911; 0.6504601980
0.2100000000;  0.6849039443; 0.9665010008; 0.8934874151; 0.6469637861
0.2200000000;  0.6847044538; 0.9658566363; 0.8889375324; 0.6438453589
0.2300000000;  0.6762142263; 0.9652127014; 0.8844282719; 0.6410560915
0.2400000000;  0.6731591553; 0.9645691958; 0.8799592656; 0.6385534811
0.2500000000;  0.6755050498; 0.9639261193; 0.8755301493; 0.6363005285
0.2600000000;  0.6782178419; 0.9632834715; 0.8711405616; 0.6342650249
0.2700000000;  0.6725956451; 0.9626412521; 0.8667901447; 0.6324189322
0.2800000000;  0.6656080179; 0.9619994609; 0.8624785439; 0.6307378425
0.2900000000;  0.6661983170; 0.9613580976; 0.8582054077; 0.6292005085
0.3000000000;  0.6636053230; 0.9607171619; 0.8539703880; 0.6277884337
0.3100000000;  0.6652046738; 0.9600766534; 0.8497731395; 0.6264855166
0.3200000000;  0.6614184261; 0.9594365721; 0.8456133203; 0.6252777404
0.3300000000;  0.6607422715; 0.9587969174; 0.8414905914; 0.6241529032
0.3400000000;  0.6550747448; 0.9581576892; 0.8374046171; 0.6231003827
0.3500000000;  0.6528736926; 0.9575188872; 0.8333550646; 0.6221109321
0.3600000000;  0.6562876558; 0.9568805111; 0.8293416041; 0.6211765015
0.3700000000;  0.6553047663; 0.9562425605; 0.8253639089; 0.6202900835
0.3800000000;  0.6515202011; 0.9556050353; 0.8214216550; 0.6194455775
0.3900000000;  0.6468926271; 0.9549679352; 0.8175145216; 0.6186376730
0.4000000000;  0.6483596047; 0.9543312598; 0.8136421908; 0.6178617467
0.4100000000;  0.6484412785; 0.9536950088; 0.8098043474; 0.6171137739
0.4200000000;  0.6470607315; 0.9530591821; 0.8060006792; 0.6163902508
0.4300000000;  0.6446780179; 0.9524237792; 0.8022308768; 0.6156881271
0.4400000000;  0.6433782144; 0.9517888000; 0.7984946335; 0.6150047473
0.4500000000;  0.6407209590; 0.9511542441; 0.7947916454; 0.6143377997
0.4600000000;  0.6403746906; 0.9505201113; 0.7911216116; 0.6136852714
0.4700000000;  0.6412995783; 0.9498864012; 0.7874842337; 0.6130454104
0.4800000000;  0.6400669515; 0.9492531136; 0.7838792159; 0.6124166910
0.4900000000;  0.6362606631; 0.9486202483; 0.7803062653; 0.6117977850
0.5000000000;  0.6340926863; 0.9479878049; 0.7767650916; 0.6111875360
0.5100000000;  0.6348859443; 0.9473557831; 0.7732554070; 0.6105849372
0.5200000000;  0.6349860706; 0.9467241827; 0.7697769265; 0.6099891119
0.5300000000;  0.6325482465; 0.9460930034; 0.7663293676; 0.6093992968
0.5400000000;  0.6304792223; 0.9454622448; 0.7629124503; 0.6088148272
0.5500000000;  0.6294333674; 0.9448319069; 0.7595258972; 0.6082351243
