# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9891202907; 0.9996557238; 0.9999924575
0.01000000000;  0.9456291906; 0.9886088555; 0.9963983604; 0.9729619640
0.02000000000;  0.9160667091; 0.9880976847; 0.9931742436; 0.9500892247
0.03000000000;  0.8974830963; 0.9875867782; 0.9899830062; 0.9307226933
0.04000000000;  0.8904590311; 0.9870761359; 0.9868242852; 0.9143129372
0.05000000000;  0.8856034025; 0.9865657577; 0.9836977214; 0.9003966333
0.06000000000;  0.8815010407; 0.9860556433; 0.9806029597; 0.8885830731
0.07000000000;  0.8754571289; 0.9855457927; 0.9775396490; 0.8785427819
0.08000000000;  0.8697796486; 0.9850362057; 0.9745074420; 0.8699979215
0.09000000000;  0.8644410997; 0.9845268822; 0.9715059951; 0.8627141982
0.1000000000;  0.8606649363; 0.9840178221; 0.9685349689; 0.8564940379
0.1100000000;  0.8574639900; 0.9835090252; 0.9655940273; 0.8511708310
0.1200000000;  0.8551742577; 0.9830004913; 0.9626828382; 0.8466040799
0.1300000000;  0.8531359818; 0.9824922204; 0.9598010733; 0.8426753064
0.1400000000;  0.8513736418; 0.9819842123; 0.9569484075; 0.8392846008
0.1500000000;  0.8498222711; 0.9814764669; 0.9541245196; 0.8363477114
0.1600000000;  0.8489520623; 0.9809689840; 0.9513290921; 0.8337935910
0.1700000000;  0.8480042692; 0.9804617635; 0.9485618106; 0.8315623272
0.1800000000;  0.8470017664; 0.9799548053; 0.9458223645; 0.8296033970
0.1900000000;  0.8458717222; 0.9794481092; 0.9431104466; 0.8278741960
0.2000000000;  0.8446416878; 0.9789416750; 0.9404257530; 0.8263387964
0.2100000000;  0.8433704328; 0.9784355028; 0.9377679831; 0.8249669014
0.2200000000;  0.8423914286; 0.9779295923; 0.9351368400; 0.8237329622
0.2300000000;  0.8414679955; 0.9774239433; 0.9325320296; 0.8226154343
0.2400000000;  0.8406193928; 0.9769185558; 0.9299532614; 0.8215961493
0.2500000000;  0.8393742184; 0.9764134296; 0.9274002479; 0.8206597864
0.2600000000;  0.8380003930; 0.9759085647; 0.9248727050; 0.8197934258
0.2700000000;  0.8367846242; 0.9754039607; 0.9223703516; 0.8189861726
0.2800000000;  0.8356743753; 0.9748996177; 0.9198929098; 0.8182288389
0.2900000000;  0.8346285483; 0.9743955354; 0.9174401046; 0.8175136772
0.3000000000;  0.8337371913; 0.9738917138; 0.9150116643; 0.8168341537
0.3100000000;  0.8325646859; 0.9733881527; 0.9126073199; 0.8161847588
0.3200000000;  0.8314737824; 0.9728848519; 0.9102268058; 0.8155608461
0.3300000000;  0.8304478363; 0.9723818114; 0.9078698588; 0.8149584975
0.3400000000;  0.8295883660; 0.9718790310; 0.9055362192; 0.8143744087
0.3500000000;  0.8287074656; 0.9713765106; 0.9032256297; 0.8138057932
0.3600000000;  0.8278150236; 0.9708742500; 0.9009378362; 0.8132503013
0.3700000000;  0.8268464793; 0.9703722491; 0.8986725871; 0.8127059512
0.3800000000;  0.8259012677; 0.9698705077; 0.8964296337; 0.8121710718
0.3900000000;  0.8248903546; 0.9693690258; 0.8942087303; 0.8116442537
0.4000000000;  0.8240527383; 0.9688678032; 0.8920096335; 0.8111243083
0.4100000000;  0.8232166002; 0.9683668397; 0.8898321030; 0.8106102332
0.4200000000;  0.8224876564; 0.9678661353; 0.8876759008; 0.8101011831
0.4300000000;  0.8217039562; 0.9673656898; 0.8855407918; 0.8095964449
0.4400000000;  0.8208847618; 0.9668655030; 0.8834265433; 0.8090954174
0.4500000000;  0.8201029861; 0.9663655749; 0.8813329254; 0.8085975932
0.4600000000;  0.8192898798; 0.9658659053; 0.8792597106; 0.8081025448
0.4700000000;  0.8185110712; 0.9653664940; 0.8772066739; 0.8076099111
0.4800000000;  0.8176894689; 0.9648673409; 0.8751735929; 0.8071193878
0.4900000000;  0.8169068553; 0.9643684459; 0.8731602475; 0.8066307181
0.5000000000;  0.8162132502; 0.9638698089; 0.8711664203; 0.8061436855
0.5100000000;  0.8154289213; 0.9633714297; 0.8691918960; 0.8056581071
0.5200000000;  0.8147633080; 0.9628733083; 0.8672364619; 0.8051738287
0.5300000000;  0.8140700122; 0.9623754443; 0.8652999076; 0.8046907202
0.5400000000;  0.8133224545; 0.9618778378; 0.8633820250; 0.8042086718
0.5500000000;  0.8125602309; 0.9613804886; 0.8614826083; 0.8037275907
0.5600000000;  0.8117948040; 0.9608833966; 0.8596014539; 0.8032473986
0.5700000000;  0.8110392024; 0.9603865615; 0.8577383608; 0.8027680295
0.5800000000;  0.8102652835; 0.9598899834; 0.8558931298; 0.8022894275
0.5900000000;  0.8095345475; 0.9593936620; 0.8540655641; 0.8018115454
0.6000000000;  0.8088563832; 0.9588975973; 0.8522554691; 0.8013343433
0.6100000000;  0.8081416624; 0.9584017890; 0.8504626523; 0.8008577876
0.6200000000;  0.8074732647; 0.9579062371; 0.8486869233; 0.8003818497
0.6300000000;  0.8066703006; 0.9574109415; 0.8469280940; 0.7999065055
0.6400000000;  0.8060106248; 0.9569159019; 0.8451859781; 0.7994317344
0.6500000000;  0.8053211649; 0.9564211183; 0.8434603916; 0.7989575192
0.6600000000;  0.8046431064; 0.9559265906; 0.8417511524; 0.7984838452
0.6700000000;  0.8040760425; 0.9554323185; 0.8400580804; 0.7980106997
0.6800000000;  0.8034745061; 0.9549383020; 0.8383809976; 0.7975380723
0.6900000000;  0.8028937683; 0.9544445410; 0.8367197280; 0.7970659538
0.7000000000;  0.8021841621; 0.9539510352; 0.8350740974; 0.7965943365
0.7100000000;  0.8015579286; 0.9534577847; 0.8334439335; 0.7961232138
0.7200000000;  0.8008481842; 0.9529647891; 0.8318290662; 0.7956525801
0.7300000000;  0.8002186913; 0.9524720485; 0.8302293270; 0.7951824304
0.7400000000;  0.7995880921; 0.9519795627; 0.8286445493; 0.7947127606
0.7500000000;  0.7989621242; 0.9514873314; 0.8270745685; 0.7942435670
0.7600000000;  0.7982693216; 0.9509953548; 0.8255192217; 0.7937748465
0.7700000000;  0.7976818292; 0.9505036324; 0.8239783478; 0.7933065963
0.7800000000;  0.7970843653; 0.9500121644; 0.8224517875; 0.7928388140
0.7900000000;  0.7965447540; 0.9495209504; 0.8209393833; 0.7923714976
0.8000000000;  0.7959607388; 0.9490299905; 0.8194409794; 0.7919046451
0.8100000000;  0.7953510975; 0.9485392844; 0.8179564218; 0.7914382548
0.8200000000;  0.7947340895; 0.9480488320; 0.8164855582; 0.7909723253
0.8300000000;  0.7941425897; 0.9475586332; 0.8150282377; 0.7905068552
0.8400000000;  0.7936105232; 0.9470686879; 0.8135843116; 0.7900418433
0.8500000000;  0.7929782000; 0.9465789960; 0.8121536323; 0.7895772883
0.8600000000;  0.7923938298; 0.9460895572; 0.8107360543; 0.7891131894
0.8700000000;  0.7918125326; 0.9456003715; 0.8093314333; 0.7886495455
0.8800000000;  0.7911763701; 0.9451114387; 0.8079396269; 0.7881863556
0.8900000000;  0.7905276158; 0.9446227587; 0.8065604943; 0.7877236191
0.9000000000;  0.7899127278; 0.9441343314; 0.8051938959; 0.7872613350
0.9100000000;  0.7892852488; 0.9436461567; 0.8038396940; 0.7867995026
0.9200000000;  0.7887099143; 0.9431582343; 0.8024977522; 0.7863381211
0.9300000000;  0.7881058065; 0.9426705643; 0.8011679359; 0.7858771898
0.9400000000;  0.7874368941; 0.9421831464; 0.7998501117; 0.7854167081
0.9500000000;  0.7868389274; 0.9416959806; 0.7985441477; 0.7849566753
0.9600000000;  0.7862309793; 0.9412090666; 0.7972499137; 0.7844970907
0.9700000000;  0.7856684019; 0.9407224044; 0.7959672807; 0.7840379536
0.9800000000;  0.7851099459; 0.9402359938; 0.7946961212; 0.7835792636
0.9900000000;  0.7845712796; 0.9397498347; 0.7934363091; 0.7831210198
1.000000000;  0.7840111455; 0.9392639271; 0.7921877198; 0.7826632218
1.010000000;  0.7834577451; 0.9387782706; 0.7909502299; 0.7822058689
1.020000000;  0.7828797392; 0.9382928653; 0.7897237175; 0.7817489606
1.030000000;  0.7823053318; 0.9378077109; 0.7885080621; 0.7812924962
1.040000000;  0.7817940758; 0.9373228074; 0.7873031443; 0.7808364751
1.050000000;  0.7813721016; 0.9368381547; 0.7861088463; 0.7803808969
1.060000000;  0.7808612697; 0.9363537525; 0.7849250514; 0.7799257609
1.070000000;  0.7803681504; 0.9358696008; 0.7837516443; 0.7794710665
1.080000000;  0.7797229356; 0.9353856994; 0.7825885110; 0.7790168132
1.090000000;  0.7791764123; 0.9349020482; 0.7814355385; 0.7785630003
1.100000000;  0.7786847016; 0.9344186471; 0.7802926155; 0.7781096275
1.110000000;  0.7782446762; 0.9339354960; 0.7791596315; 0.7776566940
1.120000000;  0.7777309200; 0.9334525946; 0.7780364775; 0.7772041993
1.130000000;  0.7772385398; 0.9329699430; 0.7769230457; 0.7767521428
1.140000000;  0.7767063885; 0.9324875409; 0.7758192292; 0.7763005241
1.150000000;  0.7761804558; 0.9320053883; 0.7747249227; 0.7758493425
1.160000000;  0.7756623107; 0.9315234849; 0.7736400218; 0.7753985975
1.170000000;  0.7751179770; 0.9310418308; 0.7725644232; 0.7749482885
1.180000000;  0.7746216823; 0.9305604256; 0.7714980250; 0.7744984151
1.190000000;  0.7740924022; 0.9300792694; 0.7704407263; 0.7740489765
1.200000000;  0.7735322230; 0.9295983620; 0.7693924272; 0.7735999723
1.210000000;  0.7730012664; 0.9291177032; 0.7683530291; 0.7731514020
1.220000000;  0.7724456818; 0.9286372930; 0.7673224343; 0.7727032649
1.230000000;  0.7718252030; 0.9281571312; 0.7663005464; 0.7722555605
1.240000000;  0.7712789158; 0.9276772176; 0.7652872699; 0.7718082884
1.250000000;  0.7707649960; 0.9271975522; 0.7642825104; 0.7713614479
1.260000000;  0.7702395192; 0.9267181348; 0.7632861746; 0.7709150384
1.270000000;  0.7698531060; 0.9262389653; 0.7622981701; 0.7704690596
1.280000000;  0.7693118398; 0.9257600435; 0.7613184058; 0.7700235107
1.290000000;  0.7688965734; 0.9252813694; 0.7603467912; 0.7695783913
1.300000000;  0.7684352348; 0.9248029428; 0.7593832371; 0.7691337008
1.310000000;  0.7679524027; 0.9243247636; 0.7584276552; 0.7686894387
1.320000000;  0.7674234868; 0.9238468316; 0.7574799583; 0.7682456044
1.330000000;  0.7669039345; 0.9233691467; 0.7565400599; 0.7678021974
1.340000000;  0.7664157206; 0.9228917088; 0.7556078747; 0.7673592172
1.350000000;  0.7659572802; 0.9224145178; 0.7546833182; 0.7669166632
1.360000000;  0.7654935614; 0.9219375735; 0.7537663069; 0.7664745349
1.370000000;  0.7649973538; 0.9214608758; 0.7528567582; 0.7660328317
1.380000000;  0.7644351626; 0.9209844246; 0.7519545905; 0.7655915532
1.390000000;  0.7639273389; 0.9205082198; 0.7510597230; 0.7651506987
1.400000000;  0.7633676539; 0.9200322612; 0.7501720758; 0.7647102678
1.410000000;  0.7628628655; 0.9195565487; 0.7492915699; 0.7642702599
1.420000000;  0.7623679708; 0.9190810821; 0.7484181272; 0.7638306744
1.430000000;  0.7619279848; 0.9186058614; 0.7475516704; 0.7633915109
1.440000000;  0.7615136032; 0.9181308865; 0.7466921233; 0.7629527688
1.450000000;  0.7610609666; 0.9176561571; 0.7458394101; 0.7625144476
1.460000000;  0.7605103910; 0.9171816732; 0.7449934563; 0.7620765467
1.470000000;  0.7600592288; 0.9167074346; 0.7441541878; 0.7616390657
1.480000000;  0.7595279185; 0.9162334412; 0.7433215317; 0.7612020039
1.490000000;  0.7590646192; 0.9157596929; 0.7424954157; 0.7607653609
1.500000000;  0.7585347760; 0.9152861896; 0.7416757683; 0.7603291362
1.510000000;  0.7581048921; 0.9148129311; 0.7408625188; 0.7598933291
1.520000000;  0.7575613322; 0.9143399173; 0.7400555975; 0.7594579393
1.530000000;  0.7570596119; 0.9138671481; 0.7392549350; 0.7590229661
1.540000000;  0.7565505091; 0.9133946233; 0.7384604632; 0.7585884090
1.550000000;  0.7560156921; 0.9129223428; 0.7376721145; 0.7581542676
1.560000000;  0.7555237695; 0.9124503066; 0.7368898218; 0.7577205412
1.570000000;  0.7551313164; 0.9119785144; 0.7361135193; 0.7572872294
1.580000000;  0.7547231094; 0.9115069662; 0.7353431415; 0.7568543317
1.590000000;  0.7542331426; 0.9110356618; 0.7345786237; 0.7564218475
1.600000000;  0.7537546514; 0.9105646010; 0.7338199021; 0.7559897762
1.610000000;  0.7532651102; 0.9100937839; 0.7330669133; 0.7555581175
1.620000000;  0.7527891416; 0.9096232102; 0.7323195949; 0.7551268707
1.630000000;  0.7522455362; 0.9091528798; 0.7315778851; 0.7546960354
1.640000000;  0.7517830914; 0.9086827925; 0.7308417226; 0.7542656110
1.650000000;  0.7512582443; 0.9082129484; 0.7301110471; 0.7538355971
1.660000000;  0.7507930830; 0.9077433472; 0.7293857987; 0.7534059930
1.670000000;  0.7503593177; 0.9072739888; 0.7286659183; 0.7529767983
1.680000000;  0.7499260327; 0.9068048731; 0.7279513474; 0.7525480125
1.690000000;  0.7495320116; 0.9063359999; 0.7272420281; 0.7521196350
1.700000000;  0.7490630005; 0.9058673692; 0.7265379034; 0.7516916654
1.710000000;  0.7485472923; 0.9053989808; 0.7258389165; 0.7512641031
1.720000000;  0.7480750391; 0.9049308346; 0.7251450115; 0.7508369476
1.730000000;  0.7476132224; 0.9044629304; 0.7244561332; 0.7504101985
1.740000000;  0.7472111218; 0.9039952682; 0.7237722269; 0.7499838551
1.750000000;  0.7467271960; 0.9035278478; 0.7230932384; 0.7495579170
1.760000000;  0.7462956501; 0.9030606691; 0.7224191142; 0.7491323837
1.770000000;  0.7458567203; 0.9025937319; 0.7217498014; 0.7487072547
1.780000000;  0.7452819421; 0.9021270362; 0.7210852477; 0.7482825295
1.790000000;  0.7447322755; 0.9016605818; 0.7204254014; 0.7478582075
1.800000000;  0.7442365659; 0.9011943685; 0.7197702112; 0.7474342882
1.810000000;  0.7437602098; 0.9007283964; 0.7191196267; 0.7470107712
1.820000000;  0.7433068813; 0.9002626651; 0.7184735976; 0.7465876560
1.830000000;  0.7428283323; 0.8997971747; 0.7178320746; 0.7461649419
1.840000000;  0.7423838274; 0.8993319249; 0.7171950086; 0.7457426287
1.850000000;  0.7419235420; 0.8988669158; 0.7165623514; 0.7453207156
1.860000000;  0.7415088460; 0.8984021470; 0.7159340549; 0.7448992023
1.870000000;  0.7410778463; 0.8979376186; 0.7153100720; 0.7444780882
1.880000000;  0.7406761809; 0.8974733303; 0.7146903557; 0.7440573728
1.890000000;  0.7401779429; 0.8970092822; 0.7140748598; 0.7436370557
1.900000000;  0.7397457614; 0.8965454739; 0.7134635384; 0.7432171363
1.910000000;  0.7392831046; 0.8960819055; 0.7128563464; 0.7427976141
1.920000000;  0.7389069783; 0.8956185768; 0.7122532389; 0.7423784887
1.930000000;  0.7384925083; 0.8951554876; 0.7116541717; 0.7419597595
1.940000000;  0.7381010859; 0.8946926379; 0.7110591009; 0.7415414260
1.950000000;  0.7376650169; 0.8942300275; 0.7104679833; 0.7411234878
1.960000000;  0.7372163083; 0.8937676564; 0.7098807760; 0.7407059443
1.970000000;  0.7367686040; 0.8933055242; 0.7092974367; 0.7402887951
1.980000000;  0.7362935613; 0.8928436311; 0.7087179236; 0.7398720396
1.990000000;  0.7358373669; 0.8923819767; 0.7081421950; 0.7394556774
2.000000000;  0.7353848009; 0.8919205611; 0.7075702103; 0.7390397080
2.010000000;  0.7349405883; 0.8914593840; 0.7070019287; 0.7386241309
2.020000000;  0.7345719273; 0.8909984454; 0.7064373102; 0.7382089456
2.030000000;  0.7340887787; 0.8905377452; 0.7058763153; 0.7377941515
2.040000000;  0.7336428582; 0.8900772831; 0.7053189048; 0.7373797483
2.050000000;  0.7331281105; 0.8896170592; 0.7047650399; 0.7369657354
2.060000000;  0.7326621433; 0.8891570731; 0.7042146822; 0.7365521123
2.070000000;  0.7322244850; 0.8886973250; 0.7036677940; 0.7361388786
2.080000000;  0.7318146145; 0.8882378145; 0.7031243377; 0.7357260338
2.090000000;  0.7314677220; 0.8877785417; 0.7025842763; 0.7353135773
2.100000000;  0.7310493688; 0.8873195063; 0.7020475731; 0.7349015087
2.110000000;  0.7306152170; 0.8868607083; 0.7015141918; 0.7344898275
2.120000000;  0.7301820717; 0.8864021475; 0.7009840968; 0.7340785333
2.130000000;  0.7297709439; 0.8859438238; 0.7004572524; 0.7336676254
2.140000000;  0.7293618758; 0.8854857370; 0.6999336236; 0.7332571035
2.150000000;  0.7289333294; 0.8850278872; 0.6994131759; 0.7328469671
2.160000000;  0.7284480022; 0.8845702741; 0.6988958748; 0.7324372157
