# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9916866012; 0.9989569079; 0.9999615832
0.01000000000;  0.9718588788; 0.9909740114; 0.9974436098; 0.9934212557
0.02000000000;  0.9554096924; 0.9902619336; 0.9959339835; 0.9870984153
0.03000000000;  0.9446430526; 0.9895503675; 0.9944280192; 0.9809850187
0.04000000000;  0.9380232233; 0.9888393127; 0.9929257072; 0.9750733213
0.05000000000;  0.9324093020; 0.9881287689; 0.9914270377; 0.9693558654
0.06000000000;  0.9276854662; 0.9874187356; 0.9899320010; 0.9638254706
0.07000000000;  0.9228250506; 0.9867092125; 0.9884405876; 0.9584752222
0.08000000000;  0.9184581794; 0.9860001993; 0.9869527878; 0.9532984627
0.09000000000;  0.9142417739; 0.9852916955; 0.9854685920; 0.9482887810
0.1000000000;  0.9105102101; 0.9845837008; 0.9839879907; 0.9434400044
0.1100000000;  0.9070316736; 0.9838762149; 0.9825109742; 0.9387461887
0.1200000000;  0.9039307634; 0.9831692374; 0.9810375331; 0.9342016106
0.1300000000;  0.9010441702; 0.9824627678; 0.9795676578; 0.9298007589
0.1400000000;  0.8985057590; 0.9817568059; 0.9781013389; 0.9255383271
0.1500000000;  0.8960767404; 0.9810513513; 0.9766385670; 0.9214092053
0.1600000000;  0.8938293308; 0.9803464036; 0.9751793327; 0.9174084734
0.1700000000;  0.8917060533; 0.9796419624; 0.9737236264; 0.9135313936
0.1800000000;  0.8897299470; 0.9789380275; 0.9722714390; 0.9097734041
0.1900000000;  0.8877876313; 0.9782345983; 0.9708227609; 0.9061301121
0.2000000000;  0.8858550890; 0.9775316746; 0.9693775830; 0.9025972880
0.2100000000;  0.8839380553; 0.9768292560; 0.9679358959; 0.8991708589
0.2200000000;  0.8821137532; 0.9761273422; 0.9664976904; 0.8958469032
0.2300000000;  0.8803104420; 0.9754259327; 0.9650629571; 0.8926216447
0.2400000000;  0.8786087059; 0.9747250272; 0.9636316870; 0.8894914471
0.2500000000;  0.8769154755; 0.9740246253; 0.9622038707; 0.8864528092
0.2600000000;  0.8752121637; 0.9733247268; 0.9607794992; 0.8835023596
0.2700000000;  0.8735343593; 0.9726253311; 0.9593585632; 0.8806368521
0.2800000000;  0.8719093634; 0.9719264381; 0.9579410537; 0.8778531608
0.2900000000;  0.8703436556; 0.9712280472; 0.9565269616; 0.8751482757
0.3000000000;  0.8688216530; 0.9705301582; 0.9551162778; 0.8725192986
0.3100000000;  0.8673231219; 0.9698327706; 0.9537089933; 0.8699634387
0.3200000000;  0.8658340025; 0.9691358842; 0.9523050989; 0.8674780087
0.3300000000;  0.8643805998; 0.9684394985; 0.9509045858; 0.8650604212
0.3400000000;  0.8629224320; 0.9677436132; 0.9495074450; 0.8627081845
0.3500000000;  0.8615081090; 0.9670482279; 0.9481136675; 0.8604188994
0.3600000000;  0.8601298392; 0.9663533424; 0.9467232443; 0.8581902559
0.3700000000;  0.8587634970; 0.9656589561; 0.9453361667; 0.8560200293
0.3800000000;  0.8574004023; 0.9649650688; 0.9439524256; 0.8539060778
0.3900000000;  0.8560628351; 0.9642716801; 0.9425720123; 0.8518463389
0.4000000000;  0.8547438825; 0.9635787897; 0.9411949180; 0.8498388264
0.4100000000;  0.8534325095; 0.9628863971; 0.9398211337; 0.8478816281
0.4200000000;  0.8521449068; 0.9621945021; 0.9384506508; 0.8459729025
0.4300000000;  0.8508575577; 0.9615031042; 0.9370834605; 0.8441108766
0.4400000000;  0.8495854466; 0.9608122032; 0.9357195540; 0.8422938428
0.4500000000;  0.8483379966; 0.9601217986; 0.9343589227; 0.8405201572
0.4600000000;  0.8471004905; 0.9594318901; 0.9330015578; 0.8387882367
0.4700000000;  0.8458740487; 0.9587424773; 0.9316474507; 0.8370965570
0.4800000000;  0.8446575540; 0.9580535600; 0.9302965927; 0.8354436501
0.4900000000;  0.8434493884; 0.9573651376; 0.9289489752; 0.8338281028
0.5000000000;  0.8422567088; 0.9566772100; 0.9276045897; 0.8322485540
0.5100000000;  0.8410681503; 0.9559897766; 0.9262634276; 0.8307036932
0.5200000000;  0.8399032980; 0.9553028373; 0.9249254802; 0.8291922586
0.5300000000;  0.8387585918; 0.9546163915; 0.9235907391; 0.8277130349
0.5400000000;  0.8376196615; 0.9539304390; 0.9222591958; 0.8262648522
0.5500000000;  0.8364807937; 0.9532449794; 0.9209308418; 0.8248465837
0.5600000000;  0.8353462891; 0.9525600123; 0.9196056687; 0.8234571446
0.5700000000;  0.8342266647; 0.9518755374; 0.9182836679; 0.8220954902
0.5800000000;  0.8331024796; 0.9511915544; 0.9169648312; 0.8207606146
0.5900000000;  0.8319964181; 0.9505080629; 0.9156491500; 0.8194515491
0.6000000000;  0.8309145814; 0.9498250625; 0.9143366161; 0.8181673610
0.6100000000;  0.8298298371; 0.9491425528; 0.9130272211; 0.8169071522
0.6200000000;  0.8287526449; 0.9484605336; 0.9117209567; 0.8156700578
0.6300000000;  0.8276919345; 0.9477790045; 0.9104178146; 0.8144552450
0.6400000000;  0.8266406653; 0.9470979651; 0.9091177864; 0.8132619119
0.6500000000;  0.8255983378; 0.9464174150; 0.9078208640; 0.8120892863
0.6600000000;  0.8245549626; 0.9457373540; 0.9065270391; 0.8109366248
0.6700000000;  0.8235200888; 0.9450577816; 0.9052363035; 0.8098032111
0.6800000000;  0.8224717299; 0.9443786976; 0.9039486491; 0.8086883560
0.6900000000;  0.8214377088; 0.9437001015; 0.9026640675; 0.8075913955
0.7000000000;  0.8204186172; 0.9430219931; 0.9013825508; 0.8065116903
0.7100000000;  0.8194109494; 0.9423443719; 0.9001040908; 0.8054486248
0.7200000000;  0.8184121424; 0.9416672376; 0.8988286793; 0.8044016061
0.7300000000;  0.8174051868; 0.9409905899; 0.8975563084; 0.8033700636
0.7400000000;  0.8164040266; 0.9403144284; 0.8962869699; 0.8023534474
0.7500000000;  0.8154168595; 0.9396387527; 0.8950206558; 0.8013512284
0.7600000000;  0.8144417415; 0.9389635626; 0.8937573581; 0.8003628967
0.7700000000;  0.8134723346; 0.9382888576; 0.8924970688; 0.7993879617
0.7800000000;  0.8125149798; 0.9376146375; 0.8912397800; 0.7984259506
0.7900000000;  0.8115531643; 0.9369409018; 0.8899854836; 0.7974764084
0.8000000000;  0.8106135186; 0.9362676503; 0.8887341718; 0.7965388968
0.8100000000;  0.8096625416; 0.9355948825; 0.8874858366; 0.7956129938
0.8200000000;  0.8087229720; 0.9349225982; 0.8862404703; 0.7946982929
0.8300000000;  0.8077809484; 0.9342507969; 0.8849980648; 0.7937944030
0.8400000000;  0.8068555259; 0.9335794784; 0.8837586123; 0.7929009470
0.8500000000;  0.8059302170; 0.9329086422; 0.8825221052; 0.7920175622
0.8600000000;  0.8050158189; 0.9322382881; 0.8812885354; 0.7911438991
0.8700000000;  0.8040980247; 0.9315684157; 0.8800578953; 0.7902796211
0.8800000000;  0.8031814365; 0.9308990246; 0.8788301771; 0.7894244043
0.8900000000;  0.8022698016; 0.9302301145; 0.8776053731; 0.7885779365
0.9000000000;  0.8013616159; 0.9295616851; 0.8763834755; 0.7877399172
0.9100000000;  0.8004678275; 0.9288937360; 0.8751644767; 0.7869100571
0.9200000000;  0.7995770183; 0.9282262669; 0.8739483689; 0.7860880775
0.9300000000;  0.7986733118; 0.9275592773; 0.8727351446; 0.7852737101
0.9400000000;  0.7977874876; 0.9268927671; 0.8715247960; 0.7844666964
0.9500000000;  0.7969010431; 0.9262267358; 0.8703173156; 0.7836667875
0.9600000000;  0.7960301233; 0.9255611830; 0.8691126958; 0.7828737439
0.9700000000;  0.7951540981; 0.9248961085; 0.8679109290; 0.7820873346
0.9800000000;  0.7942857483; 0.9242315119; 0.8667120076; 0.7813073375
0.9900000000;  0.7934282335; 0.9235673929; 0.8655159241; 0.7805335384
1.000000000;  0.7925614219; 0.9229037510; 0.8643226711; 0.7797657314
