# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 36721.299334
0.060000; 2203.277960; 56919.060733
0.120000; 5618.421604; 48217.769113
0.180000; 8511.487751; 36557.395278
0.240000; 10704.931467; 30070.765321
0.300000; 12509.177387; 26256.707146
0.360000; 14084.579815; 23580.179930
0.420000; 15499.390611; 21051.728612
0.480000; 16762.494328; 19029.142317
0.540000; 17904.242867; 17328.701544
0.600000; 18943.964960; 15796.646486
0.660000; 19891.763749; 14604.803283
0.720000; 20768.051946; 13609.887358
0.780000; 21584.645187; 12778.476823
0.840000; 22351.353797; 11988.237450
0.900000; 23070.648044; 11406.573676
0.960000; 23755.042464; 10807.037115
1.020000; 24403.464691; 10330.076299
1.080000; 25023.269269; 9911.107958
1.140000; 25617.935746; 9541.240363
1.200000; 26190.410168; 9155.807766
1.260000; 26739.758634; 8776.601976
1.320000; 27266.354753; 8461.443678
1.380000; 27774.041373; 8178.789314
1.440000; 28264.768732; 7943.911820
1.500000; 28741.403442; 7737.609088
1.560000; 29205.659987; 7505.095763
1.620000; 29655.965733; 7301.054052
1.680000; 30094.028976; 7175.620614
1.740000; 30524.566213; 7159.330211
1.800000; 30954.126025; 7039.532762
1.860000; 31376.497991; 6796.424116
1.920000; 31784.283438; 6575.998950
1.980000; 32178.843375; 6411.635181
2.040000; 32563.541486; 6303.208379
2.100000; 32941.733989; 6195.343119
2.160000; 33313.454576; 6062.269918
2.220000; 33677.190771; 6012.214128
2.280000; 34037.923618; 5916.141369
2.340000; 34392.892101; 5820.867358
2.400000; 34742.144142; 5729.323823
2.460000; 35085.903571; 5785.131427
2.520000; 35433.011457; 5832.311704
2.580000; 35782.950159; 5767.835870
2.640000; 36129.020312; 5732.173049
2.700000; 36472.950695; 5667.851775
2.760000; 36813.021801; 5558.930072
2.820000; 37146.557605; 5457.392922
2.880000; 37474.001181; 5399.690258
2.940000; 37797.982596; 5339.928481
3.000000; 38118.378305; 5295.293615
3.060000; 38436.095922; 5308.367945
3.120000; 38754.597998; 5375.631201
3.180000; 39077.135871; 5367.439271
3.240000; 39399.182227; 5326.340403
3.300000; 39718.762651; 5276.170566
3.360000; 40035.332885; 5209.614245
3.420000; 40347.909740; 5105.873657
3.480000; 40654.262159; 5049.720484
3.540000; 40957.245388; 5005.264032
3.600000; 41257.561230; 4988.028228
3.660000; 41556.842924; 4986.660254
3.720000; 41856.042539; 4973.712911
3.780000; 42154.465314; 4962.385107
3.840000; 42452.208420; 4966.184218
3.900000; 42750.179473; 4967.051538
3.960000; 43048.202565; 4900.704167
4.020000; 43342.244815; 4830.387913
4.080000; 43632.068090; 4816.894722
4.140000; 43921.081774; 4770.939216
4.200000; 44207.338127; 4788.262070
4.260000; 44494.633851; 4764.021107
4.320000; 44780.475117; 4715.146907
4.380000; 45063.383932; 4714.666184
4.440000; 45346.263903; 4738.786151
4.500000; 45630.591072; 4744.277528
4.560000; 45915.247723; 4750.248761
4.620000; 46200.262649; 4738.833315
4.680000; 46484.592648; 4691.767795
4.740000; 46766.098716; 4684.314391
4.800000; 47047.157579; 4735.752676
4.860000; 47331.302740; 4759.516824
4.920000; 47616.873749; 4784.909492
4.980000; 47903.968319; 4746.302450
5.040000; 48188.746466; 4717.644391
5.100000; 48471.805129; 4736.335529
5.160000; 48755.985261; 4636.776789
5.220000; 49034.191868; 4528.018179
5.280000; 49305.872959; 4515.147229
5.340000; 49576.781793; 4450.874522
5.400000; 49843.834264; 4421.595481
5.460000; 50109.129993; 4411.656711
5.520000; 50373.829395; 4496.792493
5.580000; 50643.636945; 4503.906847
5.640000; 50913.871356; 4392.640144
5.700000; 51177.429764; 4327.223900
5.760000; 51437.063198; 4379.476147
5.820000; 51699.831767; 4407.128800
5.880000; 51964.259495; 4454.229937
5.940000; 52231.513291; 4457.895899
6.000000; 52498.987045; 4453.533515
6.060000; 52766.199056; 4446.432237
6.120000; 53032.984991; 4439.928205
6.180000; 53299.380683; 4350.347286
6.240000; 53560.401520; 4249.534034
6.300000; 53815.373562; 4253.318703
6.360000; 54070.572684; 4279.152959
6.420000; 54327.321862; 4234.611742
6.480000; 54581.398566; 4132.548881
6.540000; 54829.351499; 4103.909316
6.600000; 55075.586058; 4093.189291
6.660000; 55321.177416; 4081.032953
6.720000; 55566.039393; 4102.262685
6.780000; 55812.175154; 4105.688514
6.840000; 56058.516465; 3997.455505
6.900000; 56298.363795; 4007.073464
6.960000; 56538.788203; 4125.980813
7.020000; 56786.347052; 4194.821536
7.080000; 57038.036344; 4202.322701
7.140000; 57290.175706; 4203.117845
7.200000; 57542.362776; 4232.751554
7.260000; 57796.327870; 4236.763362
7.320000; 58050.533671; 4220.840581
7.380000; 58303.784106; 4229.065030
7.440000; 58557.528008; 4215.227619
7.500000; 58810.441665; 4137.295280
7.560000; 59058.679382; 4081.895050
7.620000; 59303.593085; 4116.440355
7.680000; 59550.579506; 4233.393987
7.740000; 59804.583145; 4301.658044
7.800000; 60062.682628; 4198.488546
7.860000; 60314.591941; 4060.383850
7.920000; 60558.214972; 4002.356530
7.980000; 60798.356364; 4001.503357
8.040000; 61038.446565; 3970.282727
8.100000; 61276.663529; 3965.433515
8.160000; 61514.589540; 3999.747255
8.220000; 61754.574375; 4035.649253
8.280000; 61996.713330; 4103.103408
8.340000; 62242.899535; 4120.311463
8.400000; 62490.118222; 4081.388952
8.460000; 62735.001559; 4006.289274
8.520000; 62975.378916; 4029.475858
8.580000; 63217.147467; 4014.952113
8.640000; 63458.044594; 4030.560439
8.700000; 63699.878221; 4101.644065
8.760000; 63945.976864; 4045.830731
8.820000; 64188.726708; 3953.122884
8.880000; 64425.914081; 3871.167460
8.940000; 64658.184129; 3802.010221
9.000000; 64886.304742; 3684.612827
9.060000; 65107.381512; 3553.420786
9.120000; 65320.586759; 3506.510467
9.180000; 65530.977387; 3636.236052
9.240000; 65749.151550; 3763.654430
9.300000; 65974.970816; 3764.864548
9.360000; 66200.862689; 3742.044609
