# Tau / ps;  Linear Fit to MSD / pm^2
30.0300;  135815.6319
30.1805;  136225.3746
30.3311;  136635.1174
30.4816;  137044.8601
30.6321;  137454.6029
30.7826;  137864.3456
30.9332;  138274.0884
31.0837;  138683.8311
31.2342;  139093.5739
31.3847;  139503.3166
31.5353;  139913.0594
31.6858;  140322.8021
31.8363;  140732.5449
31.9868;  141142.2876
32.1374;  141552.0304
32.2879;  141961.7731
32.4384;  142371.5159
32.5889;  142781.2586
32.7395;  143191.0014
32.8900;  143600.7441
33.0405;  144010.4869
33.1911;  144420.2296
33.3416;  144829.9724
33.4921;  145239.7151
33.6426;  145649.4579
33.7932;  146059.2006
33.9437;  146468.9434
34.0942;  146878.6861
34.2447;  147288.4289
34.3953;  147698.1716
34.5458;  148107.9144
34.6963;  148517.6571
34.8468;  148927.3999
34.9974;  149337.1426
35.1479;  149746.8854
35.2984;  150156.6281
35.4489;  150566.3709
35.5995;  150976.1136
35.7500;  151385.8564
35.9005;  151795.5991
36.0511;  152205.3419
36.2016;  152615.0846
36.3521;  153024.8274
36.5026;  153434.5701
36.6532;  153844.3129
36.8037;  154254.0556
36.9542;  154663.7984
37.1047;  155073.5411
37.2553;  155483.2839
37.4058;  155893.0266
37.5563;  156302.7694
37.7068;  156712.5121
37.8574;  157122.2549
38.0079;  157531.9976
38.1584;  157941.7404
38.3089;  158351.4831
38.4595;  158761.2259
38.6100;  159170.9686
38.7605;  159580.7114
38.9111;  159990.4541
39.0616;  160400.1969
39.2121;  160809.9396
39.3626;  161219.6824
39.5132;  161629.4251
39.6637;  162039.1679
39.8142;  162448.9106
39.9647;  162858.6534
40.1153;  163268.3961
40.2658;  163678.1389
40.4163;  164087.8816
40.5668;  164497.6244
40.7174;  164907.3671
40.8679;  165317.1099
41.0184;  165726.8526
41.1689;  166136.5954
41.3195;  166546.3381
41.4700;  166956.0809
41.6205;  167365.8236
41.7711;  167775.5664
41.9216;  168185.3091
42.0721;  168595.0519
42.2226;  169004.7946
42.3732;  169414.5374
42.5237;  169824.2801
42.6742;  170234.0229
42.8247;  170643.7656
42.9753;  171053.5084
43.1258;  171463.2511
43.2763;  171872.9939
43.4268;  172282.7366
43.5774;  172692.4794
43.7279;  173102.2221
43.8784;  173511.9649
44.0289;  173921.7076
44.1795;  174331.4504
44.3300;  174741.1931
44.4805;  175150.9359
44.6311;  175560.6786
44.7816;  175970.4214
44.9321;  176380.1641
45.0826;  176789.9069
45.2332;  177199.6496
45.3837;  177609.3924
45.5342;  178019.1351
45.6847;  178428.8779
45.8353;  178838.6206
45.9858;  179248.3634
46.1363;  179658.1061
46.2868;  180067.8489
46.4374;  180477.5916
46.5879;  180887.3344
46.7384;  181297.0771
46.8889;  181706.8199
47.0395;  182116.5626
47.1900;  182526.3054
47.3405;  182936.0481
47.4911;  183345.7909
47.6416;  183755.5336
47.7921;  184165.2764
47.9426;  184575.0191
48.0932;  184984.7619
48.2437;  185394.5046
48.3942;  185804.2474
48.5447;  186213.9901
48.6953;  186623.7329
48.8458;  187033.4756
48.9963;  187443.2184
49.1468;  187852.9611
49.2974;  188262.7039
49.4479;  188672.4466
49.5984;  189082.1894
49.7489;  189491.9321
49.8995;  189901.6749
50.0500;  190311.4176
50.2005;  190721.1604
50.3511;  191130.9031
50.5016;  191540.6459
50.6521;  191950.3886
50.8026;  192360.1314
50.9532;  192769.8741
51.1037;  193179.6169
51.2542;  193589.3596
51.4047;  193999.1024
51.5553;  194408.8451
51.7058;  194818.5879
51.8563;  195228.3306
52.0068;  195638.0734
52.1574;  196047.8161
52.3079;  196457.5589
52.4584;  196867.3016
52.6089;  197277.0444
52.7595;  197686.7871
52.9100;  198096.5299
53.0605;  198506.2726
53.2111;  198916.0154
53.3616;  199325.7581
53.5121;  199735.5009
53.6626;  200145.2436
53.8132;  200554.9864
53.9637;  200964.7291
54.1142;  201374.4719
54.2647;  201784.2146
54.4153;  202193.9574
54.5658;  202603.7001
54.7163;  203013.4429
54.8668;  203423.1856
55.0174;  203832.9284
55.1679;  204242.6711
55.3184;  204652.4139
55.4689;  205062.1566
55.6195;  205471.8994
55.7700;  205881.6421
55.9205;  206291.3849
56.0711;  206701.1276
56.2216;  207110.8704
56.3721;  207520.6131
56.5226;  207930.3559
56.6732;  208340.0986
56.8237;  208749.8414
56.9742;  209159.5841
57.1247;  209569.3269
57.2753;  209979.0696
57.4258;  210388.8124
57.5763;  210798.5551
57.7268;  211208.2979
57.8774;  211618.0406
58.0279;  212027.7834
58.1784;  212437.5261
58.3289;  212847.2689
58.4795;  213257.0116
58.6300;  213666.7544
58.7805;  214076.4971
58.9311;  214486.2399
59.0816;  214895.9826
59.2321;  215305.7254
59.3826;  215715.4681
59.5332;  216125.2109
59.6837;  216534.9536
59.8342;  216944.6964
59.9847;  217354.4391
