# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 19443.964916
0.060000; 1166.637895; 32317.376315
0.120000; 3105.680474; 30823.123474
0.180000; 4955.067882; 25172.954373
0.240000; 6465.445145; 21789.037898
0.300000; 7772.787419; 19233.082281
0.360000; 8926.772355; 17155.633199
0.420000; 9956.110347; 15937.545753
0.480000; 10912.363093; 14216.383654
0.540000; 11765.346112; 13050.047969
0.600000; 12548.348990; 11940.281621
0.660000; 13264.765887; 11162.821914
0.720000; 13934.535202; 10502.409969
0.780000; 14564.679800; 9971.980601
0.840000; 15162.998636; 9468.415333
0.900000; 15731.103556; 9014.811265
0.960000; 16271.992232; 8672.369608
1.020000; 16792.334409; 8443.390084
1.080000; 17298.937814; 8240.914433
1.140000; 17793.392680; 8024.301302
1.200000; 18274.850758; 7873.946427
1.260000; 18747.287543; 7727.203446
1.320000; 19210.919750; 7578.230030
1.380000; 19665.613552; 7426.279213
1.440000; 20111.190305; 7244.149285
1.500000; 20545.839262; 7085.241256
1.560000; 20970.953737; 6882.843020
1.620000; 21383.924318; 6752.960401
1.680000; 21789.101942; 6665.172540
1.740000; 22189.012295; 6617.252842
1.800000; 22586.047465; 6564.418313
1.860000; 22979.912564; 6521.847039
1.920000; 23371.223387; 6432.868453
1.980000; 23757.195494; 6325.618585
2.040000; 24136.732609; 6264.071800
2.100000; 24512.576917; 6222.621797
2.160000; 24885.934225; 6168.656331
2.220000; 25256.053605; 6108.462372
2.280000; 25622.561347; 6071.023527
2.340000; 25986.822758; 6048.610395
2.400000; 26349.739382; 6023.390753
2.460000; 26711.142827; 5974.637227
2.520000; 27069.621061; 5941.856696
2.580000; 27426.132463; 5907.406137
2.640000; 27780.576831; 5884.057632
2.700000; 28133.620289; 5806.299810
2.760000; 28481.998277; 5734.669819
2.820000; 28826.078467; 5648.884509
2.880000; 29165.011537; 5544.408641
2.940000; 29497.676056; 5475.762242
3.000000; 29826.221790; 5434.566081
3.060000; 30152.295755; 5355.143295
3.120000; 30473.604353; 5293.917642
3.180000; 30791.239411; 5268.341964
3.240000; 31107.339929; 5240.852238
3.300000; 31421.791063; 5167.332571
3.360000; 31731.831017; 5114.520375
3.420000; 32038.702240; 5071.284619
3.480000; 32342.979317; 5049.906812
3.540000; 32645.973726; 5037.970881
3.600000; 32948.251979; 5031.704624
3.660000; 33250.154256; 5024.714089
3.720000; 33551.637101; 4989.361295
3.780000; 33850.998779; 4916.308250
3.840000; 34145.977274; 4877.957912
3.900000; 34438.654749; 4836.481455
3.960000; 34728.843636; 4804.251880
4.020000; 35017.098749; 4741.564734
4.080000; 35301.592633; 4733.921232
4.140000; 35585.627907; 4744.259946
4.200000; 35870.283504; 4743.172263
4.260000; 36154.873839; 4725.846518
4.320000; 36438.424630; 4690.855400
4.380000; 36719.875954; 4702.184515
4.440000; 37002.007025; 4774.735132
4.500000; 37288.491133; 4824.566165
4.560000; 37577.965103; 4826.533567
4.620000; 37867.557117; 4804.352217
4.680000; 38155.818250; 4817.584853
4.740000; 38444.873341; 4824.498271
4.800000; 38734.343238; 4792.082259
