# Tau / ps;  Linear Fit to MSD / pm^2
30.0300;  125546.7604
30.1805;  125927.5536
30.3311;  126308.3468
30.4816;  126689.1400
30.6321;  127069.9332
30.7826;  127450.7265
30.9332;  127831.5197
31.0837;  128212.3129
31.2342;  128593.1061
31.3847;  128973.8994
31.5353;  129354.6926
31.6858;  129735.4858
31.8363;  130116.2790
31.9868;  130497.0722
32.1374;  130877.8655
32.2879;  131258.6587
32.4384;  131639.4519
32.5889;  132020.2451
32.7395;  132401.0383
32.8900;  132781.8316
33.0405;  133162.6248
33.1911;  133543.4180
33.3416;  133924.2112
33.4921;  134305.0045
33.6426;  134685.7977
33.7932;  135066.5909
33.9437;  135447.3841
34.0942;  135828.1773
34.2447;  136208.9706
34.3953;  136589.7638
34.5458;  136970.5570
34.6963;  137351.3502
34.8468;  137732.1435
34.9974;  138112.9367
35.1479;  138493.7299
35.2984;  138874.5231
35.4489;  139255.3163
35.5995;  139636.1096
35.7500;  140016.9028
35.9005;  140397.6960
36.0511;  140778.4892
36.2016;  141159.2825
36.3521;  141540.0757
36.5026;  141920.8689
36.6532;  142301.6621
36.8037;  142682.4553
36.9542;  143063.2486
37.1047;  143444.0418
37.2553;  143824.8350
37.4058;  144205.6282
37.5563;  144586.4215
37.7068;  144967.2147
37.8574;  145348.0079
38.0079;  145728.8011
38.1584;  146109.5943
38.3089;  146490.3876
38.4595;  146871.1808
38.6100;  147251.9740
38.7605;  147632.7672
38.9111;  148013.5604
39.0616;  148394.3537
39.2121;  148775.1469
39.3626;  149155.9401
39.5132;  149536.7333
39.6637;  149917.5266
39.8142;  150298.3198
39.9647;  150679.1130
40.1153;  151059.9062
40.2658;  151440.6994
40.4163;  151821.4927
40.5668;  152202.2859
40.7174;  152583.0791
40.8679;  152963.8723
41.0184;  153344.6656
41.1689;  153725.4588
41.3195;  154106.2520
41.4700;  154487.0452
41.6205;  154867.8384
41.7711;  155248.6317
41.9216;  155629.4249
42.0721;  156010.2181
42.2226;  156391.0113
42.3732;  156771.8046
42.5237;  157152.5978
42.6742;  157533.3910
42.8247;  157914.1842
42.9753;  158294.9774
43.1258;  158675.7707
43.2763;  159056.5639
43.4268;  159437.3571
43.5774;  159818.1503
43.7279;  160198.9436
43.8784;  160579.7368
44.0289;  160960.5300
44.1795;  161341.3232
44.3300;  161722.1164
44.4805;  162102.9097
44.6311;  162483.7029
44.7816;  162864.4961
44.9321;  163245.2893
45.0826;  163626.0826
45.2332;  164006.8758
45.3837;  164387.6690
45.5342;  164768.4622
45.6847;  165149.2554
45.8353;  165530.0487
45.9858;  165910.8419
46.1363;  166291.6351
46.2868;  166672.4283
46.4374;  167053.2215
46.5879;  167434.0148
46.7384;  167814.8080
46.8889;  168195.6012
47.0395;  168576.3944
47.1900;  168957.1877
47.3405;  169337.9809
47.4911;  169718.7741
47.6416;  170099.5673
47.7921;  170480.3605
47.9426;  170861.1538
48.0932;  171241.9470
48.2437;  171622.7402
48.3942;  172003.5334
48.5447;  172384.3267
48.6953;  172765.1199
48.8458;  173145.9131
48.9963;  173526.7063
49.1468;  173907.4995
49.2974;  174288.2928
49.4479;  174669.0860
49.5984;  175049.8792
49.7489;  175430.6724
49.8995;  175811.4657
50.0500;  176192.2589
50.2005;  176573.0521
50.3511;  176953.8453
50.5016;  177334.6385
50.6521;  177715.4318
50.8026;  178096.2250
50.9532;  178477.0182
51.1037;  178857.8114
51.2542;  179238.6047
51.4047;  179619.3979
51.5553;  180000.1911
51.7058;  180380.9843
51.8563;  180761.7775
52.0068;  181142.5708
52.1574;  181523.3640
52.3079;  181904.1572
52.4584;  182284.9504
52.6089;  182665.7436
52.7595;  183046.5369
52.9100;  183427.3301
53.0605;  183808.1233
53.2111;  184188.9165
53.3616;  184569.7098
53.5121;  184950.5030
53.6626;  185331.2962
53.8132;  185712.0894
53.9637;  186092.8826
54.1142;  186473.6759
54.2647;  186854.4691
54.4153;  187235.2623
54.5658;  187616.0555
54.7163;  187996.8488
54.8668;  188377.6420
55.0174;  188758.4352
55.1679;  189139.2284
55.3184;  189520.0216
55.4689;  189900.8149
55.6195;  190281.6081
55.7700;  190662.4013
55.9205;  191043.1945
56.0711;  191423.9878
56.2216;  191804.7810
56.3721;  192185.5742
56.5226;  192566.3674
56.6732;  192947.1606
56.8237;  193327.9539
56.9742;  193708.7471
57.1247;  194089.5403
57.2753;  194470.3335
57.4258;  194851.1268
57.5763;  195231.9200
57.7268;  195612.7132
57.8774;  195993.5064
58.0279;  196374.2996
58.1784;  196755.0929
58.3289;  197135.8861
58.4795;  197516.6793
58.6300;  197897.4725
58.7805;  198278.2658
58.9311;  198659.0590
59.0816;  199039.8522
59.2321;  199420.6454
59.3826;  199801.4386
59.5332;  200182.2319
59.6837;  200563.0251
59.8342;  200943.8183
59.9847;  201324.6115
