# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 33297.066021
0.060000; 1997.823961; 25627.234774
0.120000; 3535.458048; 22112.909460
0.180000; 4862.232615; 18590.070571
0.240000; 5977.636850; 16308.071079
0.300000; 6956.121114; 14852.741129
0.360000; 7847.285582; 13758.385016
0.420000; 8672.788683; 12824.517992
0.480000; 9442.259763; 12019.009401
0.540000; 10163.400327; 11344.793266
0.600000; 10844.087923; 10786.887038
0.660000; 11491.301145; 10336.742259
0.720000; 12111.505680; 9939.490590
0.780000; 12707.875116; 9563.823277
0.840000; 13281.704512; 9264.298187
0.900000; 13837.562404; 8974.481519
0.960000; 14376.031295; 8781.457098
1.020000; 14902.918721; 8573.113778
1.080000; 15417.305547; 8408.776927
1.140000; 15921.832163; 8236.688740
1.200000; 16416.033487; 8120.257888
1.260000; 16903.248961; 7947.874177
1.320000; 17380.121411; 7772.741365
1.380000; 17846.485893; 7674.367132
1.440000; 18306.947921; 7567.103730
1.500000; 18760.974145; 7480.993570
1.560000; 19209.833759; 7363.504884
1.620000; 19651.644052; 7228.281482
1.680000; 20085.340941; 7146.041812
1.740000; 20514.103450; 7091.667069
1.800000; 20939.603474; 7023.548837
1.860000; 21361.016404; 6958.335060
1.920000; 21778.516508; 6910.926088
1.980000; 22193.172073; 6856.153637
2.040000; 22604.541291; 6798.717851
2.100000; 23012.464362; 6761.194796
2.160000; 23418.136050; 6689.547502
2.220000; 23819.508900; 6652.816583
2.280000; 24218.677895; 6634.521957
2.340000; 24616.749212; 6598.020286
2.400000; 25012.630430; 6552.033910
2.460000; 25405.752464; 6511.326774
2.520000; 25796.432071; 6475.283437
2.580000; 26184.949077; 6454.640515
2.640000; 26572.227508; 6472.506323
2.700000; 26960.577887; 6445.224720
2.760000; 27347.291370; 6421.858146
2.820000; 27732.602859; 6379.949462
2.880000; 28115.399827; 6334.624373
2.940000; 28495.477289; 6354.268660
3.000000; 28876.733409; 6310.884090
3.060000; 29255.386454; 6303.883950
3.120000; 29633.619491; 6259.805463
3.180000; 30009.207819; 6252.986268
3.240000; 30384.386995; 6241.630052
3.300000; 30758.884798; 6226.311092
3.360000; 31132.463464; 6197.725027
3.420000; 31504.326965; 6202.185627
3.480000; 31876.458103; 6212.236781
3.540000; 32249.192310; 6191.082733
3.600000; 32620.657274; 6162.870414
3.660000; 32990.429499; 6132.935534
3.720000; 33358.405631; 6132.781128
3.780000; 33726.372498; 6083.438654
3.840000; 34091.378818; 6073.732313
3.900000; 34455.802756; 6077.104506
3.960000; 34820.429027; 6074.058171
4.020000; 35184.872517; 6055.322404
4.080000; 35548.191861; 6035.560487
4.140000; 35910.325490; 6007.586292
4.200000; 36270.780668; 6002.906254
4.260000; 36630.955043; 6006.846305
4.320000; 36991.365821; 5963.419843
4.380000; 37349.171012; 5975.545055
4.440000; 37707.703715; 5990.581793
4.500000; 38067.138623; 5986.549775
4.560000; 38426.331609; 5997.276122
4.620000; 38786.168177; 5980.009301
4.680000; 39144.968735; 5931.592323
4.740000; 39500.864274; 5929.929934
4.800000; 39856.660070; 5929.336843
4.860000; 40212.420281; 5892.992739
4.920000; 40565.999845; 5868.401468
4.980000; 40918.103933; 5826.441707
5.040000; 41267.690436; 5840.305447
5.100000; 41618.108763; 5833.737785
5.160000; 41968.133030; 5845.180243
5.220000; 42318.843844; 5801.143637
5.280000; 42666.912462; 5766.314271
5.340000; 43012.891319; 5751.853637
5.400000; 43358.002537; 5711.007571
5.460000; 43700.662991; 5686.322850
5.520000; 44041.842362; 5669.849842
5.580000; 44382.033353; 5672.610239
5.640000; 44722.389967; 5691.966142
5.700000; 45063.907936; 5695.630882
5.760000; 45405.645788; 5686.515839
5.820000; 45746.836739; 5676.888859
5.880000; 46087.450070; 5676.595508
5.940000; 46428.045801; 5657.857279
6.000000; 46767.517238; 5644.290936
6.060000; 47106.174694; 5626.999479
6.120000; 47443.794662; 5602.102081
6.180000; 47779.920787; 5563.794424
6.240000; 48113.748453; 5560.800954
6.300000; 48447.396510; 5562.484745
6.360000; 48781.145595; 5564.573682
6.420000; 49115.020016; 5564.086856
6.480000; 49448.865227; 5596.764214
6.540000; 49784.671080; 5606.067883
6.600000; 50121.035153; 5619.417254
6.660000; 50458.200188; 5606.329139
6.720000; 50794.579936; 5613.696249
6.780000; 51131.401711; 5612.878822
6.840000; 51468.174441; 5602.785105
6.900000; 51804.341547; 5619.968595
6.960000; 52141.539663; 5605.815519
7.020000; 52477.888594; 5577.628857
7.080000; 52812.546325; 5560.680702
7.140000; 53146.187167; 5529.489958
7.200000; 53477.956565; 5531.442049
7.260000; 53809.843088; 5519.885134
7.320000; 54141.036196; 5512.866287
7.380000; 54471.808173; 5516.421630
7.440000; 54802.793471; 5540.829929
7.500000; 55135.243267; 5528.933046
7.560000; 55466.979249; 5513.984129
7.620000; 55797.818297; 5500.245884
7.680000; 56127.833050; 5493.704122
