# Tau / ps;  Linear Fit to MSD / pm^2
30.0300;  161928.8295
30.1805;  162570.5239
30.3311;  163212.2184
30.4816;  163853.9128
30.6321;  164495.6072
30.7826;  165137.3016
30.9332;  165778.9960
31.0837;  166420.6904
31.2342;  167062.3849
31.3847;  167704.0793
31.5353;  168345.7737
31.6858;  168987.4681
31.8363;  169629.1625
31.9868;  170270.8570
32.1374;  170912.5514
32.2879;  171554.2458
32.4384;  172195.9402
32.5889;  172837.6346
32.7395;  173479.3290
32.8900;  174121.0235
33.0405;  174762.7179
33.1911;  175404.4123
33.3416;  176046.1067
33.4921;  176687.8011
33.6426;  177329.4956
33.7932;  177971.1900
33.9437;  178612.8844
34.0942;  179254.5788
34.2447;  179896.2732
34.3953;  180537.9676
34.5458;  181179.6621
34.6963;  181821.3565
34.8468;  182463.0509
34.9974;  183104.7453
35.1479;  183746.4397
35.2984;  184388.1341
35.4489;  185029.8286
35.5995;  185671.5230
35.7500;  186313.2174
35.9005;  186954.9118
36.0511;  187596.6062
36.2016;  188238.3007
36.3521;  188879.9951
36.5026;  189521.6895
36.6532;  190163.3839
36.8037;  190805.0783
36.9542;  191446.7727
37.1047;  192088.4672
37.2553;  192730.1616
37.4058;  193371.8560
37.5563;  194013.5504
37.7068;  194655.2448
37.8574;  195296.9393
38.0079;  195938.6337
38.1584;  196580.3281
38.3089;  197222.0225
38.4595;  197863.7169
38.6100;  198505.4113
38.7605;  199147.1058
38.9111;  199788.8002
39.0616;  200430.4946
39.2121;  201072.1890
39.3626;  201713.8834
39.5132;  202355.5779
39.6637;  202997.2723
39.8142;  203638.9667
39.9647;  204280.6611
40.1153;  204922.3555
40.2658;  205564.0499
40.4163;  206205.7444
40.5668;  206847.4388
40.7174;  207489.1332
40.8679;  208130.8276
41.0184;  208772.5220
41.1689;  209414.2164
41.3195;  210055.9109
41.4700;  210697.6053
41.6205;  211339.2997
41.7711;  211980.9941
41.9216;  212622.6885
42.0721;  213264.3830
42.2226;  213906.0774
42.3732;  214547.7718
42.5237;  215189.4662
42.6742;  215831.1606
42.8247;  216472.8550
42.9753;  217114.5495
43.1258;  217756.2439
43.2763;  218397.9383
43.4268;  219039.6327
43.5774;  219681.3271
43.7279;  220323.0216
43.8784;  220964.7160
44.0289;  221606.4104
44.1795;  222248.1048
44.3300;  222889.7992
44.4805;  223531.4936
44.6311;  224173.1881
44.7816;  224814.8825
44.9321;  225456.5769
45.0826;  226098.2713
45.2332;  226739.9657
45.3837;  227381.6602
45.5342;  228023.3546
45.6847;  228665.0490
45.8353;  229306.7434
45.9858;  229948.4378
46.1363;  230590.1322
46.2868;  231231.8267
46.4374;  231873.5211
46.5879;  232515.2155
46.7384;  233156.9099
46.8889;  233798.6043
47.0395;  234440.2987
47.1900;  235081.9932
47.3405;  235723.6876
47.4911;  236365.3820
47.6416;  237007.0764
47.7921;  237648.7708
47.9426;  238290.4653
48.0932;  238932.1597
48.2437;  239573.8541
48.3942;  240215.5485
48.5447;  240857.2429
48.6953;  241498.9373
48.8458;  242140.6318
48.9963;  242782.3262
49.1468;  243424.0206
49.2974;  244065.7150
49.4479;  244707.4094
49.5984;  245349.1039
49.7489;  245990.7983
49.8995;  246632.4927
50.0500;  247274.1871
50.2005;  247915.8815
50.3511;  248557.5759
50.5016;  249199.2704
50.6521;  249840.9648
50.8026;  250482.6592
50.9532;  251124.3536
51.1037;  251766.0480
51.2542;  252407.7425
51.4047;  253049.4369
51.5553;  253691.1313
51.7058;  254332.8257
51.8563;  254974.5201
52.0068;  255616.2145
52.1574;  256257.9090
52.3079;  256899.6034
52.4584;  257541.2978
52.6089;  258182.9922
52.7595;  258824.6866
52.9100;  259466.3810
53.0605;  260108.0755
53.2111;  260749.7699
53.3616;  261391.4643
53.5121;  262033.1587
53.6626;  262674.8531
53.8132;  263316.5476
53.9637;  263958.2420
54.1142;  264599.9364
54.2647;  265241.6308
54.4153;  265883.3252
54.5658;  266525.0196
54.7163;  267166.7141
54.8668;  267808.4085
55.0174;  268450.1029
55.1679;  269091.7973
55.3184;  269733.4917
55.4689;  270375.1862
55.6195;  271016.8806
55.7700;  271658.5750
55.9205;  272300.2694
56.0711;  272941.9638
56.2216;  273583.6582
56.3721;  274225.3527
56.5226;  274867.0471
56.6732;  275508.7415
56.8237;  276150.4359
56.9742;  276792.1303
57.1247;  277433.8248
57.2753;  278075.5192
57.4258;  278717.2136
57.5763;  279358.9080
57.7268;  280000.6024
57.8774;  280642.2968
58.0279;  281283.9913
58.1784;  281925.6857
58.3289;  282567.3801
58.4795;  283209.0745
58.6300;  283850.7689
58.7805;  284492.4633
58.9311;  285134.1578
59.0816;  285775.8522
59.2321;  286417.5466
59.3826;  287059.2410
59.5332;  287700.9354
59.6837;  288342.6299
59.8342;  288984.3243
59.9847;  289626.0187
