# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 18195.754570
0.060000; 1091.745274; 24311.387443
0.120000; 2550.428521; 20264.849266
0.180000; 3766.319477; 16640.482855
0.240000; 4764.748448; 14569.701033
0.300000; 5638.930510; 13222.410130
0.360000; 6432.275118; 12190.819535
0.420000; 7163.724290; 11319.686932
0.480000; 7842.905506; 10594.075722
0.540000; 8478.550049; 10013.612459
0.600000; 9079.366797; 9541.320495
0.660000; 9651.846026; 9142.042741
0.720000; 10200.368591; 8778.408692
0.780000; 10727.073112; 8422.712041
0.840000; 11232.435835; 8137.707839
0.900000; 11720.698305; 7882.214744
0.960000; 12193.631190; 7685.281854
1.020000; 12654.748101; 7511.204722
1.080000; 13105.420384; 7354.923153
1.140000; 13546.715773; 7210.132437
1.200000; 13979.323720; 7082.660272
1.260000; 14404.283336; 6953.083443
1.320000; 14821.468343; 6815.701493
1.380000; 15230.410432; 6724.767842
1.440000; 15633.896503; 6640.479560
1.500000; 16032.325276; 6551.740544
1.560000; 16425.429709; 6456.380417
1.620000; 16812.812534; 6372.180001
1.680000; 17195.143334; 6285.860522
1.740000; 17572.294965; 6226.260633
1.800000; 17945.870603; 6179.341810
1.860000; 18316.631112; 6142.245729
1.920000; 18685.165856; 6105.779224
1.980000; 19051.512609; 6060.933892
2.040000; 19415.168643; 6004.706320
2.100000; 19775.451022; 5954.554265
2.160000; 20132.724278; 5901.860603
2.220000; 20486.835914; 5868.637335
2.280000; 20838.954154; 5860.615542
2.340000; 21190.591086; 5839.574252
2.400000; 21540.965542; 5802.913512
2.460000; 21889.140352; 5763.639217
2.520000; 22234.958705; 5735.026712
2.580000; 22579.060308; 5733.356918
2.640000; 22923.061723; 5739.838617
2.700000; 23267.452040; 5744.995854
2.760000; 23612.151791; 5715.434521
2.820000; 23955.077863; 5680.420860
2.880000; 24295.903114; 5661.328075
2.940000; 24635.582799; 5656.409833
3.000000; 24974.967389; 5639.647369
3.060000; 25313.346231; 5636.708909
3.120000; 25651.548765; 5604.072631
3.180000; 25987.793123; 5585.985723
3.240000; 26322.952267; 5568.703099
3.300000; 26657.074453; 5561.974700
3.360000; 26990.792934; 5553.385301
3.420000; 27323.996053; 5577.380680
3.480000; 27658.638893; 5582.436881
3.540000; 27993.585106; 5570.856108
3.600000; 28327.836473; 5551.588804
3.660000; 28660.931801; 5538.725300
3.720000; 28993.255319; 5524.684789
3.780000; 29324.736406; 5494.688693
3.840000; 29654.417728; 5492.466360
3.900000; 29983.965710; 5487.228923
3.960000; 30313.199445; 5492.704562
4.020000; 30642.761719; 5483.756869
4.080000; 30971.787131; 5455.491356
4.140000; 31299.116612; 5439.336255
4.200000; 31625.476787; 5445.843307
4.260000; 31952.227386; 5442.380825
4.320000; 32278.770235; 5431.276299
4.380000; 32604.646813; 5421.692799
4.440000; 32929.948381; 5452.996038
4.500000; 33257.128143; 5458.671107
4.560000; 33584.648410; 5459.363763
4.620000; 33912.210236; 5448.961501
4.680000; 34239.147926; 5428.942637
4.740000; 34564.884484; 5411.802113
4.800000; 34889.592611; 5409.392975
4.860000; 35214.156189; 5386.782131
4.920000; 35537.363117; 5359.505249
4.980000; 35858.933432; 5335.836995
5.040000; 36179.083652; 5338.127934
5.100000; 36499.371328; 5333.279012
5.160000; 36819.368068; 5332.452733
5.220000; 37139.315232; 5311.905816
5.280000; 37458.029581; 5304.189815
5.340000; 37776.280970; 5287.989701
5.400000; 38093.560352; 5246.448257
5.460000; 38408.347248; 5220.471879
5.520000; 38721.575560; 5195.252228
5.580000; 39033.290694; 5207.200295
5.640000; 39345.722712; 5225.607740
5.700000; 39659.259176; 5236.981185
5.760000; 39973.478047; 5224.821030
5.820000; 40286.967309; 5224.127065
5.880000; 40600.414933; 5228.223137
5.940000; 40914.108321; 5223.374363
6.000000; 41227.510783; 5215.644971
6.060000; 41540.449481; 5202.212884
6.120000; 41852.582254; 5170.981633
6.180000; 42162.841152; 5161.181449
6.240000; 42472.512039; 5152.665972
6.300000; 42781.671997; 5152.042306
6.360000; 43090.794536; 5170.022318
6.420000; 43400.995875; 5185.358472
6.480000; 43712.117383; 5196.516820
6.540000; 44023.908392; 5210.345414
6.600000; 44336.529117; 5236.899077
6.660000; 44650.743062; 5230.526349
6.720000; 44964.574643; 5228.796771
6.780000; 45278.302449; 5231.302678
6.840000; 45592.180610; 5241.702281
6.900000; 45906.682747; 5246.816024
6.960000; 46221.491708; 5223.721386
7.020000; 46534.914991; 5206.899736
7.080000; 46847.328975; 5198.277593
7.140000; 47159.225631; 5176.634949
7.200000; 47469.823728; 5158.903307
7.260000; 47779.357926; 5144.528060
7.320000; 48088.029610; 5137.540265
7.380000; 48396.282026; 5154.829476
7.440000; 48705.571794; 5177.807484
7.500000; 49016.240243; 5173.190299
7.560000; 49326.631661; 5154.936573
7.620000; 49635.927856; 5154.642784
7.680000; 49945.206423; 5154.679275
7.740000; 50254.487179; 5144.076731
7.800000; 50563.131783; 5124.178836
7.860000; 50870.582513; 5120.146117
7.920000; 51177.791280; 5114.009078
7.980000; 51484.631825; 5099.916278
8.040000; 51790.626802; 5061.948844
8.100000; 52094.343732; 5044.525790
8.160000; 52397.015280; 5046.961826
8.220000; 52699.832989; 5057.773328
8.280000; 53003.299389; 5081.378084
8.340000; 53308.182074; 5082.409576
8.400000; 53613.126648; 5091.893663
8.460000; 53918.640268; 5095.356523
8.520000; 54224.361660; 5080.870313
8.580000; 54529.213878; 5068.283104
8.640000; 54833.310865; 5067.627755
8.700000; 55137.368530; 5049.314425
8.760000; 55440.327395; 5042.946709
8.820000; 55742.904198; 5033.678186
8.880000; 56044.924889; 5018.067970
8.940000; 56346.008967; 5004.851173
9.000000; 56646.300038; 4967.586522
9.060000; 56944.355229; 4982.862671
9.120000; 57243.326989; 5001.038044
9.180000; 57543.389272; 4987.716540
9.240000; 57842.652264; 4979.430197
9.300000; 58141.418076; 4972.756444
9.360000; 58439.783463; 4970.243251
9.420000; 58737.998058; 4962.111426
9.480000; 59035.724743; 4936.013831
9.540000; 59331.885573; 4928.917097
9.600000; 59627.620599; 4938.393453
9.660000; 59923.924206; 4952.147714
9.720000; 60221.053069; 4957.078372
9.780000; 60518.477771; 4965.101904
9.840000; 60816.383886; 4959.592030
9.900000; 61113.959407; 4955.793124
9.960000; 61411.306995; 4950.089213
10.020000; 61708.312348; 4941.316391
10.080000; 62004.791331; 4939.493763
10.140000; 62301.160957; 4949.840561
10.200000; 62598.151391; 4948.767076
10.260000; 62895.077415; 4953.708781
10.320000; 63192.299942; 4938.596265
10.380000; 63488.615718; 4944.203443
10.440000; 63785.267924; 4952.502689
10.500000; 64082.418086; 4927.456799
10.560000; 64378.065494; 4896.507103
10.620000; 64671.855920; 4875.534783
10.680000; 64964.388007; 4861.562274
10.740000; 65256.081743; 4839.919903
10.800000; 65546.476938; 4849.368653
10.860000; 65837.439057; 4852.787760
