# Tau / ps;  Linear Fit to MSD / pm^2
30.0300;  153712.3937
30.1805;  154366.7183
30.3311;  155021.0429
30.4816;  155675.3675
30.6321;  156329.6921
30.7826;  156984.0167
30.9332;  157638.3412
31.0837;  158292.6658
31.2342;  158946.9904
31.3847;  159601.3150
31.5353;  160255.6396
31.6858;  160909.9642
31.8363;  161564.2888
31.9868;  162218.6133
32.1374;  162872.9379
32.2879;  163527.2625
32.4384;  164181.5871
32.5889;  164835.9117
32.7395;  165490.2363
32.8900;  166144.5608
33.0405;  166798.8854
33.1911;  167453.2100
33.3416;  168107.5346
33.4921;  168761.8592
33.6426;  169416.1838
33.7932;  170070.5084
33.9437;  170724.8329
34.0942;  171379.1575
34.2447;  172033.4821
34.3953;  172687.8067
34.5458;  173342.1313
34.6963;  173996.4559
34.8468;  174650.7805
34.9974;  175305.1050
35.1479;  175959.4296
35.2984;  176613.7542
35.4489;  177268.0788
35.5995;  177922.4034
35.7500;  178576.7280
35.9005;  179231.0526
36.0511;  179885.3771
36.2016;  180539.7017
36.3521;  181194.0263
36.5026;  181848.3509
36.6532;  182502.6755
36.8037;  183157.0001
36.9542;  183811.3246
37.1047;  184465.6492
37.2553;  185119.9738
37.4058;  185774.2984
37.5563;  186428.6230
37.7068;  187082.9476
37.8574;  187737.2722
38.0079;  188391.5967
38.1584;  189045.9213
38.3089;  189700.2459
38.4595;  190354.5705
38.6100;  191008.8951
38.7605;  191663.2197
38.9111;  192317.5443
39.0616;  192971.8688
39.2121;  193626.1934
39.3626;  194280.5180
39.5132;  194934.8426
39.6637;  195589.1672
39.8142;  196243.4918
39.9647;  196897.8164
40.1153;  197552.1409
40.2658;  198206.4655
40.4163;  198860.7901
40.5668;  199515.1147
40.7174;  200169.4393
40.8679;  200823.7639
41.0184;  201478.0884
41.1689;  202132.4130
41.3195;  202786.7376
41.4700;  203441.0622
41.6205;  204095.3868
41.7711;  204749.7114
41.9216;  205404.0360
42.0721;  206058.3605
42.2226;  206712.6851
42.3732;  207367.0097
42.5237;  208021.3343
42.6742;  208675.6589
42.8247;  209329.9835
42.9753;  209984.3081
43.1258;  210638.6326
43.2763;  211292.9572
43.4268;  211947.2818
43.5774;  212601.6064
43.7279;  213255.9310
43.8784;  213910.2556
44.0289;  214564.5801
44.1795;  215218.9047
44.3300;  215873.2293
44.4805;  216527.5539
44.6311;  217181.8785
44.7816;  217836.2031
44.9321;  218490.5277
45.0826;  219144.8522
45.2332;  219799.1768
45.3837;  220453.5014
45.5342;  221107.8260
45.6847;  221762.1506
45.8353;  222416.4752
45.9858;  223070.7998
46.1363;  223725.1243
46.2868;  224379.4489
46.4374;  225033.7735
46.5879;  225688.0981
46.7384;  226342.4227
46.8889;  226996.7473
47.0395;  227651.0719
47.1900;  228305.3964
47.3405;  228959.7210
47.4911;  229614.0456
47.6416;  230268.3702
47.7921;  230922.6948
47.9426;  231577.0194
48.0932;  232231.3439
48.2437;  232885.6685
48.3942;  233539.9931
48.5447;  234194.3177
48.6953;  234848.6423
48.8458;  235502.9669
48.9963;  236157.2915
49.1468;  236811.6160
49.2974;  237465.9406
49.4479;  238120.2652
49.5984;  238774.5898
49.7489;  239428.9144
49.8995;  240083.2390
50.0500;  240737.5636
50.2005;  241391.8881
50.3511;  242046.2127
50.5016;  242700.5373
50.6521;  243354.8619
50.8026;  244009.1865
50.9532;  244663.5111
51.1037;  245317.8356
51.2542;  245972.1602
51.4047;  246626.4848
51.5553;  247280.8094
51.7058;  247935.1340
51.8563;  248589.4586
52.0068;  249243.7832
52.1574;  249898.1077
52.3079;  250552.4323
52.4584;  251206.7569
52.6089;  251861.0815
52.7595;  252515.4061
52.9100;  253169.7307
53.0605;  253824.0553
53.2111;  254478.3798
53.3616;  255132.7044
53.5121;  255787.0290
53.6626;  256441.3536
53.8132;  257095.6782
53.9637;  257750.0028
54.1142;  258404.3274
54.2647;  259058.6519
54.4153;  259712.9765
54.5658;  260367.3011
54.7163;  261021.6257
54.8668;  261675.9503
55.0174;  262330.2749
55.1679;  262984.5994
55.3184;  263638.9240
55.4689;  264293.2486
55.6195;  264947.5732
55.7700;  265601.8978
55.9205;  266256.2224
56.0711;  266910.5470
56.2216;  267564.8715
56.3721;  268219.1961
56.5226;  268873.5207
56.6732;  269527.8453
56.8237;  270182.1699
56.9742;  270836.4945
57.1247;  271490.8191
57.2753;  272145.1436
57.4258;  272799.4682
57.5763;  273453.7928
57.7268;  274108.1174
57.8774;  274762.4420
58.0279;  275416.7666
58.1784;  276071.0911
58.3289;  276725.4157
58.4795;  277379.7403
58.6300;  278034.0649
58.7805;  278688.3895
58.9311;  279342.7141
59.0816;  279997.0387
59.2321;  280651.3632
59.3826;  281305.6878
59.5332;  281960.0124
59.6837;  282614.3370
59.8342;  283268.6616
59.9847;  283922.9862
