# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 1.000228483; 1.004517839; 1.020366644
0.01000000000;  0.9995532783; 1.000222853; 1.004505768; 1.020229532
0.02000000000;  0.9994295709; 1.000217223; 1.004493697; 1.020093028
0.03000000000;  0.9993590560; 1.000211593; 1.004481626; 1.019957127
0.04000000000;  0.9992994319; 1.000205963; 1.004469556; 1.019821825
0.05000000000;  0.9992583934; 1.000200333; 1.004457485; 1.019687117
0.06000000000;  0.9992090162; 1.000194703; 1.004445415; 1.019553001
0.07000000000;  0.9991660456; 1.000189073; 1.004433345; 1.019419470
0.08000000000;  0.9991294825; 1.000183443; 1.004421275; 1.019286523
0.09000000000;  0.9990986867; 1.000177813; 1.004409205; 1.019154154
0.1000000000;  0.9990704528; 1.000172183; 1.004397135; 1.019022359
0.1100000000;  0.9990441399; 1.000166554; 1.004385066; 1.018891135
0.1200000000;  0.9990248788; 1.000160924; 1.004372996; 1.018760477
0.1300000000;  0.9989979197; 1.000155294; 1.004360927; 1.018630382
0.1400000000;  0.9989703164; 1.000149665; 1.004348858; 1.018500846
0.1500000000;  0.9989484831; 1.000144035; 1.004336789; 1.018371865
0.1600000000;  0.9989343449; 1.000138405; 1.004324720; 1.018243434
0.1700000000;  0.9989144320; 1.000132776; 1.004312651; 1.018115551
0.1800000000;  0.9988983661; 1.000127146; 1.004300582; 1.017988211
0.1900000000;  0.9988842233; 1.000121517; 1.004288514; 1.017861410
0.2000000000;  0.9988566061; 1.000115887; 1.004276446; 1.017735146
0.2100000000;  0.9988366853; 1.000110258; 1.004264378; 1.017609414
0.2200000000;  0.9988180458; 1.000104628; 1.004252310; 1.017484210
0.2300000000;  0.9988032544; 1.000098999; 1.004240242; 1.017359531
0.2400000000;  0.9987923117; 1.000093370; 1.004228174; 1.017235373
0.2500000000;  0.9987762341; 1.000087740; 1.004216106; 1.017111733
0.2600000000;  0.9987569461; 1.000082111; 1.004204039; 1.016988606
0.2700000000;  0.9987350890; 1.000076482; 1.004191972; 1.016865991
0.2800000000;  0.9987177224; 1.000070853; 1.004179905; 1.016743882
0.2900000000;  0.9986977867; 1.000065223; 1.004167838; 1.016622276
0.3000000000;  0.9986817004; 1.000059594; 1.004155771; 1.016501170
0.3100000000;  0.9986656124; 1.000053965; 1.004143704; 1.016380561
0.3200000000;  0.9986482389; 1.000048336; 1.004131638; 1.016260444
0.3300000000;  0.9986289377; 1.000042707; 1.004119571; 1.016140818
0.3400000000;  0.9986160547; 1.000037078; 1.004107505; 1.016021677
0.3500000000;  0.9986050966; 1.000031449; 1.004095439; 1.015903019
0.3600000000;  0.9985928533; 1.000025820; 1.004083373; 1.015784841
0.3700000000;  0.9985818929; 1.000020191; 1.004071307; 1.015667138
0.3800000000;  0.9985651522; 1.000014562; 1.004059241; 1.015549909
0.3900000000;  0.9985458410; 1.000008933; 1.004047176; 1.015433149
0.4000000000;  0.9985297390; 1.000003304; 1.004035110; 1.015316856
0.4100000000;  0.9985162043; 0.9999976757; 1.004023045; 1.015201025
0.4200000000;  0.9984988146; 0.9999920469; 1.004010980; 1.015085655
0.4300000000;  0.9984846347; 0.9999864181; 1.003998915; 1.014970741
0.4400000000;  0.9984710957; 0.9999807894; 1.003986850; 1.014856281
0.4500000000;  0.9984537012; 0.9999751607; 1.003974786; 1.014742271
