# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9991694131; 0.9999999836; 1.019297388
0.01000000000;  0.9954917756; 0.9991627259; 0.9962799151; 1.019163392
0.02000000000;  0.9956277656; 0.9991560388; 0.9949209207; 1.019029981
0.03000000000;  0.9948482456; 0.9991493517; 0.9944222611; 1.018897153
0.04000000000;  0.9946288952; 0.9991426647; 0.9942370928; 1.018764902
0.05000000000;  0.9944218366; 0.9991359777; 0.9941661553; 1.018633225
0.06000000000;  0.9942349880; 0.9991292908; 0.9941368416; 1.018502118
0.07000000000;  0.9942319659; 0.9991226039; 0.9941226950; 1.018371577
0.08000000000;  0.9941845193; 0.9991159171; 0.9941140749; 1.018241598
0.09000000000;  0.9940007098; 0.9991092303; 0.9941074687; 1.018112177
0.1000000000;  0.9937403417; 0.9991025435; 0.9941015963; 1.017983311
0.1100000000;  0.9936220381; 0.9990958568; 0.9940959912; 1.017854995
0.1200000000;  0.9935323182; 0.9990891701; 0.9940904837; 1.017727225
0.1300000000;  0.9935169412; 0.9990824835; 0.9940850117; 1.017599998
0.1400000000;  0.9934883636; 0.9990757969; 0.9940795526; 1.017473310
0.1500000000;  0.9934765029; 0.9990691104; 0.9940740983; 1.017347158
0.1600000000;  0.9934470403; 0.9990624239; 0.9940686458; 1.017221537
0.1700000000;  0.9933339669; 0.9990557375; 0.9940631939; 1.017096444
0.1800000000;  0.9931874375; 0.9990490511; 0.9940577422; 1.016971876
0.1900000000;  0.9931588362; 0.9990423647; 0.9940522907; 1.016847828
0.2000000000;  0.9930708175; 0.9990356784; 0.9940468392; 1.016724297
0.2100000000;  0.9930386865; 0.9990289921; 0.9940413878; 1.016601279
0.2200000000;  0.9930193166; 0.9990223059; 0.9940359364; 1.016478772
0.2300000000;  0.9929766155; 0.9990156197; 0.9940304851; 1.016356770
0.2400000000;  0.9929017760; 0.9990089336; 0.9940250337; 1.016235272
0.2500000000;  0.9928339725; 0.9990022475; 0.9940195824; 1.016114273
0.2600000000;  0.9927701243; 0.9989955615; 0.9940141312; 1.015993770
0.2700000000;  0.9927450127; 0.9989888755; 0.9940086799; 1.015873759
0.2800000000;  0.9927282639; 0.9989821895; 0.9940032287; 1.015754237
0.2900000000;  0.9927137151; 0.9989755036; 0.9939977775; 1.015635201
0.3000000000;  0.9927000454; 0.9989688178; 0.9939923264; 1.015516647
0.3100000000;  0.9926295693; 0.9989621320; 0.9939868753; 1.015398572
0.3200000000;  0.9926211785; 0.9989554462; 0.9939814242; 1.015280973
0.3300000000;  0.9925370391; 0.9989487605; 0.9939759731; 1.015163846
0.3400000000;  0.9925273216; 0.9989420748; 0.9939705221; 1.015047188
0.3500000000;  0.9924700358; 0.9989353891; 0.9939650711; 1.014930997
