# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 1.000367456; 1.028288225; 1.021727316
0.01000000000;  0.9977089808; 1.000364848; 1.028236999; 1.021593672
0.02000000000;  0.9971146728; 1.000362240; 1.028185775; 1.021460612
0.03000000000;  0.9970226834; 1.000359633; 1.028134554; 1.021328130
0.04000000000;  0.9970349610; 1.000357025; 1.028083336; 1.021196222
0.05000000000;  0.9970285869; 1.000354417; 1.028032120; 1.021064886
0.06000000000;  0.9970267691; 1.000351809; 1.027980906; 1.020934116
0.07000000000;  0.9970219464; 1.000349201; 1.027929695; 1.020803909
0.08000000000;  0.9969677418; 1.000346593; 1.027878487; 1.020674261
0.09000000000;  0.9969181896; 1.000343985; 1.027827281; 1.020545167
0.1000000000;  0.9969061982; 1.000341377; 1.027776078; 1.020416626
0.1100000000;  0.9969118374; 1.000338770; 1.027724877; 1.020288631
0.1200000000;  0.9968638529; 1.000336162; 1.027673679; 1.020161180
0.1300000000;  0.9968362523; 1.000333554; 1.027622484; 1.020034269
0.1400000000;  0.9968274106; 1.000330946; 1.027571291; 1.019907894
0.1500000000;  0.9968070449; 1.000328338; 1.027520100; 1.019782051
0.1600000000;  0.9967765565; 1.000325730; 1.027468912; 1.019656737
0.1700000000;  0.9967762283; 1.000323123; 1.027417727; 1.019531948
0.1800000000;  0.9967808357; 1.000320515; 1.027366544; 1.019407680
0.1900000000;  0.9967924590; 1.000317907; 1.027315364; 1.019283930
0.2000000000;  0.9967602098; 1.000315299; 1.027264186; 1.019160694
0.2100000000;  0.9967205904; 1.000312692; 1.027213011; 1.019037969
0.2200000000;  0.9967070032; 1.000310084; 1.027161838; 1.018915751
0.2300000000;  0.9966951438; 1.000307476; 1.027110668; 1.018794036
0.2400000000;  0.9967106502; 1.000304868; 1.027059501; 1.018672822
0.2500000000;  0.9967186895; 1.000302260; 1.027008336; 1.018552104
0.2600000000;  0.9967009388; 1.000299653; 1.026957173; 1.018431879
0.2700000000;  0.9966726090; 1.000297045; 1.026906013; 1.018312144
0.2800000000;  0.9966591657; 1.000294437; 1.026854856; 1.018192895
0.2900000000;  0.9966544446; 1.000291830; 1.026803701; 1.018074129
0.3000000000;  0.9966520544; 1.000289222; 1.026752549; 1.017955843
0.3100000000;  0.9966457531; 1.000286614; 1.026701399; 1.017838033
0.3200000000;  0.9966361417; 1.000284006; 1.026650252; 1.017720696
0.3300000000;  0.9966357059; 1.000281399; 1.026599108; 1.017603829
0.3400000000;  0.9966224824; 1.000278791; 1.026547965; 1.017487428
0.3500000000;  0.9966126929; 1.000276183; 1.026496826; 1.017371490
0.3600000000;  0.9966099990; 1.000273576; 1.026445689; 1.017256013
0.3700000000;  0.9966015871; 1.000270968; 1.026394555; 1.017140992
0.3800000000;  0.9965960083; 1.000268360; 1.026343423; 1.017026425
0.3900000000;  0.9965933884; 1.000265753; 1.026292293; 1.016912308
0.4000000000;  0.9965874575; 1.000263145; 1.026241167; 1.016798639
0.4100000000;  0.9965804475; 1.000260537; 1.026190043; 1.016685415
0.4200000000;  0.9965765973; 1.000257930; 1.026138921; 1.016572631
0.4300000000;  0.9965696863; 1.000255322; 1.026087802; 1.016460286
0.4400000000;  0.9965661864; 1.000252715; 1.026036685; 1.016348376
0.4500000000;  0.9965633886; 1.000250107; 1.025985571; 1.016236898
0.4600000000;  0.9965591354; 1.000247499; 1.025934460; 1.016125849
0.4700000000;  0.9965538782; 1.000244892; 1.025883351; 1.016015226
0.4800000000;  0.9965456847; 1.000242284; 1.025832244; 1.015905026
0.4900000000;  0.9965387450; 1.000239677; 1.025781140; 1.015795247
0.5000000000;  0.9965397845; 1.000237069; 1.025730039; 1.015685885
0.5100000000;  0.9965305100; 1.000234461; 1.025678940; 1.015576938
0.5200000000;  0.9965244971; 1.000231854; 1.025627844; 1.015468402
0.5300000000;  0.9965227502; 1.000229246; 1.025576751; 1.015360275
0.5400000000;  0.9965215302; 1.000226639; 1.025525659; 1.015252554
0.5500000000;  0.9965145872; 1.000224031; 1.025474571; 1.015145236
0.5600000000;  0.9965035018; 1.000221424; 1.025423485; 1.015038318
0.5700000000;  0.9965030086; 1.000218816; 1.025372401; 1.014931798
0.5800000000;  0.9964961641; 1.000216209; 1.025321320; 1.014825673
0.5900000000;  0.9964934612; 1.000213601; 1.025270242; 1.014719940
0.6000000000;  0.9964936705; 1.000210994; 1.025219166; 1.014614596
0.6100000000;  0.9964871760; 1.000208386; 1.025168093; 1.014509639
0.6200000000;  0.9964819614; 1.000205779; 1.025117022; 1.014405066
0.6300000000;  0.9964798097; 1.000203171; 1.025065954; 1.014300874
0.6400000000;  0.9964765027; 1.000200564; 1.025014888; 1.014197061
0.6500000000;  0.9964753801; 1.000197956; 1.024963825; 1.014093625
0.6600000000;  0.9964708922; 1.000195349; 1.024912765; 1.013990561
0.6700000000;  0.9964683628; 1.000192741; 1.024861707; 1.013887869
0.6800000000;  0.9964578963; 1.000190134; 1.024810651; 1.013785544
0.6900000000;  0.9964571243; 1.000187526; 1.024759598; 1.013683586
0.7000000000;  0.9964533630; 1.000184919; 1.024708548; 1.013581991
0.7100000000;  0.9964515607; 1.000182311; 1.024657500; 1.013480756
0.7200000000;  0.9964484268; 1.000179704; 1.024606454; 1.013379880
0.7300000000;  0.9964440615; 1.000177097; 1.024555412; 1.013279360
0.7400000000;  0.9964383643; 1.000174489; 1.024504371; 1.013179193
0.7500000000;  0.9964381438; 1.000171882; 1.024453334; 1.013079377
0.7600000000;  0.9964384761; 1.000169274; 1.024402299; 1.012979909
0.7700000000;  0.9964316971; 1.000166667; 1.024351266; 1.012880787
0.7800000000;  0.9964264253; 1.000164060; 1.024300236; 1.012782009
0.7900000000;  0.9964216304; 1.000161452; 1.024249208; 1.012683572
0.8000000000;  0.9964239976; 1.000158845; 1.024198183; 1.012585474
0.8100000000;  0.9964205342; 1.000156238; 1.024147161; 1.012487713
0.8200000000;  0.9964158891; 1.000153630; 1.024096141; 1.012390286
0.8300000000;  0.9964075988; 1.000151023; 1.024045124; 1.012293191
0.8400000000;  0.9964059439; 1.000148415; 1.023994109; 1.012196425
0.8500000000;  0.9964029313; 1.000145808; 1.023943097; 1.012099987
0.8600000000;  0.9964036391; 1.000143201; 1.023892087; 1.012003874
0.8700000000;  0.9963983132; 1.000140593; 1.023841080; 1.011908083
0.8800000000;  0.9963952244; 1.000137986; 1.023790075; 1.011812614
0.8900000000;  0.9963924621; 1.000135379; 1.023739073; 1.011717462
0.9000000000;  0.9963884423; 1.000132772; 1.023688073; 1.011622627
0.9100000000;  0.9963844725; 1.000130164; 1.023637076; 1.011528106
0.9200000000;  0.9963865626; 1.000127557; 1.023586082; 1.011433897
0.9300000000;  0.9963767327; 1.000124950; 1.023535090; 1.011339998
0.9400000000;  0.9963773640; 1.000122342; 1.023484101; 1.011246406
0.9500000000;  0.9963686895; 1.000119735; 1.023433114; 1.011153119
0.9600000000;  0.9963693708; 1.000117128; 1.023382129; 1.011060136
0.9700000000;  0.9963663043; 1.000114521; 1.023331148; 1.010967454
0.9800000000;  0.9963640424; 1.000111913; 1.023280168; 1.010875071
0.9900000000;  0.9963620570; 1.000109306; 1.023229192; 1.010782985
1.000000000;  0.9963602224; 1.000106699; 1.023178217; 1.010691194
1.010000000;  0.9963539345; 1.000104092; 1.023127246; 1.010599696
1.020000000;  0.9963526779; 1.000101484; 1.023076277; 1.010508490
1.030000000;  0.9963517232; 1.000098877; 1.023025310; 1.010417572
1.040000000;  0.9963471953; 1.000096270; 1.022974346; 1.010326941
1.050000000;  0.9963444284; 1.000093663; 1.022923385; 1.010236595
1.060000000;  0.9963340615; 1.000091056; 1.022872426; 1.010146532
1.070000000;  0.9963345652; 1.000088448; 1.022821469; 1.010056750
1.080000000;  0.9963340119; 1.000085841; 1.022770516; 1.009967247
1.090000000;  0.9963290793; 1.000083234; 1.022719564; 1.009878021
1.100000000;  0.9963250272; 1.000080627; 1.022668615; 1.009789071
1.110000000;  0.9963227869; 1.000078020; 1.022617669; 1.009700394
1.120000000;  0.9963223840; 1.000075413; 1.022566726; 1.009611989
1.130000000;  0.9963173995; 1.000072805; 1.022515784; 1.009523853
1.140000000;  0.9963162410; 1.000070198; 1.022464846; 1.009435985
1.150000000;  0.9963135970; 1.000067591; 1.022413910; 1.009348383
1.160000000;  0.9963056152; 1.000064984; 1.022362976; 1.009261044
1.170000000;  0.9963018374; 1.000062377; 1.022312045; 1.009173969
1.180000000;  0.9963032966; 1.000059770; 1.022261117; 1.009087153
1.190000000;  0.9962990650; 1.000057163; 1.022210191; 1.009000596
1.200000000;  0.9962971246; 1.000054556; 1.022159267; 1.008914296
1.210000000;  0.9962960151; 1.000051948; 1.022108346; 1.008828252
1.220000000;  0.9962931173; 1.000049341; 1.022057428; 1.008742460
1.230000000;  0.9962933172; 1.000046734; 1.022006512; 1.008656920
1.240000000;  0.9962882277; 1.000044127; 1.021955599; 1.008571630
1.250000000;  0.9962839185; 1.000041520; 1.021904688; 1.008486588
1.260000000;  0.9962802890; 1.000038913; 1.021853780; 1.008401793
1.270000000;  0.9962803119; 1.000036306; 1.021802874; 1.008317242
1.280000000;  0.9962745909; 1.000033699; 1.021751971; 1.008232934
1.290000000;  0.9962720690; 1.000031092; 1.021701071; 1.008148868
1.300000000;  0.9962738047; 1.000028485; 1.021650173; 1.008065041
1.310000000;  0.9962709549; 1.000025878; 1.021599277; 1.007981452
1.320000000;  0.9962674749; 1.000023271; 1.021548384; 1.007898100
1.330000000;  0.9962659348; 1.000020664; 1.021497494; 1.007814982
1.340000000;  0.9962638150; 1.000018057; 1.021446606; 1.007732098
1.350000000;  0.9962611909; 1.000015450; 1.021395721; 1.007649445
1.360000000;  0.9962574576; 1.000012843; 1.021344838; 1.007567022
1.370000000;  0.9962595461; 1.000010236; 1.021293957; 1.007484828
1.380000000;  0.9962569214; 1.000007629; 1.021243080; 1.007402860
1.390000000;  0.9962503391; 1.000005022; 1.021192204; 1.007321117
1.400000000;  0.9962516209; 1.000002415; 1.021141332; 1.007239598
1.410000000;  0.9962497264; 0.9999998079; 1.021090462; 1.007158302
1.420000000;  0.9962505041; 0.9999972010; 1.021039594; 1.007077226
1.430000000;  0.9962415754; 0.9999945940; 1.020988729; 1.006996369
1.440000000;  0.9962403106; 0.9999919871; 1.020937866; 1.006915729
1.450000000;  0.9962388690; 0.9999893802; 1.020887006; 1.006835306
1.460000000;  0.9962368474; 0.9999867733; 1.020836149; 1.006755097
1.470000000;  0.9962337413; 0.9999841663; 1.020785294; 1.006675101
1.480000000;  0.9962342410; 0.9999815594; 1.020734442; 1.006595317
1.490000000;  0.9962295961; 0.9999789525; 1.020683592; 1.006515744
1.500000000;  0.9962272961; 0.9999763456; 1.020632744; 1.006436379
1.510000000;  0.9962278208; 0.9999737387; 1.020581899; 1.006357221
1.520000000;  0.9962256972; 0.9999711318; 1.020531057; 1.006278269
1.530000000;  0.9962199914; 0.9999685250; 1.020480217; 1.006199522
1.540000000;  0.9962204401; 0.9999659181; 1.020429380; 1.006120977
1.550000000;  0.9962198798; 0.9999633112; 1.020378545; 1.006042635
1.560000000;  0.9962168724; 0.9999607044; 1.020327713; 1.005964492
1.570000000;  0.9962153026; 0.9999580975; 1.020276884; 1.005886549
1.580000000;  0.9962112854; 0.9999554907; 1.020226057; 1.005808803
1.590000000;  0.9962097405; 0.9999528838; 1.020175232; 1.005731253
1.600000000;  0.9962053945; 0.9999502770; 1.020124410; 1.005653898
1.610000000;  0.9962038996; 0.9999476702; 1.020073591; 1.005576736
1.620000000;  0.9962006381; 0.9999450634; 1.020022774; 1.005499767
1.630000000;  0.9961968714; 0.9999424566; 1.019971959; 1.005422989
1.640000000;  0.9961943159; 0.9999398498; 1.019921147; 1.005346400
1.650000000;  0.9961934258; 0.9999372430; 1.019870338; 1.005269999
1.660000000;  0.9961903903; 0.9999346362; 1.019819531; 1.005193785
1.670000000;  0.9961862690; 0.9999320294; 1.019768727; 1.005117757
1.680000000;  0.9961868173; 0.9999294226; 1.019717925; 1.005041913
1.690000000;  0.9961835032; 0.9999268159; 1.019667126; 1.004966252
1.700000000;  0.9961833446; 0.9999242091; 1.019616329; 1.004890773
1.710000000;  0.9961789444; 0.9999216023; 1.019565535; 1.004815475
1.720000000;  0.9961764626; 0.9999189956; 1.019514743; 1.004740356
1.730000000;  0.9961765813; 0.9999163889; 1.019463954; 1.004665415
1.740000000;  0.9961700338; 0.9999137821; 1.019413167; 1.004590651
1.750000000;  0.9961663139; 0.9999111754; 1.019362383; 1.004516063
1.760000000;  0.9961687301; 0.9999085687; 1.019311602; 1.004441649
1.770000000;  0.9961657422; 0.9999059620; 1.019260823; 1.004367409
1.780000000;  0.9961628549; 0.9999033552; 1.019210046; 1.004293340
1.790000000;  0.9961579972; 0.9999007485; 1.019159272; 1.004219443
1.800000000;  0.9961587465; 0.9998981419; 1.019108501; 1.004145715
1.810000000;  0.9961546460; 0.9998955352; 1.019057732; 1.004072156
1.820000000;  0.9961552184; 0.9998929285; 1.019006966; 1.003998764
1.830000000;  0.9961525067; 0.9998903218; 1.018956202; 1.003925538
1.840000000;  0.9961494663; 0.9998877151; 1.018905441; 1.003852478
1.850000000;  0.9961436211; 0.9998851085; 1.018854682; 1.003779581
1.860000000;  0.9961441425; 0.9998825018; 1.018803926; 1.003706848
1.870000000;  0.9961427184; 0.9998798952; 1.018753172; 1.003634276
1.880000000;  0.9961391715; 0.9998772885; 1.018702421; 1.003561865
1.890000000;  0.9961316569; 0.9998746819; 1.018651672; 1.003489613
1.900000000;  0.9961376364; 0.9998720753; 1.018600926; 1.003417520
1.910000000;  0.9961348721; 0.9998694687; 1.018550182; 1.003345584
1.920000000;  0.9961319813; 0.9998668621; 1.018499441; 1.003273804
1.930000000;  0.9961301264; 0.9998642555; 1.018448703; 1.003202180
1.940000000;  0.9961291813; 0.9998616489; 1.018397967; 1.003130710
1.950000000;  0.9961265677; 0.9998590423; 1.018347233; 1.003059392
1.960000000;  0.9961264060; 0.9998564357; 1.018296502; 1.002988227
1.970000000;  0.9961257639; 0.9998538291; 1.018245774; 1.002917213
1.980000000;  0.9961204194; 0.9998512225; 1.018195048; 1.002846349
1.990000000;  0.9961245554; 0.9998486160; 1.018144325; 1.002775634
2.000000000;  0.9961181989; 0.9998460094; 1.018093604; 1.002705066
2.010000000;  0.9961129796; 0.9998434029; 1.018042885; 1.002634646
2.020000000;  0.9961153458; 0.9998407963; 1.017992170; 1.002564371
2.030000000;  0.9961108339; 0.9998381898; 1.017941456; 1.002494242
2.040000000;  0.9961092045; 0.9998355832; 1.017890746; 1.002424256
2.050000000;  0.9961089660; 0.9998329767; 1.017840037; 1.002354413
2.060000000;  0.9961062235; 0.9998303702; 1.017789332; 1.002284712
