# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 10746.658133
1.000000; 10746.658133; 5200.984653
2.000000; 15947.642786; 4284.959825
3.000000; 20232.602611; 4056.026822
4.000000; 24288.629432; 3924.993589
5.000000; 28213.623022; 3726.277554
6.000000; 31939.900576; 3539.391958
7.000000; 35479.292533; 3531.313216
8.000000; 39010.605750; 3554.015734
9.000000; 42564.621484; 3355.827862
10.000000; 45920.449346; 3350.938185
11.000000; 49271.387531; 3325.121475
12.000000; 52596.509006; 3247.280483
13.000000; 55843.789489; 3123.376655
14.000000; 58967.166144; 3024.631677
15.000000; 61991.797821; 3106.008826
16.000000; 65097.806646; 3075.349917
17.000000; 68173.156564; 3035.729858
18.000000; 71208.886421; 2939.007865
19.000000; 74147.894286; 3196.459657
20.000000; 77344.353943; 3039.702195
21.000000; 80384.056138; 3056.675020
22.000000; 83440.731158; 2994.374441
23.000000; 86435.105599; 3165.884964
24.000000; 89600.990563; 2939.919804
25.000000; 92540.910366; 3120.567100
26.000000; 95661.477466; 3067.133908
27.000000; 98728.611375; 3032.271501
28.000000; 101760.882876; 2942.731237
29.000000; 104703.614114; 2985.882104
30.000000; 107689.496218; 3115.501645
31.000000; 110804.997863; 3002.785433
32.000000; 113807.783296; 3127.611628
33.000000; 116935.394924; 3101.397840
34.000000; 120036.792764; 3039.700256
35.000000; 123076.493020; 3180.539572
36.000000; 126257.032592; 3249.252298
37.000000; 129506.284890; 3060.107835
38.000000; 132566.392725; 2890.020534
39.000000; 135456.413259; 3044.678963
40.000000; 138501.092222; 2952.942322
41.000000; 141454.034544; 3028.420916
42.000000; 144482.455461; 2842.757639
43.000000; 147325.213099; 2818.521331
44.000000; 150143.734431; 3006.467609
45.000000; 153150.202040; 2990.582547
46.000000; 156140.784587; 3013.345360
47.000000; 159154.129947; 2668.324594
48.000000; 161822.454541; 2755.526705
49.000000; 164577.981246; 2742.714975
50.000000; 167320.696221; 3058.596624
51.000000; 170379.292845; 2818.094438
52.000000; 173197.387283; 2880.933158
53.000000; 176078.320441; 2886.449751
54.000000; 178964.770192; 2810.614686
55.000000; 181775.384878; 2909.150213
56.000000; 184684.535091; 2753.697534
57.000000; 187438.232625; 2857.311304
58.000000; 190295.543929; 2752.974973
59.000000; 193048.518902; 0.000000
