# Tau / ps;  Linear Fit to MSD / pm^2
30.0000;  108610.3907
30.1504;  109052.1019
30.3008;  109493.8131
30.4511;  109935.5243
30.6015;  110377.2356
30.7519;  110818.9468
30.9023;  111260.6580
31.0526;  111702.3692
31.2030;  112144.0804
31.3534;  112585.7916
31.5038;  113027.5029
31.6541;  113469.2141
31.8045;  113910.9253
31.9549;  114352.6365
32.1053;  114794.3477
32.2556;  115236.0589
32.4060;  115677.7702
32.5564;  116119.4814
32.7068;  116561.1926
32.8571;  117002.9038
33.0075;  117444.6150
33.1579;  117886.3263
33.3083;  118328.0375
33.4586;  118769.7487
33.6090;  119211.4599
33.7594;  119653.1711
33.9098;  120094.8823
34.0602;  120536.5936
34.2105;  120978.3048
34.3609;  121420.0160
34.5113;  121861.7272
34.6617;  122303.4384
34.8120;  122745.1497
34.9624;  123186.8609
35.1128;  123628.5721
35.2632;  124070.2833
35.4135;  124511.9945
35.5639;  124953.7057
35.7143;  125395.4170
35.8647;  125837.1282
36.0150;  126278.8394
36.1654;  126720.5506
36.3158;  127162.2618
36.4662;  127603.9731
36.6165;  128045.6843
36.7669;  128487.3955
36.9173;  128929.1067
37.0677;  129370.8179
37.2180;  129812.5291
37.3684;  130254.2404
37.5188;  130695.9516
37.6692;  131137.6628
37.8195;  131579.3740
37.9699;  132021.0852
38.1203;  132462.7964
38.2707;  132904.5077
38.4211;  133346.2189
38.5714;  133787.9301
38.7218;  134229.6413
38.8722;  134671.3525
39.0226;  135113.0638
39.1729;  135554.7750
39.3233;  135996.4862
39.4737;  136438.1974
39.6241;  136879.9086
39.7744;  137321.6198
39.9248;  137763.3311
40.0752;  138205.0423
40.2256;  138646.7535
40.3759;  139088.4647
40.5263;  139530.1759
40.6767;  139971.8872
40.8271;  140413.5984
40.9774;  140855.3096
41.1278;  141297.0208
41.2782;  141738.7320
41.4286;  142180.4432
41.5789;  142622.1545
41.7293;  143063.8657
41.8797;  143505.5769
42.0301;  143947.2881
42.1805;  144388.9993
42.3308;  144830.7106
42.4812;  145272.4218
42.6316;  145714.1330
42.7820;  146155.8442
42.9323;  146597.5554
43.0827;  147039.2666
43.2331;  147480.9779
43.3835;  147922.6891
43.5338;  148364.4003
43.6842;  148806.1115
43.8346;  149247.8227
43.9850;  149689.5339
44.1353;  150131.2452
44.2857;  150572.9564
44.4361;  151014.6676
44.5865;  151456.3788
44.7368;  151898.0900
44.8872;  152339.8013
45.0376;  152781.5125
45.1880;  153223.2237
45.3383;  153664.9349
45.4887;  154106.6461
45.6391;  154548.3573
45.7895;  154990.0686
45.9398;  155431.7798
46.0902;  155873.4910
46.2406;  156315.2022
46.3910;  156756.9134
46.5414;  157198.6247
46.6917;  157640.3359
46.8421;  158082.0471
46.9925;  158523.7583
47.1429;  158965.4695
47.2932;  159407.1807
47.4436;  159848.8920
47.5940;  160290.6032
47.7444;  160732.3144
47.8947;  161174.0256
48.0451;  161615.7368
48.1955;  162057.4480
48.3459;  162499.1593
48.4962;  162940.8705
48.6466;  163382.5817
48.7970;  163824.2929
48.9474;  164266.0041
49.0977;  164707.7154
49.2481;  165149.4266
49.3985;  165591.1378
49.5489;  166032.8490
49.6992;  166474.5602
49.8496;  166916.2714
50.0000;  167357.9827
50.1504;  167799.6939
50.3008;  168241.4051
50.4511;  168683.1163
50.6015;  169124.8275
50.7519;  169566.5388
50.9023;  170008.2500
51.0526;  170449.9612
51.2030;  170891.6724
51.3534;  171333.3836
51.5038;  171775.0948
51.6541;  172216.8061
51.8045;  172658.5173
51.9549;  173100.2285
52.1053;  173541.9397
52.2556;  173983.6509
52.4060;  174425.3622
52.5564;  174867.0734
52.7068;  175308.7846
52.8571;  175750.4958
53.0075;  176192.2070
53.1579;  176633.9182
53.3083;  177075.6295
53.4586;  177517.3407
53.6090;  177959.0519
53.7594;  178400.7631
53.9098;  178842.4743
54.0602;  179284.1855
54.2105;  179725.8968
54.3609;  180167.6080
54.5113;  180609.3192
54.6617;  181051.0304
54.8120;  181492.7416
54.9624;  181934.4529
55.1128;  182376.1641
55.2632;  182817.8753
55.4135;  183259.5865
55.5639;  183701.2977
55.7143;  184143.0089
55.8647;  184584.7202
56.0150;  185026.4314
56.1654;  185468.1426
56.3158;  185909.8538
56.4662;  186351.5650
56.6165;  186793.2763
56.7669;  187234.9875
56.9173;  187676.6987
57.0677;  188118.4099
57.2180;  188560.1211
57.3684;  189001.8323
57.5188;  189443.5436
57.6692;  189885.2548
57.8195;  190326.9660
57.9699;  190768.6772
58.1203;  191210.3884
58.2707;  191652.0997
58.4211;  192093.8109
58.5714;  192535.5221
58.7218;  192977.2333
58.8722;  193418.9445
59.0226;  193860.6557
59.1729;  194302.3670
59.3233;  194744.0782
59.4737;  195185.7894
59.6241;  195627.5006
59.7744;  196069.2118
59.9248;  196510.9230
