# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 10153.209961
1.000000; 10153.209961; 4947.997590
2.000000; 15101.207552; 4083.284552
3.000000; 19184.492104; 3733.514057
4.000000; 22918.006160; 3536.960682
5.000000; 26454.966842; 3456.209934
6.000000; 29911.176776; 3276.894215
7.000000; 33188.070991; 3056.819500
8.000000; 36244.890491; 3076.470659
9.000000; 39321.361150; 2988.763767
10.000000; 42310.124917; 2928.182715
11.000000; 45238.307632; 2907.581884
12.000000; 48145.889517; 2924.892826
13.000000; 51070.782343; 2907.189454
14.000000; 53977.971797; 2939.687418
15.000000; 56917.659215; 2904.339277
16.000000; 59821.998492; 2665.206966
17.000000; 62487.205457; 2786.934671
18.000000; 65274.140128; 2798.713151
19.000000; 68072.853279; 2904.197301
20.000000; 70977.050580; 2852.852678
21.000000; 73829.903258; 2652.197961
22.000000; 76482.101219; 2814.247214
23.000000; 79296.348433; 2809.920632
24.000000; 82106.269065; 2787.421668
25.000000; 84893.690733; 2883.916010
26.000000; 87777.606743; 2781.328398
27.000000; 90558.935141; 3004.803331
28.000000; 93563.738472; 2871.903846
29.000000; 96435.642318; 2912.687272
30.000000; 99348.329591; 2954.891906
31.000000; 102303.221497; 2833.513413
32.000000; 105136.734910; 2806.421253
33.000000; 107943.156163; 2777.451317
34.000000; 110720.607480; 2821.595147
35.000000; 113542.202626; 2656.766096
36.000000; 116198.968722; 2825.535830
37.000000; 119024.504552; 2826.233819
38.000000; 121850.738371; 2704.134201
39.000000; 124554.872572; 2738.546930
40.000000; 127293.419502; 2869.962931
41.000000; 130163.382433; 2728.444228
42.000000; 132891.826661; 2658.679900
43.000000; 135550.506561; 2708.326450
44.000000; 138258.833011; 2789.460742
45.000000; 141048.293753; 2733.583312
46.000000; 143781.877065; 2878.749258
47.000000; 146660.626323; 2682.601630
48.000000; 149343.227952; 2792.018703
49.000000; 152135.246655; 2721.909420
50.000000; 154857.156075; 2726.056224
51.000000; 157583.212299; 2743.163409
52.000000; 160326.375708; 2722.498012
53.000000; 163048.873721; 2719.157555
54.000000; 165768.031276; 2768.601523
55.000000; 168536.632799; 2642.972723
56.000000; 171179.605522; 2844.861449
57.000000; 174024.466971; 2977.107184
58.000000; 177001.574155; 3099.326270
59.000000; 180100.900425; 0.000000
