# Tau / ps;  Linear Fit to MSD / pm^2
30.0000;  99641.2071
30.1504;  100056.3626
30.3008;  100471.5182
30.4511;  100886.6737
30.6015;  101301.8293
30.7519;  101716.9848
30.9023;  102132.1403
31.0526;  102547.2959
31.2030;  102962.4514
31.3534;  103377.6070
31.5038;  103792.7625
31.6541;  104207.9181
31.8045;  104623.0736
31.9549;  105038.2291
32.1053;  105453.3847
32.2556;  105868.5402
32.4060;  106283.6958
32.5564;  106698.8513
32.7068;  107114.0068
32.8571;  107529.1624
33.0075;  107944.3179
33.1579;  108359.4735
33.3083;  108774.6290
33.4586;  109189.7846
33.6090;  109604.9401
33.7594;  110020.0956
33.9098;  110435.2512
34.0602;  110850.4067
34.2105;  111265.5623
34.3609;  111680.7178
34.5113;  112095.8733
34.6617;  112511.0289
34.8120;  112926.1844
34.9624;  113341.3400
35.1128;  113756.4955
35.2632;  114171.6510
35.4135;  114586.8066
35.5639;  115001.9621
35.7143;  115417.1177
35.8647;  115832.2732
36.0150;  116247.4288
36.1654;  116662.5843
36.3158;  117077.7398
36.4662;  117492.8954
36.6165;  117908.0509
36.7669;  118323.2065
36.9173;  118738.3620
37.0677;  119153.5175
37.2180;  119568.6731
37.3684;  119983.8286
37.5188;  120398.9842
37.6692;  120814.1397
37.8195;  121229.2953
37.9699;  121644.4508
38.1203;  122059.6063
38.2707;  122474.7619
38.4211;  122889.9174
38.5714;  123305.0730
38.7218;  123720.2285
38.8722;  124135.3840
39.0226;  124550.5396
39.1729;  124965.6951
39.3233;  125380.8507
39.4737;  125796.0062
39.6241;  126211.1617
39.7744;  126626.3173
39.9248;  127041.4728
40.0752;  127456.6284
40.2256;  127871.7839
40.3759;  128286.9395
40.5263;  128702.0950
40.6767;  129117.2505
40.8271;  129532.4061
40.9774;  129947.5616
41.1278;  130362.7172
41.2782;  130777.8727
41.4286;  131193.0282
41.5789;  131608.1838
41.7293;  132023.3393
41.8797;  132438.4949
42.0301;  132853.6504
42.1805;  133268.8060
42.3308;  133683.9615
42.4812;  134099.1170
42.6316;  134514.2726
42.7820;  134929.4281
42.9323;  135344.5837
43.0827;  135759.7392
43.2331;  136174.8947
43.3835;  136590.0503
43.5338;  137005.2058
43.6842;  137420.3614
43.8346;  137835.5169
43.9850;  138250.6724
44.1353;  138665.8280
44.2857;  139080.9835
44.4361;  139496.1391
44.5865;  139911.2946
44.7368;  140326.4502
44.8872;  140741.6057
45.0376;  141156.7612
45.1880;  141571.9168
45.3383;  141987.0723
45.4887;  142402.2279
45.6391;  142817.3834
45.7895;  143232.5389
45.9398;  143647.6945
46.0902;  144062.8500
46.2406;  144478.0056
46.3910;  144893.1611
46.5414;  145308.3167
46.6917;  145723.4722
46.8421;  146138.6277
46.9925;  146553.7833
47.1429;  146968.9388
47.2932;  147384.0944
47.4436;  147799.2499
47.5940;  148214.4054
47.7444;  148629.5610
47.8947;  149044.7165
48.0451;  149459.8721
48.1955;  149875.0276
48.3459;  150290.1831
48.4962;  150705.3387
48.6466;  151120.4942
48.7970;  151535.6498
48.9474;  151950.8053
49.0977;  152365.9609
49.2481;  152781.1164
49.3985;  153196.2719
49.5489;  153611.4275
49.6992;  154026.5830
49.8496;  154441.7386
50.0000;  154856.8941
50.1504;  155272.0496
50.3008;  155687.2052
50.4511;  156102.3607
50.6015;  156517.5163
50.7519;  156932.6718
50.9023;  157347.8274
51.0526;  157762.9829
51.2030;  158178.1384
51.3534;  158593.2940
51.5038;  159008.4495
51.6541;  159423.6051
51.8045;  159838.7606
51.9549;  160253.9161
52.1053;  160669.0717
52.2556;  161084.2272
52.4060;  161499.3828
52.5564;  161914.5383
52.7068;  162329.6938
52.8571;  162744.8494
53.0075;  163160.0049
53.1579;  163575.1605
53.3083;  163990.3160
53.4586;  164405.4716
53.6090;  164820.6271
53.7594;  165235.7826
53.9098;  165650.9382
54.0602;  166066.0937
54.2105;  166481.2493
54.3609;  166896.4048
54.5113;  167311.5603
54.6617;  167726.7159
54.8120;  168141.8714
54.9624;  168557.0270
55.1128;  168972.1825
55.2632;  169387.3381
55.4135;  169802.4936
55.5639;  170217.6491
55.7143;  170632.8047
55.8647;  171047.9602
56.0150;  171463.1158
56.1654;  171878.2713
56.3158;  172293.4268
56.4662;  172708.5824
56.6165;  173123.7379
56.7669;  173538.8935
56.9173;  173954.0490
57.0677;  174369.2045
57.2180;  174784.3601
57.3684;  175199.5156
57.5188;  175614.6712
57.6692;  176029.8267
57.8195;  176444.9823
57.9699;  176860.1378
58.1203;  177275.2933
58.2707;  177690.4489
58.4211;  178105.6044
58.5714;  178520.7600
58.7218;  178935.9155
58.8722;  179351.0710
59.0226;  179766.2266
59.1729;  180181.3821
59.3233;  180596.5377
59.4737;  181011.6932
59.6241;  181426.8488
59.7744;  181842.0043
59.9248;  182257.1598
