# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 10092.104873
1.000000; 10092.104873; 4593.438183
2.000000; 14685.543056; 3653.738709
3.000000; 18339.281765; 3397.206140
4.000000; 21736.487904; 3248.632468
5.000000; 24985.120372; 3055.575049
6.000000; 28040.695421; 2994.718563
7.000000; 31035.413984; 2868.298747
8.000000; 33903.712731; 2809.821982
9.000000; 36713.534713; 2792.221263
10.000000; 39505.755976; 2740.489594
11.000000; 42246.245570; 2711.544423
12.000000; 44957.789993; 2648.194932
13.000000; 47605.984925; 2609.609722
14.000000; 50215.594647; 2546.586712
15.000000; 52762.181359; 2490.208209
16.000000; 55252.389568; 2517.278950
17.000000; 57769.668518; 2504.203240
18.000000; 60273.871758; 2502.366864
19.000000; 62776.238621; 2505.645599
20.000000; 65281.884221; 2447.563798
21.000000; 67729.448018; 2413.523602
22.000000; 70142.971620; 2458.462912
23.000000; 72601.434532; 2417.232110
24.000000; 75018.666642; 2380.439237
25.000000; 77399.105879; 2360.545212
26.000000; 79759.651091; 2419.363892
27.000000; 82179.014983; 2384.087472
28.000000; 84563.102455; 2376.003700
29.000000; 86939.106154; 2329.554090
30.000000; 89268.660244; 2367.339750
31.000000; 91635.999993; 2364.894354
32.000000; 94000.894348; 2320.141641
33.000000; 96321.035988; 2322.594631
34.000000; 98643.630619; 2324.757612
35.000000; 100968.388231; 2292.398040
36.000000; 103260.786271; 2283.760078
37.000000; 105544.546349; 2250.892548
38.000000; 107795.438897; 2213.404561
39.000000; 110008.843458; 2223.274452
40.000000; 112232.117910; 2195.181110
41.000000; 114427.299020; 2138.910832
42.000000; 116566.209853; 2195.147346
43.000000; 118761.357198; 2185.737809
44.000000; 120947.095007; 2185.565386
45.000000; 123132.660394; 2144.817458
46.000000; 125277.477852; 2260.836798
47.000000; 127538.314650; 2164.644790
48.000000; 129702.959440; 2139.681001
49.000000; 131842.640441; 2170.268452
50.000000; 134012.908894; 2176.043263
51.000000; 136188.952157; 2134.112270
52.000000; 138323.064427; 2129.237977
53.000000; 140452.302403; 2130.052839
54.000000; 142582.355242; 2143.516807
55.000000; 144725.872050; 2134.970545
56.000000; 146860.842595; 2171.112489
57.000000; 149031.955084; 2135.494442
58.000000; 151167.449527; 2200.312751
59.000000; 153367.762277; 2177.314109
60.000000; 155545.076386; 2076.534618
61.000000; 157621.611005; 2100.309813
62.000000; 159721.920818; 2132.888392
63.000000; 161854.809210; 2122.315415
64.000000; 163977.124624; 2143.066690
65.000000; 166120.191314; 2056.089230
66.000000; 168176.280544; 2068.577879
67.000000; 170244.858423; 2119.727500
68.000000; 172364.585923; 2130.439652
69.000000; 174495.025575; 2119.185178
70.000000; 176614.210753; 2105.086284
71.000000; 178719.297037; 2122.662583
72.000000; 180841.959620; 2166.646914
73.000000; 183008.606534; 2105.667901
74.000000; 185114.274435; 2119.484522
75.000000; 187233.758957; 2024.656893
76.000000; 189258.415851; 2096.639263
77.000000; 191355.055113; 2131.231510
78.000000; 193486.286624; 2093.999030
79.000000; 195580.285653; 2074.841326
80.000000; 197655.126979; 2031.652566
81.000000; 199686.779545; 2065.287594
82.000000; 201752.067139; 2075.584446
83.000000; 203827.651584; 2082.979401
84.000000; 205910.630985; 2031.796951
85.000000; 207942.427937; 2078.749523
86.000000; 210021.177459; 2023.175350
87.000000; 212044.352809; 2046.350490
88.000000; 214090.703299; 2069.008037
89.000000; 216159.711337; 2014.272414
90.000000; 218173.983750; 2072.592640
91.000000; 220246.576391; 2026.961208
92.000000; 222273.537599; 2026.344904
93.000000; 224299.882503; 2064.791807
94.000000; 226364.674310; 1926.353337
95.000000; 228291.027647; 1947.578494
96.000000; 230238.606140; 1933.031967
97.000000; 232171.638108; 1985.796178
98.000000; 234157.434285; 1920.066761
99.000000; 236077.501047; 1936.015463
100.000000; 238013.516510; 1946.849511
101.000000; 239960.366020; 1954.234048
102.000000; 241914.600068; 1890.593824
103.000000; 243805.193892; 1875.521960
104.000000; 245680.715853; 1841.106572
105.000000; 247521.822425; 1885.841827
106.000000; 249407.664252; 1859.700135
107.000000; 251267.364387; 1837.612616
108.000000; 253104.977002; 1901.521798
109.000000; 255006.498801; 1887.906089
110.000000; 256894.404889; 1878.829466
111.000000; 258773.234355; 1947.281693
112.000000; 260720.516048; 1879.170171
113.000000; 262599.686219; 1915.393071
114.000000; 264515.079289; 1869.780870
115.000000; 266384.860159; 1893.002570
116.000000; 268277.862729; 1863.565389
117.000000; 270141.428118; 1911.283673
118.000000; 272052.711791; 1899.755197
119.000000; 273952.466988; 1899.596086
120.000000; 275852.063074; 1915.450798
121.000000; 277767.513872; 1884.936444
122.000000; 279652.450315; 1886.030576
123.000000; 281538.480891; 1872.162110
124.000000; 283410.643001; 1863.695657
125.000000; 285274.338657; 1958.536327
126.000000; 287232.874984; 1943.652761
127.000000; 289176.527745; 1918.017574
128.000000; 291094.545319; 1928.488961
129.000000; 293023.034280; 1949.725947
130.000000; 294972.760227; 1837.124676
131.000000; 296809.884903; 1904.529487
132.000000; 298714.414389; 1851.173490
133.000000; 300565.587879; 1886.587024
134.000000; 302452.174903; 1867.261239
135.000000; 304319.436142; 1825.015589
136.000000; 306144.451731; 1848.616295
137.000000; 307993.068026; 1782.940292
138.000000; 309776.008319; 1820.577454
139.000000; 311596.585773; 1745.809131
140.000000; 313342.394904; 1831.435413
141.000000; 315173.830317; 1831.161523
142.000000; 317004.991840; 1828.450453
143.000000; 318833.442293; 1816.183172
144.000000; 320649.625465; 1838.746015
145.000000; 322488.371480; 1835.926810
146.000000; 324324.298290; 1762.576184
147.000000; 326086.874474; 1800.517726
148.000000; 327887.392200; 1857.274469
149.000000; 329744.666669; 1809.670189
150.000000; 331554.336858; 1855.427729
151.000000; 333409.764587; 1812.744000
152.000000; 335222.508587; 1854.538212
153.000000; 337077.046800; 1765.119412
154.000000; 338842.166212; 1823.244742
155.000000; 340665.410953; 1841.188068
156.000000; 342506.599021; 1793.502017
157.000000; 344300.101039; 1808.267016
158.000000; 346108.368055; 1894.873901
159.000000; 348003.241956; 1873.059208
160.000000; 349876.301164; 1945.557669
161.000000; 351821.858833; 1889.019286
162.000000; 353710.878118; 1877.658152
163.000000; 355588.536270; 1859.973112
164.000000; 357448.509382; 1880.378172
165.000000; 359328.887554; 1886.147947
166.000000; 361215.035502; 1848.412576
167.000000; 363063.448077; 1870.757439
168.000000; 364934.205517; 1862.907528
169.000000; 366797.113044; 1825.431636
170.000000; 368622.544680; 1831.157440
171.000000; 370453.702120; 1806.735798
172.000000; 372260.437918; 1815.734915
173.000000; 374076.172834; 1787.786881
174.000000; 375863.959715; 1790.865793
175.000000; 377654.825507; 1762.477935
176.000000; 379417.303442; 1788.065999
177.000000; 381205.369441; 1769.645898
178.000000; 382975.015339; 1765.690759
179.000000; 384740.706098; 1797.248392
180.000000; 386537.954490; 1775.125048
181.000000; 388313.079538; 1870.639627
182.000000; 390183.719165; 1871.607986
183.000000; 392055.327150; 1885.418082
184.000000; 393940.745232; 1869.848720
185.000000; 395810.593953; 1893.702915
186.000000; 397704.296867; 1888.869127
187.000000; 399593.165995; 1966.198238
188.000000; 401559.364233; 1912.298617
189.000000; 403471.662850; 1969.443000
190.000000; 405441.105850; 2006.255398
191.000000; 407447.361248; 1885.579731
192.000000; 409332.940979; 1930.850379
193.000000; 411263.791358; 1965.204025
194.000000; 413228.995384; 1919.330584
195.000000; 415148.325968; 1903.669946
196.000000; 417051.995914; 1887.430844
197.000000; 418939.426758; 1852.749687
198.000000; 420792.176446; 1948.065191
199.000000; 422740.241637; 1971.413160
200.000000; 424711.654797; 1925.492778
201.000000; 426637.147576; 2017.431574
202.000000; 428654.579150; 2019.257932
203.000000; 430673.837083; 2066.428840
204.000000; 432740.265923; 2007.560444
205.000000; 434747.826367; 1962.194492
206.000000; 436710.020858; 1941.436993
207.000000; 438651.457852; 1960.788994
208.000000; 440612.246846; 2070.481571
209.000000; 442682.728416; 2054.174511
210.000000; 444736.902928; 2000.222514
211.000000; 446737.125442; 1976.718338
212.000000; 448713.843780; 1981.764795
213.000000; 450695.608576; 1979.830844
214.000000; 452675.439420; 1970.743462
215.000000; 454646.182883; 2014.502572
216.000000; 456660.685454; 2015.775542
217.000000; 458676.460996; 1986.573772
218.000000; 460663.034769; 1986.700712
219.000000; 462649.735480; 1961.450916
220.000000; 464611.186396; 1980.332282
221.000000; 466591.518678; 1977.907792
222.000000; 468569.426470; 1965.953120
223.000000; 470535.379590; 1939.357472
224.000000; 472474.737062; 1936.163229
225.000000; 474410.900291; 1951.544778
226.000000; 476362.445069; 1963.318640
227.000000; 478325.763709; 1956.555459
228.000000; 480282.319168; 1919.213031
229.000000; 482201.532199; 1997.626779
230.000000; 484199.158978; 1962.776040
231.000000; 486161.935018; 2001.470829
232.000000; 488163.405847; 2009.107016
233.000000; 490172.512863; 1950.848829
234.000000; 492123.361692; 1960.717421
235.000000; 494084.079113; 1913.821784
236.000000; 495997.900897; 1949.974174
237.000000; 497947.875071; 1944.660564
238.000000; 499892.535635; 1880.498299
239.000000; 501773.033935; 1907.240355
240.000000; 503680.274290; 1922.967071
241.000000; 505603.241360; 1902.286239
242.000000; 507505.527599; 1886.974796
243.000000; 509392.502395; 1864.989288
244.000000; 511257.491683; 1898.970125
245.000000; 513156.461808; 1842.037920
246.000000; 514998.499728; 1842.092652
247.000000; 516840.592380; 1874.269884
248.000000; 518714.862264; 1866.388638
249.000000; 520581.250902; 1937.458996
250.000000; 522518.709898; 1926.739252
251.000000; 524445.449150; 2002.769527
252.000000; 526448.218677; 1940.423127
253.000000; 528388.641804; 1941.779804
254.000000; 530330.421608; 2022.950987
255.000000; 532353.372595; 1908.759713
256.000000; 534262.132309; 1960.364923
257.000000; 536222.497232; 1955.803051
258.000000; 538178.300283; 1983.193479
259.000000; 540161.493762; 1991.160912
260.000000; 542152.654674; 1951.885169
261.000000; 544104.539843; 1903.473787
262.000000; 546008.013630; 2006.805389
263.000000; 548014.819019; 1913.123037
264.000000; 549927.942056; 1954.766394
265.000000; 551882.708450; 1987.483416
266.000000; 553870.191866; 1995.506364
267.000000; 555865.698230; 1969.239207
268.000000; 557834.937437; 2010.829716
269.000000; 559845.767153; 2002.567450
270.000000; 561848.334603; 1969.485263
271.000000; 563817.819866; 1950.276792
272.000000; 565768.096659; 1992.070911
273.000000; 567760.167570; 1952.280958
274.000000; 569712.448527; 1960.134017
275.000000; 571672.582544; 1974.621767
276.000000; 573647.204311; 1898.118558
277.000000; 575545.322868; 2028.184186
278.000000; 577573.507055; 1896.363372
279.000000; 579469.870427; 1902.234638
280.000000; 581372.105064; 1973.335260
281.000000; 583345.440324; 1974.488244
282.000000; 585319.928568; 1986.458392
283.000000; 587306.386960; 1940.359830
284.000000; 589246.746790; 1940.061472
285.000000; 591186.808262; 2003.576861
286.000000; 593190.385123; 1987.887344
287.000000; 595178.272467; 1960.764095
288.000000; 597139.036561; 1971.325873
289.000000; 599110.362434; 1989.822629
290.000000; 601100.185063; 2075.224690
291.000000; 603175.409753; 2046.946113
292.000000; 605222.355865; 2029.756939
293.000000; 607252.112804; 2090.824069
294.000000; 609342.936873; 2002.633074
295.000000; 611345.569947; 2050.684529
296.000000; 613396.254477; 1999.746557
297.000000; 615396.001034; 2140.251599
298.000000; 617536.252632; 2134.055314
299.000000; 619670.307946; 0.000000
