# Tau / ps;  Linear Fit to MSD / pm^2
150.0000;  329171.7309
150.7519;  330629.0181
151.5038;  332086.3052
152.2556;  333543.5923
153.0075;  335000.8794
153.7594;  336458.1666
154.5113;  337915.4537
155.2632;  339372.7408
156.0150;  340830.0279
156.7669;  342287.3151
157.5188;  343744.6022
158.2707;  345201.8893
159.0226;  346659.1764
159.7744;  348116.4636
160.5263;  349573.7507
161.2782;  351031.0378
162.0301;  352488.3249
162.7820;  353945.6120
163.5338;  355402.8992
164.2857;  356860.1863
165.0376;  358317.4734
165.7895;  359774.7605
166.5414;  361232.0477
167.2932;  362689.3348
168.0451;  364146.6219
168.7970;  365603.9090
169.5489;  367061.1962
170.3008;  368518.4833
171.0526;  369975.7704
171.8045;  371433.0575
172.5564;  372890.3447
173.3083;  374347.6318
174.0602;  375804.9189
174.8120;  377262.2060
175.5639;  378719.4932
176.3158;  380176.7803
177.0677;  381634.0674
177.8195;  383091.3545
178.5714;  384548.6417
179.3233;  386005.9288
180.0752;  387463.2159
180.8271;  388920.5030
181.5789;  390377.7902
182.3308;  391835.0773
183.0827;  393292.3644
183.8346;  394749.6515
184.5865;  396206.9386
185.3383;  397664.2258
186.0902;  399121.5129
186.8421;  400578.8000
187.5940;  402036.0871
188.3459;  403493.3743
189.0977;  404950.6614
189.8496;  406407.9485
190.6015;  407865.2356
191.3534;  409322.5228
192.1053;  410779.8099
192.8571;  412237.0970
193.6090;  413694.3841
194.3609;  415151.6713
195.1128;  416608.9584
195.8647;  418066.2455
196.6165;  419523.5326
197.3684;  420980.8198
198.1203;  422438.1069
198.8722;  423895.3940
199.6241;  425352.6811
200.3759;  426809.9683
201.1278;  428267.2554
201.8797;  429724.5425
202.6316;  431181.8296
203.3835;  432639.1168
204.1353;  434096.4039
204.8872;  435553.6910
205.6391;  437010.9781
206.3910;  438468.2653
207.1429;  439925.5524
207.8947;  441382.8395
208.6466;  442840.1266
209.3985;  444297.4137
210.1504;  445754.7009
210.9023;  447211.9880
211.6541;  448669.2751
212.4060;  450126.5622
213.1579;  451583.8494
213.9098;  453041.1365
214.6617;  454498.4236
215.4135;  455955.7107
216.1654;  457412.9979
216.9173;  458870.2850
217.6692;  460327.5721
218.4211;  461784.8592
219.1729;  463242.1464
219.9248;  464699.4335
220.6767;  466156.7206
221.4286;  467614.0077
222.1805;  469071.2949
222.9323;  470528.5820
223.6842;  471985.8691
224.4361;  473443.1562
225.1880;  474900.4434
225.9398;  476357.7305
226.6917;  477815.0176
227.4436;  479272.3047
228.1955;  480729.5919
228.9474;  482186.8790
229.6992;  483644.1661
230.4511;  485101.4532
231.2030;  486558.7403
231.9549;  488016.0275
232.7068;  489473.3146
233.4586;  490930.6017
234.2105;  492387.8888
234.9624;  493845.1760
235.7143;  495302.4631
236.4662;  496759.7502
237.2180;  498217.0373
237.9699;  499674.3245
238.7218;  501131.6116
239.4737;  502588.8987
240.2256;  504046.1858
240.9774;  505503.4730
241.7293;  506960.7601
242.4812;  508418.0472
243.2331;  509875.3343
243.9850;  511332.6215
244.7368;  512789.9086
245.4887;  514247.1957
246.2406;  515704.4828
246.9925;  517161.7700
247.7444;  518619.0571
248.4962;  520076.3442
249.2481;  521533.6313
250.0000;  522990.9185
250.7519;  524448.2056
251.5038;  525905.4927
252.2556;  527362.7798
253.0075;  528820.0669
253.7594;  530277.3541
254.5113;  531734.6412
255.2632;  533191.9283
256.0150;  534649.2154
256.7669;  536106.5026
257.5188;  537563.7897
258.2707;  539021.0768
259.0226;  540478.3639
259.7744;  541935.6511
260.5263;  543392.9382
261.2782;  544850.2253
262.0301;  546307.5124
262.7820;  547764.7996
263.5338;  549222.0867
264.2857;  550679.3738
265.0376;  552136.6609
265.7895;  553593.9481
266.5414;  555051.2352
267.2932;  556508.5223
268.0451;  557965.8094
268.7970;  559423.0966
269.5489;  560880.3837
270.3008;  562337.6708
271.0526;  563794.9579
271.8045;  565252.2451
272.5564;  566709.5322
273.3083;  568166.8193
274.0602;  569624.1064
274.8120;  571081.3936
275.5639;  572538.6807
276.3158;  573995.9678
277.0677;  575453.2549
277.8195;  576910.5420
278.5714;  578367.8292
279.3233;  579825.1163
280.0752;  581282.4034
280.8271;  582739.6905
281.5789;  584196.9777
282.3308;  585654.2648
283.0827;  587111.5519
283.8346;  588568.8390
284.5865;  590026.1262
285.3383;  591483.4133
286.0902;  592940.7004
286.8421;  594397.9875
287.5940;  595855.2747
288.3459;  597312.5618
289.0977;  598769.8489
289.8496;  600227.1360
290.6015;  601684.4232
291.3534;  603141.7103
292.1053;  604598.9974
292.8571;  606056.2845
293.6090;  607513.5717
294.3609;  608970.8588
295.1128;  610428.1459
295.8647;  611885.4330
296.6165;  613342.7202
297.3684;  614800.0073
298.1203;  616257.2944
298.8722;  617714.5815
299.6241;  619171.8686
