# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 9185.568008
1.000000; 9185.568008; 4097.860798
2.000000; 13283.428806; 3304.312098
3.000000; 16587.740904; 3022.429918
4.000000; 19610.170821; 2917.185328
5.000000; 22527.356150; 2790.987743
6.000000; 25318.343893; 2699.855670
7.000000; 28018.199563; 2610.628134
8.000000; 30628.827697; 2547.342513
9.000000; 33176.170210; 2480.778955
10.000000; 35656.949165; 2475.639687
11.000000; 38132.588852; 2449.983809
12.000000; 40582.572661; 2403.565426
13.000000; 42986.138087; 2341.864087
14.000000; 45328.002175; 2343.944348
15.000000; 47671.946522; 2348.302836
16.000000; 50020.249358; 2260.773869
17.000000; 52281.023228; 2225.982054
18.000000; 54507.005282; 2230.830186
19.000000; 56737.835468; 2270.238555
20.000000; 59008.074023; 2198.159064
21.000000; 61206.233087; 2212.340006
22.000000; 63418.573093; 2202.605961
23.000000; 65621.179054; 2204.773718
24.000000; 67825.952772; 2158.543054
25.000000; 69984.495825; 2180.375527
26.000000; 72164.871352; 2184.633439
27.000000; 74349.504791; 2080.073997
28.000000; 76429.578788; 2119.137072
29.000000; 78548.715860; 2098.337612
30.000000; 80647.053472; 2116.355199
31.000000; 82763.408671; 2145.341663
32.000000; 84908.750334; 2098.962874
33.000000; 87007.713208; 2052.421931
34.000000; 89060.135139; 2128.725356
35.000000; 91188.860495; 2040.725595
36.000000; 93229.586090; 2072.196435
37.000000; 95301.782525; 1973.077479
38.000000; 97274.860004; 1987.180170
39.000000; 99262.040174; 2012.356400
40.000000; 101274.396574; 2002.495724
41.000000; 103276.892299; 2009.611499
42.000000; 105286.503798; 2045.968070
43.000000; 107332.471868; 2039.398162
44.000000; 109371.870029; 1995.320146
45.000000; 111367.190176; 2060.462896
46.000000; 113427.653072; 2053.074627
47.000000; 115480.727699; 2011.232184
48.000000; 117491.959884; 1937.807855
49.000000; 119429.767739; 1962.414117
50.000000; 121392.181856; 1977.290767
51.000000; 123369.472623; 1995.365957
52.000000; 125364.838580; 1955.581980
53.000000; 127320.420560; 1938.786564
54.000000; 129259.207124; 1948.186327
55.000000; 131207.393451; 1942.228072
56.000000; 133149.621522; 1988.314266
57.000000; 135137.935788; 1940.084878
58.000000; 137078.020666; 1911.549219
59.000000; 138989.569885; 1928.607795
60.000000; 140918.177680; 1964.983749
61.000000; 142883.161429; 1911.031364
62.000000; 144794.192793; 1943.366925
63.000000; 146737.559718; 2002.526258
64.000000; 148740.085977; 1998.867174
65.000000; 150738.953150; 1954.806281
66.000000; 152693.759431; 1973.747114
67.000000; 154667.506545; 1994.625810
68.000000; 156662.132354; 2010.454581
69.000000; 158672.586935; 1942.928186
70.000000; 160615.515122; 1946.478473
