# Tau / ps;  Linear Fit to MSD / pm^2
150.0000;  319794.5478
150.7519;  321125.7519
151.5038;  322456.9559
152.2556;  323788.1599
153.0075;  325119.3640
153.7594;  326450.5680
154.5113;  327781.7721
155.2632;  329112.9761
156.0150;  330444.1801
156.7669;  331775.3842
157.5188;  333106.5882
158.2707;  334437.7922
159.0226;  335768.9963
159.7744;  337100.2003
160.5263;  338431.4043
161.2782;  339762.6084
162.0301;  341093.8124
162.7820;  342425.0164
163.5338;  343756.2205
164.2857;  345087.4245
165.0376;  346418.6285
165.7895;  347749.8326
166.5414;  349081.0366
167.2932;  350412.2406
168.0451;  351743.4447
168.7970;  353074.6487
169.5489;  354405.8528
170.3008;  355737.0568
171.0526;  357068.2608
171.8045;  358399.4649
172.5564;  359730.6689
173.3083;  361061.8729
174.0602;  362393.0770
174.8120;  363724.2810
175.5639;  365055.4850
176.3158;  366386.6891
177.0677;  367717.8931
177.8195;  369049.0971
178.5714;  370380.3012
179.3233;  371711.5052
180.0752;  373042.7092
180.8271;  374373.9133
181.5789;  375705.1173
182.3308;  377036.3213
183.0827;  378367.5254
183.8346;  379698.7294
184.5865;  381029.9335
185.3383;  382361.1375
186.0902;  383692.3415
186.8421;  385023.5456
187.5940;  386354.7496
188.3459;  387685.9536
189.0977;  389017.1577
189.8496;  390348.3617
190.6015;  391679.5657
191.3534;  393010.7698
192.1053;  394341.9738
192.8571;  395673.1778
193.6090;  397004.3819
194.3609;  398335.5859
195.1128;  399666.7899
195.8647;  400997.9940
196.6165;  402329.1980
197.3684;  403660.4020
198.1203;  404991.6061
198.8722;  406322.8101
199.6241;  407654.0142
200.3759;  408985.2182
201.1278;  410316.4222
201.8797;  411647.6263
202.6316;  412978.8303
203.3835;  414310.0343
204.1353;  415641.2384
204.8872;  416972.4424
205.6391;  418303.6464
206.3910;  419634.8505
207.1429;  420966.0545
207.8947;  422297.2585
208.6466;  423628.4626
209.3985;  424959.6666
210.1504;  426290.8706
210.9023;  427622.0747
211.6541;  428953.2787
212.4060;  430284.4827
213.1579;  431615.6868
213.9098;  432946.8908
214.6617;  434278.0948
215.4135;  435609.2989
216.1654;  436940.5029
216.9173;  438271.7070
217.6692;  439602.9110
218.4211;  440934.1150
219.1729;  442265.3191
219.9248;  443596.5231
220.6767;  444927.7271
221.4286;  446258.9312
222.1805;  447590.1352
222.9323;  448921.3392
223.6842;  450252.5433
224.4361;  451583.7473
225.1880;  452914.9513
225.9398;  454246.1554
226.6917;  455577.3594
227.4436;  456908.5634
228.1955;  458239.7675
228.9474;  459570.9715
229.6992;  460902.1755
230.4511;  462233.3796
231.2030;  463564.5836
231.9549;  464895.7877
232.7068;  466226.9917
233.4586;  467558.1957
234.2105;  468889.3998
234.9624;  470220.6038
235.7143;  471551.8078
236.4662;  472883.0119
237.2180;  474214.2159
237.9699;  475545.4199
238.7218;  476876.6240
239.4737;  478207.8280
240.2256;  479539.0320
240.9774;  480870.2361
241.7293;  482201.4401
242.4812;  483532.6441
243.2331;  484863.8482
243.9850;  486195.0522
244.7368;  487526.2562
245.4887;  488857.4603
246.2406;  490188.6643
246.9925;  491519.8684
247.7444;  492851.0724
248.4962;  494182.2764
249.2481;  495513.4805
250.0000;  496844.6845
250.7519;  498175.8885
251.5038;  499507.0926
252.2556;  500838.2966
253.0075;  502169.5006
253.7594;  503500.7047
254.5113;  504831.9087
255.2632;  506163.1127
256.0150;  507494.3168
256.7669;  508825.5208
257.5188;  510156.7248
258.2707;  511487.9289
259.0226;  512819.1329
259.7744;  514150.3369
260.5263;  515481.5410
261.2782;  516812.7450
262.0301;  518143.9491
262.7820;  519475.1531
263.5338;  520806.3571
264.2857;  522137.5612
265.0376;  523468.7652
265.7895;  524799.9692
266.5414;  526131.1733
267.2932;  527462.3773
268.0451;  528793.5813
268.7970;  530124.7854
269.5489;  531455.9894
270.3008;  532787.1934
271.0526;  534118.3975
271.8045;  535449.6015
272.5564;  536780.8055
273.3083;  538112.0096
274.0602;  539443.2136
274.8120;  540774.4176
275.5639;  542105.6217
276.3158;  543436.8257
277.0677;  544768.0298
277.8195;  546099.2338
278.5714;  547430.4378
279.3233;  548761.6419
280.0752;  550092.8459
280.8271;  551424.0499
281.5789;  552755.2540
282.3308;  554086.4580
283.0827;  555417.6620
283.8346;  556748.8661
284.5865;  558080.0701
285.3383;  559411.2741
286.0902;  560742.4782
286.8421;  562073.6822
287.5940;  563404.8862
288.3459;  564736.0903
289.0977;  566067.2943
289.8496;  567398.4983
290.6015;  568729.7024
291.3534;  570060.9064
292.1053;  571392.1105
292.8571;  572723.3145
293.6090;  574054.5185
294.3609;  575385.7226
295.1128;  576716.9266
295.8647;  578048.1306
296.6165;  579379.3347
297.3684;  580710.5387
298.1203;  582041.7427
298.8722;  583372.9468
299.6241;  584704.1508
