# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 14324.189836
1.000000; 14324.189836; 7177.256742
2.000000; 21501.446578; 6127.860288
3.000000; 27629.306866; 5759.859634
4.000000; 33389.166500; 5536.312729
5.000000; 38925.479229; 5287.338073
6.000000; 44212.817302; 5170.455358
7.000000; 49383.272659; 5076.265610
8.000000; 54459.538269; 4952.803611
9.000000; 59412.341881; 4852.392408
10.000000; 64264.734289; 4766.558898
11.000000; 69031.293187; 4694.134312
12.000000; 73725.427499; 4610.685929
13.000000; 78336.113428; 4567.343373
14.000000; 82903.456802; 4533.439398
15.000000; 87436.896199; 4495.969679
16.000000; 91932.865878; 4447.696990
17.000000; 96380.562868; 4393.875821
18.000000; 100774.438688; 4389.047462
19.000000; 105163.486150; 4373.358191
20.000000; 109536.844340; 4314.806286
21.000000; 113851.650626; 4281.321856
22.000000; 118132.972482; 4283.733100
23.000000; 122416.705582; 4234.563943
24.000000; 126651.269525; 4215.394933
25.000000; 130866.664458; 4243.617185
26.000000; 135110.281643; 4230.918122
27.000000; 139341.199765; 4191.664169
28.000000; 143532.863933; 4151.232289
29.000000; 147684.096222; 4136.581489
30.000000; 151820.677711; 4140.712072
31.000000; 155961.389783; 4138.906137
32.000000; 160100.295920; 4135.094310
33.000000; 164235.390230; 4108.755051
34.000000; 168344.145280; 4110.983648
35.000000; 172455.128929; 4092.159916
36.000000; 176547.288845; 4094.777031
37.000000; 180642.065876; 4060.409043
38.000000; 184702.474919; 4011.900660
39.000000; 188714.375579; 4030.636602
40.000000; 192745.012181; 4002.035463
41.000000; 196747.047644; 3980.433956
42.000000; 200727.481600; 4015.981515
43.000000; 204743.463115; 4012.885438
44.000000; 208756.348553; 3973.491038
45.000000; 212729.839591; 3975.532381
46.000000; 216705.371971; 4017.499323
47.000000; 220722.871294; 3962.939855
48.000000; 224685.811149; 3915.447742
49.000000; 228601.258891; 3935.481292
50.000000; 232536.740182; 3963.260669
51.000000; 236500.000852; 3963.786657
52.000000; 240463.787509; 3954.938679
53.000000; 244418.726188; 3971.630668
54.000000; 248390.356856; 3970.826198
55.000000; 252361.183054; 3962.503343
56.000000; 256323.686397; 3984.334293
57.000000; 260308.020690; 3975.918496
58.000000; 264283.939186; 3957.528589
59.000000; 268241.467775; 3943.606058
60.000000; 272185.073833; 3984.843610
61.000000; 276169.917443; 3973.068980
62.000000; 280142.986423; 3963.004886
63.000000; 284105.991309; 4000.592162
64.000000; 288106.583471; 4007.409643
65.000000; 292113.993114; 3955.762224
66.000000; 296069.755337; 3998.727145
67.000000; 300068.482482; 3993.046878
68.000000; 304061.529360; 4004.842654
69.000000; 308066.372014; 3949.321259
70.000000; 312015.693273; 3944.008823
71.000000; 315959.702095; 3909.127820
72.000000; 319868.829915; 3911.730267
73.000000; 323780.560183; 3919.499716
74.000000; 327700.059899; 3948.094393
75.000000; 331648.154292; 3929.720980
76.000000; 335577.875272; 3933.983821
77.000000; 339511.859093; 3915.916190
78.000000; 343427.775283; 3900.152530
79.000000; 347327.927813; 3920.575925
80.000000; 351248.503737; 3915.238698
81.000000; 355163.742436; 3937.235260
82.000000; 359100.977695; 3912.062823
83.000000; 363013.040519; 3934.541160
84.000000; 366947.581678; 3906.398342
85.000000; 370853.980020; 3912.883946
86.000000; 374766.863967; 3904.574708
87.000000; 378671.438675; 3932.369070
88.000000; 382603.807745; 3912.395719
89.000000; 386516.203464; 3925.457604
90.000000; 390441.661067; 3934.510438
91.000000; 394376.171506; 3897.329072
92.000000; 398273.500578; 3905.619557
93.000000; 402179.120135; 3914.071072
94.000000; 406093.191207; 3879.124243
95.000000; 409972.315450; 3889.019973
96.000000; 413861.335423; 3863.659246
97.000000; 417724.994669; 3866.465609
98.000000; 421591.460278; 3846.942162
99.000000; 425438.402440; 3848.927570
100.000000; 429287.330010; 3834.536136
101.000000; 433121.866147; 3836.508632
102.000000; 436958.374778; 3874.012229
103.000000; 440832.387007; 3850.302433
104.000000; 444682.689440; 3850.235611
105.000000; 448532.925051; 3823.275878
106.000000; 452356.200929; 3856.870897
107.000000; 456213.071826; 3846.728701
108.000000; 460059.800527; 3860.353108
109.000000; 463920.153635; 3861.462505
110.000000; 467781.616140; 3841.000738
111.000000; 471622.616878; 3851.163382
112.000000; 475473.780260; 3856.838917
113.000000; 479330.619177; 3858.859480
114.000000; 483189.478657; 3835.395045
115.000000; 487024.873702; 3842.129205
116.000000; 490867.002907; 3856.820010
117.000000; 494723.822917; 3867.837756
118.000000; 498591.660673; 3845.937510
119.000000; 502437.598184; 3895.535333
120.000000; 506333.133516; 3920.107455
121.000000; 510253.240971; 3873.332950
122.000000; 514126.573921; 3894.608051
123.000000; 518021.181971; 3893.623452
124.000000; 521914.805424; 3887.852520
125.000000; 525802.657944; 3903.619820
126.000000; 529706.277764; 3894.578581
127.000000; 533600.856345; 3891.029262
128.000000; 537491.885608; 3874.731935
129.000000; 541366.617543; 3890.068103
130.000000; 545256.685646; 3866.587514
131.000000; 549123.273160; 3876.637240
132.000000; 552999.910400; 3876.426556
133.000000; 556876.336957; 3865.202296
134.000000; 560741.539252; 3877.817586
135.000000; 564619.356838; 3892.830317
136.000000; 568512.187155; 3838.316007
137.000000; 572350.503162; 3847.785186
138.000000; 576198.288348; 3859.314514
139.000000; 580057.602862; 3862.240095
140.000000; 583919.842957; 3872.090847
141.000000; 587791.933804; 3903.253994
142.000000; 591695.187798; 3891.688866
143.000000; 595586.876665; 3874.008355
144.000000; 599460.885020; 3876.854024
145.000000; 603337.739044; 3853.875404
146.000000; 607191.614448; 3851.278969
147.000000; 611042.893417; 3832.429507
148.000000; 614875.322924; 3869.888954
149.000000; 618745.211878; 3845.667663
150.000000; 622590.879540; 3852.732713
151.000000; 626443.612253; 3866.642177
152.000000; 630310.254430; 3846.712271
153.000000; 634156.966701; 3862.980759
154.000000; 638019.947460; 3841.308476
155.000000; 641861.255936; 3875.660603
156.000000; 645736.916539; 3868.111368
157.000000; 649605.027907; 3843.512205
158.000000; 653448.540112; 3860.359272
159.000000; 657308.899384; 3887.694555
160.000000; 661196.593939; 3871.756613
161.000000; 665068.350551; 3885.209830
162.000000; 668953.560381; 3865.648892
163.000000; 672819.209273; 3846.392764
164.000000; 676665.602037; 3832.318087
165.000000; 680497.920124; 3829.709829
166.000000; 684327.629954; 3856.678705
167.000000; 688184.308659; 3847.464043
168.000000; 692031.772702; 3868.373961
169.000000; 695900.146663; 3846.904958
170.000000; 699747.051621; 3843.017739
171.000000; 703590.069360; 3877.205612
172.000000; 707467.274972; 3850.138683
173.000000; 711317.413656; 3865.572645
174.000000; 715182.986301; 3827.777637
175.000000; 719010.763938; 3841.168458
176.000000; 722851.932396; 3821.106328
177.000000; 726673.038724; 3835.563204
178.000000; 730508.601928; 3848.418013
179.000000; 734357.019941; 3815.955863
