# Tau / ps;  Linear Fit to MSD / pm^2
150.0000;  620767.4934
150.7519;  623700.1964
151.5038;  626632.8994
152.2556;  629565.6024
153.0075;  632498.3054
153.7594;  635431.0084
154.5113;  638363.7114
155.2632;  641296.4144
156.0150;  644229.1173
156.7669;  647161.8203
157.5188;  650094.5233
158.2707;  653027.2263
159.0226;  655959.9293
159.7744;  658892.6323
160.5263;  661825.3353
161.2782;  664758.0383
162.0301;  667690.7412
162.7820;  670623.4442
163.5338;  673556.1472
164.2857;  676488.8502
165.0376;  679421.5532
165.7895;  682354.2562
166.5414;  685286.9592
167.2932;  688219.6622
168.0451;  691152.3651
168.7970;  694085.0681
169.5489;  697017.7711
170.3008;  699950.4741
171.0526;  702883.1771
171.8045;  705815.8801
172.5564;  708748.5831
173.3083;  711681.2861
174.0602;  714613.9890
174.8120;  717546.6920
175.5639;  720479.3950
176.3158;  723412.0980
177.0677;  726344.8010
177.8195;  729277.5040
178.5714;  732210.2070
179.3233;  735142.9100
180.0752;  738075.6129
180.8271;  741008.3159
181.5789;  743941.0189
182.3308;  746873.7219
183.0827;  749806.4249
183.8346;  752739.1279
184.5865;  755671.8309
185.3383;  758604.5339
186.0902;  761537.2369
186.8421;  764469.9398
187.5940;  767402.6428
188.3459;  770335.3458
189.0977;  773268.0488
189.8496;  776200.7518
190.6015;  779133.4548
191.3534;  782066.1578
192.1053;  784998.8608
192.8571;  787931.5637
193.6090;  790864.2667
194.3609;  793796.9697
195.1128;  796729.6727
195.8647;  799662.3757
196.6165;  802595.0787
197.3684;  805527.7817
198.1203;  808460.4847
198.8722;  811393.1876
199.6241;  814325.8906
200.3759;  817258.5936
201.1278;  820191.2966
201.8797;  823123.9996
202.6316;  826056.7026
203.3835;  828989.4056
204.1353;  831922.1086
204.8872;  834854.8115
205.6391;  837787.5145
206.3910;  840720.2175
207.1429;  843652.9205
207.8947;  846585.6235
208.6466;  849518.3265
209.3985;  852451.0295
210.1504;  855383.7325
210.9023;  858316.4354
211.6541;  861249.1384
212.4060;  864181.8414
213.1579;  867114.5444
213.9098;  870047.2474
214.6617;  872979.9504
215.4135;  875912.6534
216.1654;  878845.3564
216.9173;  881778.0594
217.6692;  884710.7623
218.4211;  887643.4653
219.1729;  890576.1683
219.9248;  893508.8713
220.6767;  896441.5743
221.4286;  899374.2773
222.1805;  902306.9803
222.9323;  905239.6833
223.6842;  908172.3862
224.4361;  911105.0892
225.1880;  914037.7922
225.9398;  916970.4952
226.6917;  919903.1982
227.4436;  922835.9012
228.1955;  925768.6042
228.9474;  928701.3072
229.6992;  931634.0101
230.4511;  934566.7131
231.2030;  937499.4161
231.9549;  940432.1191
232.7068;  943364.8221
233.4586;  946297.5251
234.2105;  949230.2281
234.9624;  952162.9311
235.7143;  955095.6340
236.4662;  958028.3370
237.2180;  960961.0400
237.9699;  963893.7430
238.7218;  966826.4460
239.4737;  969759.1490
240.2256;  972691.8520
240.9774;  975624.5550
241.7293;  978557.2579
242.4812;  981489.9609
243.2331;  984422.6639
243.9850;  987355.3669
244.7368;  990288.0699
245.4887;  993220.7729
246.2406;  996153.4759
246.9925;  999086.1789
247.7444;  1002018.8818
248.4962;  1004951.5848
249.2481;  1007884.2878
250.0000;  1010816.9908
250.7519;  1013749.6938
251.5038;  1016682.3968
252.2556;  1019615.0998
253.0075;  1022547.8028
253.7594;  1025480.5058
254.5113;  1028413.2087
255.2632;  1031345.9117
256.0150;  1034278.6147
256.7669;  1037211.3177
257.5188;  1040144.0207
258.2707;  1043076.7237
259.0226;  1046009.4267
259.7744;  1048942.1297
260.5263;  1051874.8326
261.2782;  1054807.5356
262.0301;  1057740.2386
262.7820;  1060672.9416
263.5338;  1063605.6446
264.2857;  1066538.3476
265.0376;  1069471.0506
265.7895;  1072403.7536
266.5414;  1075336.4565
267.2932;  1078269.1595
268.0451;  1081201.8625
268.7970;  1084134.5655
269.5489;  1087067.2685
270.3008;  1089999.9715
271.0526;  1092932.6745
271.8045;  1095865.3775
272.5564;  1098798.0804
273.3083;  1101730.7834
274.0602;  1104663.4864
274.8120;  1107596.1894
275.5639;  1110528.8924
276.3158;  1113461.5954
277.0677;  1116394.2984
277.8195;  1119327.0014
278.5714;  1122259.7043
279.3233;  1125192.4073
280.0752;  1128125.1103
280.8271;  1131057.8133
281.5789;  1133990.5163
282.3308;  1136923.2193
283.0827;  1139855.9223
283.8346;  1142788.6253
284.5865;  1145721.3282
285.3383;  1148654.0312
286.0902;  1151586.7342
286.8421;  1154519.4372
287.5940;  1157452.1402
288.3459;  1160384.8432
289.0977;  1163317.5462
289.8496;  1166250.2492
290.6015;  1169182.9522
291.3534;  1172115.6551
292.1053;  1175048.3581
292.8571;  1177981.0611
293.6090;  1180913.7641
294.3609;  1183846.4671
295.1128;  1186779.1701
295.8647;  1189711.8731
296.6165;  1192644.5761
297.3684;  1195577.2790
298.1203;  1198509.9820
298.8722;  1201442.6850
299.6241;  1204375.3880
