# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 12058.713417
1.000000; 12058.713417; 6264.973936
2.000000; 18323.687352; 5393.637175
3.000000; 23717.324527; 5165.168197
4.000000; 28882.492724; 5034.028154
5.000000; 33916.520878; 4864.388148
6.000000; 38780.909027; 4796.437577
7.000000; 43577.346604; 4759.259350
8.000000; 48336.605953; 4671.247107
9.000000; 53007.853060; 4615.956790
10.000000; 57623.809850; 4562.017475
11.000000; 62185.827325; 4528.355267
12.000000; 66714.182593; 4479.442129
13.000000; 71193.624722; 4453.112929
14.000000; 75646.737651; 4427.682303
15.000000; 80074.419954; 4422.023130
16.000000; 84496.443084; 4381.259995
17.000000; 88877.703079; 4349.142863
18.000000; 93226.845942; 4360.940656
19.000000; 97587.786598; 4352.789624
20.000000; 101940.576222; 4312.576723
21.000000; 106253.152945; 4278.856368
22.000000; 110532.009313; 4281.939267
23.000000; 114813.948580; 4249.610094
24.000000; 119063.558674; 4245.624880
25.000000; 123309.183555; 4290.706062
26.000000; 127599.889617; 4268.626490
27.000000; 131868.516107; 4231.219639
28.000000; 136099.735746; 4206.039134
29.000000; 140305.774880; 4192.683234
30.000000; 144498.458114; 4199.837102
31.000000; 148698.295216; 4203.119498
32.000000; 152901.414714; 4213.263779
33.000000; 157114.678493; 4173.570201
34.000000; 161288.248693; 4195.708780
35.000000; 165483.957473; 4168.562699
36.000000; 169652.520172; 4179.450092
37.000000; 173831.970264; 4145.868976
38.000000; 177977.839241; 4097.221809
39.000000; 182075.061050; 4130.557238
40.000000; 186205.618288; 4109.278896
41.000000; 190314.897184; 4089.486504
42.000000; 194404.383688; 4125.035551
43.000000; 198529.419239; 4122.014500
44.000000; 202651.433739; 4077.936793
45.000000; 206729.370532; 4101.371122
46.000000; 210830.741654; 4133.065500
47.000000; 214963.807154; 4083.925941
48.000000; 219047.733095; 4048.325824
49.000000; 223096.058919; 4076.365470
50.000000; 227172.424389; 4103.026493
51.000000; 231275.450882; 4097.095858
52.000000; 235372.546740; 4101.364377
53.000000; 239473.911117; 4106.964707
54.000000; 243580.875824; 4110.334286
55.000000; 247691.210110; 4115.746857
56.000000; 251806.956967; 4130.146609
57.000000; 255937.103576; 4132.376203
58.000000; 260069.479778; 4093.375999
59.000000; 264162.855778; 4093.983758
60.000000; 268256.839536; 4145.833967
61.000000; 272402.673503; 4131.233975
62.000000; 276533.907477; 4125.432371
63.000000; 280659.339849; 4146.146732
64.000000; 284805.486581; 4144.276280
65.000000; 288949.762861; 4107.531629
66.000000; 293057.294489; 4151.387136
67.000000; 297208.681626; 4148.153011
68.000000; 301356.834636; 4170.097256
69.000000; 305526.931892; 4114.783617
70.000000; 309641.715509; 4086.069440
71.000000; 313727.784950; 4072.311873
72.000000; 317800.096822; 4067.737488
73.000000; 321867.834310; 4079.794693
74.000000; 325947.629003; 4099.247097
75.000000; 330046.876101; 4082.366278
76.000000; 334129.242379; 4087.562130
77.000000; 338216.804509; 4076.253619
78.000000; 342293.058129; 4062.017501
79.000000; 346355.075629; 4079.531263
80.000000; 350434.606893; 4084.477077
81.000000; 354519.083970; 4097.557484
82.000000; 358616.641454; 4075.529372
83.000000; 362692.170825; 4089.230125
84.000000; 366781.400950; 4071.191187
85.000000; 370852.592137; 4075.269392
86.000000; 374927.861529; 4067.660047
87.000000; 378995.521576; 4100.975287
88.000000; 383096.496863; 4079.549097
89.000000; 387176.045959; 4103.306726
90.000000; 391279.352685; 4113.418890
91.000000; 395392.771575; 4066.166412
92.000000; 399458.937987; 4079.301250
93.000000; 403538.239237; 4081.025056
94.000000; 407619.264293; 4051.915366
95.000000; 411671.179659; 4048.108678
96.000000; 415719.288337; 4043.099450
97.000000; 419762.387788; 4048.528108
98.000000; 423810.915896; 4015.687118
99.000000; 427826.603014; 4019.481192
100.000000; 431846.084206; 4009.143522
101.000000; 435855.227728; 4007.593388
102.000000; 439862.821117; 4056.283672
103.000000; 443919.104788; 4017.947462
104.000000; 447937.052250; 4034.247839
105.000000; 451971.300089; 4008.319197
106.000000; 455979.619285; 4035.847297
107.000000; 460015.466582; 4038.270616
108.000000; 464053.737199; 4049.034516
109.000000; 468102.771715; 4041.426820
110.000000; 472144.198534; 4023.497734
111.000000; 476167.696268; 4019.413583
112.000000; 480187.109851; 4033.906387
113.000000; 484221.016239; 4030.012136
114.000000; 488251.028374; 4021.460542
115.000000; 492272.488917; 4023.128148
116.000000; 496295.617065; 4044.410147
117.000000; 500340.027212; 4038.304537
118.000000; 504378.331749; 4033.501393
119.000000; 508411.833142; 4074.691495
120.000000; 512486.524638; 4108.915133
121.000000; 516595.439770; 4060.550613
122.000000; 520655.990383; 4073.442699
123.000000; 524729.433082; 4084.357526
124.000000; 528813.790608; 4071.436505
125.000000; 532885.227114; 4079.218800
126.000000; 536964.445913; 4085.619395
127.000000; 541050.065308; 4076.686909
128.000000; 545126.752217; 4069.374162
129.000000; 549196.126379; 4075.052821
130.000000; 553271.179199; 4044.099830
131.000000; 557315.279029; 4067.694830
132.000000; 561382.973859; 4062.389787
133.000000; 565445.363646; 4055.956816
134.000000; 569501.320462; 4054.704465
135.000000; 573556.024927; 4080.178940
136.000000; 577636.203867; 4030.522655
137.000000; 581666.726522; 4041.568989
138.000000; 585708.295511; 4036.056748
139.000000; 589744.352260; 4049.817104
140.000000; 593794.169364; 4045.020047
141.000000; 597839.189412; 4089.554913
142.000000; 601928.744325; 4077.547145
143.000000; 606006.291469; 4048.883632
144.000000; 610055.175102; 4053.862329
145.000000; 614109.037431; 4022.833647
146.000000; 618131.871077; 4034.927631
147.000000; 622166.798708; 4013.387998
148.000000; 626180.186707; 4040.393279
149.000000; 630220.579985; 4037.253519
150.000000; 634257.833504; 4030.950140
151.000000; 638288.783644; 4042.851106
152.000000; 642331.634750; 4020.943643
153.000000; 646352.578393; 4033.769257
154.000000; 650386.347650; 4022.117988
155.000000; 654408.465639; 4045.093218
156.000000; 658453.558856; 4048.388243
157.000000; 662501.947099; 4023.683225
158.000000; 666525.630324; 4047.285285
159.000000; 670572.915609; 4067.008978
160.000000; 674639.924587; 4066.241433
161.000000; 678706.166020; 4064.858363
162.000000; 682771.024383; 4049.571979
163.000000; 686820.596362; 4028.314394
164.000000; 690848.910756; 4011.546348
165.000000; 694860.457104; 4004.381845
166.000000; 698864.838950; 4041.947414
167.000000; 702906.786363; 4024.008722
168.000000; 706930.795085; 4049.137332
169.000000; 710979.932417; 4020.007701
170.000000; 714999.940117; 4016.641990
171.000000; 719016.582107; 4041.698789
172.000000; 723058.280896; 4023.767051
173.000000; 727082.047947; 4037.903006
174.000000; 731119.950953; 4006.420801
175.000000; 735126.371754; 4006.077428
176.000000; 739132.449182; 3985.460562
177.000000; 743117.909744; 3999.540763
178.000000; 747117.450507; 4024.742797
179.000000; 751142.193304; 3977.789008
180.000000; 755119.982312; 3985.194362
181.000000; 759105.176674; 4010.467325
182.000000; 763115.643999; 4013.180940
183.000000; 767128.824940; 4025.550252
184.000000; 771154.375192; 4014.236185
185.000000; 775168.611377; 4015.510672
186.000000; 779184.122049; 4007.626763
187.000000; 783191.748812; 4024.931935
188.000000; 787216.680748; 4025.285754
189.000000; 791241.966502; 4040.701383
190.000000; 795282.667885; 4044.894236
191.000000; 799327.562121; 4049.652183
192.000000; 803377.214304; 4035.977199
193.000000; 807413.191503; 4048.319398
194.000000; 811461.510901; 4029.248637
195.000000; 815490.759538; 4032.390898
196.000000; 819523.150436; 4015.710875
197.000000; 823538.861311; 4035.286869
198.000000; 827574.148180; 4025.160385
199.000000; 831599.308566; 4047.936767
200.000000; 835647.245332; 4005.688736
201.000000; 839652.934069; 3999.950334
202.000000; 843652.884402; 4007.447777
203.000000; 847660.332179; 4025.033349
204.000000; 851685.365528; 4033.210376
205.000000; 855718.575904; 4048.847687
206.000000; 859767.423590; 4025.965626
207.000000; 863793.389216; 4004.453917
208.000000; 867797.843133; 4080.764389
209.000000; 871878.607523; 4073.857200
210.000000; 875952.464722; 4043.902577
211.000000; 879996.367299; 4045.541814
212.000000; 884041.909113; 4066.425594
213.000000; 888108.334707; 4058.401135
214.000000; 892166.735842; 4068.158553
215.000000; 896234.894395; 4112.076635
216.000000; 900346.971030; 4127.817084
217.000000; 904474.788114; 4100.880104
218.000000; 908575.668218; 4102.207421
219.000000; 912677.875639; 4097.925620
220.000000; 916775.801259; 4109.110421
221.000000; 920884.911680; 4083.160299
222.000000; 924968.071979; 4098.159374
223.000000; 929066.231352; 4066.095866
224.000000; 933132.327218; 4072.194356
225.000000; 937204.521574; 4059.941237
226.000000; 941264.462811; 4079.282315
227.000000; 945343.745126; 4104.976981
228.000000; 949448.722107; 4098.337717
229.000000; 953547.059825; 4097.589284
230.000000; 957644.649109; 4092.004014
231.000000; 961736.653123; 4119.236261
232.000000; 965855.889384; 4089.050607
233.000000; 969944.939991; 4064.300918
234.000000; 974009.240909; 4075.662559
235.000000; 978084.903468; 4082.076985
236.000000; 982166.980454; 4078.977361
237.000000; 986245.957814; 4066.839876
238.000000; 990312.797690; 4069.447658
239.000000; 994382.245348; 4081.049324
240.000000; 998463.294672; 4074.938694
241.000000; 1002538.233366; 4076.540534
242.000000; 1006614.773900; 4093.346030
243.000000; 1010708.119930; 4085.743228
244.000000; 1014793.863158; 4076.468420
245.000000; 1018870.331578; 4102.589997
246.000000; 1022972.921575; 4121.595127
247.000000; 1027094.516702; 4167.962281
248.000000; 1031262.478983; 4156.467704
249.000000; 1035418.946687; 4131.677974
250.000000; 1039550.624662; 4124.279200
251.000000; 1043674.903862; 4164.816758
252.000000; 1047839.720620; 4130.686294
253.000000; 1051970.406914; 4188.213627
254.000000; 1056158.620541; 4163.030925
255.000000; 1060321.651466; 4168.350380
256.000000; 1064490.001846; 4164.019550
257.000000; 1068654.021396; 4164.119936
258.000000; 1072818.141332; 4167.314812
259.000000; 1076985.456143; 4191.972838
260.000000; 1081177.428981; 4189.732755
261.000000; 1085367.161736; 4214.726019
262.000000; 1089581.887755; 4229.804226
263.000000; 1093811.691981; 4208.737887
264.000000; 1098020.429868; 4155.032802
265.000000; 1102175.462670; 4227.147121
266.000000; 1106402.609791; 4214.076774
