# Tau / ps;  Linear Fit to MSD / pm^2
150.0000;  632046.0165
150.7519;  635120.4876
151.5038;  638194.9587
152.2556;  641269.4298
153.0075;  644343.9009
153.7594;  647418.3720
154.5113;  650492.8431
155.2632;  653567.3141
156.0150;  656641.7852
156.7669;  659716.2563
157.5188;  662790.7274
158.2707;  665865.1985
159.0226;  668939.6696
159.7744;  672014.1407
160.5263;  675088.6117
161.2782;  678163.0828
162.0301;  681237.5539
162.7820;  684312.0250
163.5338;  687386.4961
164.2857;  690460.9672
165.0376;  693535.4383
165.7895;  696609.9093
166.5414;  699684.3804
167.2932;  702758.8515
168.0451;  705833.3226
168.7970;  708907.7937
169.5489;  711982.2648
170.3008;  715056.7359
171.0526;  718131.2069
171.8045;  721205.6780
172.5564;  724280.1491
173.3083;  727354.6202
174.0602;  730429.0913
174.8120;  733503.5624
175.5639;  736578.0335
176.3158;  739652.5045
177.0677;  742726.9756
177.8195;  745801.4467
178.5714;  748875.9178
179.3233;  751950.3889
180.0752;  755024.8600
180.8271;  758099.3310
181.5789;  761173.8021
182.3308;  764248.2732
183.0827;  767322.7443
183.8346;  770397.2154
184.5865;  773471.6865
185.3383;  776546.1576
186.0902;  779620.6286
186.8421;  782695.0997
187.5940;  785769.5708
188.3459;  788844.0419
189.0977;  791918.5130
189.8496;  794992.9841
190.6015;  798067.4552
191.3534;  801141.9262
192.1053;  804216.3973
192.8571;  807290.8684
193.6090;  810365.3395
194.3609;  813439.8106
195.1128;  816514.2817
195.8647;  819588.7528
196.6165;  822663.2238
197.3684;  825737.6949
198.1203;  828812.1660
198.8722;  831886.6371
199.6241;  834961.1082
200.3759;  838035.5793
201.1278;  841110.0504
201.8797;  844184.5214
202.6316;  847258.9925
203.3835;  850333.4636
204.1353;  853407.9347
204.8872;  856482.4058
205.6391;  859556.8769
206.3910;  862631.3480
207.1429;  865705.8190
207.8947;  868780.2901
208.6466;  871854.7612
209.3985;  874929.2323
210.1504;  878003.7034
210.9023;  881078.1745
211.6541;  884152.6456
212.4060;  887227.1166
213.1579;  890301.5877
213.9098;  893376.0588
214.6617;  896450.5299
215.4135;  899525.0010
216.1654;  902599.4721
216.9173;  905673.9432
217.6692;  908748.4142
218.4211;  911822.8853
219.1729;  914897.3564
219.9248;  917971.8275
220.6767;  921046.2986
221.4286;  924120.7697
222.1805;  927195.2408
222.9323;  930269.7118
223.6842;  933344.1829
224.4361;  936418.6540
225.1880;  939493.1251
225.9398;  942567.5962
226.6917;  945642.0673
227.4436;  948716.5383
228.1955;  951791.0094
228.9474;  954865.4805
229.6992;  957939.9516
230.4511;  961014.4227
231.2030;  964088.8938
231.9549;  967163.3649
232.7068;  970237.8359
233.4586;  973312.3070
234.2105;  976386.7781
234.9624;  979461.2492
235.7143;  982535.7203
236.4662;  985610.1914
237.2180;  988684.6625
237.9699;  991759.1335
238.7218;  994833.6046
239.4737;  997908.0757
240.2256;  1000982.5468
240.9774;  1004057.0179
241.7293;  1007131.4890
242.4812;  1010205.9601
243.2331;  1013280.4311
243.9850;  1016354.9022
244.7368;  1019429.3733
245.4887;  1022503.8444
246.2406;  1025578.3155
246.9925;  1028652.7866
247.7444;  1031727.2577
248.4962;  1034801.7287
249.2481;  1037876.1998
250.0000;  1040950.6709
250.7519;  1044025.1420
251.5038;  1047099.6131
252.2556;  1050174.0842
253.0075;  1053248.5553
253.7594;  1056323.0263
254.5113;  1059397.4974
255.2632;  1062471.9685
256.0150;  1065546.4396
256.7669;  1068620.9107
257.5188;  1071695.3818
258.2707;  1074769.8529
259.0226;  1077844.3239
259.7744;  1080918.7950
260.5263;  1083993.2661
261.2782;  1087067.7372
262.0301;  1090142.2083
262.7820;  1093216.6794
263.5338;  1096291.1505
264.2857;  1099365.6215
265.0376;  1102440.0926
265.7895;  1105514.5637
266.5414;  1108589.0348
267.2932;  1111663.5059
268.0451;  1114737.9770
268.7970;  1117812.4480
269.5489;  1120886.9191
270.3008;  1123961.3902
271.0526;  1127035.8613
271.8045;  1130110.3324
272.5564;  1133184.8035
273.3083;  1136259.2746
274.0602;  1139333.7456
274.8120;  1142408.2167
275.5639;  1145482.6878
276.3158;  1148557.1589
277.0677;  1151631.6300
277.8195;  1154706.1011
278.5714;  1157780.5722
279.3233;  1160855.0432
280.0752;  1163929.5143
280.8271;  1167003.9854
281.5789;  1170078.4565
282.3308;  1173152.9276
283.0827;  1176227.3987
283.8346;  1179301.8698
284.5865;  1182376.3408
285.3383;  1185450.8119
286.0902;  1188525.2830
286.8421;  1191599.7541
287.5940;  1194674.2252
288.3459;  1197748.6963
289.0977;  1200823.1674
289.8496;  1203897.6384
290.6015;  1206972.1095
291.3534;  1210046.5806
292.1053;  1213121.0517
292.8571;  1216195.5228
293.6090;  1219269.9939
294.3609;  1222344.4650
295.1128;  1225418.9360
295.8647;  1228493.4071
296.6165;  1231567.8782
297.3684;  1234642.3493
298.1203;  1237716.8204
298.8722;  1240791.2915
299.6241;  1243865.7626
