# Distance / pm;  g(r);  Integral
1.666666667;  0.000000000;  0.000000000
5.000000000;  0.000000000;  0.000000000
8.333333333;  0.000000000;  0.000000000
11.66666667;  0.000000000;  0.000000000
15.00000000;  0.000000000;  0.000000000
18.33333333;  0.000000000;  0.000000000
21.66666667;  0.000000000;  0.000000000
25.00000000;  0.000000000;  0.000000000
28.33333333;  0.000000000;  0.000000000
31.66666667;  0.000000000;  0.000000000
35.00000000;  0.000000000;  0.000000000
38.33333333;  0.000000000;  0.000000000
41.66666667;  0.000000000;  0.000000000
45.00000000;  0.000000000;  0.000000000
48.33333333;  0.000000000;  0.000000000
51.66666667;  0.000000000;  0.000000000
55.00000000;  0.000000000;  0.000000000
58.33333333;  0.000000000;  0.000000000
61.66666667;  0.000000000;  0.000000000
65.00000000;  0.000000000;  0.000000000
68.33333333;  0.000000000;  0.000000000
71.66666667;  0.000000000;  0.000000000
75.00000000;  0.000000000;  0.000000000
78.33333333;  0.000000000;  0.000000000
81.66666667;  0.000000000;  0.000000000
85.00000000;  0.0004809222310;  6.263280741E-06
88.33333333;  0.1124025536;  0.001587185377
91.66666667;  3.764198224;  0.05860055866
95.00000000;  24.68022430;  0.4600902397
98.33333333;  43.94284659;  1.225977446
101.6666667;  27.95235709;  1.746749928
105.0000000;  8.755778133;  1.920747561
108.3333333;  1.963622381;  1.962285980
111.6666667;  0.5684910189;  1.975063203
115.0000000;  0.4015244311;  1.984634518
118.3333333;  0.3665025714;  1.993884767
121.6666667;  0.2838540292;  2.001458308
125.0000000;  0.2208010990;  2.007676735
128.3333333;  0.2125995059;  2.013987749  
131.6666667;  0.2649635427;  2.022267066
135.0000000;  0.3713554006;  2.034465747
138.3333333;  0.5262720981;  2.052617499
141.6666667;  0.7089517136;  2.078262668
145.0000000;  0.9192884970;  2.113099646
148.3333333;  1.155862838;  2.158938696
151.6666667;  1.393389705;  2.216708898
155.0000000;  1.629979894;  2.287291213
158.3333333;  1.864722574;  2.371548700
161.6666667;  2.032878669;  2.467312491
165.0000000;  2.104176014;  2.570564437
168.3333333;  2.047145655;  2.675117486
171.6666667;  1.893239907;  2.775677370
175.0000000;  1.680997973;  2.868464969
178.3333333;  1.467079839;  2.952558961
181.6666667;  1.283690832;  3.028917329
185.0000000;  1.125794912;  3.098363453
188.3333333;  1.002812700;  3.162472462
191.6666667;  0.8856477902;  3.221113101
195.0000000;  0.7800980474;  3.274577231
198.3333333;  0.6855414220;  3.323180879
201.6666667;  0.6001283397;  3.367171064
205.0000000;  0.5230971794;  3.406792771
208.3333333;  0.4620318191;  3.442936437
211.6666667;  0.4156980599;  3.476504435
215.0000000;  0.3730906767;  3.507588194
218.3333333;  0.3443082176;  3.537170323
221.6666667;  0.3234190868;  3.565812639
225.0000000;  0.3124338272;  3.594320495
228.3333333;  0.3011123927;  3.622615416
231.6666667;  0.2978418486;  3.651426118
235.0000000;  0.2952455544;  3.680813432
238.3333333;  0.3019704027;  3.711728809
241.6666667;  0.3188558553;  3.745292391
245.0000000;  0.3421417255;  3.782307449
248.3333333;  0.3734067834;  3.823811671
251.6666667;  0.4174784205;  3.871468517
255.0000000;  0.4791404446;  3.927622801
258.3333333;  0.5553222809;  3.994418045
261.6666667;  0.6508647451;  4.074738645
265.0000000;  0.7633311261;  4.171353514
268.3333333;  0.8939303102;  4.287362604
271.6666667;  1.041917420;  4.425956778
275.0000000;  1.207684858;  4.590567396
278.3333333;  1.381365047;  4.783443141
281.6666667;  1.558104174;  5.006238422
285.0000000;  1.728121587;  5.259227916
288.3333333;  1.877132712;  5.540497675
291.6666667;  2.007639146;  5.848318146
295.0000000;  2.101846043;  6.177990914
298.3333333;  2.167759384;  6.525729332
301.6666667;  2.209040448;  6.888052626
305.0000000;  2.223288527;  7.260816098
308.3333333;  2.215698653;  7.640471340
311.6666667;  2.194901278;  8.024738582
315.0000000;  2.147854331;  8.408855561
318.3333333;  2.091180295;  8.790793851
321.6666667;  2.015188605;  9.166601160
325.0000000;  1.926767516;  9.533404571
328.3333333;  1.831933911;  9.889344741
331.6666667;  1.729695396;  10.23227867
335.0000000;  1.627741994;  10.56151844
338.3333333;  1.529678682;  10.87711105
341.6666667;  1.443585489;  11.18083895
345.0000000;  1.365882888;  11.47385307
348.3333333;  1.298957534;  11.75792078
351.6666667;  1.243774220;  12.03515110
355.0000000;  1.195102490;  12.30660655
358.3333333;  1.155700568;  12.57406505
361.6666667;  1.123100440;  12.83883711
365.0000000;  1.093911775;  13.10150354
368.3333333;  1.067405712;  13.36250807
371.6666667;  1.040979734;  13.62167879
375.0000000;  1.011433845;  13.87803060
378.3333333;  0.9846457008;  14.13204921
381.6666667;  0.9539781797;  14.38251199
385.0000000;  0.9293501655;  14.63078932
388.3333333;  0.9002542167;  14.87547621
391.6666667;  0.8767435627;  15.11788142
395.0000000;  0.8538566256;  15.35799418
398.3333333;  0.8316822052;  15.59583520
401.6666667;  0.8177384039;  15.83361885
405.0000000;  0.8087995596;  16.07272290
408.3333333;  0.8005703995;  16.31330600
411.6666667;  0.8010002551;  16.55796430
415.0000000;  0.8017140964;  16.80682228
418.3333333;  0.8066270473;  17.06124362
421.6666667;  0.8188810932;  17.32366256
425.0000000;  0.8298458104;  17.59381632
428.3333333;  0.8427638058;  17.87249602
431.6666667;  0.8601776977;  18.16137828
435.0000000;  0.8756832956;  18.46002739
438.3333333;  0.8947014608;  18.76985689
441.6666667;  0.9138957809;  19.09116486
445.0000000;  0.9317357630;  19.42370826
448.3333333;  0.9510257503;  19.76824049
451.6666667;  0.9684512030;  20.12432191
455.0000000;  0.9849898029;  20.49184954
458.3333333;  0.9982302677;  20.86979493
461.6666667;  1.003915794;  21.25544173
465.0000000;  1.005424708;  21.64726556
468.3333333;  1.002775686;  22.04367983
471.6666667;  0.9988189980;  22.44417059
475.0000000;  0.9896422121;  22.84661021
478.3333333;  0.9808184072;  23.25107915
481.6666667;  0.9726463439;  23.65778779
485.0000000;  0.9628846367;  24.06600655
488.3333333;  0.9595834630;  24.47843698
491.6666667;  0.9584873341;  24.89603949
495.0000000;  0.9558612813;  25.31816386
498.3333333;  0.9571370010;  25.74656353
501.6666667;  0.9604614720;  26.18222139
505.0000000;  0.9683089153;  26.62729494
508.3333333;  0.9720488061;  27.08000518
511.6666667;  0.9774459464;  27.54121873
515.0000000;  0.9806096199;  28.00997344
518.3333333;  0.9886306587;  28.48869983
521.6666667;  0.9942700625;  28.97636926
525.0000000;  0.9998663697;  29.47307085
528.3333333;  1.000914535;  29.97662709
531.6666667;  1.005928161;  30.48911164
535.0000000;  1.009270127;  31.00976647
538.3333333;  1.010356330;  31.53749676
541.6666667;  1.012427536;  32.07287789
545.0000000;  1.012466954;  32.61488968
548.3333333;  1.012512515;  33.16357653
551.6666667;  1.010096247;  33.71762925
555.0000000;  1.004896270;  34.27551083
558.3333333;  1.002625830;  34.83883815
561.6666667;  0.9963375788;  35.40533644
565.0000000;  0.9887945993;  35.97423884
568.3333333;  0.9806882663;  36.54515456
571.6666667;  0.9745540872;  37.11917378
575.0000000;  0.9684978991;  37.69629775
578.3333333;  0.9614840277;  38.27590425
581.6666667;  0.9552849197;  38.85843114
585.0000000;  0.9509325371;  39.44496912
588.3333333;  0.9468484134;  40.03566242
591.6666667;  0.9447641597;  40.63175304
595.0000000;  0.9446908758;  41.23453231
598.3333333;  0.9422895467;  41.84253487
601.6666667;  0.9425160995;  42.45747851
605.0000000;  0.9394302126;  43.07721903
608.3333333;  0.9386190499;  43.70326640
611.6666667;  0.9384864760;  44.33610396
615.0000000;  0.9399179279;  44.97683350
618.3333333;  0.9390668034;  45.62394092
621.6666667;  0.9405405557;  46.27907056
625.0000000;  0.9403111225;  46.94108301
628.3333333;  0.9415984167;  47.61109173
631.6666667;  0.9422378618;  48.28868799
635.0000000;  0.9434696793;  48.97434973
638.3333333;  0.9432815868;  49.66709076
641.6666667;  0.9461086654;  50.36918349
645.0000000;  0.9484235065;  51.08032532
648.3333333;  0.9472213589;  51.79792570
651.6666667;  0.9483198795;  52.52376476
655.0000000;  0.9485548605;  53.25722996
658.3333333;  0.9493606547;  53.99880886
661.6666667;  0.9491603506;  54.74775837
665.0000000;  0.9503794060;  55.50524459
668.3333333;  0.9512149462;  56.27101633
671.6666667;  0.9519805727;  57.04506824
675.0000000;  0.9542147824;  57.82865680
678.3333333;  0.9542213577;  58.62000906
681.6666667;  0.9548527479;  59.41968661
685.0000000;  0.9547429107;  60.22711118
688.3333333;  0.9549831747;  61.04261818
691.6666667;  0.9577716475;  61.86844699
695.0000000;  0.9604419400;  62.70457944
698.3333333;  0.9590398772;  63.54751923
701.6666667;  0.9596390900;  64.39905708
705.0000000;  0.9601203474;  65.25913587
708.3333333;  0.9603670670;  66.12759011
711.6666667;  0.9616998043;  67.00545381
715.0000000;  0.9638952029;  67.89358313
718.3333333;  0.9654486611;  68.79145740
721.6666667;  0.9674291418;  69.69954291
725.0000000;  0.9687494671;  70.61728738
728.3333333;  0.9724979993;  71.54707416
731.6666667;  0.9725325267;  72.48542435
735.0000000;  0.9739927047;  73.43376562
738.3333333;  0.9757198634;  74.39242506
741.6666667;  0.9770301577;  75.36105913
745.0000000;  0.9802522967;  76.34164281
748.3333333;  0.9816706901;  77.33245250
751.6666667;  0.9827690389;  78.33322711
755.0000000;  0.9836353620;  79.34378748
758.3333333;  0.9860210967;  80.36576353
761.6666667;  0.9860257702;  81.39674861
765.0000000;  0.9856173496;  82.43634656
768.3333333;  0.9888800000;  83.48849532
771.6666667;  0.9884021769;  84.54928032
775.0000000;  0.9889591442;  85.61985248
778.3333333;  0.9915284922;  86.70245901
781.6666667;  0.9919921017;  87.79486878
785.0000000;  0.9939025413;  88.89873715
788.3333333;  0.9931900213;  90.01120199
791.6666667;  0.9933449836;  91.13326949
795.0000000;  0.9947554573;  92.26641255
798.3333333;  0.9947636254;  93.40908715
801.6666667;  0.9965981923;  94.56344881
805.0000000;  0.9955970720;  95.72626083
808.3333333;  0.9971227007;  96.90051934
811.6666667;  0.9977617018;  98.08524114
815.0000000;  0.9975981970;  99.27951795
818.3333333;  0.9982285420;  100.4843447
821.6666667;  0.9990285590;  101.6999801
825.0000000;  0.9985426285;  102.9249026
828.3333333;  1.000274927;  104.1618857
831.6666667;  0.9994967268;  105.4078743
835.0000000;  0.9993265058;  106.6636569
838.3333333;  0.9994549297;  107.9296484
841.6666667;  0.9988885997;  109.2050043
845.0000000;  0.9998954834;  110.4917778
848.3333333;  0.9998789017;  111.7887018
851.6666667;  1.000108093;  113.0961375
855.0000000;  0.9992799415;  114.4127363
858.3333333;  0.9995007232;  115.7399142
