
>>> Condition Data >>>

    1065802 of 3003660000 molecules passed the conditions (0.04 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  -  1:    60.3457 percent of the time (8239 hits)
  -  2:    44.2174 percent of the time (6037 hits)
  -  3:    30.6087 percent of the time (4179 hits)
  -  4:    83.6153 percent of the time (11416 hits)
  -  5:    82.8096 percent of the time (11306 hits)
  -  6:    23.6651 percent of the time (3231 hits)
  -  7:    96.3378 percent of the time (13153 hits)
  -  8:    95.8104 percent of the time (13081 hits)
  -  9:    99.7290 percent of the time (13616 hits)
  - 10:    85.5270 percent of the time (11677 hits)
  - 11:    88.8449 percent of the time (12130 hits)
  - 12:    86.2008 percent of the time (11769 hits)
  - 13:    99.3628 percent of the time (13566 hits)
  - 14:    98.3886 percent of the time (13433 hits)
  - 15:    99.8315 percent of the time (13630 hits)
  - 16:    11.3235 percent of the time (1546 hits)
  - 17:    99.1723 percent of the time (13540 hits)
  - 18:    86.7648 percent of the time (11846 hits)
  - 19:    86.6623 percent of the time (11832 hits)
  - 20:    95.5687 percent of the time (13048 hits)
  - 21:    95.8910 percent of the time (13092 hits)
  - 22:    40.8701 percent of the time (5580 hits)
  - 23:    73.8812 percent of the time (10087 hits)
  - 24:    55.0868 percent of the time (7521 hits)
  - 25:    94.8217 percent of the time (12946 hits)
  - 26:    79.4990 percent of the time (10854 hits)
  - 27:    98.3886 percent of the time (13433 hits)
  - 28:    12.0267 percent of the time (1642 hits)
  - 29:    75.6024 percent of the time (10322 hits)
  - 30:    89.0061 percent of the time (12152 hits)
  - 31:    54.5448 percent of the time (7447 hits)
  - 32:    84.2452 percent of the time (11502 hits)
  - 33:    65.5607 percent of the time (8951 hits)
  - 34:    94.2211 percent of the time (12864 hits)
  - 35:    60.6826 percent of the time (8285 hits)
  - 36:    65.1798 percent of the time (8899 hits)
  - 37:    46.5319 percent of the time (6353 hits)
  - 38:    94.2137 percent of the time (12863 hits)
  - 39:    89.5627 percent of the time (12228 hits)
  - 40:    70.7317 percent of the time (9657 hits)
  - 41:    95.8397 percent of the time (13085 hits)
  - 42:    77.1113 percent of the time (10528 hits)
  - 43:    80.7149 percent of the time (11020 hits)
  - 44:    89.6653 percent of the time (12242 hits)
  - 45:    97.9199 percent of the time (13369 hits)
  - 46:    84.1793 percent of the time (11493 hits)
  - 47:    95.6273 percent of the time (13056 hits)
  - 48:    86.2082 percent of the time (11770 hits)
  - 49:    65.0114 percent of the time (8876 hits)
  - 50:    66.0368 percent of the time (9016 hits)
  - 51:    58.5732 percent of the time (7997 hits)
  - 52:    89.9509 percent of the time (12281 hits)
  - 53:    97.4877 percent of the time (13310 hits)
  - 54:    96.5282 percent of the time (13179 hits)
  - 55:    56.3759 percent of the time (7697 hits)
  - 56:    37.8232 percent of the time (5164 hits)
  - 57:    97.1362 percent of the time (13262 hits)
  - 58:    83.8351 percent of the time (11446 hits)
  - 59:    90.9470 percent of the time (12417 hits)
  - 60:    85.4391 percent of the time (11665 hits)
  - 61:    94.6752 percent of the time (12926 hits)
  - 62:    91.3792 percent of the time (12476 hits)
  - 63:    83.2638 percent of the time (11368 hits)
  - 64:    87.5558 percent of the time (11954 hits)
  - 65:    97.2534 percent of the time (13278 hits)
  - 66:    40.9434 percent of the time (5590 hits)
  - 67:    77.0160 percent of the time (10515 hits)
  - 68:    66.2931 percent of the time (9051 hits)
  - 69:    58.7563 percent of the time (8022 hits)
  - 70:    92.4266 percent of the time (12619 hits)
  - 71:    87.7463 percent of the time (11980 hits)
  - 72:    56.8080 percent of the time (7756 hits)
