# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9918645903; 0.9999031089; 0.9999963502
0.01000000000;  0.9727478750; 0.9917365532; 0.9980349177; 0.9890855413
0.02000000000;  0.9642720123; 0.9916085325; 0.9961945909; 0.9797763533
0.03000000000;  0.9595726387; 0.9914805284; 0.9943816959; 0.9718285690
0.04000000000;  0.9554481029; 0.9913525408; 0.9925958071; 0.9650380112
0.05000000000;  0.9515022997; 0.9912245698; 0.9908365053; 0.9592311357
0.06000000000;  0.9500039077; 0.9910966152; 0.9891033779; 0.9542604352
0.07000000000;  0.9475202063; 0.9909686772; 0.9873960186; 0.9500005331
0.08000000000;  0.9457790037; 0.9908407557; 0.9857140277; 0.9463448629
0.09000000000;  0.9444282583; 0.9907128507; 0.9840570113; 0.9432028466
0.1000000000;  0.9436051912; 0.9905849622; 0.9824245819; 0.9404974953
0.1100000000;  0.9423066921; 0.9904570902; 0.9808163579; 0.9381633707
0.1200000000;  0.9416148675; 0.9903292347; 0.9792319637; 0.9361448524
0.1300000000;  0.9400229118; 0.9902013958; 0.9776710294; 0.9343946642
0.1400000000;  0.9387858752; 0.9900735733; 0.9761331910; 0.9328726230
0.1500000000;  0.9375834233; 0.9899457673; 0.9746180901; 0.9315445740
0.1600000000;  0.9362210470; 0.9898179779; 0.9731253737; 0.9303814866
0.1700000000;  0.9351826894; 0.9896902049; 0.9716546945; 0.9293586855
0.1800000000;  0.9344402267; 0.9895624484; 0.9702057105; 0.9284551971
0.1900000000;  0.9340811350; 0.9894347084; 0.9687780851; 0.9276531945
0.2000000000;  0.9337445499; 0.9893069849; 0.9673714866; 0.9269375251
0.2100000000;  0.9331428243; 0.9891792779; 0.9659855890; 0.9262953095
0.2200000000;  0.9322975223; 0.9890515874; 0.9646200708; 0.9257156004
0.2300000000;  0.9311691028; 0.9889239134; 0.9632746159; 0.9251890925
0.2400000000;  0.9304514055; 0.9887962558; 0.9619489129; 0.9247078767
0.2500000000;  0.9299611591; 0.9886686147; 0.9606426553; 0.9242652302
0.2600000000;  0.9297491946; 0.9885409901; 0.9593555413; 0.9238554385
0.2700000000;  0.9294290469; 0.9884133820; 0.9580872738; 0.9234736443
0.2800000000;  0.9288991156; 0.9882857903; 0.9568375604; 0.9231157190
0.2900000000;  0.9281621764; 0.9881582152; 0.9556061132; 0.9227781529
0.3000000000;  0.9275248390; 0.9880306564; 0.9543926487; 0.9224579628
0.3100000000;  0.9269589036; 0.9879031142; 0.9531968878; 0.9221526130
0.3200000000;  0.9266186766; 0.9877755884; 0.9520185558; 0.9218599478
0.3300000000;  0.9261984260; 0.9876480791; 0.9508573824; 0.9215781349
0.3400000000;  0.9257602359; 0.9875205862; 0.9497131011; 0.9213056165
0.3500000000;  0.9252937512; 0.9873931098; 0.9485854499; 0.9210410684
0.3600000000;  0.9248319034; 0.9872656498; 0.9474741707; 0.9207833649
0.3700000000;  0.9244471616; 0.9871382063; 0.9463790096; 0.9205315489
0.3800000000;  0.9240510687; 0.9870107793; 0.9452997163; 0.9202848067
0.3900000000;  0.9236012645; 0.9868833687; 0.9442360446; 0.9200424466
0.4000000000;  0.9232106994; 0.9867559746; 0.9431877522; 0.9198038803
0.4100000000;  0.9228003070; 0.9866285968; 0.9421546003; 0.9195686075
0.4200000000;  0.9223352479; 0.9865012356; 0.9411363542; 0.9193362031
0.4300000000;  0.9218277504; 0.9863738908; 0.9401327824; 0.9191063052
0.4400000000;  0.9213408940; 0.9862465624; 0.9391436573; 0.9188786061
0.4500000000;  0.9208511411; 0.9861192504; 0.9381687547; 0.9186528442
0.4600000000;  0.9204347739; 0.9859919549; 0.9372078540; 0.9184287967
0.4700000000;  0.9202001199; 0.9858646758; 0.9362607378; 0.9182062742
0.4800000000;  0.9199531866; 0.9857374132; 0.9353271923; 0.9179851155
0.4900000000;  0.9196506405; 0.9856101670; 0.9344070070; 0.9177651833
0.5000000000;  0.9193706590; 0.9854829372; 0.9334999744; 0.9175463607
0.5100000000;  0.9189794669; 0.9853557238; 0.9326058906; 0.9173285483
0.5200000000;  0.9185495880; 0.9852285268; 0.9317245547; 0.9171116612
0.5300000000;  0.9182807707; 0.9851013463; 0.9308557688; 0.9168956271
0.5400000000;  0.9180024907; 0.9849741822; 0.9299993382; 0.9166803844
0.5500000000;  0.9176591449; 0.9848470345; 0.9291550712; 0.9164658805
0.5600000000;  0.9174109370; 0.9847199032; 0.9283227791; 0.9162520705
0.5700000000;  0.9170241409; 0.9845927883; 0.9275022762; 0.9160389160
0.5800000000;  0.9166401156; 0.9844656899; 0.9266933794; 0.9158263843
0.5900000000;  0.9162635752; 0.9843386078; 0.9258959087; 0.9156144472
0.6000000000;  0.9159689975; 0.9842115422; 0.9251096869; 0.9154030807
0.6100000000;  0.9156922897; 0.9840844929; 0.9243345395; 0.9151922641
0.6200000000;  0.9154551420; 0.9839574601; 0.9235702945; 0.9149819797
0.6300000000;  0.9151698692; 0.9838304436; 0.9228167829; 0.9147722122
0.6400000000;  0.9148515489; 0.9837034436; 0.9220738382; 0.9145629484
0.6500000000;  0.9146699289; 0.9835764599; 0.9213412963; 0.9143541770
0.6600000000;  0.9144043415; 0.9834494926; 0.9206189960; 0.9141458879
0.6700000000;  0.9141132481; 0.9833225417; 0.9199067783; 0.9139380727
0.6800000000;  0.9137985295; 0.9831956072; 0.9192044868; 0.9137307238
0.6900000000;  0.9136573430; 0.9830686891; 0.9185119675; 0.9135238347
0.7000000000;  0.9133802817; 0.9829417874; 0.9178290688; 0.9133173996
0.7100000000;  0.9130437391; 0.9828149021; 0.9171556415; 0.9131114133
0.7200000000;  0.9127835761; 0.9826880331; 0.9164915386; 0.9129058715
0.7300000000;  0.9126300059; 0.9825611805; 0.9158366155; 0.9127007700
0.7400000000;  0.9123971417; 0.9824343443; 0.9151907298; 0.9124961052
0.7500000000;  0.9120877971; 0.9823075245; 0.9145537413; 0.9122918739
0.7600000000;  0.9120162565; 0.9821807210; 0.9139255119; 0.9120880730
0.7700000000;  0.9117710247; 0.9820539339; 0.9133059059; 0.9118847000
0.7800000000;  0.9114341900; 0.9819271632; 0.9126947893; 0.9116817523
0.7900000000;  0.9112190889; 0.9818004088; 0.9120920306; 0.9114792276
0.8000000000;  0.9109680794; 0.9816736708; 0.9114975001; 0.9112771237
0.8100000000;  0.9106518834; 0.9815469492; 0.9109110701; 0.9110754387
0.8200000000;  0.9104716149; 0.9814202439; 0.9103326151; 0.9108741707
0.8300000000;  0.9102082185; 0.9812935549; 0.9097620112; 0.9106733179
0.8400000000;  0.9100590561; 0.9811668824; 0.9091991367; 0.9104728786
0.8500000000;  0.9099089272; 0.9810402261; 0.9086438718; 0.9102728511
0.8600000000;  0.9097096600; 0.9809135863; 0.9080960984; 0.9100732339
0.8700000000;  0.9095131972; 0.9807869627; 0.9075557003; 0.9098740254
0.8800000000;  0.9093025352; 0.9806603556; 0.9070225631; 0.9096752243
0.8900000000;  0.9090880632; 0.9805337647; 0.9064965741; 0.9094768290
0.9000000000;  0.9088376563; 0.9804071902; 0.9059776226; 0.9092788382
0.9100000000;  0.9085909920; 0.9802806321; 0.9054655994; 0.9090812505
0.9200000000;  0.9083178325; 0.9801540902; 0.9049603970; 0.9088840646
0.9300000000;  0.9080540829; 0.9800275648; 0.9044619095; 0.9086872792
0.9400000000;  0.9078054161; 0.9799010556; 0.9039700330; 0.9084908928
0.9500000000;  0.9076039711; 0.9797745628; 0.9034846649; 0.9082949044
0.9600000000;  0.9073694130; 0.9796480863; 0.9030057041; 0.9080993126
0.9700000000;  0.9070714845; 0.9795216261; 0.9025330514; 0.9079041161
0.9800000000;  0.9068671046; 0.9793951823; 0.9020666090; 0.9077093137
0.9900000000;  0.9067090216; 0.9792687548; 0.9016062804; 0.9075149043
1.000000000;  0.9065206586; 0.9791423436; 0.9011519709; 0.9073208865
1.010000000;  0.9062046134; 0.9790159487; 0.9007035872; 0.9071272592
1.020000000;  0.9059745765; 0.9788895701; 0.9002610374; 0.9069340211
1.030000000;  0.9056754674; 0.9787632079; 0.8998242310; 0.9067411711
1.040000000;  0.9053952301; 0.9786368619; 0.8993930789; 0.9065487079
1.050000000;  0.9051423817; 0.9785105323; 0.8989674934; 0.9063566305
1.060000000;  0.9050115219; 0.9783842190; 0.8985473883; 0.9061649375
1.070000000;  0.9047302275; 0.9782579219; 0.8981326786; 0.9059736279
1.080000000;  0.9045463376; 0.9781316412; 0.8977232806; 0.9057827005
1.090000000;  0.9043482283; 0.9780053768; 0.8973191119; 0.9055921541
1.100000000;  0.9041292730; 0.9778791287; 0.8969200914; 0.9054019876
1.110000000;  0.9038979837; 0.9777528969; 0.8965261395; 0.9052121997
1.120000000;  0.9036430012; 0.9776266814; 0.8961371773; 0.9050227895
1.130000000;  0.9034618024; 0.9775004821; 0.8957531277; 0.9048337556
1.140000000;  0.9032777373; 0.9773742992; 0.8953739143; 0.9046450971
