# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9985542757; 0.9999941230; 0.9999999582
0.01000000000;  0.9989292172; 0.9985142449; 0.9997772276; 0.9992736899
0.02000000000;  0.9983861922; 0.9984742156; 0.9995622024; 0.9986701176
0.03000000000;  0.9980028896; 0.9984341880; 0.9993490283; 0.9981627574
0.04000000000;  0.9976572926; 0.9983941620; 0.9991376866; 0.9977308929
0.05000000000;  0.9973790819; 0.9983541375; 0.9989281585; 0.9973583190
0.06000000000;  0.9971453421; 0.9983141147; 0.9987204256; 0.9970323585
0.07000000000;  0.9969001020; 0.9982740935; 0.9985144697; 0.9967430941
0.08000000000;  0.9966494298; 0.9982340739; 0.9983102727; 0.9964827669
0.09000000000;  0.9964095140; 0.9981940559; 0.9981078167; 0.9962453064
0.1000000000;  0.9961844045; 0.9981540395; 0.9979070841; 0.9960259623
0.1100000000;  0.9959477927; 0.9981140247; 0.9977080572; 0.9958210175
0.1200000000;  0.9957394843; 0.9980740115; 0.9975107187; 0.9956275623
0.1300000000;  0.9955365434; 0.9980339999; 0.9973150515; 0.9954433193
0.1400000000;  0.9953396461; 0.9979939899; 0.9971210386; 0.9952665050
0.1500000000;  0.9951400204; 0.9979539815; 0.9969286631; 0.9950957227
0.1600000000;  0.9949390157; 0.9979139748; 0.9967379084; 0.9949298779
0.1700000000;  0.9947535056; 0.9978739696; 0.9965487580; 0.9947681127
0.1800000000;  0.9945531180; 0.9978339660; 0.9963611956; 0.9946097543
0.1900000000;  0.9943594516; 0.9977939641; 0.9961752051; 0.9944542744
0.2000000000;  0.9941745333; 0.9977539637; 0.9959907704; 0.9943012581
0.2100000000;  0.9939990401; 0.9977139649; 0.9958078757; 0.9941503790
0.2200000000;  0.9938241963; 0.9976739678; 0.9956265055; 0.9940013799
0.2300000000;  0.9936729610; 0.9976339722; 0.9954466441; 0.9938540580
0.2400000000;  0.9935244047; 0.9975939783; 0.9952682762; 0.9937082528
0.2500000000;  0.9933650209; 0.9975539859; 0.9950913867; 0.9935638369
0.2600000000;  0.9932062891; 0.9975139952; 0.9949159605; 0.9934207090
0.2700000000;  0.9930617186; 0.9974740061; 0.9947419827; 0.9932787880
0.2800000000;  0.9929164513; 0.9974340185; 0.9945694386; 0.9931380090
0.2900000000;  0.9927731895; 0.9973940326; 0.9943983137; 0.9929983192
0.3000000000;  0.9926305821; 0.9973540483; 0.9942285934; 0.9928596758
0.3100000000;  0.9924879539; 0.9973140655; 0.9940602636; 0.9927220436
0.3200000000;  0.9923534132; 0.9972740844; 0.9938933100; 0.9925853933
0.3300000000;  0.9922120951; 0.9972341049; 0.9937277187; 0.9924497005
0.3400000000;  0.9920734596; 0.9971941270; 0.9935634758; 0.9923149444
0.3500000000;  0.9919496724; 0.9971541506; 0.9934005677; 0.9921811070
0.3600000000;  0.9918170804; 0.9971141759; 0.9932389807; 0.9920481727
0.3700000000;  0.9916783852; 0.9970742028; 0.9930787014; 0.9919161278
0.3800000000;  0.9915389937; 0.9970342313; 0.9929197165; 0.9917849597
0.3900000000;  0.9914158070; 0.9969942614; 0.9927620129; 0.9916546573
0.4000000000;  0.9912898978; 0.9969542931; 0.9926055774; 0.9915252101
0.4100000000;  0.9911592370; 0.9969143264; 0.9924503974; 0.9913966085
0.4200000000;  0.9910312618; 0.9968743613; 0.9922964599; 0.9912688435
0.4300000000;  0.9909032678; 0.9968343978; 0.9921437523; 0.9911419063
0.4400000000;  0.9907739024; 0.9967944359; 0.9919922621; 0.9910157888
0.4500000000;  0.9906526342; 0.9967544756; 0.9918419771; 0.9908904830
0.4600000000;  0.9905232314; 0.9967145169; 0.9916928848; 0.9907659811
0.4700000000;  0.9903924567; 0.9966745598; 0.9915449731; 0.9906422758
0.4800000000;  0.9902691042; 0.9966346044; 0.9913982302; 0.9905193597
0.4900000000;  0.9901464101; 0.9965946505; 0.9912526440; 0.9903972256
0.5000000000;  0.9900358768; 0.9965546982; 0.9911082029; 0.9902758665
0.5100000000;  0.9899158542; 0.9965147475; 0.9909648951; 0.9901552755
0.5200000000;  0.9898025809; 0.9964747984; 0.9908227092; 0.9900354458
0.5300000000;  0.9896872606; 0.9964348510; 0.9906816338; 0.9899163706
0.5400000000;  0.9895705699; 0.9963949051; 0.9905416575; 0.9897980433
0.5500000000;  0.9894525082; 0.9963549608; 0.9904027692; 0.9896804575
0.5600000000;  0.9893486441; 0.9963150181; 0.9902649579; 0.9895636064
0.5700000000;  0.9892373183; 0.9962750771; 0.9901282125; 0.9894474839
0.5800000000;  0.9891225911; 0.9962351376; 0.9899925223; 0.9893320834
0.5900000000;  0.9890078470; 0.9961951997; 0.9898578765; 0.9892173988
0.6000000000;  0.9888971486; 0.9961552634; 0.9897242646; 0.9891034237
0.6100000000;  0.9887884654; 0.9961153288; 0.9895916759; 0.9889901521
0.6200000000;  0.9886763801; 0.9960753957; 0.9894601001; 0.9888775778
0.6300000000;  0.9885703737; 0.9960354642; 0.9893295269; 0.9887656946
0.6400000000;  0.9884575786; 0.9959955344; 0.9891999461; 0.9886544968
0.6500000000;  0.9883420576; 0.9959556061; 0.9890713476; 0.9885439782
0.6600000000;  0.9882346483; 0.9959156794; 0.9889437215; 0.9884341330
0.6700000000;  0.9881204487; 0.9958757544; 0.9888170578; 0.9883249554
