# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9993900755; 0.9999995948; 1.011491319
0.01000000000;  0.9977936558; 0.9993690488; 0.9993082446; 1.011279725
0.02000000000;  0.9972921762; 0.9993480226; 0.9986874428; 1.011069299
0.03000000000;  0.9971671489; 0.9993269968; 0.9981297890; 1.010860033
0.04000000000;  0.9968584196; 0.9993059715; 0.9976286590; 1.010651916
0.05000000000;  0.9964951787; 0.9992849466; 0.9971781235; 1.010444940
0.06000000000;  0.9963291038; 0.9992639221; 0.9967728753; 1.010239093
0.07000000000;  0.9960192647; 0.9992428981; 0.9964081637; 1.010034368
0.08000000000;  0.9957803837; 0.9992218745; 0.9960797366; 1.009830754
0.09000000000;  0.9955599917; 0.9992008514; 0.9957837878; 1.009628243
0.1000000000;  0.9953772720; 0.9991798287; 0.9955169103; 1.009426825
0.1100000000;  0.9951968142; 0.9991588065; 0.9952760547; 1.009226492
0.1200000000;  0.9950914232; 0.9991377847; 0.9950584912; 1.009027233
0.1300000000;  0.9949386394; 0.9991167633; 0.9948617767; 1.008829041
0.1400000000;  0.9948366295; 0.9990957424; 0.9946837240; 1.008631906
0.1500000000;  0.9947456512; 0.9990747220; 0.9945223757; 1.008435819
0.1600000000;  0.9946424129; 0.9990537019; 0.9943759794; 1.008240773
0.1700000000;  0.9945581669; 0.9990326823; 0.9942429668; 1.008046757
0.1800000000;  0.9944658034; 0.9990116632; 0.9941219339; 1.007853764
0.1900000000;  0.9943903646; 0.9989906445; 0.9940116242; 1.007661785
0.2000000000;  0.9943337083; 0.9989696262; 0.9939109128; 1.007470812
0.2100000000;  0.9942590122; 0.9989486084; 0.9938187928; 1.007280835
0.2200000000;  0.9941982659; 0.9989275910; 0.9937343632; 1.007091848
0.2300000000;  0.9941195131; 0.9989065741; 0.9936568172; 1.006903841
0.2400000000;  0.9940444940; 0.9988855576; 0.9935854327; 1.006716807
0.2500000000;  0.9939712457; 0.9988645416; 0.9935195635; 1.006530737
0.2600000000;  0.9939174430; 0.9988435260; 0.9934586311; 1.006345624
0.2700000000;  0.9938572676; 0.9988225108; 0.9934021175; 1.006161459
0.2800000000;  0.9937950467; 0.9988014961; 0.9933495594; 1.005978235
0.2900000000;  0.9937233590; 0.9987804818; 0.9933005419; 1.005795943
0.3000000000;  0.9936625378; 0.9987594680; 0.9932546935; 1.005614576
0.3100000000;  0.9935963961; 0.9987384546; 0.9932116819; 1.005434127
0.3200000000;  0.9935385037; 0.9987174416; 0.9931712095; 1.005254587
0.3300000000;  0.9934893716; 0.9986964291; 0.9931330100; 1.005075949
0.3400000000;  0.9934384494; 0.9986754170; 0.9930968451; 1.004898206
0.3500000000;  0.9933804234; 0.9986544054; 0.9930625012; 1.004721350
0.3600000000;  0.9933299224; 0.9986333942; 0.9930297875; 1.004545373
0.3700000000;  0.9932775941; 0.9986123835; 0.9929985330; 1.004370269
0.3800000000;  0.9932315916; 0.9985913732; 0.9929685846; 1.004196031
0.3900000000;  0.9931758630; 0.9985703633; 0.9929398054; 1.004022650
0.4000000000;  0.9931224198; 0.9985493539; 0.9929120728; 1.003850120
0.4100000000;  0.9930793811; 0.9985283449; 0.9928852769; 1.003678433
0.4200000000;  0.9930304741; 0.9985073364; 0.9928593197; 1.003507584
0.4300000000;  0.9929811595; 0.9984863283; 0.9928341131; 1.003337564
0.4400000000;  0.9929371541; 0.9984653207; 0.9928095784; 1.003168367
0.4500000000;  0.9928905202; 0.9984443135; 0.9927856452; 1.002999986
0.4600000000;  0.9928442437; 0.9984233067; 0.9927622505; 1.002832415
0.4700000000;  0.9927953014; 0.9984023004; 0.9927393378; 1.002665645
0.4800000000;  0.9927569519; 0.9983812945; 0.9927168565; 1.002499672
0.4900000000;  0.9927153546; 0.9983602890; 0.9926947615; 1.002334488
