# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9870514306; 0.9999155474; 0.9999953331
0.01000000000;  0.9577869491; 0.9868359534; 0.9931539719; 0.9768967544
0.02000000000;  0.9381847691; 0.9866205232; 0.9866095860; 0.9571292671
0.03000000000;  0.9252437640; 0.9864051400; 0.9802753095; 0.9402080210
0.04000000000;  0.9151874360; 0.9861898038; 0.9741442928; 0.9257187412
0.05000000000;  0.9065590307; 0.9859745147; 0.9682099100; 0.9133074554
0.06000000000;  0.8978934654; 0.9857592725; 0.9624657507; 0.9026717157
0.07000000000;  0.8900698988; 0.9855440773; 0.9569056139; 0.8935530987
0.08000000000;  0.8824289797; 0.9853289291; 0.9515235006; 0.8857307977
0.09000000000;  0.8757904307; 0.9851138279; 0.9463136074; 0.8790161467
0.1000000000;  0.8707179043; 0.9848987737; 0.9412703200; 0.8732479422
0.1100000000;  0.8666652096; 0.9846837663; 0.9363882073; 0.8682884454
0.1200000000;  0.8636312157; 0.9844688060; 0.9316620152; 0.8640199672
0.1300000000;  0.8613735581; 0.9842538925; 0.9270866609; 0.8603419492
0.1400000000;  0.8599258391; 0.9840390260; 0.9226572272; 0.8571684706
0.1500000000;  0.8591671508; 0.9838242063; 0.9183689573; 0.8544261171
0.1600000000;  0.8586333713; 0.9836094336; 0.9142172495; 0.8520521607
0.1700000000;  0.8584169597; 0.9833947078; 0.9101976521; 0.8499930042
0.1800000000;  0.8582497750; 0.9831800288; 0.9063058585; 0.8482028519
0.1900000000;  0.8581096826; 0.9829653967; 0.9025377025; 0.8466425743
0.2000000000;  0.8579607560; 0.9827508114; 0.8988891538; 0.8452787374
0.2100000000;  0.8577437796; 0.9825362730; 0.8953563135; 0.8440827742
0.2200000000;  0.8574067530; 0.9823217814; 0.8919354096; 0.8430302756
0.2300000000;  0.8568321091; 0.9821073367; 0.8886227933; 0.8421003855
0.2400000000;  0.8560720146; 0.9818929388; 0.8854149346; 0.8412752838
0.2500000000;  0.8552136929; 0.9816785876; 0.8823084188; 0.8405397442
0.2600000000;  0.8544291765; 0.9814642833; 0.8792999423; 0.8398807567
0.2700000000;  0.8536131162; 0.9812500257; 0.8763863093; 0.8392872049
0.2800000000;  0.8527125923; 0.9810358150; 0.8735644282; 0.8387495907
0.2900000000;  0.8517022587; 0.9808216509; 0.8708313081; 0.8382597985
0.3000000000;  0.8507659558; 0.9806075337; 0.8681840558; 0.8378108938
0.3100000000;  0.8498704528; 0.9803934631; 0.8656198721; 0.8373969516
0.3200000000;  0.8490650677; 0.9801794394; 0.8631360494; 0.8370129093
0.3300000000;  0.8483631666; 0.9799654623; 0.8607299683; 0.8366544411
0.3400000000;  0.8476199899; 0.9797515319; 0.8583990945; 0.8363178511
0.3500000000;  0.8469273817; 0.9795376483; 0.8561409767; 0.8359999809
0.3600000000;  0.8462853530; 0.9793238113; 0.8539532433; 0.8356981323
0.3700000000;  0.8456730979; 0.9791100210; 0.8518336001; 0.8354099995
0.3800000000;  0.8452404262; 0.9788962774; 0.8497798276; 0.8351336124
0.3900000000;  0.8447090217; 0.9786825805; 0.8477897788; 0.8348672876
0.4000000000;  0.8441777655; 0.9784689302; 0.8458613767; 0.8346095867
0.4100000000;  0.8436858142; 0.9782553265; 0.8439926118; 0.8343592808
