# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9882851926; 0.9998808370; 0.9999964196
0.01000000000;  0.9524121943; 0.9881320123; 0.9959610459; 0.9751989108
0.02000000000;  0.9305017788; 0.9879788558; 0.9921287837; 0.9554030698
0.03000000000;  0.9241301602; 0.9878257230; 0.9883820607; 0.9395927176
0.04000000000;  0.9223454362; 0.9876726139; 0.9847189324; 0.9269581374
0.05000000000;  0.9178764042; 0.9875195286; 0.9811374985; 0.9168541263
0.06000000000;  0.9126659587; 0.9873664670; 0.9776359020; 0.9087665705
0.07000000000;  0.9079402184; 0.9872134291; 0.9742123279; 0.9022858111
0.08000000000;  0.9036530514; 0.9870604150; 0.9708650027; 0.8970854215
0.09000000000;  0.8993806699; 0.9869074245; 0.9675921931; 0.8929052969
0.1000000000;  0.8959330706; 0.9867544578; 0.9643922052; 0.8895381791
0.1100000000;  0.8933710486; 0.9866015148; 0.9612633837; 0.8868189196
0.1200000000;  0.8913037586; 0.9864485955; 0.9582041107; 0.8846159237
0.1300000000;  0.8894860150; 0.9862956999; 0.9552128054; 0.8828243337
0.1400000000;  0.8879735937; 0.9861428280; 0.9522879226; 0.8813605960
0.1500000000;  0.8871653986; 0.9859899798; 0.9494279526; 0.8801581332
0.1600000000;  0.8864478637; 0.9858371552; 0.9466314197; 0.8791638946
0.1700000000;  0.8855903649; 0.9856843544; 0.9438968820; 0.8783356079
0.1800000000;  0.8850461309; 0.9855315773; 0.9412229301; 0.8776395898
0.1900000000;  0.8846006790; 0.9853788238; 0.9386081868; 0.8770490001
0.2000000000;  0.8840373602; 0.9852260940; 0.9360513064; 0.8765424522
0.2100000000;  0.8838806847; 0.9850733879; 0.9335509733; 0.8761029045
0.2200000000;  0.8837218823; 0.9849207054; 0.9311059024; 0.8757167777
0.2300000000;  0.8834098106; 0.9847680466; 0.9287148373; 0.8753732516
0.2400000000;  0.8830349173; 0.9846154115; 0.9263765505; 0.8750637042
0.2500000000;  0.8827451960; 0.9844628000; 0.9240898423; 0.8747812655
0.2600000000;  0.8823821245; 0.9843102122; 0.9218535401; 0.8745204609
0.2700000000;  0.8818913158; 0.9841576480; 0.9196664983; 0.8742769283
0.2800000000;  0.8813744753; 0.9840051075; 0.9175275971; 0.8740471919
0.2900000000;  0.8810256074; 0.9838525906; 0.9154357422; 0.8738284817
0.3000000000;  0.8807268609; 0.9837000974; 0.9133898642; 0.8736185909
0.3100000000;  0.8803077175; 0.9835476278; 0.9113889180; 0.8734157607
0.3200000000;  0.8797783272; 0.9833951818; 0.9094318823; 0.8732185897
0.3300000000;  0.8793650186; 0.9832427595; 0.9075177590; 0.8730259613
0.3400000000;  0.8789923607; 0.9830903608; 0.9056455726; 0.8728369855
0.3500000000;  0.8784585453; 0.9829379857; 0.9038143700; 0.8726509533
0.3600000000;  0.8779453612; 0.9827856342; 0.9020232194; 0.8724672995
0.3700000000;  0.8775784846; 0.9826333063; 0.9002712106; 0.8722855740
0.3800000000;  0.8772371817; 0.9824810021; 0.8985574538; 0.8721054178
0.3900000000;  0.8769095212; 0.9823287214; 0.8968810795; 0.8719265449
0.4000000000;  0.8765481055; 0.9821764644; 0.8952412381; 0.8717487274
0.4100000000;  0.8762656434; 0.9820242310; 0.8936370991; 0.8715717838
0.4200000000;  0.8759139599; 0.9818720211; 0.8920678510; 0.8713955691
0.4300000000;  0.8755257007; 0.9817198349; 0.8905327008; 0.8712199680
0.4400000000;  0.8752178135; 0.9815676722; 0.8890308734; 0.8710448885
0.4500000000;  0.8748589506; 0.9814155331; 0.8875616114; 0.8708702572
0.4600000000;  0.8745636148; 0.9812634176; 0.8861241746; 0.8706960157
0.4700000000;  0.8742647227; 0.9811113257; 0.8847178397; 0.8705221173
0.4800000000;  0.8739974056; 0.9809592573; 0.8833418996; 0.8703485247
0.4900000000;  0.8737546435; 0.9808072125; 0.8819956636; 0.8701752084
0.5000000000;  0.8734229482; 0.9806551913; 0.8806784565; 0.8700021446
0.5100000000;  0.8730683633; 0.9805031937; 0.8793896185; 0.8698293144
0.5200000000;  0.8728128280; 0.9803512196; 0.8781285047; 0.8696567026
0.5300000000;  0.8725143782; 0.9801992690; 0.8768944852; 0.8694842973
0.5400000000;  0.8722331069; 0.9800473421; 0.8756869439; 0.8693120887
0.5500000000;  0.8719465216; 0.9798954386; 0.8745052792; 0.8691400690
0.5600000000;  0.8717010230; 0.9797435587; 0.8733489029; 0.8689682321
0.5700000000;  0.8714400199; 0.9795917024; 0.8722172402; 0.8687965730
0.5800000000;  0.8711860100; 0.9794398696; 0.8711097294; 0.8686250877
0.5900000000;  0.8708728929; 0.9792880603; 0.8700258215; 0.8684537729
0.6000000000;  0.8706198588; 0.9791362745; 0.8689649803; 0.8682826260
0.6100000000;  0.8703513146; 0.9789845123; 0.8679266813; 0.8681116449
0.6200000000;  0.8700873027; 0.9788327736; 0.8669104122; 0.8679408279
0.6300000000;  0.8697588891; 0.9786810584; 0.8659156724; 0.8677701734
0.6400000000;  0.8694726354; 0.9785293667; 0.8649419726; 0.8675996805
0.6500000000;  0.8693003102; 0.9783776986; 0.8639888345; 0.8674293480
0.6600000000;  0.8690410683; 0.9782260539; 0.8630557909; 0.8672591752
0.6700000000;  0.8687793255; 0.9780744328; 0.8621423850; 0.8670891614
0.6800000000;  0.8685594130; 0.9779228351; 0.8612481706; 0.8669193059
0.6900000000;  0.8683215230; 0.9777712610; 0.8603727115; 0.8667496084
0.7000000000;  0.8680501683; 0.9776197103; 0.8595155814; 0.8665800683
0.7100000000;  0.8677474531; 0.9774681832; 0.8586763639; 0.8664106853
0.7200000000;  0.8674306157; 0.9773166795; 0.8578546517; 0.8662414590
0.7300000000;  0.8671999638; 0.9771651993; 0.8570500472; 0.8660723890
0.7400000000;  0.8669361905; 0.9770137426; 0.8562621614; 0.8659034752
0.7500000000;  0.8667079324; 0.9768623093; 0.8554906145; 0.8657347172
0.7600000000;  0.8665116769; 0.9767108996; 0.8547350351; 0.8655661148
0.7700000000;  0.8662699752; 0.9765595133; 0.8539950604; 0.8653976677
0.7800000000;  0.8659930280; 0.9764081504; 0.8532703358; 0.8652293756
0.7900000000;  0.8657459706; 0.9762568110; 0.8525605146; 0.8650612385
0.8000000000;  0.8655372611; 0.9761054951; 0.8518652583; 0.8648932560
0.8100000000;  0.8653200687; 0.9759542027; 0.8511842358; 0.8647254280
0.8200000000;  0.8651134103; 0.9758029336; 0.8505171237; 0.8645577542
0.8300000000;  0.8648929845; 0.9756516881; 0.8498636058; 0.8643902345
0.8400000000;  0.8646823894; 0.9755004659; 0.8492233733; 0.8642228686
0.8500000000;  0.8644354784; 0.9753492672; 0.8485961243; 0.8640556563
0.8600000000;  0.8642262277; 0.9751980920; 0.8479815638; 0.8638885975
0.8700000000;  0.8639785420; 0.9750469402; 0.8473794033; 0.8637216920
0.8800000000;  0.8637646462; 0.9748958118; 0.8467893612; 0.8635549395
0.8900000000;  0.8635316901; 0.9747447068; 0.8462111621; 0.8633883399
0.9000000000;  0.8633797538; 0.9745936252; 0.8456445368; 0.8632218930
