# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9936807769; 0.9998066622; 0.9999901154
0.01000000000;  0.9899810861; 0.9934050076; 0.9988394867; 0.9968592829
0.02000000000;  0.9845683047; 0.9931293149; 0.9978768584; 0.9938471194
0.03000000000;  0.9808128880; 0.9928536987; 0.9969187514; 0.9909485918
0.04000000000;  0.9776998414; 0.9925781589; 0.9959651399; 0.9881588813
0.05000000000;  0.9749361981; 0.9923026957; 0.9950159981; 0.9854733740
0.06000000000;  0.9727020824; 0.9920273089; 0.9940713005; 0.9828876520
0.07000000000;  0.9703267912; 0.9917519985; 0.9931310217; 0.9803974855
0.08000000000;  0.9680741616; 0.9914767645; 0.9921951365; 0.9779988245
0.09000000000;  0.9658962488; 0.9912016069; 0.9912636196; 0.9756877911
0.1000000000;  0.9638953278; 0.9909265257; 0.9903364462; 0.9734606725
0.1100000000;  0.9620428133; 0.9906515208; 0.9894135914; 0.9713139138
0.1200000000;  0.9604538869; 0.9903765922; 0.9884950306; 0.9692441111
0.1300000000;  0.9589424147; 0.9901017399; 0.9875807391; 0.9672480054
0.1400000000;  0.9575892832; 0.9898269639; 0.9866706927; 0.9653224761
0.1500000000;  0.9563344716; 0.9895522642; 0.9857648670; 0.9634645356
0.1600000000;  0.9551302628; 0.9892776407; 0.9848632380; 0.9616713230
0.1700000000;  0.9540096411; 0.9890030934; 0.9839657816; 0.9599400993
0.1800000000;  0.9529316631; 0.9887286223; 0.9830724740; 0.9582682420
0.1900000000;  0.9519326653; 0.9884542273; 0.9821832915; 0.9566532399
0.2000000000;  0.9509929544; 0.9881799086; 0.9812982106; 0.9550926886
0.2100000000;  0.9500636274; 0.9879056659; 0.9804172078; 0.9535842863
0.2200000000;  0.9491642716; 0.9876314994; 0.9795402599; 0.9521258286
0.2300000000;  0.9482741905; 0.9873574089; 0.9786673435; 0.9507152051
0.2400000000;  0.9474003449; 0.9870833945; 0.9777984359; 0.9493503951
0.2500000000;  0.9465367242; 0.9868094562; 0.9769335139; 0.9480294639
0.2600000000;  0.9457037805; 0.9865355939; 0.9760725550; 0.9467505588
0.2700000000;  0.9448737221; 0.9862618076; 0.9752155364; 0.9455119061
0.2800000000;  0.9440431982; 0.9859880973; 0.9743624356; 0.9443118075
0.2900000000;  0.9432171932; 0.9857144629; 0.9735132304; 0.9431486369
0.3000000000;  0.9424148750; 0.9854409045; 0.9726678983; 0.9420208372
0.3100000000;  0.9416165218; 0.9851674219; 0.9718264174; 0.9409269177
0.3200000000;  0.9408469346; 0.9848940153; 0.9709887656; 0.9398654510
0.3300000000;  0.9400982537; 0.9846206846; 0.9701549211; 0.9388350704
0.3400000000;  0.9393590920; 0.9843474297; 0.9693248621; 0.9378344672
0.3500000000;  0.9386192629; 0.9840742507; 0.9684985671; 0.9368623884
0.3600000000;  0.9379039174; 0.9838011474; 0.9676760145; 0.9359176345
0.3700000000;  0.9371950024; 0.9835281200; 0.9668571830; 0.9349990565
0.3800000000;  0.9365090742; 0.9832551683; 0.9660420514; 0.9341055548
0.3900000000;  0.9358248084; 0.9829822924; 0.9652305985; 0.9332360762
0.4000000000;  0.9351562253; 0.9827094922; 0.9644228033; 0.9323896124
0.4100000000;  0.9345092637; 0.9824367677; 0.9636186450; 0.9315651978
0.4200000000;  0.9338637986; 0.9821641189; 0.9628181029; 0.9307619081
0.4300000000;  0.9332262825; 0.9818915458; 0.9620211562; 0.9299788580
0.4400000000;  0.9326000297; 0.9816190483; 0.9612277845; 0.9292152002
0.4500000000;  0.9319809126; 0.9813466265; 0.9604379674; 0.9284701231
0.4600000000;  0.9313720306; 0.9810742802; 0.9596516846; 0.9277428497
