# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 31836.271368
0.040020; 1274.072050; 64126.239331
0.080039; 3840.372867; 72608.651766
0.120059; 6746.135692; 61201.571202
0.160078; 9195.392717; 44371.020398
0.200098; 10971.099309; 28841.015537
0.240117; 12125.302682; 21012.808854
0.280137; 12966.225042; 18041.157639
0.320156; 13688.223370; 17026.785441
0.360176; 14369.627018; 17166.381494
0.400195; 15056.617231; 15700.012518
0.440215; 15684.924074; 14049.636970
0.480234; 16247.183692; 12029.276091
0.520254; 16728.589453; 10104.274650
0.560273; 17132.957596; 9067.382453
0.600293; 17495.829818; 8128.129713
0.640312; 17821.113605; 7419.956408
0.680332; 18118.056641; 6788.723275
0.720351; 18389.738034; 6189.430928
0.760371; 18637.436041; 5580.077608
0.800390; 18860.748025; 5025.098039
0.840410; 19061.849997; 4964.738544
0.880429; 19260.536412; 4563.879074
0.920449; 19443.180626; 4663.209159
0.960468; 19629.799982; 4341.697242
1.000488; 19803.552588; 4379.904188
1.040507; 19978.834217; 4206.558347
1.080527; 20147.178630; 4279.395180
1.120546; 20318.437937; 4193.468153
1.160566; 20486.258487; 4126.366015
1.200585; 20651.393642; 4013.293568
1.240605; 20812.003693; 3808.384758
1.280624; 20964.413394; 3719.669110
1.320644; 21113.272737; 3547.127010
1.360663; 21255.227029; 3499.810826
1.400683; 21395.287752; 3390.990887
1.440702; 21530.993553; 3342.550361
1.480722; 21664.760788; 3294.062116
1.520741; 21796.587547; 3192.804194
1.560761; 21924.362013; 3050.687544
1.600780; 22046.449040; 2742.722664
1.640800; 22156.211463; 2537.430817
1.680820; 22257.758207; 2361.680274
1.720839; 22352.271500; 2355.920433
1.760859; 22446.554286; 2401.455715
1.800878; 22542.659372; 2537.308753
1.840898; 22644.201231; 2644.393534
1.880917; 22750.028570; 2644.287378
1.920937; 22855.851661; 2564.090746
1.960956; 22958.465322; 2429.164552
2.000976; 23055.679302; 2318.983110
2.040995; 23148.483875; 2242.483193
2.081015; 23238.226959; 2240.040920
2.121034; 23327.872304; 2270.332676
2.161054; 23418.729910; 2327.954596
2.201073; 23511.893517; 2368.842565
2.241093; 23606.693441; 2341.693483
2.281112; 23700.406872; 2282.497361
2.321132; 23791.751303; 2188.045751
2.361151; 23879.315827; 2074.620932
2.401171; 23962.341144; 1959.308109
2.441190; 24040.751699; 1911.227694
2.481210; 24117.238099; 1967.150286
2.521229; 24195.962494; 2088.566191
2.561249; 24279.545894; 2175.413588
2.601268; 24366.604885; 2203.712505
2.641288; 24454.796384; 2154.890616
2.681307; 24541.034055; 2074.942849
2.721327; 24624.072256; 2017.455321
2.761346; 24704.809834; 1974.821579
2.801366; 24783.841230; 1972.112892
2.841385; 24862.764226; 1956.325601
2.881405; 24941.055422; 1956.557743
2.921424; 25019.355909; 1979.745415
2.961444; 25098.584355; 2038.839702
3.001463; 25180.177725; 2158.829195
3.041483; 25266.573016; 2290.902614
3.081502; 25358.253821; 2440.953557
3.121522; 25455.939592; 2535.715744
3.161541; 25557.417699; 2550.578263
3.201561; 25659.490597; 2480.604503
3.241580; 25758.763179; 2362.637101
3.281600; 25853.314763; 2298.158975
3.321620; 25945.285965; 2308.316238
3.361639; 26037.663654; 2370.275382
3.401659; 26132.520919; 2417.093025
3.441678; 26229.251803; 2350.985836
3.481698; 26323.337109; 2224.292361
3.521717; 26412.352204; 2079.065256
3.561737; 26495.555382; 2009.837924
3.601756; 26575.988115; 2000.775579
3.641776; 26656.058178; 2096.590538
3.681795; 26739.962708; 2150.848393
3.721815; 26826.038612; 2185.520393
3.761834; 26913.502072; 2180.145881
3.801854; 27000.750447; 2172.640039
3.841873; 27087.698441; 2185.862428
3.881893; 27175.175589; 2183.426732
3.921912; 27262.555262; 2197.639162
3.961932; 27350.503709; 2190.701417
4.001951; 27438.174511; 2247.710476
4.041971; 27528.126788; 2270.411412
4.081990; 27618.987545; 2297.049827
4.122010; 27710.914359; 2235.778341
4.162029; 27800.389117; 2173.612397
4.202049; 27887.376025; 2026.876414
4.242068; 27968.490631; 1921.174915
4.282088; 28045.375113; 1837.909529
4.322107; 28118.927356; 1842.309660
4.362127; 28192.655690; 1840.430833
4.402146; 28266.308834; 1915.511650
4.442166; 28342.966676; 1924.544470
4.482185; 28419.986007; 1867.676787
4.522205; 28494.729521; 1737.274828
4.562224; 28564.254412; 1647.314455
4.602244; 28630.179133; 1649.195957
4.642263; 28696.179151; 1750.911763
4.682283; 28766.249785; 1915.260512
4.722302; 28842.897577; 2060.579216
4.762322; 28925.360952; 2149.671908
4.802341; 29011.389773; 2165.868083
4.842361; 29098.066757; 2060.654529
4.882380; 29180.533146; 1894.078341
4.922400; 29256.333238; 1746.248815
4.962420; 29326.217263; 1694.255786
5.002439; 29394.020553; 1671.419710
