# Tau / ps;  Linear Fit to MSD / pm^2
20.5100;  52277.4891
20.6128;  52401.8632
20.7156;  52526.2373
20.8184;  52650.6113
20.9212;  52774.9854
21.0240;  52899.3595
21.1268;  53023.7335
21.2296;  53148.1076
21.3325;  53272.4817
21.4353;  53396.8558
21.5381;  53521.2298
21.6409;  53645.6039
21.7437;  53769.9780
21.8465;  53894.3520
21.9493;  54018.7261
22.0521;  54143.1002
22.1549;  54267.4742
22.2577;  54391.8483
22.3605;  54516.2224
22.4633;  54640.5964
22.5661;  54764.9705
22.6689;  54889.3446
22.7718;  55013.7186
22.8746;  55138.0927
22.9774;  55262.4668
23.0802;  55386.8409
23.1830;  55511.2149
23.2858;  55635.5890
23.3886;  55759.9631
23.4914;  55884.3371
23.5942;  56008.7112
23.6970;  56133.0853
23.7998;  56257.4593
23.9026;  56381.8334
24.0054;  56506.2075
24.1082;  56630.5815
24.2111;  56754.9556
24.3139;  56879.3297
24.4167;  57003.7037
24.5195;  57128.0778
24.6223;  57252.4519
24.7251;  57376.8260
24.8279;  57501.2000
24.9307;  57625.5741
25.0335;  57749.9482
25.1363;  57874.3222
25.2391;  57998.6963
25.3419;  58123.0704
25.4447;  58247.4444
25.5475;  58371.8185
25.6504;  58496.1926
25.7532;  58620.5666
25.8560;  58744.9407
25.9588;  58869.3148
26.0616;  58993.6888
26.1644;  59118.0629
26.2672;  59242.4370
26.3700;  59366.8111
26.4728;  59491.1851
26.5756;  59615.5592
26.6784;  59739.9333
26.7812;  59864.3073
26.8840;  59988.6814
26.9868;  60113.0555
27.0896;  60237.4295
27.1925;  60361.8036
27.2953;  60486.1777
27.3981;  60610.5517
27.5009;  60734.9258
27.6037;  60859.2999
27.7065;  60983.6739
27.8093;  61108.0480
27.9121;  61232.4221
28.0149;  61356.7962
28.1177;  61481.1702
28.2205;  61605.5443
28.3233;  61729.9184
28.4261;  61854.2924
28.5289;  61978.6665
28.6318;  62103.0406
28.7346;  62227.4146
28.8374;  62351.7887
28.9402;  62476.1628
29.0430;  62600.5368
29.1458;  62724.9109
29.2486;  62849.2850
29.3514;  62973.6590
29.4542;  63098.0331
29.5570;  63222.4072
29.6598;  63346.7813
29.7626;  63471.1553
29.8654;  63595.5294
29.9682;  63719.9035
30.0711;  63844.2775
30.1739;  63968.6516
30.2767;  64093.0257
30.3795;  64217.3997
30.4823;  64341.7738
30.5851;  64466.1479
30.6879;  64590.5219
30.7907;  64714.8960
30.8935;  64839.2701
30.9963;  64963.6441
31.0991;  65088.0182
31.2019;  65212.3923
31.3047;  65336.7664
31.4075;  65461.1404
31.5104;  65585.5145
31.6132;  65709.8886
31.7160;  65834.2626
31.8188;  65958.6367
31.9216;  66083.0108
32.0244;  66207.3848
32.1272;  66331.7589
32.2300;  66456.1330
32.3328;  66580.5070
32.4356;  66704.8811
32.5384;  66829.2552
32.6412;  66953.6292
32.7440;  67078.0033
32.8468;  67202.3774
32.9496;  67326.7515
33.0525;  67451.1255
33.1553;  67575.4996
33.2581;  67699.8737
33.3609;  67824.2477
33.4637;  67948.6218
33.5665;  68072.9959
33.6693;  68197.3699
33.7721;  68321.7440
33.8749;  68446.1181
33.9777;  68570.4921
34.0805;  68694.8662
34.1833;  68819.2403
34.2861;  68943.6143
34.3889;  69067.9884
34.4918;  69192.3625
34.5946;  69316.7366
34.6974;  69441.1106
34.8002;  69565.4847
34.9030;  69689.8588
35.0058;  69814.2328
35.1086;  69938.6069
35.2114;  70062.9810
35.3142;  70187.3550
35.4170;  70311.7291
35.5198;  70436.1032
35.6226;  70560.4772
35.7254;  70684.8513
35.8282;  70809.2254
35.9311;  70933.5994
36.0339;  71057.9735
36.1367;  71182.3476
36.2395;  71306.7217
36.3423;  71431.0957
36.4451;  71555.4698
36.5479;  71679.8439
36.6507;  71804.2179
36.7535;  71928.5920
36.8563;  72052.9661
36.9591;  72177.3401
37.0619;  72301.7142
37.1647;  72426.0883
37.2675;  72550.4623
37.3704;  72674.8364
37.4732;  72799.2105
37.5760;  72923.5845
37.6788;  73047.9586
37.7816;  73172.3327
37.8844;  73296.7067
37.9872;  73421.0808
38.0900;  73545.4549
38.1928;  73669.8290
38.2956;  73794.2030
38.3984;  73918.5771
38.5012;  74042.9512
38.6040;  74167.3252
38.7068;  74291.6993
38.8096;  74416.0734
38.9125;  74540.4474
39.0153;  74664.8215
39.1181;  74789.1956
39.2209;  74913.5696
39.3237;  75037.9437
39.4265;  75162.3178
39.5293;  75286.6918
39.6321;  75411.0659
39.7349;  75535.4400
39.8377;  75659.8141
39.9405;  75784.1881
40.0433;  75908.5622
40.1461;  76032.9363
40.2489;  76157.3103
40.3518;  76281.6844
40.4546;  76406.0585
40.5574;  76530.4325
40.6602;  76654.8066
40.7630;  76779.1807
40.8658;  76903.5547
40.9686;  77027.9288
