# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 18211.332819
0.040020; 728.808656; 28757.342304
0.080039; 1879.663467; 41461.117531
0.120059; 3538.917166; 33167.236342
0.160078; 4866.253785; 32625.556392
0.200098; 6171.912637; 21739.635110
0.240117; 7041.922229; 21462.588819
0.280137; 7900.844564; 16537.878992
0.320156; 8562.682414; 17870.296674
0.360176; 9277.842970; 14781.095559
0.400195; 9869.375204; 14423.342851
0.440215; 10446.590349; 12428.561256
0.480234; 10943.975308; 10614.852419
0.520254; 11368.776523; 9527.375086
0.560273; 11750.057427; 7372.243867
0.600293; 12045.091030; 7228.058845
0.640312; 12334.354419; 5040.728176
0.680332; 12536.081902; 5988.415194
0.720351; 12775.735357; 4040.581953
0.760371; 12937.437476; 5141.473798
0.800390; 13143.196749; 3329.414833
0.840410; 13276.438306; 4357.310959
0.880429; 13450.815766; 3108.324343
0.920449; 13575.209389; 3914.661521
0.960468; 13731.872234; 2898.870678
1.000488; 13847.883624; 3555.978300
1.040507; 13990.192141; 3196.523679
1.080527; 14118.115460; 3516.906457
1.120546; 14258.860341; 3408.866205
1.160566; 14395.281503; 3482.335591
1.200585; 14534.642875; 3690.639738
1.240605; 14682.340477; 3497.955104
1.280624; 14822.326934; 3774.645693
1.320644; 14973.386413; 3452.061837
1.360663; 15111.536244; 3749.520305
1.400683; 15261.590217; 3360.634646
1.440702; 15396.081177; 3549.029564
1.480722; 15538.111609; 3263.385600
1.520741; 15668.710708; 3456.993536
1.560761; 15807.057903; 3352.626199
1.600780; 15941.228368; 3450.810364
1.640800; 16079.328116; 3430.626634
1.680820; 16216.620120; 3366.333816
1.720839; 16351.339158; 3463.437017
1.760859; 16489.944217; 3263.696602
1.800878; 16620.555763; 3341.671577
1.840898; 16754.287830; 2966.921883
1.880917; 16873.022596; 3087.072241
1.920937; 16996.565722; 2787.367792
1.960956; 17108.114821; 3091.797434
2.000976; 17231.847046; 2906.599092
2.040995; 17348.167724; 3186.577623
2.081015; 17475.693006; 2993.581319
2.121034; 17595.494670; 3128.976930
2.161054; 17720.714800; 2918.753229
2.201073; 17837.521881; 2980.264865
2.241093; 17956.790627; 2791.066407
2.281112; 18068.487743; 2786.333433
2.321132; 18179.995448; 2668.482599
2.361151; 18286.786820; 2674.809083
2.401171; 18393.831374; 2647.968772
2.441190; 18499.801793; 2633.399661
2.481210; 18605.189163; 2635.122384
2.521229; 18710.645475; 2643.320113
2.561249; 18816.429857; 2728.645742
2.601268; 18925.628928; 2812.855239
2.641288; 19038.198023; 2908.603248
2.681307; 19154.598906; 2963.696319
2.721327; 19273.204587; 3006.081526
2.761346; 19393.506503; 3003.286625
2.801366; 19513.696569; 2961.871083
2.841385; 19632.229205; 2924.363864
2.881405; 19749.260820; 2902.106683
2.921424; 19865.401714; 2953.339265
2.961444; 19983.592911; 2978.537329
3.001463; 20102.792522; 3028.893511
3.041483; 20224.007363; 3037.261719
3.081502; 20345.557095; 3072.225775
3.121522; 20468.506072; 3065.719581
3.161541; 20591.194674; 3111.048844
3.201561; 20715.697331; 3104.751519
3.241580; 20839.947972; 3118.769124
3.281600; 20964.759591; 3129.785283
3.321620; 21090.012072; 3145.927881
3.361639; 21215.910571; 3129.745996
3.401659; 21341.161479; 3104.007168
3.441678; 21465.382332; 3074.900051
3.481698; 21588.438332; 2999.274691
3.521717; 21708.467842; 3009.849857
3.561737; 21828.920565; 2953.380748
3.601756; 21947.113422; 2976.907072
3.641776; 22066.247791; 2891.902566
3.681795; 22181.980321; 2881.617328
3.721815; 22297.301240; 2803.882117
3.761834; 22409.511235; 2811.350201
3.801854; 22522.020099; 2766.279675
3.841873; 22632.725262; 2847.504061
3.881893; 22746.680985; 2840.098659
3.921912; 22860.340348; 2880.248245
3.961932; 22975.606478; 2853.311165
4.001951; 23089.794599; 2873.890118
4.041971; 23204.806280; 2872.086659
4.081990; 23319.745787; 2914.422622
4.122010; 23436.379558; 2941.008470
4.162029; 23554.077283; 2960.440151
4.202049; 23672.552653; 2975.021029
4.242068; 23791.611544; 2892.088582
4.282088; 23907.351518; 2825.956152
4.322107; 24020.444905; 2771.534682
4.362127; 24131.360371; 2747.327200
4.402146; 24241.307065; 2728.960597
4.442166; 24350.518737; 2757.642495
4.482185; 24460.878244; 2743.586267
4.522205; 24570.675228; 2715.671315
4.562224; 24679.355070; 2634.839179
4.602244; 24784.800048; 2608.714928
4.642263; 24889.199547; 2602.310722
4.682283; 24993.342753; 2600.552584
4.722302; 25097.415599; 2641.630616
4.762322; 25203.132367; 2715.643124
4.802341; 25311.811081; 2762.024202
4.842361; 25422.345942; 2770.667614
4.882380; 25533.226708; 2778.600587
4.922400; 25644.424948; 2755.073289
4.962420; 25754.681637; 2723.844241
5.002439; 25863.688555; 2653.867827
5.042459; 25969.895051; 2644.128596
5.082478; 26075.711788; 2654.634865
5.122498; 26181.948980; 2709.400285
5.162517; 26290.377858; 2755.964307
5.202537; 26400.670205; 2776.490786
5.242556; 26511.784012; 2732.006898
5.282576; 26621.117595; 2669.903333
5.322595; 26727.965824; 2579.763355
5.362615; 26831.206695; 2535.017337
5.402634; 26932.656852; 2468.998711
5.442654; 27031.464977; 2455.732010
5.482673; 27129.742174; 2452.322381
5.522693; 27227.882919; 2470.350119
5.562712; 27326.745126; 2481.985160
5.602732; 27426.072961; 2474.498903
5.642751; 27525.101200; 2469.460400
5.682771; 27623.927801; 2491.546628
5.722790; 27723.638281; 2552.019607
5.762810; 27825.768861; 2595.263469
