# Tau / ps;  Linear Fit to MSD / pm^2
20.5100;  57910.0338
20.6128;  58091.3405
20.7156;  58272.6472
20.8184;  58453.9539
20.9212;  58635.2606
21.0240;  58816.5673
21.1268;  58997.8740
21.2296;  59179.1807
21.3325;  59360.4874
21.4353;  59541.7941
21.5381;  59723.1008
21.6409;  59904.4075
21.7437;  60085.7142
21.8465;  60267.0209
21.9493;  60448.3276
22.0521;  60629.6343
22.1549;  60810.9410
22.2577;  60992.2477
22.3605;  61173.5544
22.4633;  61354.8611
22.5661;  61536.1678
22.6689;  61717.4745
22.7718;  61898.7812
22.8746;  62080.0879
22.9774;  62261.3946
23.0802;  62442.7013
23.1830;  62624.0080
23.2858;  62805.3147
23.3886;  62986.6214
23.4914;  63167.9281
23.5942;  63349.2348
23.6970;  63530.5415
23.7998;  63711.8482
23.9026;  63893.1549
24.0054;  64074.4616
24.1082;  64255.7684
24.2111;  64437.0751
24.3139;  64618.3818
24.4167;  64799.6885
24.5195;  64980.9952
24.6223;  65162.3019
24.7251;  65343.6086
24.8279;  65524.9153
24.9307;  65706.2220
25.0335;  65887.5287
25.1363;  66068.8354
25.2391;  66250.1421
25.3419;  66431.4488
25.4447;  66612.7555
25.5475;  66794.0622
25.6504;  66975.3689
25.7532;  67156.6756
25.8560;  67337.9823
25.9588;  67519.2890
26.0616;  67700.5957
26.1644;  67881.9024
26.2672;  68063.2091
26.3700;  68244.5158
26.4728;  68425.8225
26.5756;  68607.1292
26.6784;  68788.4359
26.7812;  68969.7426
26.8840;  69151.0493
26.9868;  69332.3560
27.0896;  69513.6627
27.1925;  69694.9694
27.2953;  69876.2761
27.3981;  70057.5828
27.5009;  70238.8895
27.6037;  70420.1962
27.7065;  70601.5029
27.8093;  70782.8096
27.9121;  70964.1163
28.0149;  71145.4230
28.1177;  71326.7297
28.2205;  71508.0364
28.3233;  71689.3431
28.4261;  71870.6498
28.5289;  72051.9565
28.6318;  72233.2632
28.7346;  72414.5699
28.8374;  72595.8766
28.9402;  72777.1833
29.0430;  72958.4900
29.1458;  73139.7967
29.2486;  73321.1034
29.3514;  73502.4101
29.4542;  73683.7168
29.5570;  73865.0235
29.6598;  74046.3302
29.7626;  74227.6369
29.8654;  74408.9436
29.9682;  74590.2503
30.0711;  74771.5570
30.1739;  74952.8637
30.2767;  75134.1704
30.3795;  75315.4771
30.4823;  75496.7838
30.5851;  75678.0905
30.6879;  75859.3972
30.7907;  76040.7039
30.8935;  76222.0106
30.9963;  76403.3173
31.0991;  76584.6240
31.2019;  76765.9307
31.3047;  76947.2375
31.4075;  77128.5442
31.5104;  77309.8509
31.6132;  77491.1576
31.7160;  77672.4643
31.8188;  77853.7710
31.9216;  78035.0777
32.0244;  78216.3844
32.1272;  78397.6911
32.2300;  78578.9978
32.3328;  78760.3045
32.4356;  78941.6112
32.5384;  79122.9179
32.6412;  79304.2246
32.7440;  79485.5313
32.8468;  79666.8380
32.9496;  79848.1447
33.0525;  80029.4514
33.1553;  80210.7581
33.2581;  80392.0648
33.3609;  80573.3715
33.4637;  80754.6782
33.5665;  80935.9849
33.6693;  81117.2916
33.7721;  81298.5983
33.8749;  81479.9050
33.9777;  81661.2117
34.0805;  81842.5184
34.1833;  82023.8251
34.2861;  82205.1318
34.3889;  82386.4385
34.4918;  82567.7452
34.5946;  82749.0519
34.6974;  82930.3586
34.8002;  83111.6653
34.9030;  83292.9720
35.0058;  83474.2787
35.1086;  83655.5854
35.2114;  83836.8921
35.3142;  84018.1988
35.4170;  84199.5055
35.5198;  84380.8122
35.6226;  84562.1189
35.7254;  84743.4256
35.8282;  84924.7323
35.9311;  85106.0390
36.0339;  85287.3457
36.1367;  85468.6524
36.2395;  85649.9591
36.3423;  85831.2658
36.4451;  86012.5725
36.5479;  86193.8792
36.6507;  86375.1859
36.7535;  86556.4926
36.8563;  86737.7993
36.9591;  86919.1060
37.0619;  87100.4127
37.1647;  87281.7194
37.2675;  87463.0261
37.3704;  87644.3328
37.4732;  87825.6395
37.5760;  88006.9462
37.6788;  88188.2529
37.7816;  88369.5596
37.8844;  88550.8663
37.9872;  88732.1730
38.0900;  88913.4797
38.1928;  89094.7864
38.2956;  89276.0931
38.3984;  89457.3998
38.5012;  89638.7066
38.6040;  89820.0133
38.7068;  90001.3200
38.8096;  90182.6267
38.9125;  90363.9334
39.0153;  90545.2401
39.1181;  90726.5468
39.2209;  90907.8535
39.3237;  91089.1602
39.4265;  91270.4669
39.5293;  91451.7736
39.6321;  91633.0803
39.7349;  91814.3870
39.8377;  91995.6937
39.9405;  92177.0004
40.0433;  92358.3071
40.1461;  92539.6138
40.2489;  92720.9205
40.3518;  92902.2272
40.4546;  93083.5339
40.5574;  93264.8406
40.6602;  93446.1473
40.7630;  93627.4540
40.8658;  93808.7607
40.9686;  93990.0674
