# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 32702.632611
0.040020; 1308.743405; 25199.875411
0.080039; 2317.230126; 24195.730600
0.120059; 3285.531462; 24833.525256
0.160078; 4279.357029; 21070.088173
0.200098; 5122.571679; 17369.575885
0.240117; 5817.693633; 13853.816689
0.280137; 6372.116619; 10755.741734
0.320156; 6802.556157; 8792.726937
0.360176; 7154.436799; 7528.224195
0.400195; 7455.712659; 6784.352798
0.440215; 7727.219149; 6301.074323
0.480234; 7979.385070; 5918.022775
0.520254; 8216.221454; 5644.533290
0.560273; 8442.112923; 5234.401230
0.600293; 8651.591107; 4890.581815
0.640312; 8847.309805; 4596.518380
0.680332; 9031.260229; 4445.481937
0.720351; 9209.166247; 4177.210018
0.760371; 9376.336155; 4090.902228
0.800390; 9540.052066; 3842.236842
0.840410; 9693.816510; 3694.472057
0.880429; 9841.667480; 3493.756948
0.920449; 9981.485929; 3359.857220
0.960468; 10115.945776; 3218.298733
1.000488; 10244.740521; 3141.711163
1.040507; 10370.470269; 3104.659098
1.080527; 10494.717212; 3087.068168
1.120546; 10618.260174; 3009.512645
1.160566; 10738.699402; 2988.302583
1.200585; 10858.289814; 2964.328556
1.240605; 10976.920797; 2934.270593
1.280624; 11094.348874; 2963.267537
1.320644; 11212.937396; 2934.639622
1.360663; 11330.380242; 2947.095925
1.400683; 11448.321583; 2889.089848
1.440702; 11563.941550; 2854.191634
1.480722; 11678.164907; 2867.420936
1.520741; 11792.917694; 2764.553732
1.560761; 11903.553785; 2706.132024
1.600780; 12011.851869; 2625.224560
1.640800; 12116.912075; 2609.337139
1.680820; 12221.336475; 2555.625431
1.720839; 12323.611358; 2527.712559
1.760859; 12424.769181; 2516.406214
1.800878; 12525.474531; 2502.965787
1.840898; 12625.642000; 2523.088379
1.880917; 12726.614767; 2473.584333
1.920937; 12825.606405; 2477.859526
1.960956; 12924.769134; 2471.080731
2.000976; 13023.660580; 2432.008239
2.040995; 13120.988363; 2411.489534
2.081015; 13217.494998; 2400.921725
2.121034; 13313.578714; 2386.975631
2.161054; 13409.104315; 2335.862988
2.201073; 13502.584412; 2332.400717
2.241093; 13595.925951; 2272.582030
2.281112; 13686.873575; 2299.303046
2.321132; 13778.890562; 2280.352309
2.361151; 13870.149149; 2266.186305
2.401171; 13960.840819; 2254.573273
2.441190; 14051.067742; 2267.001499
2.481210; 14141.792036; 2279.062546
2.521229; 14232.999007; 2241.684885
2.561249; 14322.710143; 2292.315697
2.601268; 14414.447499; 2352.441513
2.641288; 14508.591060; 2426.525273
2.681307; 14605.699418; 2435.345422
2.721327; 14703.160754; 2453.647491
2.761346; 14801.354530; 2458.919747
2.801366; 14899.759299; 2451.943159
2.841385; 14997.884868; 2420.924766
2.881405; 15094.769096; 2426.650934
2.921424; 15191.882483; 2433.507325
2.961444; 15289.270259; 2466.522021
3.001463; 15387.979267; 2511.149887
3.041483; 15488.474260; 2480.632484
3.081502; 15587.747962; 2488.924582
3.121522; 15687.353510; 2521.702150
3.161541; 15788.270800; 2507.393405
3.201561; 15888.615461; 2517.456993
3.241580; 15989.362862; 2519.391795
3.281600; 16090.187692; 2533.588164
3.321620; 16191.580655; 2507.325377
3.361639; 16291.922593; 2490.454356
3.401659; 16391.589362; 2480.809679
3.441678; 16490.870155; 2481.387405
3.481698; 16590.174068; 2507.413065
3.521717; 16690.519516; 2471.181394
3.561737; 16789.414990; 2506.954685
3.601756; 16889.742094; 2491.304523
3.641776; 16989.442885; 2473.979075
3.681795; 17088.450321; 2515.938763
3.721815; 17189.136963; 2485.340758
3.761834; 17288.599088; 2487.573469
3.801854; 17388.150565; 2493.512165
3.841873; 17487.939705; 2521.525381
3.881893; 17588.849921; 2515.959852
3.921912; 17689.537407; 2528.699775
3.961932; 17790.734738; 2507.473106
4.001951; 17891.082589; 2499.842056
4.041971; 17991.125048; 2480.511199
4.081990; 18090.393897; 2453.764671
4.122010; 18188.592362; 2399.769274
4.162029; 18284.629958; 2428.673160
4.202049; 18381.824273; 2431.722403
4.242068; 18479.140617; 2425.672928
4.282088; 18576.214864; 2398.357278
4.322107; 18672.195953; 2401.614779
4.362127; 18768.307405; 2378.255986
4.402146; 18863.484049; 2380.321553
4.442166; 18958.743356; 2355.242831
4.482185; 19052.999026; 2368.117918
4.522205; 19147.769950; 2316.163254
4.562224; 19240.461673; 2342.136716
4.602244; 19334.192842; 2310.827504
4.642263; 19426.671032; 2285.050515
4.682283; 19518.117638; 2299.802215
4.722302; 19610.154601; 2295.842034
4.762322; 19702.033080; 2311.775442
4.802341; 19794.549205; 2291.660220
4.842361; 19886.260329; 2289.373809
4.882380; 19977.879952; 2247.498048
4.922400; 20067.823728; 2240.892121
4.962420; 20157.503137; 2213.101493
5.002439; 20246.070380; 2179.964892
5.042459; 20333.311511; 2171.548215
5.082478; 20420.215811; 2188.778457
5.122498; 20507.809658; 2177.567019
5.162517; 20594.954827; 2160.317095
5.202537; 20681.409664; 2195.650516
5.242556; 20769.278526; 2177.114094
5.282576; 20856.405570; 2216.268110
5.322595; 20945.099539; 2199.221602
5.362615; 21033.111315; 2172.367943
5.402634; 21120.048420; 2157.934497
5.442654; 21206.407906; 2111.534808
5.482673; 21290.910499; 2054.931825
5.522693; 21373.147868; 2065.730612
5.562712; 21455.817400; 2079.338749
5.602732; 21539.031522; 2077.282975
5.642751; 21622.163374; 2082.085485
5.682771; 21705.487419; 2080.360778
5.722790; 21788.742443; 2090.054619
5.762810; 21872.385409; 2035.869451
5.802829; 21953.859911; 2017.260725
5.842849; 22034.589701; 1993.583533
5.882868; 22114.371942; 1950.541099
5.922888; 22192.431645; 1958.462849
5.962907; 22270.808373; 1938.975860
6.002927; 22348.405241; 1952.814712
6.042946; 22426.555933; 1993.088495
6.082966; 22506.318363; 2012.072755
6.122985; 22586.840533; 2046.591163
6.163005; 22668.744113; 2075.861800
6.203024; 22751.819089; 2072.265729
6.243044; 22834.750153; 2066.944179
6.283063; 22917.468251; 2076.596217
6.323083; 23000.572618; 2083.984888
6.363102; 23083.972677; 2074.093443
