# Tau / ps;  Linear Fit to MSD / pm^2
20.5100;  50084.7123
20.6128;  50269.6928
20.7156;  50454.6734
20.8184;  50639.6539
20.9212;  50824.6345
21.0240;  51009.6150
21.1268;  51194.5956
21.2296;  51379.5761
21.3325;  51564.5567
21.4353;  51749.5372
21.5381;  51934.5177
21.6409;  52119.4983
21.7437;  52304.4788
21.8465;  52489.4594
21.9493;  52674.4399
22.0521;  52859.4205
22.1549;  53044.4010
22.2577;  53229.3816
22.3605;  53414.3621
22.4633;  53599.3427
22.5661;  53784.3232
22.6689;  53969.3038
22.7718;  54154.2843
22.8746;  54339.2649
22.9774;  54524.2454
23.0802;  54709.2260
23.1830;  54894.2065
23.2858;  55079.1870
23.3886;  55264.1676
23.4914;  55449.1481
23.5942;  55634.1287
23.6970;  55819.1092
23.7998;  56004.0898
23.9026;  56189.0703
24.0054;  56374.0509
24.1082;  56559.0314
24.2111;  56744.0120
24.3139;  56928.9925
24.4167;  57113.9731
24.5195;  57298.9536
24.6223;  57483.9342
24.7251;  57668.9147
24.8279;  57853.8953
24.9307;  58038.8758
25.0335;  58223.8563
25.1363;  58408.8369
25.2391;  58593.8174
25.3419;  58778.7980
25.4447;  58963.7785
25.5475;  59148.7591
25.6504;  59333.7396
25.7532;  59518.7202
25.8560;  59703.7007
25.9588;  59888.6813
26.0616;  60073.6618
26.1644;  60258.6424
26.2672;  60443.6229
26.3700;  60628.6035
26.4728;  60813.5840
26.5756;  60998.5645
26.6784;  61183.5451
26.7812;  61368.5256
26.8840;  61553.5062
26.9868;  61738.4867
27.0896;  61923.4673
27.1925;  62108.4478
27.2953;  62293.4284
27.3981;  62478.4089
27.5009;  62663.3895
27.6037;  62848.3700
27.7065;  63033.3506
27.8093;  63218.3311
27.9121;  63403.3117
28.0149;  63588.2922
28.1177;  63773.2728
28.2205;  63958.2533
28.3233;  64143.2338
28.4261;  64328.2144
28.5289;  64513.1949
28.6318;  64698.1755
28.7346;  64883.1560
28.8374;  65068.1366
28.9402;  65253.1171
29.0430;  65438.0977
29.1458;  65623.0782
29.2486;  65808.0588
29.3514;  65993.0393
29.4542;  66178.0199
29.5570;  66363.0004
29.6598;  66547.9810
29.7626;  66732.9615
29.8654;  66917.9421
29.9682;  67102.9226
30.0711;  67287.9031
30.1739;  67472.8837
30.2767;  67657.8642
30.3795;  67842.8448
30.4823;  68027.8253
30.5851;  68212.8059
30.6879;  68397.7864
30.7907;  68582.7670
30.8935;  68767.7475
30.9963;  68952.7281
31.0991;  69137.7086
31.2019;  69322.6892
31.3047;  69507.6697
31.4075;  69692.6503
31.5104;  69877.6308
31.6132;  70062.6113
31.7160;  70247.5919
31.8188;  70432.5724
31.9216;  70617.5530
32.0244;  70802.5335
32.1272;  70987.5141
32.2300;  71172.4946
32.3328;  71357.4752
32.4356;  71542.4557
32.5384;  71727.4363
32.6412;  71912.4168
32.7440;  72097.3974
32.8468;  72282.3779
32.9496;  72467.3585
33.0525;  72652.3390
33.1553;  72837.3196
33.2581;  73022.3001
33.3609;  73207.2806
33.4637;  73392.2612
33.5665;  73577.2417
33.6693;  73762.2223
33.7721;  73947.2028
33.8749;  74132.1834
33.9777;  74317.1639
34.0805;  74502.1445
34.1833;  74687.1250
34.2861;  74872.1056
34.3889;  75057.0861
34.4918;  75242.0667
34.5946;  75427.0472
34.6974;  75612.0278
34.8002;  75797.0083
34.9030;  75981.9889
35.0058;  76166.9694
35.1086;  76351.9499
35.2114;  76536.9305
35.3142;  76721.9110
35.4170;  76906.8916
35.5198;  77091.8721
35.6226;  77276.8527
35.7254;  77461.8332
35.8282;  77646.8138
35.9311;  77831.7943
36.0339;  78016.7749
36.1367;  78201.7554
36.2395;  78386.7360
36.3423;  78571.7165
36.4451;  78756.6971
36.5479;  78941.6776
36.6507;  79126.6581
36.7535;  79311.6387
36.8563;  79496.6192
36.9591;  79681.5998
37.0619;  79866.5803
37.1647;  80051.5609
37.2675;  80236.5414
37.3704;  80421.5220
37.4732;  80606.5025
37.5760;  80791.4831
37.6788;  80976.4636
37.7816;  81161.4442
37.8844;  81346.4247
37.9872;  81531.4053
38.0900;  81716.3858
38.1928;  81901.3664
38.2956;  82086.3469
38.3984;  82271.3274
38.5012;  82456.3080
38.6040;  82641.2885
38.7068;  82826.2691
38.8096;  83011.2496
38.9125;  83196.2302
39.0153;  83381.2107
39.1181;  83566.1913
39.2209;  83751.1718
39.3237;  83936.1524
39.4265;  84121.1329
39.5293;  84306.1135
39.6321;  84491.0940
39.7349;  84676.0746
39.8377;  84861.0551
39.9405;  85046.0357
40.0433;  85231.0162
40.1461;  85415.9967
40.2489;  85600.9773
40.3518;  85785.9578
40.4546;  85970.9384
40.5574;  86155.9189
40.6602;  86340.8995
40.7630;  86525.8800
40.8658;  86710.8606
40.9686;  86895.8411
