# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 16142.842837
0.040020; 646.028696; 29373.717209
0.080039; 1821.550530; 28169.510762
0.120059; 2948.880609; 26372.487670
0.160078; 4004.294701; 22345.041920
0.200098; 4898.532379; 17766.885448
0.240117; 5609.554468; 13328.464171
0.280137; 6142.953102; 9703.364505
0.320156; 6531.277016; 7474.838385
0.360176; 6830.416402; 6211.481845
0.400195; 7078.996876; 5643.421264
0.440215; 7304.843842; 5405.163521
0.480234; 7521.155849; 5231.491837
0.520254; 7730.517601; 4981.251179
0.560273; 7929.864843; 4645.372940
0.600293; 8115.770402; 4358.004014
0.640312; 8290.175597; 4117.268878
0.680332; 8454.946689; 3924.723701
0.720351; 8612.012217; 3776.221615
0.760371; 8763.134764; 3630.543389
0.800390; 8908.427339; 3462.328494
0.840410; 9046.988037; 3280.014247
0.880429; 9178.252607; 3093.808020
0.920449; 9302.065294; 2945.375228
0.960468; 9419.937774; 2828.535641
1.000488; 9533.134391; 2760.798662
1.040507; 9643.620207; 2734.898071
1.080527; 9753.069493; 2701.026043
1.120546; 9861.163238; 2654.805163
1.160566; 9967.407246; 2610.276206
1.200585; 10071.869226; 2584.210769
1.240605; 10175.288080; 2576.898474
1.280624; 10278.414300; 2584.535771
1.320644; 10381.846161; 2589.083789
1.360663; 10485.460031; 2580.113583
1.400683; 10588.714918; 2562.536620
1.440702; 10691.266384; 2528.195026
1.480722; 10792.443516; 2479.650500
1.520741; 10891.677919; 2405.867916
1.560761; 10987.959579; 2332.787090
1.600780; 11081.316581; 2260.541639
1.640800; 11171.782355; 2220.082338
1.680820; 11260.628967; 2200.316007
1.720839; 11348.684540; 2169.118959
1.760859; 11435.491623; 2162.647054
1.800878; 11522.039703; 2178.942602
1.840898; 11609.239923; 2186.055289
1.880917; 11696.724789; 2166.297879
1.920937; 11783.418974; 2151.507465
1.960956; 11869.521253; 2130.980275
2.000976; 11954.802044; 2106.350545
2.040995; 12039.097165; 2094.824180
2.081015; 12122.931007; 2075.930831
2.121034; 12206.008746; 2047.542150
2.161054; 12287.950384; 2013.906785
2.201073; 12368.545951; 1974.457411
2.241093; 12447.562774; 1945.628170
2.281112; 12525.425864; 1952.806699
2.321132; 12603.576236; 1959.198144
2.361151; 12681.982390; 1940.849943
2.401171; 12759.654258; 1925.289289
2.441190; 12836.703396; 1931.708748
2.481210; 12914.009438; 1940.740402
2.521229; 12991.676922; 1950.194043
2.561249; 13069.722736; 1988.887329
2.601268; 13149.317037; 2059.586779
2.641288; 13231.740695; 2125.153252
2.681307; 13316.788291; 2150.551825
2.721327; 13402.852326; 2149.254506
2.761346; 13488.864443; 2140.303737
2.801366; 13574.518355; 2115.415492
2.841385; 13659.176251; 2096.551269
2.881405; 13743.079210; 2100.900080
2.921424; 13827.156206; 2123.447177
2.961444; 13912.135527; 2144.754704
3.001463; 13997.967564; 2182.445558
3.041483; 14085.307970; 2182.617206
3.081502; 14172.655246; 2182.526125
3.121522; 14259.998877; 2213.158804
3.161541; 14348.568413; 2221.230596
3.201561; 14437.460978; 2230.929062
3.241580; 14526.741670; 2244.156619
3.281600; 14616.551724; 2247.780527
3.321620; 14706.506804; 2235.240181
3.361639; 14795.960026; 2219.018635
3.401659; 14884.764069; 2201.932537
3.441678; 14972.884335; 2194.729463
3.481698; 15060.716337; 2206.479013
3.521717; 15149.018551; 2216.850264
3.561737; 15237.735817; 2203.247002
3.601756; 15325.908688; 2183.540233
3.641776; 15413.292903; 2189.111738
3.681795; 15500.900086; 2200.578921
3.721815; 15588.966181; 2187.252839
3.761834; 15676.498973; 2192.577610
3.801854; 15764.244859; 2219.670218
3.841873; 15853.074979; 2229.458509
3.881893; 15942.296821; 2244.811864
3.921912; 16032.133097; 2257.400783
3.961932; 16122.473175; 2239.209853
4.001951; 16212.085261; 2213.427773
4.041971; 16300.665561; 2192.365003
4.081990; 16388.402939; 2167.475106
4.122010; 16475.144235; 2148.325042
4.162029; 16561.119155; 2132.559169
4.202049; 16646.463133; 2126.855344
4.242068; 16731.578846; 2143.164746
4.282088; 16817.347254; 2136.202698
4.322107; 16902.837044; 2123.850173
4.362127; 16987.832492; 2113.060806
4.402146; 17072.396154; 2088.382192
4.442166; 17155.972191; 2072.274994
4.482185; 17238.903625; 2057.172136
4.522205; 17321.230651; 2045.247595
4.562224; 17403.080462; 2050.347071
4.602244; 17485.134352; 2049.594629
4.642263; 17567.158129; 2033.930328
4.682283; 17648.555028; 2043.566901
4.722302; 17730.337579; 2055.529383
4.762322; 17812.598862; 2054.832475
4.802341; 17894.832255; 2030.583447
4.842361; 17976.095214; 2009.592191
4.882380; 18056.518114; 1997.558297
4.922400; 18136.459422; 1982.651364
4.962420; 18215.804163; 1954.851315
5.002439; 18294.036359; 1936.354276
5.042459; 18371.528312; 1926.587020
5.082478; 18448.629385; 1915.829000
5.122498; 18525.299927; 1899.551369
5.162517; 18601.319046; 1878.432671
5.202537; 18676.493005; 1897.566575
5.242556; 18752.432694; 1936.314548
5.282576; 18829.923058; 1964.235291
5.322595; 18908.530796; 1971.665003
5.362615; 18987.435868; 1953.253760
5.402634; 19065.604130; 1911.269617
5.442654; 19142.092208; 1866.933199
5.482673; 19216.805964; 1832.675036
5.522693; 19290.148725; 1828.712012
5.562712; 19363.332888; 1837.997932
5.602732; 19436.888668; 1830.360884
5.642751; 19510.138818; 1827.310670
5.682771; 19583.266900; 1844.452531
5.722790; 19657.080990; 1837.524361
5.762810; 19730.617819; 1797.151333
5.802829; 19802.538938; 1756.808503
5.842849; 19872.845558; 1719.426942
5.882868; 19941.656185; 1701.201972
5.922888; 20009.737458; 1702.260371
5.962907; 20077.861088; 1700.093592
6.002927; 20145.898004; 1715.399613
6.042946; 20214.547460; 1746.678966
6.082966; 20284.448700; 1780.568197
6.122985; 20355.706171; 1815.322401
6.163005; 20428.354488; 1841.980912
6.203024; 20502.069665; 1854.437579
6.243044; 20576.283353; 1836.648322
6.283063; 20649.785123; 1825.641763
6.323083; 20722.846415; 1849.667289
6.363102; 20796.869198; 1854.370723
6.403122; 20871.080210; 1840.589361
6.443141; 20944.739698; 1817.786834
6.483161; 21017.486640; 1806.767427
6.523180; 21089.792592; 1810.083544
6.563200; 21162.231252; 1811.002856
6.603220; 21234.706703; 1819.914057
6.643239; 21307.538776; 1837.137448
6.683259; 21381.060120; 1874.150635
6.723278; 21456.062714; 1920.880383
6.763298; 21532.935410; 1944.894188
6.803317; 21610.769127; 1962.788095
6.843337; 21689.318949; 1965.016863
6.883356; 21767.957965; 1924.696329
6.923376; 21844.983374; 1880.997694
6.963395; 21920.259984; 1844.121264
7.003415; 21994.060817; 1811.979440
7.043434; 22066.575350; 1813.409302
7.083454; 22139.147106; 1830.503114
7.123473; 22212.402948; 1840.221699
7.163493; 22286.047723; 1840.914862
7.203512; 22359.720237; 1829.721378
7.243532; 22432.944794; 1813.776469
7.283551; 22505.531244; 1801.691656
7.323571; 22577.634065; 1801.173328
7.363590; 22649.716143; 1799.345494
7.403610; 22721.725072; 1788.953550
7.443629; 22793.318120; 1796.069446
7.483649; 22865.195943; 1786.862897
7.523668; 22936.705325; 1784.232917
7.563688; 23008.109456; 1783.004410
7.603707; 23079.464423; 1787.108403
7.643727; 23150.983629; 1799.996628
7.683746; 23223.018616; 1803.401048
7.723766; 23295.189846; 1816.740870
7.763785; 23367.894930; 1823.935424
7.803805; 23440.887936; 1820.424789
7.843824; 23513.740448; 1820.871242
7.883844; 23586.610827; 1825.764918
7.923863; 23659.677048; 1836.468197
7.963883; 23733.171609; 1842.853086
8.003902; 23806.921691; 1844.794360
8.043922; 23880.749461; 1865.814686
8.083941; 23955.418455; 1872.175664
8.123961; 24030.342012; 1864.533214
8.163980; 24104.959722; 1873.169672
8.204000; 24179.923058; 1867.812887
8.244020; 24254.672019; 1851.792435
8.284039; 24328.779849; 1849.582639
8.324059; 24402.799244; 1845.795046
8.364078; 24476.667061; 1847.558055
8.404098; 24550.605433; 1853.122114
8.444117; 24624.766476; 1866.371133
8.484137; 24699.457738; 1882.808666
8.524156; 24774.806823; 1878.746787
8.564176; 24849.993353; 1853.958053
8.604195; 24924.187850; 1839.776652
8.644215; 24997.814814; 1831.024966
8.684234; 25071.091540; 1818.059341
8.724254; 25143.849388; 1816.444801
8.764273; 25216.542622; 1818.027206
8.804293; 25289.299184; 1824.608023
8.844312; 25362.319107; 1849.780463
8.884332; 25436.346419; 1863.789270
8.924351; 25510.934357; 1870.022750
8.964371; 25585.771755; 1874.095415
9.004390; 25660.772139; 1864.433170
9.044410; 25735.385845; 1843.854599
9.084429; 25809.176007; 1820.693118
9.124449; 25882.039257; 1792.402334
9.164468; 25953.770324; 1749.464202
9.204488; 26023.783028; 1694.124944
9.244507; 26091.581082; 1666.549249
9.284527; 26158.275570; 1658.429671
9.324546; 26224.645117; 1659.415986
9.364566; 26291.054135; 1665.077205
9.404585; 26357.689712; 1657.405785
9.444605; 26424.018283; 1653.476809
9.484624; 26490.189619; 1676.186436
9.524644; 26557.269782; 1697.894723
9.564663; 26625.218701; 1704.615127
9.604683; 26693.436567; 1705.485820
9.644702; 26761.689277; 1706.803420
9.684722; 26829.994718; 1694.736335
9.724741; 26897.817239; 1689.080117
9.764761; 26965.413401; 1683.011870
9.804780; 27032.766715; 1668.421378
9.844800; 27099.536125; 1662.287821
9.884820; 27166.060073; 1659.113996
9.924839; 27232.457006; 1682.020232
9.964859; 27299.770635; 1716.374376
10.004878; 27368.459100; 1732.703842
10.044898; 27437.801063; 1743.752353
10.084917; 27507.585181; 1760.792071
10.124937; 27578.051221; 1754.315232
10.164956; 27648.258061; 1725.545174
10.204976; 27717.313537; 1701.305388
10.244995; 27785.398949; 1703.376993
10.285015; 27853.567265; 1704.935714
10.325034; 27921.797960; 1699.305655
10.365054; 27989.803344; 1698.956395
10.405073; 28057.794750; 1714.139821
10.445093; 28126.393789; 1731.439012
10.485112; 28195.685134; 1743.260823
10.525132; 28265.449582; 1769.966855
10.565151; 28336.282792; 1805.617140
10.605171; 28408.542709; 1843.588695
10.645190; 28482.322230; 1853.490351
10.685210; 28556.498009; 1842.471186
10.725229; 28630.232807; 1844.236349
10.765249; 28704.038246; 1840.597750
10.805268; 28777.698071; 1805.964223
10.845288; 28849.971878; 1779.422884
10.885307; 28921.183514; 1784.627592
10.925327; 28992.603439; 1784.402632
10.965346; 29064.014362; 1778.851290
11.005366; 29135.203123; 1779.772353
11.045385; 29206.428744; 1770.022880
11.085405; 29277.264197; 1750.141715
11.125424; 29347.304014; 1736.929461
11.165444; 29416.815084; 1773.545657
11.205463; 29487.791516; 1817.789246
11.245483; 29560.538555; 1828.986670
11.285502; 29633.733709; 1824.614336
11.325522; 29706.753885; 1802.061145
11.365541; 29778.871493; 1761.710780
11.405561; 29849.374299; 1735.969485
11.445580; 29918.846951; 1706.050857
11.485600; 29987.122274; 1669.196284
11.525620; 30053.922695; 1675.537640
11.565639; 30120.976894; 1686.278281
11.605659; 30188.460928; 1688.689184
11.645678; 30256.041446; 1713.682173
11.685698; 30324.622171; 1731.340394
