# Tau / ps;  Linear Fit to MSD / pm^2
20.5100;  45261.9692
20.6128;  45435.3239
20.7156;  45608.6786
20.8184;  45782.0333
20.9212;  45955.3880
21.0240;  46128.7427
21.1268;  46302.0974
21.2296;  46475.4521
21.3325;  46648.8068
21.4353;  46822.1614
21.5381;  46995.5161
21.6409;  47168.8708
21.7437;  47342.2255
21.8465;  47515.5802
21.9493;  47688.9349
22.0521;  47862.2896
22.1549;  48035.6443
22.2577;  48208.9990
22.3605;  48382.3537
22.4633;  48555.7084
22.5661;  48729.0631
22.6689;  48902.4178
22.7718;  49075.7725
22.8746;  49249.1272
22.9774;  49422.4819
23.0802;  49595.8366
23.1830;  49769.1912
23.2858;  49942.5459
23.3886;  50115.9006
23.4914;  50289.2553
23.5942;  50462.6100
23.6970;  50635.9647
23.7998;  50809.3194
23.9026;  50982.6741
24.0054;  51156.0288
24.1082;  51329.3835
24.2111;  51502.7382
24.3139;  51676.0929
24.4167;  51849.4476
24.5195;  52022.8023
24.6223;  52196.1570
24.7251;  52369.5117
24.8279;  52542.8664
24.9307;  52716.2210
25.0335;  52889.5757
25.1363;  53062.9304
25.2391;  53236.2851
25.3419;  53409.6398
25.4447;  53582.9945
25.5475;  53756.3492
25.6504;  53929.7039
25.7532;  54103.0586
25.8560;  54276.4133
25.9588;  54449.7680
26.0616;  54623.1227
26.1644;  54796.4774
26.2672;  54969.8321
26.3700;  55143.1868
26.4728;  55316.5415
26.5756;  55489.8962
26.6784;  55663.2508
26.7812;  55836.6055
26.8840;  56009.9602
26.9868;  56183.3149
27.0896;  56356.6696
27.1925;  56530.0243
27.2953;  56703.3790
27.3981;  56876.7337
27.5009;  57050.0884
27.6037;  57223.4431
27.7065;  57396.7978
27.8093;  57570.1525
27.9121;  57743.5072
28.0149;  57916.8619
28.1177;  58090.2166
28.2205;  58263.5713
28.3233;  58436.9260
28.4261;  58610.2806
28.5289;  58783.6353
28.6318;  58956.9900
28.7346;  59130.3447
28.8374;  59303.6994
28.9402;  59477.0541
29.0430;  59650.4088
29.1458;  59823.7635
29.2486;  59997.1182
29.3514;  60170.4729
29.4542;  60343.8276
29.5570;  60517.1823
29.6598;  60690.5370
29.7626;  60863.8917
29.8654;  61037.2464
29.9682;  61210.6011
30.0711;  61383.9558
30.1739;  61557.3104
30.2767;  61730.6651
30.3795;  61904.0198
30.4823;  62077.3745
30.5851;  62250.7292
30.6879;  62424.0839
30.7907;  62597.4386
30.8935;  62770.7933
30.9963;  62944.1480
31.0991;  63117.5027
31.2019;  63290.8574
31.3047;  63464.2121
31.4075;  63637.5668
31.5104;  63810.9215
31.6132;  63984.2762
31.7160;  64157.6309
31.8188;  64330.9856
31.9216;  64504.3402
32.0244;  64677.6949
32.1272;  64851.0496
32.2300;  65024.4043
32.3328;  65197.7590
32.4356;  65371.1137
32.5384;  65544.4684
32.6412;  65717.8231
32.7440;  65891.1778
32.8468;  66064.5325
32.9496;  66237.8872
33.0525;  66411.2419
33.1553;  66584.5966
33.2581;  66757.9513
33.3609;  66931.3060
33.4637;  67104.6607
33.5665;  67278.0154
33.6693;  67451.3701
33.7721;  67624.7247
33.8749;  67798.0794
33.9777;  67971.4341
34.0805;  68144.7888
34.1833;  68318.1435
34.2861;  68491.4982
34.3889;  68664.8529
34.4918;  68838.2076
34.5946;  69011.5623
34.6974;  69184.9170
34.8002;  69358.2717
34.9030;  69531.6264
35.0058;  69704.9811
35.1086;  69878.3358
35.2114;  70051.6905
35.3142;  70225.0452
35.4170;  70398.3999
35.5198;  70571.7545
35.6226;  70745.1092
35.7254;  70918.4639
35.8282;  71091.8186
35.9311;  71265.1733
36.0339;  71438.5280
36.1367;  71611.8827
36.2395;  71785.2374
36.3423;  71958.5921
36.4451;  72131.9468
36.5479;  72305.3015
36.6507;  72478.6562
36.7535;  72652.0109
36.8563;  72825.3656
36.9591;  72998.7203
37.0619;  73172.0750
37.1647;  73345.4297
37.2675;  73518.7843
37.3704;  73692.1390
37.4732;  73865.4937
37.5760;  74038.8484
37.6788;  74212.2031
37.7816;  74385.5578
37.8844;  74558.9125
37.9872;  74732.2672
38.0900;  74905.6219
38.1928;  75078.9766
38.2956;  75252.3313
38.3984;  75425.6860
38.5012;  75599.0407
38.6040;  75772.3954
38.7068;  75945.7501
38.8096;  76119.1048
38.9125;  76292.4595
39.0153;  76465.8141
39.1181;  76639.1688
39.2209;  76812.5235
39.3237;  76985.8782
39.4265;  77159.2329
39.5293;  77332.5876
39.6321;  77505.9423
39.7349;  77679.2970
39.8377;  77852.6517
39.9405;  78026.0064
40.0433;  78199.3611
40.1461;  78372.7158
40.2489;  78546.0705
40.3518;  78719.4252
40.4546;  78892.7799
40.5574;  79066.1346
40.6602;  79239.4893
40.7630;  79412.8439
40.8658;  79586.1986
40.9686;  79759.5533
