
>>> Condition Data >>>

    1095251 of 4400220000 molecules passed the conditions (0.02 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  -  1:    94.5703 percent of the time (18915 hits)
  -  2:    99.0450 percent of the time (19810 hits)
  -  3:     1.6199 percent of the time (324 hits)
  -  4:    59.5870 percent of the time (11918 hits)
  -  5:     0.7600 percent of the time (152 hits)
  -  6:    27.2536 percent of the time (5451 hits)
  -  7:    76.9162 percent of the time (15384 hits)
  -  8:    74.1013 percent of the time (14821 hits)
  -  9:    63.6918 percent of the time (12739 hits)
  - 10:    92.3454 percent of the time (18470 hits)
  - 11:    13.8943 percent of the time (2779 hits)
  - 12:    99.8850 percent of the time (19978 hits)
  - 13:    99.9500 percent of the time (19991 hits)
  - 14:     7.1646 percent of the time (1433 hits)
  - 15:    92.8504 percent of the time (18571 hits)
  - 16:    68.0166 percent of the time (13604 hits)
  - 17:     4.1348 percent of the time (827 hits)
  - 18:    94.6553 percent of the time (18932 hits)
  - 19:     8.1396 percent of the time (1628 hits)
  - 20:     5.3747 percent of the time (1075 hits)
  - 21:    97.2951 percent of the time (19460 hits)
  - 22:    47.2776 percent of the time (9456 hits)
  - 23:     1.6349 percent of the time (327 hits)
  - 24:    50.3725 percent of the time (10075 hits)
  - 25:    84.4108 percent of the time (16883 hits)
  - 26:    49.7725 percent of the time (9955 hits)
  - 27:    80.6960 percent of the time (16140 hits)
  - 28:    79.2360 percent of the time (15848 hits)
  - 29:    41.0229 percent of the time (8205 hits)
  - 30:    99.9650 percent of the time (19994 hits)
  - 31:    67.6666 percent of the time (13534 hits)
  - 32:    99.1150 percent of the time (19824 hits)
  - 33:    65.3667 percent of the time (13074 hits)
  - 34:     0.1450 percent of the time (29 hits)
  - 35:    42.1029 percent of the time (8421 hits)
  - 36:    60.0170 percent of the time (12004 hits)
  - 37:    42.1479 percent of the time (8430 hits)
  - 38:    51.3724 percent of the time (10275 hits)
  - 39:    94.5703 percent of the time (18915 hits)
  - 40:     3.3248 percent of the time (665 hits)
  - 41:    94.7153 percent of the time (18944 hits)
  - 42:     1.8849 percent of the time (377 hits)
  - 43:    41.2779 percent of the time (8256 hits)
  - 44:    36.1532 percent of the time (7231 hits)
  - 45:    56.5822 percent of the time (11317 hits)
  - 46:    71.7714 percent of the time (14355 hits)
  - 47:    60.4920 percent of the time (12099 hits)
  - 48:    99.8950 percent of the time (19980 hits)
  - 49:     1.3949 percent of the time (279 hits)
  - 50:    54.1973 percent of the time (10840 hits)
  - 51:     4.2748 percent of the time (855 hits)
  - 52:    60.0970 percent of the time (12020 hits)
  - 53:    76.3412 percent of the time (15269 hits)
  - 54:    13.9893 percent of the time (2798 hits)
  - 55:     8.5996 percent of the time (1720 hits)
  - 56:    46.7927 percent of the time (9359 hits)
  - 57:    90.9805 percent of the time (18197 hits)
  - 58:    48.1576 percent of the time (9632 hits)
  - 59:    68.9816 percent of the time (13797 hits)
  - 60:    92.9704 percent of the time (18595 hits)
  - 61:     1.8749 percent of the time (375 hits)
  - 62:    99.5750 percent of the time (19916 hits)
  - 63:     2.2299 percent of the time (446 hits)
  - 64:    30.1685 percent of the time (6034 hits)
  - 65:    52.2174 percent of the time (10444 hits)
  - 66:    32.2884 percent of the time (6458 hits)
  - 67:    99.1250 percent of the time (19826 hits)
  - 68:    99.9300 percent of the time (19987 hits)
  - 69:    99.9300 percent of the time (19987 hits)
  - 70:    23.5338 percent of the time (4707 hits)
  - 71:     4.5698 percent of the time (914 hits)
  - 72:     4.8748 percent of the time (975 hits)
