# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9885883276; 0.9998429386; 0.9999935043
0.01000000000;  0.9710680826; 0.9885202864; 0.9986856928; 0.9916660063
0.02000000000;  0.9630691120; 0.9884522498; 0.9975399376; 0.9842652378
0.03000000000;  0.9596692089; 0.9883842180; 0.9964055552; 0.9776868692
0.04000000000;  0.9564772307; 0.9883161908; 0.9952824290; 0.9718383171
0.05000000000;  0.9530154541; 0.9882481683; 0.9941704437; 0.9666374217
0.06000000000;  0.9524108659; 0.9881801505; 0.9930694850; 0.9620112733
0.07000000000;  0.9500695021; 0.9881121374; 0.9919794399; 0.9578951710
0.08000000000;  0.9489165308; 0.9880441289; 0.9909001967; 0.9542316983
0.09000000000;  0.9479936893; 0.9879761252; 0.9898316446; 0.9509699033
0.1000000000;  0.9469675054; 0.9879081261; 0.9887736739; 0.9480645702
0.1100000000;  0.9458580665; 0.9878401317; 0.9877261763; 0.9454755742
0.1200000000;  0.9454448385; 0.9877721419; 0.9866890445; 0.9431673081
0.1300000000;  0.9438106602; 0.9877041569; 0.9856621721; 0.9411081734
0.1400000000;  0.9425638119; 0.9876361765; 0.9846454540; 0.9392701292
0.1500000000;  0.9412236163; 0.9875682008; 0.9836387862; 0.9376282918
0.1600000000;  0.9406437273; 0.9875002298; 0.9826420657; 0.9361605789
0.1700000000;  0.9397475235; 0.9874322635; 0.9816551905; 0.9348473945
0.1800000000;  0.9389828579; 0.9873643019; 0.9806780596; 0.9336713488
0.1900000000;  0.9388506926; 0.9872963449; 0.9797105733; 0.9326170099
0.2000000000;  0.9387633087; 0.9872283926; 0.9787526327; 0.9316706833
0.2100000000;  0.9380780161; 0.9871604450; 0.9778041399; 0.9308202162
0.2200000000;  0.9374465966; 0.9870925020; 0.9768649981; 0.9300548243
0.2300000000;  0.9369815186; 0.9870245638; 0.9759351115; 0.9293649372
0.2400000000;  0.9366069154; 0.9869566302; 0.9750143853; 0.9287420622
0.2500000000;  0.9360996863; 0.9868887012; 0.9741027255; 0.9281786626
0.2600000000;  0.9355695452; 0.9868207770; 0.9732000392; 0.9276680504
0.2700000000;  0.9350302060; 0.9867528574; 0.9723062344; 0.9272042904
0.2800000000;  0.9347194479; 0.9866849425; 0.9714212202; 0.9267821157
0.2900000000;  0.9342321436; 0.9866170323; 0.9705449064; 0.9263968524
0.3000000000;  0.9338893023; 0.9865491268; 0.9696772039; 0.9260443528
0.3100000000;  0.9336122834; 0.9864812259; 0.9688180244; 0.9257209361
0.3200000000;  0.9332016872; 0.9864133297; 0.9679672805; 0.9254233360
0.3300000000;  0.9327855613; 0.9863454382; 0.9671248858; 0.9251486540
0.3400000000;  0.9325093604; 0.9862775513; 0.9662907548; 0.9248943176
0.3500000000;  0.9324188486; 0.9862096692; 0.9654648027; 0.9246580443
0.3600000000;  0.9321810277; 0.9861417917; 0.9646469458; 0.9244378083
0.3700000000;  0.9314930263; 0.9860739188; 0.9638371010; 0.9242318121
0.3800000000;  0.9312661152; 0.9860060507; 0.9630351862; 0.9240384604
0.3900000000;  0.9310602274; 0.9859381872; 0.9622411202; 0.9238563375
0.4000000000;  0.9308762811; 0.9858703284; 0.9614548226; 0.9236841873
0.4100000000;  0.9305532158; 0.9858024742; 0.9606762136; 0.9235208947
0.4200000000;  0.9303243817; 0.9857346247; 0.9599052146; 0.9233654706
0.4300000000;  0.9299994259; 0.9856667799; 0.9591417475; 0.9232170370
0.4400000000;  0.9296048767; 0.9855989398; 0.9583857351; 0.9230748146
0.4500000000;  0.9294565089; 0.9855311043; 0.9576371011; 0.9229381122
0.4600000000;  0.9294262083; 0.9854632735; 0.9568957698; 0.9228063162
0.4700000000;  0.9292814783; 0.9853954474; 0.9561616663; 0.9226788821
0.4800000000;  0.9290277944; 0.9853276259; 0.9554347167; 0.9225553265
0.4900000000;  0.9286742952; 0.9852598091; 0.9547148475; 0.9224352209
0.5000000000;  0.9285258435; 0.9851919970; 0.9540019863; 0.9223181845
0.5100000000;  0.9283004671; 0.9851241895; 0.9532960612; 0.9222038798
0.5200000000;  0.9280421049; 0.9850563867; 0.9525970011; 0.9220920069
0.5300000000;  0.9277415953; 0.9849885886; 0.9519047356; 0.9219823001
0.5400000000;  0.9275994772; 0.9849207951; 0.9512191952; 0.9218745231
0.5500000000;  0.9273959878; 0.9848530063; 0.9505403109; 0.9217684666
0.5600000000;  0.9271933937; 0.9847852222; 0.9498680145; 0.9216639447
0.5700000000;  0.9269761254; 0.9847174427; 0.9492022385; 0.9215607924
0.5800000000;  0.9267460126; 0.9846496679; 0.9485429160; 0.9214588633
0.5900000000;  0.9264719104; 0.9845818978; 0.9478899810; 0.9213580276
0.6000000000;  0.9262353371; 0.9845141323; 0.9472433679; 0.9212581698
0.6100000000;  0.9260958418; 0.9844463715; 0.9466030120; 0.9211591876
0.6200000000;  0.9259224368; 0.9843786154; 0.9459688491; 0.9210609903
0.6300000000;  0.9257004586; 0.9843108639; 0.9453408159; 0.9209634973
