# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9989878273; 0.9999986177; 1.017836499
0.01000000000;  0.9986328899; 0.9989779063; 0.9997253407; 1.017698849
0.02000000000;  0.9982264125; 0.9989679855; 0.9994614255; 1.017561811
0.03000000000;  0.9978810597; 0.9989580647; 0.9992065413; 1.017425380
0.04000000000;  0.9975811115; 0.9989481441; 0.9989603692; 1.017289553
0.05000000000;  0.9973339154; 0.9989382235; 0.9987226013; 1.017154325
0.06000000000;  0.9971569577; 0.9989283031; 0.9984929408; 1.017019692
0.07000000000;  0.9969803319; 0.9989183827; 0.9982711012; 1.016885650
0.08000000000;  0.9968061356; 0.9989084625; 0.9980568063; 1.016752195
0.09000000000;  0.9966665343; 0.9988985423; 0.9978497896; 1.016619322
0.1000000000;  0.9965293665; 0.9988886223; 0.9976497938; 1.016487029
0.1100000000;  0.9963820450; 0.9988787023; 0.9974565710; 1.016355310
0.1200000000;  0.9962595355; 0.9988687824; 0.9972698819; 1.016224162
0.1300000000;  0.9961436578; 0.9988588627; 0.9970894958; 1.016093581
0.1400000000;  0.9960372107; 0.9988489430; 0.9969151899; 1.015963563
0.1500000000;  0.9959314524; 0.9988390234; 0.9967467494; 1.015834104
0.1600000000;  0.9958312793; 0.9988291040; 0.9965839672; 1.015705200
0.1700000000;  0.9957363426; 0.9988191846; 0.9964266433; 1.015576847
0.1800000000;  0.9956288045; 0.9988092653; 0.9962745850; 1.015449041
0.1900000000;  0.9955355971; 0.9987993462; 0.9961276061; 1.015321780
0.2000000000;  0.9954493767; 0.9987894271; 0.9959855274; 1.015195058
0.2100000000;  0.9953746921; 0.9987795081; 0.9958481756; 1.015068872
0.2200000000;  0.9953013994; 0.9987695892; 0.9957153838; 1.014943219
0.2300000000;  0.9952190028; 0.9987596705; 0.9955869909; 1.014818094
0.2400000000;  0.9951442954; 0.9987497518; 0.9954628415; 1.014693494
0.2500000000;  0.9950699304; 0.9987398332; 0.9953427856; 1.014569416
0.2600000000;  0.9949896094; 0.9987299147; 0.9952266788; 1.014445856
0.2700000000;  0.9949120798; 0.9987199963; 0.9951143814; 1.014322810
0.2800000000;  0.9948422414; 0.9987100780; 0.9950057589; 1.014200275
0.2900000000;  0.9947713462; 0.9987001599; 0.9949006815; 1.014078246
0.3000000000;  0.9947070935; 0.9986902418; 0.9947990239; 1.013956722
0.3100000000;  0.9946305843; 0.9986803238; 0.9947006654; 1.013835697
0.3200000000;  0.9945708685; 0.9986704059; 0.9946054893; 1.013715169
0.3300000000;  0.9945090465; 0.9986604881; 0.9945133833; 1.013595135
0.3400000000;  0.9944360164; 0.9986505704; 0.9944242389; 1.013475590
0.3500000000;  0.9943790825; 0.9986406528; 0.9943379515; 1.013356531
0.3600000000;  0.9943284445; 0.9986307353; 0.9942544201; 1.013237956
0.3700000000;  0.9942725498; 0.9986208179; 0.9941735475; 1.013119860
0.3800000000;  0.9942159493; 0.9986109006; 0.9940952396; 1.013002241
0.3900000000;  0.9941645953; 0.9986009834; 0.9940194059; 1.012885095
0.4000000000;  0.9941163876; 0.9985910663; 0.9939459589; 1.012768418
0.4100000000;  0.9940671245; 0.9985811493; 0.9938748144; 1.012652209
0.4200000000;  0.9940182067; 0.9985712324; 0.9938058911; 1.012536462
0.4300000000;  0.9939720857; 0.9985613156; 0.9937391103; 1.012421176
0.4400000000;  0.9939238587; 0.9985513989; 0.9936743966; 1.012306346
0.4500000000;  0.9938780786; 0.9985414823; 0.9936116767; 1.012191970
0.4600000000;  0.9938371977; 0.9985315658; 0.9935508804; 1.012078045
0.4700000000;  0.9937928098; 0.9985216493; 0.9934919397; 1.011964567
0.4800000000;  0.9937473666; 0.9985117330; 0.9934347889; 1.011851534
0.4900000000;  0.9936970143; 0.9985018168; 0.9933793649; 1.011738942
0.5000000000;  0.9936505107; 0.9984919007; 0.9933256067; 1.011626788
0.5100000000;  0.9936075060; 0.9984819847; 0.9932734555; 1.011515070
0.5200000000;  0.9935676503; 0.9984720687; 0.9932228544; 1.011403783
0.5300000000;  0.9935316450; 0.9984621529; 0.9931737486; 1.011292926
0.5400000000;  0.9934942344; 0.9984522372; 0.9931260855; 1.011182495
0.5500000000;  0.9934666320; 0.9984423216; 0.9930798140; 1.011072488
0.5600000000;  0.9934348215; 0.9984324060; 0.9930348850; 1.010962901
0.5700000000;  0.9933995032; 0.9984224906; 0.9929912509; 1.010853731
0.5800000000;  0.9933652328; 0.9984125753; 0.9929488662; 1.010744976
0.5900000000;  0.9933316599; 0.9984026601; 0.9929076866; 1.010636632
0.6000000000;  0.9932998363; 0.9983927449; 0.9928676697; 1.010528698
0.6100000000;  0.9932683599; 0.9983828299; 0.9928287742; 1.010421169
0.6200000000;  0.9932400354; 0.9983729149; 0.9927909606; 1.010314044
0.6300000000;  0.9932046967; 0.9983630001; 0.9927541907; 1.010207319
0.6400000000;  0.9931798720; 0.9983530854; 0.9927184276; 1.010100992
0.6500000000;  0.9931469810; 0.9983431707; 0.9926836358; 1.009995059
0.6600000000;  0.9931154891; 0.9983332562; 0.9926497809; 1.009889519
0.6700000000;  0.9930808383; 0.9983233417; 0.9926168299; 1.009784368
0.6800000000;  0.9930430282; 0.9983134274; 0.9925847507; 1.009679604
0.6900000000;  0.9930157344; 0.9983035131; 0.9925535127; 1.009575224
0.7000000000;  0.9929831776; 0.9982935990; 0.9925230861; 1.009471226
0.7100000000;  0.9929555274; 0.9982836849; 0.9924934422; 1.009367606
0.7200000000;  0.9929198077; 0.9982737710; 0.9924645534; 1.009264363
0.7300000000;  0.9928984649; 0.9982638571; 0.9924363931; 1.009161493
0.7400000000;  0.9928694033; 0.9982539434; 0.9924089354; 1.009058994
0.7500000000;  0.9928477050; 0.9982440297; 0.9923821556; 1.008956863
0.7600000000;  0.9928260046; 0.9982341162; 0.9923560297; 1.008855099
0.7700000000;  0.9928127215; 0.9982242027; 0.9923305346; 1.008753697
0.7800000000;  0.9927910172; 0.9982142893; 0.9923056481; 1.008652657
0.7900000000;  0.9927689598; 0.9982043761; 0.9922813486; 1.008551975
0.8000000000;  0.9927490054; 0.9981944629; 0.9922576154; 1.008451648
0.8100000000;  0.9927276455; 0.9981845499; 0.9922344285; 1.008351675
0.8200000000;  0.9927024235; 0.9981746369; 0.9922117687; 1.008252053
0.8300000000;  0.9926757953; 0.9981647240; 0.9921896172; 1.008152780
0.8400000000;  0.9926516210; 0.9981548112; 0.9921679562; 1.008053852
0.8500000000;  0.9926239347; 0.9981448986; 0.9921467682; 1.007955269
0.8600000000;  0.9925948417; 0.9981349860; 0.9921260367; 1.007857026
0.8700000000;  0.9925622360; 0.9981250735; 0.9921057455; 1.007759123
0.8800000000;  0.9925401571; 0.9981151611; 0.9920858789; 1.007661557
0.8900000000;  0.9925198312; 0.9981052489; 0.9920664221; 1.007564324
0.9000000000;  0.9924970459; 0.9980953367; 0.9920473606; 1.007467424
0.9100000000;  0.9924728541; 0.9980854246; 0.9920286804; 1.007370853
0.9200000000;  0.9924504153; 0.9980755126; 0.9920103679; 1.007274610
0.9300000000;  0.9924286764; 0.9980656007; 0.9919924104; 1.007178692
0.9400000000;  0.9924090420; 0.9980556889; 0.9919747951; 1.007083097
0.9500000000;  0.9923862454; 0.9980457773; 0.9919575100; 1.006987823
0.9600000000;  0.9923557213; 0.9980358657; 0.9919405435; 1.006892867
0.9700000000;  0.9923290570; 0.9980259542; 0.9919238842; 1.006798227
0.9800000000;  0.9923034435; 0.9980160428; 0.9919075215; 1.006703901
0.9900000000;  0.9922767738; 0.9980061315; 0.9918914446; 1.006609888
1.000000000;  0.9922525600; 0.9979962203; 0.9918756437; 1.006516184
1.010000000;  0.9922251827; 0.9979863092; 0.9918601089; 1.006422788
1.020000000;  0.9921978025; 0.9979763982; 0.9918448308; 1.006329697
1.030000000;  0.9921672582; 0.9979664873; 0.9918298004; 1.006236910
1.040000000;  0.9921433853; 0.9979565765; 0.9918150089; 1.006144424
1.050000000;  0.9921205640; 0.9979466658; 0.9918004479; 1.006052237
1.060000000;  0.9920984430; 0.9979367552; 0.9917861092; 1.005960347
1.070000000;  0.9920745630; 0.9979268447; 0.9917719850; 1.005868752
1.080000000;  0.9920559511; 0.9979169343; 0.9917580678; 1.005777451
1.090000000;  0.9920345262; 0.9979070240; 0.9917443501; 1.005686441
1.100000000;  0.9920232897; 0.9978971137; 0.9917308250; 1.005595719
1.110000000;  0.9920022125; 0.9978872036; 0.9917174856; 1.005505285
1.120000000;  0.9919853503; 0.9978772936; 0.9917043254; 1.005415135
1.130000000;  0.9919681350; 0.9978673837; 0.9916913381; 1.005325269
1.140000000;  0.9919470518; 0.9978574739; 0.9916785176; 1.005235684
1.150000000;  0.9919315903; 0.9978475642; 0.9916658580; 1.005146378
1.160000000;  0.9919052306; 0.9978376545; 0.9916533535; 1.005057349
1.170000000;  0.9918788683; 0.9978277450; 0.9916409987; 1.004968596
1.180000000;  0.9918532064; 0.9978178356; 0.9916287884; 1.004880116
1.190000000;  0.9918338699; 0.9978079263; 0.9916167174; 1.004791908
1.200000000;  0.9918029296; 0.9977980170; 0.9916047808; 1.004703969
1.210000000;  0.9917814791; 0.9977881079; 0.9915929739; 1.004616298
1.220000000;  0.9917621361; 0.9977781989; 0.9915812921; 1.004528894
1.230000000;  0.9917427911; 0.9977682900; 0.9915697309; 1.004441753
1.240000000;  0.9917220377; 0.9977583811; 0.9915582861; 1.004354875
1.250000000;  0.9917065570; 0.9977484724; 0.9915469537; 1.004268257
1.260000000;  0.9916836895; 0.9977385637; 0.9915357295; 1.004181898
1.270000000;  0.9916618749; 0.9977286552; 0.9915246099; 1.004095796
1.280000000;  0.9916428717; 0.9977187468; 0.9915135911; 1.004009949
1.290000000;  0.9916178872; 0.9977088384; 0.9915026696; 1.003924355
1.300000000;  0.9915936037; 0.9976989302; 0.9914918418; 1.003839013
1.310000000;  0.9915724836; 0.9976890220; 0.9914811046; 1.003753921
1.320000000;  0.9915559346; 0.9976791140; 0.9914704547; 1.003669077
1.330000000;  0.9915429020; 0.9976692060; 0.9914598891; 1.003584480
1.340000000;  0.9915210726; 0.9976592982; 0.9914494047; 1.003500128
1.350000000;  0.9915017038; 0.9976493904; 0.9914389987; 1.003416018
1.360000000;  0.9914809256; 0.9976394828; 0.9914286683; 1.003332150
1.370000000;  0.9914594416; 0.9976295752; 0.9914184109; 1.003248522
1.380000000;  0.9914474565; 0.9976196678; 0.9914082239; 1.003165132
1.390000000;  0.9914344145; 0.9976097604; 0.9913981047; 1.003081978
1.400000000;  0.9914129249; 0.9975998532; 0.9913880511; 1.002999059
1.410000000;  0.9914005837; 0.9975899460; 0.9913780607; 1.002916374
1.420000000;  0.9913903531; 0.9975800389; 0.9913681312; 1.002833920
1.430000000;  0.9913713219; 0.9975701320; 0.9913582605; 1.002751696
1.440000000;  0.9913582727; 0.9975602251; 0.9913484466; 1.002669700
1.450000000;  0.9913420541; 0.9975503183; 0.9913386874; 1.002587932
1.460000000;  0.9913149209; 0.9975404117; 0.9913289810; 1.002506389
1.470000000;  0.9912958821; 0.9975305051; 0.9913193256; 1.002425069
1.480000000;  0.9912726165; 0.9975205986; 0.9913097193; 1.002343972
1.490000000;  0.9912542778; 0.9975106922; 0.9913001604; 1.002263095
1.500000000;  0.9912447399; 0.9975007860; 0.9912906472; 1.002182437
1.510000000;  0.9912161864; 0.9974908798; 0.9912811781; 1.002101997
1.520000000;  0.9912055892; 0.9974809737; 0.9912717517; 1.002021774
1.530000000;  0.9911939344; 0.9974710677; 0.9912623663; 1.001941765
1.540000000;  0.9911882654; 0.9974611619; 0.9912530205; 1.001861969
1.550000000;  0.9911692125; 0.9974512561; 0.9912437129; 1.001782385
1.560000000;  0.9911498055; 0.9974413504; 0.9912344422; 1.001703011
1.570000000;  0.9911314532; 0.9974314448; 0.9912252071; 1.001623846
1.580000000;  0.9911085199; 0.9974215393; 0.9912160062; 1.001544888
1.590000000;  0.9910869933; 0.9974116339; 0.9912068385; 1.001466136
1.600000000;  0.9910689874; 0.9974017286; 0.9911977028; 1.001387589
1.610000000;  0.9910573210; 0.9973918234; 0.9911885978; 1.001309245
1.620000000;  0.9910329701; 0.9973819183; 0.9911795226; 1.001231103
1.630000000;  0.9910191867; 0.9973720133; 0.9911704760; 1.001153161
1.640000000;  0.9909923649; 0.9973621084; 0.9911614572; 1.001075418
1.650000000;  0.9909761115; 0.9973522036; 0.9911524650; 1.000997872
1.660000000;  0.9909549230; 0.9973422989; 0.9911434986; 1.000920523
1.670000000;  0.9909379613; 0.9973323943; 0.9911345570; 1.000843369
1.680000000;  0.9909164164; 0.9973224898; 0.9911256394; 1.000766408
1.690000000;  0.9908955741; 0.9973125854; 0.9911167449; 1.000689639
1.700000000;  0.9908743773; 0.9973026811; 0.9911078728; 1.000613062
1.710000000;  0.9908482437; 0.9972927769; 0.9910990221; 1.000536674
1.720000000;  0.9908351498; 0.9972828728; 0.9910901922; 1.000460474
1.730000000;  0.9908146517; 0.9972729688; 0.9910813824; 1.000384461
1.740000000;  0.9908004972; 0.9972630649; 0.9910725919; 1.000308634
1.750000000;  0.9907792902; 0.9972531610; 0.9910638201; 1.000232992
1.760000000;  0.9907605491; 0.9972432573; 0.9910550662; 1.000157532
1.770000000;  0.9907428638; 0.9972333537; 0.9910463297; 1.000082255
1.780000000;  0.9907202404; 0.9972234502; 0.9910376100; 1.000007158
1.790000000;  0.9906997304; 0.9972135468; 0.9910289064; 0.9999322402
1.800000000;  0.9906735761; 0.9972036434; 0.9910202184; 0.9998575009
1.810000000;  0.9906544722; 0.9971937402; 0.9910115455; 0.9997829386
1.820000000;  0.9906297237; 0.9971838371; 0.9910028870; 0.9997085520
1.830000000;  0.9906074415; 0.9971739341; 0.9909942426; 0.9996343399
