# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9999955987; 1.000000000; 1.020027428
0.01000000000;  0.9991047788; 0.9999894840; 0.9999629349; 1.019890369
0.02000000000;  0.9989531684; 0.9999833694; 0.9999568268; 1.019753916
0.03000000000;  0.9989076948; 0.9999772547; 0.9999507187; 1.019618067
0.04000000000;  0.9988041970; 0.9999711402; 0.9999446107; 1.019482816
0.05000000000;  0.9987015123; 0.9999650256; 0.9999385027; 1.019348160
0.06000000000;  0.9986496053; 0.9999589111; 0.9999323948; 1.019214094
0.07000000000;  0.9985438827; 0.9999527966; 0.9999262868; 1.019080614
0.08000000000;  0.9984733677; 0.9999466822; 0.9999201789; 1.018947717
0.09000000000;  0.9984023963; 0.9999405678; 0.9999140711; 1.018815398
0.1000000000;  0.9983411530; 0.9999344535; 0.9999079633; 1.018683653
0.1100000000;  0.9982961798; 0.9999283391; 0.9999018555; 1.018552479
0.1200000000;  0.9982673293; 0.9999222249; 0.9998957478; 1.018421870
0.1300000000;  0.9982195766; 0.9999161106; 0.9998896401; 1.018291824
0.1400000000;  0.9981914684; 0.9999099964; 0.9998835324; 1.018162337
0.1500000000;  0.9981614847; 0.9999038822; 0.9998774248; 1.018033404
0.1600000000;  0.9981350187; 0.9998977681; 0.9998713172; 1.017905021
0.1700000000;  0.9981058033; 0.9998916540; 0.9998652096; 1.017777186
0.1800000000;  0.9980753364; 0.9998855400; 0.9998591021; 1.017649894
0.1900000000;  0.9980577027; 0.9998794259; 0.9998529946; 1.017523141
0.2000000000;  0.9980418655; 0.9998733120; 0.9998468872; 1.017396923
0.2100000000;  0.9980161112; 0.9998671980; 0.9998407798; 1.017271238
0.2200000000;  0.9979935764; 0.9998610841; 0.9998346724; 1.017146081
0.2300000000;  0.9979678921; 0.9998549702; 0.9998285651; 1.017021448
0.2400000000;  0.9979434791; 0.9998488564; 0.9998224578; 1.016897337
0.2500000000;  0.9979218366; 0.9998427426; 0.9998163506; 1.016773742
0.2600000000;  0.9979042641; 0.9998366288; 0.9998102433; 1.016650662
0.2700000000;  0.9978900125; 0.9998305151; 0.9998041362; 1.016528091
0.2800000000;  0.9978643416; 0.9998244014; 0.9997980290; 1.016406027
0.2900000000;  0.9978385681; 0.9998182878; 0.9997919219; 1.016284467
0.3000000000;  0.9978190138; 0.9998121742; 0.9997858148; 1.016163406
0.3100000000;  0.9978006321; 0.9998060606; 0.9997797078; 1.016042841
0.3200000000;  0.9977814988; 0.9997999471; 0.9997736008; 1.015922769
0.3300000000;  0.9977650876; 0.9997938336; 0.9997674939; 1.015803186
0.3400000000;  0.9977490996; 0.9997877201; 0.9997613870; 1.015684089
0.3500000000;  0.9977322603; 0.9997816067; 0.9997552801; 1.015565474
0.3600000000;  0.9977130198; 0.9997754933; 0.9997491732; 1.015447339
0.3700000000;  0.9976962269; 0.9997693800; 0.9997430664; 1.015329680
0.3800000000;  0.9976823821; 0.9997632667; 0.9997369597; 1.015212494
0.3900000000;  0.9976644861; 0.9997571534; 0.9997308529; 1.015095776
0.4000000000;  0.9976508133; 0.9997510402; 0.9997247462; 1.014979525
0.4100000000;  0.9976406392; 0.9997449270; 0.9997186396; 1.014863737
0.4200000000;  0.9976250886; 0.9997388138; 0.9997125330; 1.014748408
0.4300000000;  0.9976116618; 0.9997327007; 0.9997064264; 1.014633536
