# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9776642844; 0.9999554913; 0.9999946836
0.01000000000;  0.9386147997; 0.9775166271; 0.9852686922; 0.9672476160
0.02000000000;  0.9096818687; 0.9773689921; 0.9714653271; 0.9398699198
0.03000000000;  0.8953882069; 0.9772213795; 0.9584920465; 0.9169774258
0.04000000000;  0.8895971792; 0.9770737891; 0.9462987226; 0.8978315627
0.05000000000;  0.8808176036; 0.9769262210; 0.9348382551; 0.8818153814
0.06000000000;  0.8695921031; 0.9767786752; 0.9240663876; 0.8684135274
0.07000000000;  0.8595264576; 0.9766311516; 0.9139415367; 0.8571955105
0.08000000000;  0.8496534357; 0.9764836504; 0.9044246299; 0.8478017304
0.09000000000;  0.8423873269; 0.9763361714; 0.8954789544; 0.8399318028
0.1000000000;  0.8386218722; 0.9761887147; 0.8870700143; 0.8333348086
0.1100000000;  0.8339474950; 0.9760412803; 0.8791653970; 0.8278011479
0.1200000000;  0.8299152263; 0.9758938681; 0.8717346473; 0.8231557361
0.1300000000;  0.8260668426; 0.9757464783; 0.8647491490; 0.8192523201
0.1400000000;  0.8229310399; 0.9755991106; 0.8581820141; 0.8159687309
0.1500000000;  0.8202616135; 0.9754517652; 0.8520079784; 0.8132029169
0.1600000000;  0.8179215972; 0.9753044421; 0.8462033032; 0.8108696318
0.1700000000;  0.8165309367; 0.9751571413; 0.8407456836; 0.8088976670
0.1800000000;  0.8146567260; 0.9750098626; 0.8356141614; 0.8072275399
0.1900000000;  0.8132581843; 0.9748626062; 0.8307890442; 0.8058095629
0.2000000000;  0.8123833127; 0.9747153721; 0.8262518288; 0.8046022308
0.2100000000;  0.8116479863; 0.9745681602; 0.8219851295; 0.8035708729
0.2200000000;  0.8107866116; 0.9744209705; 0.8179726101; 0.8026865279
0.2300000000;  0.8100888192; 0.9742738031; 0.8141989215; 0.8019250037
0.2400000000;  0.8094027015; 0.9741266579; 0.8106496410; 0.8012660918
0.2500000000;  0.8086918503; 0.9739795349; 0.8073112172; 0.8006929114
0.2600000000;  0.8082511870; 0.9738324341; 0.8041709168; 0.8001913617
0.2700000000;  0.8081699177; 0.9736853556; 0.8012167758; 0.7997496637
0.2800000000;  0.8079343283; 0.9735382992; 0.7984375524; 0.7993579782
0.2900000000;  0.8075025318; 0.9733912651; 0.7958226838; 0.7990080862
