# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9673141348; 0.9999801636; 0.9999920554
0.01000000000;  0.8968452600; 0.9671658339; 0.9623731135; 0.9499305456
0.02000000000;  0.8499839947; 0.9670175558; 0.9288454794; 0.9079826462
0.03000000000;  0.8417403263; 0.9668693003; 0.8989544420; 0.8728304214
0.04000000000;  0.8448037596; 0.9667210676; 0.8723052501; 0.8433700179
0.05000000000;  0.8322133514; 0.9665728577; 0.8485460025; 0.8186768903
0.06000000000;  0.8116379631; 0.9664246704; 0.8273629969; 0.7979766742
0.07000000000;  0.7905762908; 0.9662765059; 0.8084765830; 0.7806207916
0.08000000000;  0.7771754597; 0.9661283641; 0.7916374669; 0.7660660181
0.09000000000;  0.7658947736; 0.9659802450; 0.7766234149; 0.7538573695
0.1000000000;  0.7539993198; 0.9658321486; 0.7632363173; 0.7436137685
0.1100000000;  0.7439347998; 0.9656840749; 0.7512995686; 0.7350160389
0.1200000000;  0.7360551707; 0.9655360239; 0.7406557341; 0.7277968510
0.1300000000;  0.7276152134; 0.9653879956; 0.7311644686; 0.7217322996
0.1400000000;  0.7191846093; 0.9652399900; 0.7227006610; 0.7166348501
0.1500000000;  0.7135890201; 0.9650920071; 0.7151527814; 0.7123474305
0.1600000000;  0.7099130171; 0.9649440469; 0.7084214061; 0.7087384834
0.1700000000;  0.7059663640; 0.9647961094; 0.7024179040; 0.7056978213
0.1800000000;  0.7026836170; 0.9646481945; 0.6970632648; 0.7031331552
0.1900000000;  0.6998758777; 0.9645003023; 0.6922870547; 0.7009671874
0.2000000000;  0.6971762780; 0.9643524328; 0.6880264856; 0.6991351761
0.2100000000;  0.6960823954; 0.9642045860; 0.6842255850; 0.6975828961
0.2200000000;  0.6957912915; 0.9640567619; 0.6808344559; 0.6962649305
0.2300000000;  0.6947768087; 0.9639089604; 0.6778086181; 0.6951432396
0.2400000000;  0.6935527734; 0.9637611815; 0.6751084194; 0.6941859629
0.2500000000;  0.6936022932; 0.9636134253; 0.6726985119; 0.6933664152
0.2600000000;  0.6931715045; 0.9634656918; 0.6705473846; 0.6926622459
0.2700000000;  0.6929956379; 0.9633179809; 0.6686269472; 0.6920547350
0.2800000000;  0.6936010153; 0.9631702927; 0.6669121584; 0.6915282033
0.2900000000;  0.6936655640; 0.9630226271; 0.6653806954; 0.6910695184
0.3000000000;  0.6930212417; 0.9628749841; 0.6640126582; 0.6906676813
0.3100000000;  0.6930415883; 0.9627273638; 0.6627903071; 0.6903134792
0.3200000000;  0.6931660483; 0.9625797661; 0.6616978281; 0.6899991963
0.3300000000;  0.6933191018; 0.9624321911; 0.6607211237; 0.6897183696
0.3400000000;  0.6935599595; 0.9622846386; 0.6598476268; 0.6894655863
0.3500000000;  0.6930060348; 0.9621371088; 0.6590661342; 0.6892363127
0.3600000000;  0.6924947867; 0.9619896016; 0.6583666591; 0.6890267513
0.3700000000;  0.6927286385; 0.9618421170; 0.6577402987; 0.6888337217
0.3800000000;  0.6925969936; 0.9616946551; 0.6571791164; 0.6886545599
0.3900000000;  0.6920936707; 0.9615472157; 0.6566760373; 0.6884870348
0.4000000000;  0.6921937724; 0.9613997989; 0.6562247544; 0.6883292775
0.4100000000;  0.6920365519; 0.9612524048; 0.6558196454; 0.6881797228
0.4200000000;  0.6914304208; 0.9611050332; 0.6554556982; 0.6880370595
0.4300000000;  0.6913385071; 0.9609576843; 0.6551284449; 0.6879001895
0.4400000000;  0.6912228021; 0.9608103579; 0.6548339024; 0.6877681932
0.4500000000;  0.6911997379; 0.9606630541; 0.6545685201; 0.6876403000
0.4600000000;  0.6911937436; 0.9605157729; 0.6543291328; 0.6875158647
0.4700000000;  0.6908492056; 0.9603685143; 0.6541129189; 0.6873943468
0.4800000000;  0.6906273610; 0.9602212782; 0.6539173629; 0.6872752935
0.4900000000;  0.6906543192; 0.9600740648; 0.6537402227; 0.6871583257
0.5000000000;  0.6906188154; 0.9599268738; 0.6535794992; 0.6870431256
0.5100000000;  0.6905798050; 0.9597797055; 0.6534334106; 0.6869294272
0.5200000000;  0.6905221079; 0.9596325597; 0.6533003684; 0.6868170076
0.5300000000;  0.6904734550; 0.9594854365; 0.6531789565; 0.6867056801
0.5400000000;  0.6901929889; 0.9593383358; 0.6530679125; 0.6865952882
0.5500000000;  0.6900838779; 0.9591912577; 0.6529661111; 0.6864857009
0.5600000000;  0.6903646943; 0.9590442022; 0.6528725492; 0.6863768084
0.5700000000;  0.6901014082; 0.9588971692; 0.6527863324; 0.6862685187
0.5800000000;  0.6898026167; 0.9587501587; 0.6527066636; 0.6861607548
0.5900000000;  0.6899038669; 0.9586031708; 0.6526328322; 0.6860534521
0.6000000000;  0.6895028223; 0.9584562054; 0.6525642044; 0.6859465564
0.6100000000;  0.6892382720; 0.9583092625; 0.6525002158; 0.6858400223
0.6200000000;  0.6895315433; 0.9581623421; 0.6524403626; 0.6857338120
0.6300000000;  0.6892155615; 0.9580154443; 0.6523841962; 0.6856278934
0.6400000000;  0.6889690669; 0.9578685690; 0.6523313166; 0.6855222398
0.6500000000;  0.6889591576; 0.9577217163; 0.6522813669; 0.6854168289
0.6600000000;  0.6886223585; 0.9575748860; 0.6522340293; 0.6853116418
0.6700000000;  0.6884609560; 0.9574280782; 0.6521890203; 0.6852066627
0.6800000000;  0.6886425273; 0.9572812930; 0.6521460874; 0.6851018784
0.6900000000;  0.6885119335; 0.9571345303; 0.6521050052; 0.6849972777
0.7000000000;  0.6881611657; 0.9569877900; 0.6520655729; 0.6848928514
0.7100000000;  0.6881051915; 0.9568410723; 0.6520276117; 0.6847885915
0.7200000000;  0.6879424076; 0.9566943770; 0.6519909618; 0.6846844914
0.7300000000;  0.6877538913; 0.9565477043; 0.6519554811; 0.6845805455
0.7400000000;  0.6878348040; 0.9564010540; 0.6519210428; 0.6844767492
0.7500000000;  0.6877782177; 0.9562544262; 0.6518875338; 0.6843730986
0.7600000000;  0.6873253044; 0.9561078209; 0.6518548534; 0.6842695901
0.7700000000;  0.6872311280; 0.9559612381; 0.6518229117; 0.6841662211
0.7800000000;  0.6873530991; 0.9558146777; 0.6517916287; 0.6840629890
0.7900000000;  0.6869978761; 0.9556681398; 0.6517609329; 0.6839598919
0.8000000000;  0.6868754591; 0.9555216244; 0.6517307608; 0.6838569280
0.8100000000;  0.6868940866; 0.9553751314; 0.6517010556; 0.6837540959
0.8200000000;  0.6865275311; 0.9552286609; 0.6516717667; 0.6836513942
0.8300000000;  0.6863594615; 0.9550822129; 0.6516428491; 0.6835488219
0.8400000000;  0.6864426840; 0.9549357873; 0.6516142625; 0.6834463779
0.8500000000;  0.6862762015; 0.9547893841; 0.6515859712; 0.6833440615
0.8600000000;  0.6861078016; 0.9546430034; 0.6515579432; 0.6832418720
0.8700000000;  0.6860233132; 0.9544966452; 0.6515301500; 0.6831398087
0.8800000000;  0.6857032492; 0.9543503094; 0.6515025662; 0.6830378711
0.8900000000;  0.6855922641; 0.9542039960; 0.6514751693; 0.6829360586
0.9000000000;  0.6855764694; 0.9540577050; 0.6514479391; 0.6828343708
0.9100000000;  0.6854376800; 0.9539114365; 0.6514208575; 0.6827328073
0.9200000000;  0.6851918190; 0.9537651904; 0.6513939086; 0.6826313678
0.9300000000;  0.6851063816; 0.9536189667; 0.6513670781; 0.6825300519
0.9400000000;  0.6849293717; 0.9534727655; 0.6513403532; 0.6824288593
0.9500000000;  0.6846443925; 0.9533265866; 0.6513137225; 0.6823277897
0.9600000000;  0.6847669292; 0.9531804302; 0.6512871760; 0.6822268428
0.9700000000;  0.6845249226; 0.9530342962; 0.6512607047; 0.6821260184
0.9800000000;  0.6841731684; 0.9528881845; 0.6512343004; 0.6820253162
0.9900000000;  0.6841941641; 0.9527420953; 0.6512079560; 0.6819247360
1.000000000;  0.6839936450; 0.9525960285; 0.6511816652; 0.6818242775
1.010000000;  0.6836968273; 0.9524499840; 0.6511554222; 0.6817239407
1.020000000;  0.6836762454; 0.9523039620; 0.6511292219; 0.6816237251
1.030000000;  0.6834461104; 0.9521579624; 0.6511030598; 0.6815236307
1.040000000;  0.6832172694; 0.9520119851; 0.6510769320; 0.6814236573
1.050000000;  0.6831868549; 0.9518660302; 0.6510508347; 0.6813238045
1.060000000;  0.6829737843; 0.9517200977; 0.6510247647; 0.6812240724
1.070000000;  0.6827912824; 0.9515741875; 0.6509987193; 0.6811244605
1.080000000;  0.6827535233; 0.9514282998; 0.6509726959; 0.6810249689
1.090000000;  0.6825504990; 0.9512824344; 0.6509466921; 0.6809255972
1.100000000;  0.6822559630; 0.9511365913; 0.6509207060; 0.6808263453
1.110000000;  0.6822273941; 0.9509907706; 0.6508947358; 0.6807272130
1.120000000;  0.6822237104; 0.9508449723; 0.6508687798; 0.6806282001
1.130000000;  0.6819165224; 0.9506991963; 0.6508428366; 0.6805293065
1.140000000;  0.6818141388; 0.9505534427; 0.6508169049; 0.6804305320
1.150000000;  0.6817594786; 0.9504077114; 0.6507909837; 0.6803318763
1.160000000;  0.6815296825; 0.9502620025; 0.6507650718; 0.6802333393
1.170000000;  0.6813842113; 0.9501163159; 0.6507391684; 0.6801349209
1.180000000;  0.6814591250; 0.9499706516; 0.6507132727; 0.6800366208
1.190000000;  0.6811626434; 0.9498250097; 0.6506873839; 0.6799384389
1.200000000;  0.6808911765; 0.9496793901; 0.6506615013; 0.6798403750
1.210000000;  0.6808814188; 0.9495337928; 0.6506356246; 0.6797424290
1.220000000;  0.6806663031; 0.9493882179; 0.6506097530; 0.6796446005
1.230000000;  0.6804888116; 0.9492426652; 0.6505838862; 0.6795468896
1.240000000;  0.6805629704; 0.9490971349; 0.6505580238; 0.6794492959
1.250000000;  0.6803101566; 0.9489516269; 0.6505321653; 0.6793518194
1.260000000;  0.6800025250; 0.9488061412; 0.6505063105; 0.6792544599
1.270000000;  0.6800250985; 0.9486606778; 0.6504804591; 0.6791572171
1.280000000;  0.6799553677; 0.9485152367; 0.6504546109; 0.6790600909
1.290000000;  0.6796821054; 0.9483698179; 0.6504287655; 0.6789630811
1.300000000;  0.6796478113; 0.9482244214; 0.6504029228; 0.6788661877
1.310000000;  0.6794848511; 0.9480790472; 0.6503770827; 0.6787694103
1.320000000;  0.6792102049; 0.9479336953; 0.6503512449; 0.6786727488
1.330000000;  0.6791197512; 0.9477883656; 0.6503254093; 0.6785762031
1.340000000;  0.6791521080; 0.9476430583; 0.6502995758; 0.6784797729
1.350000000;  0.6788189221; 0.9474977732; 0.6502737442; 0.6783834582
1.360000000;  0.6786635012; 0.9473525104; 0.6502479146; 0.6782872587
1.370000000;  0.6787582851; 0.9472072698; 0.6502220867; 0.6781911742
1.380000000;  0.6785069741; 0.9470620516; 0.6501962605; 0.6780952047
1.390000000;  0.6783380269; 0.9469168555; 0.6501704359; 0.6779993498
1.400000000;  0.6784370603; 0.9467716818; 0.6501446128; 0.6779036095
1.410000000;  0.6782082738; 0.9466265303; 0.6501187913; 0.6778079836
1.420000000;  0.6780297556; 0.9464814011; 0.6500929712; 0.6777124720
1.430000000;  0.6780496087; 0.9463362941; 0.6500671525; 0.6776170743
1.440000000;  0.6778945263; 0.9461912093; 0.6500413352; 0.6775217906
1.450000000;  0.6777155254; 0.9460461468; 0.6500155192; 0.6774266205
1.460000000;  0.6777372721; 0.9459011066; 0.6499897044; 0.6773315640
1.470000000;  0.6775381529; 0.9457560886; 0.6499638910; 0.6772366209
1.480000000;  0.6773287471; 0.9456110928; 0.6499380788; 0.6771417910
1.490000000;  0.6773076490; 0.9454661192; 0.6499122677; 0.6770470741
1.500000000;  0.6772035273; 0.9453211679; 0.6498864579; 0.6769524701
1.510000000;  0.6769899657; 0.9451762388; 0.6498606493; 0.6768579788
1.520000000;  0.6769648865; 0.9450313319; 0.6498348418; 0.6767636000
1.530000000;  0.6769073835; 0.9448864472; 0.6498090355; 0.6766693336
1.540000000;  0.6766039878; 0.9447415848; 0.6497832303; 0.6765751795
1.550000000;  0.6765313488; 0.9445967445; 0.6497574262; 0.6764811373
1.560000000;  0.6765106433; 0.9444519265; 0.6497316232; 0.6763872070
1.570000000;  0.6762457725; 0.9443071306; 0.6497058213; 0.6762933885
1.580000000;  0.6762514636; 0.9441623570; 0.6496800205; 0.6761996814
1.590000000;  0.6762757923; 0.9440176055; 0.6496542208; 0.6761060858
1.600000000;  0.6760951069; 0.9438728763; 0.6496284222; 0.6760126014
1.610000000;  0.6759287859; 0.9437281692; 0.6496026246; 0.6759192280
1.620000000;  0.6758474279; 0.9435834843; 0.6495768281; 0.6758259655
1.630000000;  0.6757471274; 0.9434388216; 0.6495510327; 0.6757328137
1.640000000;  0.6756042493; 0.9432941811; 0.6495252384; 0.6756397725
1.650000000;  0.6754927702; 0.9431495627; 0.6494994450; 0.6755468417
1.660000000;  0.6753318085; 0.9430049666; 0.6494736528; 0.6754540211
1.670000000;  0.6751812539; 0.9428603926; 0.6494478616; 0.6753613106
1.680000000;  0.6750644514; 0.9427158407; 0.6494220714; 0.6752687100
1.690000000;  0.6748936067; 0.9425713110; 0.6493962823; 0.6751762192
1.700000000;  0.6746858908; 0.9424268035; 0.6493704942; 0.6750838379
1.710000000;  0.6746066357; 0.9422823181; 0.6493447071; 0.6749915660
1.720000000;  0.6744731873; 0.9421378549; 0.6493189211; 0.6748994034
1.730000000;  0.6742878870; 0.9419934139; 0.6492931362; 0.6748073499
1.740000000;  0.6742322440; 0.9418489949; 0.6492673522; 0.6747154054
1.750000000;  0.6741423756; 0.9417045982; 0.6492415693; 0.6746235696
1.760000000;  0.6739831740; 0.9415602235; 0.6492157874; 0.6745318424
1.770000000;  0.6738221938; 0.9414158710; 0.6491900066; 0.6744402237
1.780000000;  0.6736221251; 0.9412715406; 0.6491642268; 0.6743487132
1.790000000;  0.6734499464; 0.9411272324; 0.6491384480; 0.6742573109
1.800000000;  0.6734311169; 0.9409829462; 0.6491126702; 0.6741660166
1.810000000;  0.6733596916; 0.9408386822; 0.6490868935; 0.6740748301
1.820000000;  0.6731256212; 0.9406944403; 0.6490611178; 0.6739837512
1.830000000;  0.6730449170; 0.9405502206; 0.6490353432; 0.6738927798
1.840000000;  0.6728929424; 0.9404060229; 0.6490095695; 0.6738019158
1.850000000;  0.6728298511; 0.9402618473; 0.6489837969; 0.6737111590
1.860000000;  0.6727467687; 0.9401176939; 0.6489580253; 0.6736205091
1.870000000;  0.6726363442; 0.9399735625; 0.6489322547; 0.6735299662
1.880000000;  0.6725047460; 0.9398294533; 0.6489064852; 0.6734395299
1.890000000;  0.6723850391; 0.9396853661; 0.6488807167; 0.6733492002
1.900000000;  0.6723222003; 0.9395413010; 0.6488549492; 0.6732589769
1.910000000;  0.6722168765; 0.9393972581; 0.6488291827; 0.6731688598
1.920000000;  0.6721081613; 0.9392532372; 0.6488034173; 0.6730788487
1.930000000;  0.6720320690; 0.9391092383; 0.6487776529; 0.6729889436
1.940000000;  0.6719170123; 0.9389652616; 0.6487518895; 0.6728991443
1.950000000;  0.6717797447; 0.9388213069; 0.6487261271; 0.6728094505
1.960000000;  0.6717108284; 0.9386773743; 0.6487003658; 0.6727198622
1.970000000;  0.6716636653; 0.9385334638; 0.6486746055; 0.6726303792
1.980000000;  0.6715090139; 0.9383895753; 0.6486488462; 0.6725410014
1.990000000;  0.6713830204; 0.9382457089; 0.6486230879; 0.6724517285
2.000000000;  0.6712715723; 0.9381018645; 0.6485973307; 0.6723625604
2.010000000;  0.6711562894; 0.9379580422; 0.6485715744; 0.6722734970
2.020000000;  0.6710542307; 0.9378142420; 0.6485458192; 0.6721845382
2.030000000;  0.6709236295; 0.9376704638; 0.6485200651; 0.6720956837
2.040000000;  0.6707427134; 0.9375267076; 0.6484943119; 0.6720069334
2.050000000;  0.6706847450; 0.9373829735; 0.6484685598; 0.6719182871
2.060000000;  0.6705413080; 0.9372392614; 0.6484428087; 0.6718297448
2.070000000;  0.6703953557; 0.9370955713; 0.6484170586; 0.6717413062
2.080000000;  0.6703364783; 0.9369519033; 0.6483913095; 0.6716529712
2.090000000;  0.6702060955; 0.9368082573; 0.6483655615; 0.6715647396
2.100000000;  0.6700187619; 0.9366646333; 0.6483398145; 0.6714766114
2.110000000;  0.6698809932; 0.9365210314; 0.6483140685; 0.6713885862
2.120000000;  0.6697917669; 0.9363774514; 0.6482883235; 0.6713006641
2.130000000;  0.6697288711; 0.9362338935; 0.6482625795; 0.6712128448
2.140000000;  0.6695991604; 0.9360903576; 0.6482368366; 0.6711251281
2.150000000;  0.6693831992; 0.9359468437; 0.6482110947; 0.6710375140
2.160000000;  0.6692375635; 0.9358033518; 0.6481853538; 0.6709500023
2.170000000;  0.6691549052; 0.9356598819; 0.6481596140; 0.6708625928
2.180000000;  0.6690956409; 0.9355164339; 0.6481338751; 0.6707752853
2.190000000;  0.6689674845; 0.9353730080; 0.6481081373; 0.6706880798
2.200000000;  0.6687667456; 0.9352296041; 0.6480824005; 0.6706009761
2.210000000;  0.6687078943; 0.9350862221; 0.6480566647; 0.6705139740
2.220000000;  0.6685848514; 0.9349428622; 0.6480309300; 0.6704270733
2.230000000;  0.6684701878; 0.9347995242; 0.6480051963; 0.6703402740
2.240000000;  0.6684269189; 0.9346562081; 0.6479794636; 0.6702535758
2.250000000;  0.6683372660; 0.9345129141; 0.6479537319; 0.6701669787
2.260000000;  0.6683179870; 0.9343696420; 0.6479280012; 0.6700804825
2.270000000;  0.6682297920; 0.9342263919; 0.6479022716; 0.6699940869
2.280000000;  0.6681474785; 0.9340831638; 0.6478765429; 0.6699077920
2.290000000;  0.6680764962; 0.9339399576; 0.6478508154; 0.6698215974
2.300000000;  0.6681234735; 0.9337967734; 0.6478250888; 0.6697355032
2.310000000;  0.6680686839; 0.9336536111; 0.6477993632; 0.6696495091
2.320000000;  0.6678886927; 0.9335104707; 0.6477736387; 0.6695636149
2.330000000;  0.6678916259; 0.9333673524; 0.6477479152; 0.6694778206
2.340000000;  0.6678952960; 0.9332242559; 0.6477221927; 0.6693921260
2.350000000;  0.6678652321; 0.9330811814; 0.6476964712; 0.6693065310
2.360000000;  0.6677709339; 0.9329381288; 0.6476707508; 0.6692210353
2.370000000;  0.6676720591; 0.9327950982; 0.6476450313; 0.6691356389
2.380000000;  0.6676575967; 0.9326520895; 0.6476193129; 0.6690503415
2.390000000;  0.6676835045; 0.9325091027; 0.6475935956; 0.6689651431
2.400000000;  0.6675949247; 0.9323661378; 0.6475678792; 0.6688800436
2.410000000;  0.6674277949; 0.9322231949; 0.6475421639; 0.6687950427
2.420000000;  0.6673626240; 0.9320802739; 0.6475164495; 0.6687101403
2.430000000;  0.6673662690; 0.9319373747; 0.6474907362; 0.6686253363
2.440000000;  0.6672574643; 0.9317944975; 0.6474650240; 0.6685406305
2.450000000;  0.6671580813; 0.9316516422; 0.6474393127; 0.6684560228
2.460000000;  0.6670744594; 0.9315088088; 0.6474136025; 0.6683715130
2.470000000;  0.6668914806; 0.9313659973; 0.6473878933; 0.6682871010
2.480000000;  0.6667954544; 0.9312232077; 0.6473621851; 0.6682027866
2.490000000;  0.6667016297; 0.9310804400; 0.6473364779; 0.6681185698
2.500000000;  0.6665519220; 0.9309376941; 0.6473107717; 0.6680344503
2.510000000;  0.6664344865; 0.9307949702; 0.6472850666; 0.6679504281
2.520000000;  0.6664013739; 0.9306522681; 0.6472593625; 0.6678665029
2.530000000;  0.6663169468; 0.9305095879; 0.6472336594; 0.6677826746
2.540000000;  0.6661471356; 0.9303669296; 0.6472079574; 0.6676989431
2.550000000;  0.6661227037; 0.9302242932; 0.6471822563; 0.6676153083
2.560000000;  0.6659884053; 0.9300816786; 0.6471565563; 0.6675317699
2.570000000;  0.6658577802; 0.9299390859; 0.6471308573; 0.6674483279
2.580000000;  0.6657964591; 0.9297965150; 0.6471051593; 0.6673649821
2.590000000;  0.6656923594; 0.9296539660; 0.6470794623; 0.6672817324
2.600000000;  0.6655721719; 0.9295114389; 0.6470537664; 0.6671985787
2.610000000;  0.6654305838; 0.9293689336; 0.6470280714; 0.6671155207
2.620000000;  0.6652916367; 0.9292264502; 0.6470023775; 0.6670325583
2.630000000;  0.6652169945; 0.9290839886; 0.6469766847; 0.6669496915
2.640000000;  0.6651721453; 0.9289415488; 0.6469509928; 0.6668669200
2.650000000;  0.6650691627; 0.9287991309; 0.6469253020; 0.6667842438
2.660000000;  0.6649506775; 0.9286567348; 0.6468996121; 0.6667016626
2.670000000;  0.6648675925; 0.9285143606; 0.6468739233; 0.6666191764
2.680000000;  0.6648429321; 0.9283720081; 0.6468482355; 0.6665367850
2.690000000;  0.6647779837; 0.9282296775; 0.6468225488; 0.6664544882
2.700000000;  0.6647245395; 0.9280873688; 0.6467968630; 0.6663722860
2.710000000;  0.6646768455; 0.9279450818; 0.6467711783; 0.6662901781
2.720000000;  0.6646384447; 0.9278028167; 0.6467454946; 0.6662081645
2.730000000;  0.6644694181; 0.9276605733; 0.6467198119; 0.6661262450
2.740000000;  0.6643949877; 0.9275183518; 0.6466941303; 0.6660444195
2.750000000;  0.6643852032; 0.9273761521; 0.6466684496; 0.6659626878
2.760000000;  0.6643574084; 0.9272339742; 0.6466427700; 0.6658810497
2.770000000;  0.6643030381; 0.9270918180; 0.6466170914; 0.6657995053
2.780000000;  0.6641276034; 0.9269496837; 0.6465914138; 0.6657180542
2.790000000;  0.6640588948; 0.9268075712; 0.6465657373; 0.6656366964
2.800000000;  0.6640620838; 0.9266654804; 0.6465400617; 0.6655554318
2.810000000;  0.6639633909; 0.9265234114; 0.6465143872; 0.6654742601
2.820000000;  0.6638200939; 0.9263813643; 0.6464887137; 0.6653931813
2.830000000;  0.6637435293; 0.9262393388; 0.6464630412; 0.6653121953
2.840000000;  0.6636979692; 0.9260973352; 0.6464373697; 0.6652313018
2.850000000;  0.6636398513; 0.9259553533; 0.6464116993; 0.6651505007
2.860000000;  0.6636007799; 0.9258133933; 0.6463860299; 0.6650697920
2.870000000;  0.6634900699; 0.9256714549; 0.6463603614; 0.6649891755
2.880000000;  0.6634704843; 0.9255295383; 0.6463346941; 0.6649086510
2.890000000;  0.6634649297; 0.9253876435; 0.6463090277; 0.6648282184
2.900000000;  0.6633481393; 0.9252457705; 0.6462833623; 0.6647478776
2.910000000;  0.6632533488; 0.9251039192; 0.6462576980; 0.6646676284
2.920000000;  0.6631950400; 0.9249620896; 0.6462320347; 0.6645874707
2.930000000;  0.6631349523; 0.9248202818; 0.6462063724; 0.6645074044
2.940000000;  0.6630931798; 0.9246784957; 0.6461807111; 0.6644274293
2.950000000;  0.6630299779; 0.9245367314; 0.6461550509; 0.6643475453
2.960000000;  0.6628919991; 0.9243949888; 0.6461293916; 0.6642677522
2.970000000;  0.6627829702; 0.9242532679; 0.6461037334; 0.6641880500
2.980000000;  0.6627679200; 0.9241115687; 0.6460780762; 0.6641084385
2.990000000;  0.6627079402; 0.9239698913; 0.6460524200; 0.6640289175
3.000000000;  0.6625591277; 0.9238282356; 0.6460267649; 0.6639494870
3.010000000;  0.6623928592; 0.9236866016; 0.6460011107; 0.6638701468
3.020000000;  0.6622704742; 0.9235449894; 0.6459754576; 0.6637908967
3.030000000;  0.6621894664; 0.9234033988; 0.6459498055; 0.6637117366
3.040000000;  0.6621133286; 0.9232618300; 0.6459241544; 0.6636326664
3.050000000;  0.6620011114; 0.9231202828; 0.6458985044; 0.6635536860
3.060000000;  0.6618148136; 0.9229787574; 0.6458728553; 0.6634747952
3.070000000;  0.6616418033; 0.9228372536; 0.6458472073; 0.6633959939
3.080000000;  0.6614925806; 0.9226957716; 0.6458215603; 0.6633172820
3.090000000;  0.6614128394; 0.9225543112; 0.6457959143; 0.6632386593
