# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9919304305; 0.9997348246; 0.9999880829
0.01000000000;  0.9936428503; 0.9917888914; 0.9992564730; 0.9982138137
0.02000000000;  0.9898601129; 0.9916473724; 0.9987794332; 0.9964892546
0.03000000000;  0.9870255099; 0.9915058737; 0.9983037010; 0.9948128571
0.04000000000;  0.9847394778; 0.9913643952; 0.9978292719; 0.9931831208
0.05000000000;  0.9827557965; 0.9912229368; 0.9973561414; 0.9915985922
0.06000000000;  0.9810517990; 0.9910814986; 0.9968843051; 0.9900578632
0.07000000000;  0.9793326510; 0.9909400806; 0.9964137586; 0.9885595697
0.08000000000;  0.9777346101; 0.9907986828; 0.9959444976; 0.9871023902
0.09000000000;  0.9762041559; 0.9906573052; 0.9954765177; 0.9856850442
0.1000000000;  0.9747969599; 0.9905159477; 0.9950098145; 0.9843062916
0.1100000000;  0.9735334666; 0.9903746104; 0.9945443836; 0.9829649307
0.1200000000;  0.9724225505; 0.9902332933; 0.9940802208; 0.9816597973
0.1300000000;  0.9714033220; 0.9900919963; 0.9936173218; 0.9803897639
0.1400000000;  0.9704959089; 0.9899507195; 0.9931556823; 0.9791537377
0.1500000000;  0.9696658857; 0.9898094629; 0.9926952979; 0.9779506605
0.1600000000;  0.9688833764; 0.9896682264; 0.9922361644; 0.9767795068
0.1700000000;  0.9681515117; 0.9895270101; 0.9917782776; 0.9756392833
0.1800000000;  0.9674583486; 0.9893858139; 0.9913216332; 0.9745290275
0.1900000000;  0.9668240981; 0.9892446379; 0.9908662270; 0.9734478072
0.2000000000;  0.9662199645; 0.9891034820; 0.9904120549; 0.9723947192
0.2100000000;  0.9656237387; 0.9889623462; 0.9899591125; 0.9713688884
0.2200000000;  0.9650442503; 0.9888212306; 0.9895073958; 0.9703694672
0.2300000000;  0.9644745077; 0.9886801352; 0.9890569005; 0.9693956343
0.2400000000;  0.9639108140; 0.9885390598; 0.9886076226; 0.9684465941
0.2500000000;  0.9633617135; 0.9883980046; 0.9881595579; 0.9675215760
0.2600000000;  0.9628171739; 0.9882569695; 0.9877127022; 0.9666198331
0.2700000000;  0.9622841056; 0.9881159546; 0.9872670515; 0.9657406420
0.2800000000;  0.9617418373; 0.9879749597; 0.9868226016; 0.9648833021
0.2900000000;  0.9612115293; 0.9878339850; 0.9863793486; 0.9640471344
0.3000000000;  0.9606932979; 0.9876930304; 0.9859372882; 0.9632314811
0.3100000000;  0.9601834457; 0.9875520959; 0.9854964166; 0.9624357051
0.3200000000;  0.9596816011; 0.9874111816; 0.9850567296; 0.9616591890
0.3300000000;  0.9591902891; 0.9872702873; 0.9846182232; 0.9609013348
0.3400000000;  0.9587077331; 0.9871294131; 0.9841808934; 0.9601615631
0.3500000000;  0.9582332174; 0.9869885591; 0.9837447362; 0.9594393128
0.3600000000;  0.9577633296; 0.9868477251; 0.9833097476; 0.9587340399
0.3700000000;  0.9573020578; 0.9867069112; 0.9828759237; 0.9580452178
0.3800000000;  0.9568535917; 0.9865661174; 0.9824432605; 0.9573723361
0.3900000000;  0.9564130848; 0.9864253438; 0.9820117541; 0.9567149003
0.4000000000;  0.9559871369; 0.9862845902; 0.9815814005; 0.9560724316
0.4100000000;  0.9555708728; 0.9861438566; 0.9811521959; 0.9554444658
0.4200000000;  0.9551559729; 0.9860031432; 0.9807241363; 0.9548305535
0.4300000000;  0.9547478033; 0.9858624498; 0.9802972178; 0.9542302591
0.4400000000;  0.9543441554; 0.9857217766; 0.9798714365; 0.9536431608
0.4500000000;  0.9539455178; 0.9855811233; 0.9794467887; 0.9530688498
0.4600000000;  0.9535526660; 0.9854404902; 0.9790232705; 0.9525069301
0.4700000000;  0.9531658880; 0.9852998771; 0.9786008779; 0.9519570180
