# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 40572.029070
0.060040; 2435.944625; 74345.142091
0.120080; 6899.626957; 63097.888357
0.180120; 10688.024173; 38700.332923
0.240160; 13011.592162; 23791.521469
0.300200; 14440.035111; 18034.351643
0.360240; 15522.817584; 15988.652224
0.420280; 16482.776263; 13211.283759
0.480320; 17275.981740; 10653.388289
0.540360; 17915.611173; 7859.422203
0.600400; 18387.490882; 5832.715598
0.660440; 18737.687127; 4751.609224
0.720480; 19022.973744; 4132.425697
0.780520; 19271.084583; 3495.872693
0.840560; 19480.976780; 3139.465153
0.900600; 19669.470268; 2889.883706
0.960640; 19842.978885; 2622.287781
1.020680; 20000.421044; 2535.892851
1.080720; 20152.676050; 2465.253822
1.140760; 20300.689890; 2407.520836
1.200800; 20445.237441; 2228.251545
1.260840; 20579.021664; 2110.903689
1.320880; 20705.760321; 1918.067864
1.380920; 20820.921116; 1854.265043
1.440960; 20932.251189; 1800.437590
1.501000; 21040.349462; 1831.446329
1.561040; 21150.309499; 1801.966808
1.621080; 21258.499587; 1645.253776
1.681120; 21357.280623; 1459.286413
1.741160; 21444.896180; 1286.815319
1.801200; 21522.156571; 1171.946084
1.861240; 21592.520214; 1174.249136
1.921280; 21663.022132; 1248.825665
1.981320; 21738.001625; 1321.624546
2.041360; 21817.351963; 1395.683752
2.101400; 21901.148815; 1432.534600
2.161440; 21987.158193; 1429.659581
2.221480; 22072.994954; 1406.142471
2.281520; 22157.419748; 1440.898921
2.341560; 22243.931319; 1466.425262
2.401600; 22331.975492; 1593.361995
2.461640; 22427.640946; 1732.532880
2.521680; 22531.662220; 1732.519523
2.581720; 22635.682692; 1617.418921
2.641760; 22732.792524; 1602.923652
2.701800; 22829.032060; 1619.151951
2.761840; 22926.245944; 1654.036657
2.821880; 23025.554304; 1666.256720
2.881920; 23125.596358; 1655.352637
2.941960; 23224.983730; 1642.413621
3.002000; 23323.594244; 1586.493947
3.062040; 23418.847341; 1523.520012
3.122080; 23510.319482; 1529.015210
3.182120; 23602.121555; 1556.317123
3.242160; 23695.562835; 1507.020561
3.302200; 23786.044350; 1375.245340
3.362240; 23868.614080; 1262.618335
3.422280; 23944.421685; 1270.750808
3.482320; 24020.717563; 1375.973290
3.542360; 24103.331000; 1465.513475
3.602400; 24191.320429; 1454.059243
3.662440; 24278.622146; 1394.532366
3.722480; 24362.349869; 1327.356800
3.782520; 24442.044371; 1318.426111
3.842560; 24521.202675; 1320.862735
3.902600; 24600.507273; 1315.742797
3.962640; 24679.504471; 1316.695149
4.022680; 24758.558848; 1346.354766
4.082720; 24839.393988; 1302.067739
4.142760; 24917.570135; 1330.173626
4.202800; 24997.433759; 1405.195914
4.262840; 25081.801722; 1428.714780
