# Tau / ps;  Linear Fit to MSD / pm^2
30.0200;  47066.8804
30.1705;  47168.0079
30.3210;  47269.1354
30.4714;  47370.2629
30.6219;  47471.3904
30.7724;  47572.5179
30.9229;  47673.6454
31.0733;  47774.7729
31.2238;  47875.9004
31.3743;  47977.0279
31.5248;  48078.1554
31.6752;  48179.2829
31.8257;  48280.4104
31.9762;  48381.5379
32.1267;  48482.6654
32.2771;  48583.7929
32.4276;  48684.9204
32.5781;  48786.0479
32.7286;  48887.1754
32.8790;  48988.3029
33.0295;  49089.4304
33.1800;  49190.5579
33.3305;  49291.6854
33.4810;  49392.8129
33.6314;  49493.9404
33.7819;  49595.0679
33.9324;  49696.1954
34.0829;  49797.3229
34.2333;  49898.4504
34.3838;  49999.5779
34.5343;  50100.7054
34.6848;  50201.8329
34.8352;  50302.9604
34.9857;  50404.0879
35.1362;  50505.2154
35.2867;  50606.3429
35.4371;  50707.4704
35.5876;  50808.5979
35.7381;  50909.7254
35.8886;  51010.8529
36.0390;  51111.9804
36.1895;  51213.1079
36.3400;  51314.2354
36.4905;  51415.3629
36.6410;  51516.4904
36.7914;  51617.6179
36.9419;  51718.7454
37.0924;  51819.8729
37.2429;  51921.0004
37.3933;  52022.1279
37.5438;  52123.2554
37.6943;  52224.3829
37.8448;  52325.5104
37.9952;  52426.6379
38.1457;  52527.7654
38.2962;  52628.8929
38.4467;  52730.0204
38.5971;  52831.1479
38.7476;  52932.2754
38.8981;  53033.4029
39.0486;  53134.5304
39.1990;  53235.6579
39.3495;  53336.7854
39.5000;  53437.9129
39.6505;  53539.0404
39.8010;  53640.1679
39.9514;  53741.2954
40.1019;  53842.4229
40.2524;  53943.5504
40.4029;  54044.6779
40.5533;  54145.8054
40.7038;  54246.9329
40.8543;  54348.0604
41.0048;  54449.1879
41.1552;  54550.3154
41.3057;  54651.4429
41.4562;  54752.5704
41.6067;  54853.6979
41.7571;  54954.8254
41.9076;  55055.9529
42.0581;  55157.0804
42.2086;  55258.2079
42.3590;  55359.3354
42.5095;  55460.4629
42.6600;  55561.5904
42.8105;  55662.7179
42.9610;  55763.8454
43.1114;  55864.9729
43.2619;  55966.1004
43.4124;  56067.2279
43.5629;  56168.3555
43.7133;  56269.4830
43.8638;  56370.6105
44.0143;  56471.7380
44.1648;  56572.8655
44.3152;  56673.9930
44.4657;  56775.1205
44.6162;  56876.2480
44.7667;  56977.3755
44.9171;  57078.5030
45.0676;  57179.6305
45.2181;  57280.7580
45.3686;  57381.8855
45.5190;  57483.0130
45.6695;  57584.1405
45.8200;  57685.2680
45.9705;  57786.3955
46.1210;  57887.5230
46.2714;  57988.6505
46.4219;  58089.7780
46.5724;  58190.9055
46.7229;  58292.0330
46.8733;  58393.1605
47.0238;  58494.2880
47.1743;  58595.4155
47.3248;  58696.5430
47.4752;  58797.6705
47.6257;  58898.7980
47.7762;  58999.9255
47.9267;  59101.0530
48.0771;  59202.1805
48.2276;  59303.3080
48.3781;  59404.4355
48.5286;  59505.5630
48.6790;  59606.6905
48.8295;  59707.8180
48.9800;  59808.9455
49.1305;  59910.0730
49.2810;  60011.2005
49.4314;  60112.3280
49.5819;  60213.4555
49.7324;  60314.5830
49.8829;  60415.7105
50.0333;  60516.8380
50.1838;  60617.9655
50.3343;  60719.0930
50.4848;  60820.2205
50.6352;  60921.3480
50.7857;  61022.4755
50.9362;  61123.6030
51.0867;  61224.7305
51.2371;  61325.8580
51.3876;  61426.9855
51.5381;  61528.1130
51.6886;  61629.2405
51.8390;  61730.3680
51.9895;  61831.4955
52.1400;  61932.6230
52.2905;  62033.7505
52.4410;  62134.8780
52.5914;  62236.0055
52.7419;  62337.1330
52.8924;  62438.2605
53.0429;  62539.3880
53.1933;  62640.5155
53.3438;  62741.6430
53.4943;  62842.7705
53.6448;  62943.8980
53.7952;  63045.0255
53.9457;  63146.1530
54.0962;  63247.2805
54.2467;  63348.4080
54.3971;  63449.5355
54.5476;  63550.6630
54.6981;  63651.7905
54.8486;  63752.9180
54.9990;  63854.0455
55.1495;  63955.1730
55.3000;  64056.3005
55.4505;  64157.4280
55.6010;  64258.5555
55.7514;  64359.6830
55.9019;  64460.8105
56.0524;  64561.9380
56.2029;  64663.0655
56.3533;  64764.1930
56.5038;  64865.3205
56.6543;  64966.4480
56.8048;  65067.5755
56.9552;  65168.7030
57.1057;  65269.8305
57.2562;  65370.9580
57.4067;  65472.0855
57.5571;  65573.2130
57.7076;  65674.3405
57.8581;  65775.4680
58.0086;  65876.5955
58.1590;  65977.7230
58.3095;  66078.8505
58.4600;  66179.9780
58.6105;  66281.1055
58.7610;  66382.2330
58.9114;  66483.3605
59.0619;  66584.4880
59.2124;  66685.6155
59.3629;  66786.7430
59.5133;  66887.8705
59.6638;  66988.9980
59.8143;  67090.1255
59.9648;  67191.2530
