# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 20432.786080
0.060040; 1226.784476; 39568.353697
0.120080; 3602.468432; 39935.069560
0.180120; 6000.170009; 31410.789002
0.240160; 7886.073780; 23491.129528
0.300200; 9296.481197; 19768.655935
0.360240; 10483.391299; 15761.910308
0.420280; 11429.736394; 11538.468316
0.480320; 12122.506032; 7439.810953
0.540360; 12569.192282; 5073.541387
0.600400; 12873.807707; 4108.608676
0.660440; 13120.488572; 3364.712125
0.720480; 13322.505888; 2446.294221
0.780520; 13469.381393; 2066.980668
0.840560; 13593.482912; 1934.213476
0.900600; 13709.613089; 1936.774183
0.960640; 13825.897011; 2105.654220
1.020680; 13952.320490; 2243.734011
1.080720; 14087.034280; 2325.343293
1.140760; 14226.647892; 2310.239522
1.200800; 14365.354673; 2261.067602
1.260840; 14501.109171; 2139.384716
1.320880; 14629.557830; 2096.335094
1.380920; 14755.421789; 2052.253209
1.440960; 14878.639071; 1964.689391
1.501000; 14996.599022; 1974.223959
1.561040; 15115.131429; 1985.697929
1.621080; 15234.352733; 1927.314490
1.681120; 15350.068695; 1852.967902
1.741160; 15461.320887; 1791.917867
1.801200; 15568.907636; 1857.356539
1.861240; 15680.423323; 1967.710675
1.921280; 15798.564672; 2018.174030
1.981320; 15919.735841; 2017.670395
2.041360; 16040.876771; 1964.584814
2.101400; 16158.830443; 1894.389779
2.161440; 16272.569606; 1827.473955
2.221480; 16382.291142; 1757.241618
2.281520; 16487.795929; 1739.076706
2.341560; 16592.210094; 1793.433411
2.401600; 16699.887836; 1895.551943
2.461640; 16813.696775; 1984.699584
2.521680; 16932.858138; 1996.352085
2.581720; 17052.719117; 1964.351114
2.641760; 17170.658758; 1964.847979
2.701800; 17288.628230; 1992.489971
2.761840; 17408.257328; 2020.255151
2.821880; 17529.553448; 2003.535331
2.881920; 17649.845709; 1979.002426
2.941960; 17768.665014; 1971.561268
3.002000; 17887.037553; 1953.994786
3.062040; 18004.355400; 1918.121747
3.122080; 18119.519430; 1875.645625
3.182120; 18232.133193; 1871.229377
3.242160; 18344.481805; 1923.769719
3.302200; 18459.984939; 1974.413260
3.362240; 18578.528711; 2004.046851
3.422280; 18698.851684; 1975.523430
3.482320; 18817.462111; 1970.525566
3.542360; 18935.772466; 1974.535011
3.602400; 19054.323548; 1924.512776
3.662440; 19169.871295; 1845.066053
3.722480; 19280.649060; 1794.443072
3.782520; 19388.387422; 1732.771446
3.842560; 19492.423020; 1711.509813
3.902600; 19595.182069; 1726.557946
3.962640; 19698.844608; 1760.333403
4.022680; 19804.535026; 1773.763043
4.082720; 19911.031759; 1768.576191
4.142760; 20017.217073; 1831.968789
4.202800; 20127.208480; 1896.225372
4.262840; 20241.057851; 1901.585825
4.322880; 20355.229064; 1803.227949
4.382920; 20463.494870; 1703.549828
4.442960; 20565.776002; 1638.036030
4.503000; 20664.123685; 1651.159462
4.563040; 20763.259299; 1604.387808
4.623080; 20859.586743; 1508.686836
4.683120; 20950.168301; 1408.690096
4.743160; 21034.746054; 1380.542051
4.803200; 21117.633799; 1375.131081
4.863240; 21200.196669; 1353.579664
4.923280; 21281.465592; 1346.565304
4.983320; 21362.313373; 1346.383810
5.043360; 21443.150257; 1403.838320
5.103400; 21527.436709; 1483.782332
5.163440; 21616.523000; 1569.285706
5.223480; 21710.742914; 1629.695809
5.283520; 21808.589851; 1665.693971
5.343560; 21908.598117; 1656.217649
5.403600; 22008.037424; 1585.819627
5.463640; 22103.250035; 1511.646388
5.523680; 22194.009284; 1464.776678
5.583720; 22281.954476; 1470.722732
5.643760; 22370.256669; 1482.811809
5.703800; 22459.284690; 1439.787704
5.763840; 22545.729543; 1394.020488
5.823880; 22629.426533; 1385.883693
5.883920; 22712.634990; 1429.842222
5.943960; 22798.482717; 1425.414920
6.004000; 22884.064629; 1373.182461
6.064040; 22966.510504; 1340.777094
6.124080; 23047.010761; 1370.712831
6.184120; 23129.308359; 1440.815525
6.244160; 23215.814923; 1457.741541
6.304200; 23303.337725; 1412.221285
6.364240; 23388.127491; 1358.848482
6.424280; 23469.712754; 1359.108084
6.484320; 23551.313604; 1397.968489
6.544360; 23635.247632; 1402.862503
6.604400; 23719.475496; 1358.234625
6.664440; 23801.023903; 1280.383478
6.724480; 23877.898127; 1207.637128
6.784520; 23950.404660; 1186.445425
