# Tau / ps;  Linear Fit to MSD / pm^2
30.0200;  47814.3969
30.1705;  47935.6870
30.3210;  48056.9771
30.4714;  48178.2673
30.6219;  48299.5574
30.7724;  48420.8476
30.9229;  48542.1377
31.0733;  48663.4278
31.2238;  48784.7180
31.3743;  48906.0081
31.5248;  49027.2983
31.6752;  49148.5884
31.8257;  49269.8785
31.9762;  49391.1687
32.1267;  49512.4588
32.2771;  49633.7490
32.4276;  49755.0391
32.5781;  49876.3292
32.7286;  49997.6194
32.8790;  50118.9095
33.0295;  50240.1997
33.1800;  50361.4898
33.3305;  50482.7799
33.4810;  50604.0701
33.6314;  50725.3602
33.7819;  50846.6504
33.9324;  50967.9405
34.0829;  51089.2306
34.2333;  51210.5208
34.3838;  51331.8109
34.5343;  51453.1011
34.6848;  51574.3912
34.8352;  51695.6813
34.9857;  51816.9715
35.1362;  51938.2616
35.2867;  52059.5518
35.4371;  52180.8419
35.5876;  52302.1320
35.7381;  52423.4222
35.8886;  52544.7123
36.0390;  52666.0025
36.1895;  52787.2926
36.3400;  52908.5827
36.4905;  53029.8729
36.6410;  53151.1630
36.7914;  53272.4532
36.9419;  53393.7433
37.0924;  53515.0334
37.2429;  53636.3236
37.3933;  53757.6137
37.5438;  53878.9039
37.6943;  54000.1940
37.8448;  54121.4841
37.9952;  54242.7743
38.1457;  54364.0644
38.2962;  54485.3546
38.4467;  54606.6447
38.5971;  54727.9348
38.7476;  54849.2250
38.8981;  54970.5151
39.0486;  55091.8053
39.1990;  55213.0954
39.3495;  55334.3855
39.5000;  55455.6757
39.6505;  55576.9658
39.8010;  55698.2560
39.9514;  55819.5461
40.1019;  55940.8362
40.2524;  56062.1264
40.4029;  56183.4165
40.5533;  56304.7067
40.7038;  56425.9968
40.8543;  56547.2869
41.0048;  56668.5771
41.1552;  56789.8672
41.3057;  56911.1574
41.4562;  57032.4475
41.6067;  57153.7376
41.7571;  57275.0278
41.9076;  57396.3179
42.0581;  57517.6081
42.2086;  57638.8982
42.3590;  57760.1883
42.5095;  57881.4785
42.6600;  58002.7686
42.8105;  58124.0588
42.9610;  58245.3489
43.1114;  58366.6390
43.2619;  58487.9292
43.4124;  58609.2193
43.5629;  58730.5095
43.7133;  58851.7996
43.8638;  58973.0897
44.0143;  59094.3799
44.1648;  59215.6700
44.3152;  59336.9602
44.4657;  59458.2503
44.6162;  59579.5404
44.7667;  59700.8306
44.9171;  59822.1207
45.0676;  59943.4109
45.2181;  60064.7010
45.3686;  60185.9911
45.5190;  60307.2813
45.6695;  60428.5714
45.8200;  60549.8616
45.9705;  60671.1517
46.1210;  60792.4418
46.2714;  60913.7320
46.4219;  61035.0221
46.5724;  61156.3123
46.7229;  61277.6024
46.8733;  61398.8925
47.0238;  61520.1827
47.1743;  61641.4728
47.3248;  61762.7630
47.4752;  61884.0531
47.6257;  62005.3432
47.7762;  62126.6334
47.9267;  62247.9235
48.0771;  62369.2137
48.2276;  62490.5038
48.3781;  62611.7939
48.5286;  62733.0841
48.6790;  62854.3742
48.8295;  62975.6644
48.9800;  63096.9545
49.1305;  63218.2446
49.2810;  63339.5348
49.4314;  63460.8249
49.5819;  63582.1151
49.7324;  63703.4052
49.8829;  63824.6953
50.0333;  63945.9855
50.1838;  64067.2756
50.3343;  64188.5658
50.4848;  64309.8559
50.6352;  64431.1460
50.7857;  64552.4362
50.9362;  64673.7263
51.0867;  64795.0165
51.2371;  64916.3066
51.3876;  65037.5968
51.5381;  65158.8869
51.6886;  65280.1770
51.8390;  65401.4672
51.9895;  65522.7573
52.1400;  65644.0475
52.2905;  65765.3376
52.4410;  65886.6277
52.5914;  66007.9179
52.7419;  66129.2080
52.8924;  66250.4982
53.0429;  66371.7883
53.1933;  66493.0784
53.3438;  66614.3686
53.4943;  66735.6587
53.6448;  66856.9489
53.7952;  66978.2390
53.9457;  67099.5291
54.0962;  67220.8193
54.2467;  67342.1094
54.3971;  67463.3996
54.5476;  67584.6897
54.6981;  67705.9798
54.8486;  67827.2700
54.9990;  67948.5601
55.1495;  68069.8503
55.3000;  68191.1404
55.4505;  68312.4305
55.6010;  68433.7207
55.7514;  68555.0108
55.9019;  68676.3010
56.0524;  68797.5911
56.2029;  68918.8812
56.3533;  69040.1714
56.5038;  69161.4615
56.6543;  69282.7517
56.8048;  69404.0418
56.9552;  69525.3319
57.1057;  69646.6221
57.2562;  69767.9122
57.4067;  69889.2024
57.5571;  70010.4925
57.7076;  70131.7826
57.8581;  70253.0728
58.0086;  70374.3629
58.1590;  70495.6531
58.3095;  70616.9432
58.4600;  70738.2333
58.6105;  70859.5235
58.7610;  70980.8136
58.9114;  71102.1038
59.0619;  71223.3939
59.2124;  71344.6840
59.3629;  71465.9742
59.5133;  71587.2643
59.6638;  71708.5545
59.8143;  71829.8446
59.9648;  71951.1347
