# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 25400.318420
0.060040; 1525.035118; 24472.719209
0.120080; 2994.377179; 21557.955832
0.180120; 4288.716847; 16173.642846
0.240160; 5259.782364; 10801.268761
0.300200; 5908.290540; 7183.280715
0.360240; 6339.574714; 5558.272360
0.420280; 6673.293387; 4587.823448
0.480320; 6948.746307; 3927.167994
0.540360; 7184.533473; 3374.934676
0.600400; 7387.164551; 2940.594767
0.660440; 7563.717861; 2547.292391
0.720480; 7716.657296; 2252.777947
0.780520; 7851.914084; 2050.211954
0.840560; 7975.008810; 1945.780268
0.900600; 8091.833457; 1855.109850
0.960640; 8203.214252; 1831.678993
1.020680; 8313.188259; 1785.350283
1.080720; 8420.380690; 1722.839014
1.140760; 8523.819944; 1649.587510
1.200800; 8622.861179; 1577.842562
1.260840; 8717.594846; 1509.591325
1.320880; 8808.230709; 1448.012302
1.380920; 8895.169368; 1383.658008
1.440960; 8978.244195; 1309.847109
1.501000; 9056.887415; 1265.725810
1.561040; 9132.881593; 1230.828458
1.621080; 9206.780533; 1208.497244
1.681120; 9279.338708; 1145.809000
1.741160; 9348.133080; 1144.848149
1.801200; 9416.869763; 1169.409973
1.861240; 9487.081138; 1202.222744
1.921280; 9559.262591; 1195.706532
1.981320; 9631.052812; 1199.751200
2.041360; 9703.085874; 1200.002164
2.101400; 9775.134003; 1201.360916
2.161440; 9847.263713; 1215.072620
2.221480; 9920.216673; 1205.882799
2.281520; 9992.617876; 1213.107933
2.341560; 10065.452876; 1229.475734
2.401600; 10139.270600; 1317.569521
2.461640; 10218.377474; 1387.770243
2.521680; 10301.699199; 1443.764914
2.581720; 10388.382844; 1457.751195
2.641760; 10475.906226; 1504.140302
2.701800; 10566.214810; 1530.532446
2.761840; 10658.107978; 1509.800224
2.821880; 10748.756383; 1505.722071
2.881920; 10839.159937; 1504.896877
2.941960; 10929.513945; 1487.844415
3.002000; 11018.844124; 1473.045438
3.062040; 11107.285772; 1437.744314
3.122080; 11193.607940; 1424.945099
3.182120; 11279.161644; 1432.765485
3.242160; 11365.184884; 1469.444027
3.302200; 11453.410303; 1504.616100
3.362240; 11543.747454; 1513.418918
3.422280; 11634.613126; 1509.700786
3.482320; 11725.255561; 1510.331133
3.542360; 11815.935842; 1516.618985
3.602400; 11906.993646; 1497.683722
3.662440; 11996.914577; 1481.752349
3.722480; 12085.878988; 1456.113850
3.782520; 12173.304063; 1444.170283
3.842560; 12260.012047; 1425.325554
3.902600; 12345.588593; 1429.931808
3.962640; 12431.441699; 1442.124436
4.022680; 12518.026850; 1429.860681
4.082720; 12603.875685; 1388.534636
4.142760; 12687.243305; 1345.815740
4.202800; 12768.046082; 1349.907586
4.262840; 12849.094534; 1327.667861
4.322880; 12928.807712; 1303.470760
4.382920; 13007.068096; 1335.985318
4.442960; 13087.280655; 1336.335563
4.503000; 13167.514242; 1332.229081
4.563040; 13247.501276; 1285.096108
4.623080; 13324.658446; 1239.373687
4.683120; 13399.070443; 1179.428089
4.743160; 13469.883305; 1173.895062
4.803200; 13540.363965; 1157.475091
4.863240; 13609.858769; 1147.717062
4.923280; 13678.767701; 1180.824615
4.983320; 13749.664411; 1208.291588
5.043360; 13822.210238; 1202.119468
5.103400; 13894.385491; 1206.697382
5.163440; 13966.835602; 1227.623206
5.223480; 14040.542099; 1195.713915
5.283520; 14112.332763; 1190.360154
5.343560; 14183.801986; 1196.223784
5.403600; 14255.623262; 1180.094489
5.463640; 14326.476135; 1158.816269
5.523680; 14396.051464; 1153.407711
5.583720; 14465.302063; 1138.867913
5.643760; 14533.679693; 1138.104555
5.703800; 14602.011490; 1133.521492
5.763840; 14670.068121; 1158.521586
5.823880; 14739.625757; 1169.885334
5.883920; 14809.865672; 1220.758038
5.943960; 14883.159985; 1269.114537
6.004000; 14959.357621; 1246.748295
6.064040; 15034.212389; 1204.854452
6.124080; 15106.551850; 1201.142203
6.184120; 15178.668428; 1198.249302
6.244160; 15250.611316; 1207.858080
6.304200; 15323.131115; 1203.469020
6.364240; 15395.387395; 1155.465440
6.424280; 15464.761540; 1148.913798
6.484320; 15533.742325; 1142.872456
6.544360; 15602.360387; 1150.869687
6.604400; 15671.458603; 1188.300054
6.664440; 15742.804138; 1201.901139
6.724480; 15814.966283; 1219.357103
6.784520; 15888.176483; 1201.357246
6.844560; 15960.305972; 1203.276165
6.904600; 16032.550673; 1186.902407
6.964640; 16103.812294; 1175.021458
7.024680; 16174.360582; 1145.900077
7.084720; 16243.160423; 1145.892909
7.144760; 16311.959833; 1171.275409
7.204800; 16382.283208; 1178.335732
7.264840; 16453.030486; 1186.836223
7.324880; 16524.288133; 1172.922336
7.384920; 16594.710390; 1146.859336
7.444960; 16663.567824; 1102.551881
7.505000; 16729.765039; 1104.267515
7.565040; 16796.065261; 1091.124988
7.625080; 16861.576405; 1067.534802
7.685120; 16925.671195; 1063.808261
7.745160; 16989.542243; 1045.526475
7.805200; 17052.315652; 1066.933303
7.865240; 17116.374328; 1069.435202
7.925280; 17180.583217; 1082.489903
7.985320; 17245.575911; 1085.080355
8.045360; 17310.724135; 1107.984067
8.105400; 17377.247499; 1121.139057
8.165440; 17444.560688; 1123.166039
8.225480; 17511.995577; 1136.120568
8.285520; 17580.208256; 1142.459581
8.345560; 17648.801529; 1118.317606
8.405600; 17715.945318; 1122.497206
8.465640; 17783.340050; 1142.854942
8.525680; 17851.957061; 1145.490407
8.585720; 17920.732305; 1141.494517
8.645760; 17989.267636; 1136.465396
8.705800; 18057.501018; 1099.836675
8.765840; 18123.535212; 1086.178021
8.825880; 18188.749341; 1081.495158
8.885920; 18253.682310; 1087.992738
8.945960; 18319.005394; 1081.924899
9.006000; 18383.964165; 1099.302306
9.066040; 18449.966275; 1088.766465
9.126080; 18515.335814; 1066.093775
9.186120; 18579.344084; 1050.977984
9.246160; 18642.444802; 1055.812181
9.306200; 18705.835766; 1052.183278
9.366240; 18769.008850; 1049.222868
9.426280; 18832.004191; 1027.884660
9.486320; 18893.718386; 1035.152824
9.546360; 18955.868961; 1053.562541
9.606400; 19019.124856; 1100.064106
9.666440; 19085.172705; 1105.036704
9.726480; 19151.519109; 1090.686986
9.786520; 19217.003955; 1109.161686
9.846560; 19283.598023; 1144.721137
9.906600; 19352.327080; 1137.175216
9.966640; 19420.603080; 1113.468626
10.026680; 19487.455736; 1101.775865
10.086720; 19553.606359; 1066.556383
10.146760; 19617.642405; 1032.951018
10.206800; 19679.660784; 1006.463171
10.266840; 19740.088832; 1013.780711
10.326880; 19800.956226; 1032.416225
10.386920; 19862.942497; 1079.865293
10.446960; 19927.777609; 1094.725386
10.507000; 19993.504921; 1093.129174
10.567040; 20059.136396; 1077.230794
10.627080; 20123.813333; 1063.915842
10.687120; 20187.690840; 1047.428031
10.747160; 20250.578419; 1002.120003
10.807200; 20310.745704; 984.800669
10.867240; 20369.873137; 992.945689
10.927280; 20429.489596; 1020.874786
10.987320; 20490.782918; 1029.121654
11.047360; 20552.571382; 1071.079553
11.107400; 20616.878998; 1133.685619
11.167440; 20684.945483; 1146.498234
11.227480; 20753.781237; 1130.193426
11.287520; 20821.638050; 1118.605891
11.347560; 20888.799148; 1084.122022
11.407600; 20953.889834; 1068.028200
11.467640; 21018.014247; 1060.747398
11.527680; 21081.701521; 1066.938173
11.587720; 21145.760489; 1066.672392
11.647760; 21209.803499; 1074.752820
11.707800; 21274.331659; 1052.495305
11.767840; 21337.523477; 1051.375044
11.827880; 21400.648035; 1040.732448
11.887920; 21463.133611; 1051.021680
11.947960; 21526.236952; 1045.199754
12.008000; 21588.990746; 1045.153757
12.068040; 21651.741777; 1037.375075
12.128080; 21714.025777; 1018.417067
12.188120; 21775.171537; 1036.366979
12.248160; 21837.395011; 1025.909458
12.308200; 21898.990615; 1008.680825
12.368240; 21959.551811; 1012.146233
12.428280; 22020.321071; 1005.545265
12.488320; 22080.694009; 1004.491022
12.548360; 22141.003650; 1021.053061
12.608400; 22202.307676; 1044.816482
12.668440; 22265.038457; 1059.802245
12.728480; 22328.668984; 1052.115412
12.788520; 22391.837993; 1058.703661
12.848560; 22455.402561; 1045.415649
12.908600; 22518.169317; 1021.148858
12.968640; 22579.479094; 979.614335
13.028680; 22638.295139; 959.552004
13.088720; 22695.906641; 940.783405
13.148760; 22752.391277; 960.264240
13.208800; 22810.045542; 987.288695
13.268840; 22869.322355; 993.956496
13.328880; 22928.999503; 1016.882188
13.388920; 22990.053110; 1015.791793
13.448960; 23051.041249; 1014.134726
13.509000; 23111.929898; 1017.610068
13.569040; 23173.027206; 969.309631
13.629080; 23231.224557; 929.119379
13.689120; 23287.008884; 948.113136
13.749160; 23343.933597; 962.340975
13.809200; 23401.712549; 986.822972
13.869240; 23460.961400; 1000.433082
13.929280; 23521.027402; 1004.670125
13.989320; 23581.347797; 997.203334
14.049360; 23641.219885; 991.995082
14.109400; 23700.779270; 963.086002
14.169440; 23758.602953; 939.881089
14.229480; 23815.033414; 896.711310
14.289520; 23868.871961; 912.235190
14.349560; 23923.642562; 949.794594
14.409600; 23980.668229; 999.415209
14.469640; 24040.673118; 1031.172500
14.529680; 24102.584715; 991.577674
14.589720; 24162.119039; 980.723737
14.649760; 24221.001692; 939.376354
14.709800; 24277.401848; 939.883755
14.769840; 24333.832469; 968.046966
14.829880; 24391.954009; 1009.045033
14.889920; 24452.537072; 1027.904867
14.949960; 24514.252481; 1010.052696
15.010000; 24574.896044; 1020.133802
15.070040; 24636.144878; 1029.280983
15.130080; 24697.942908; 1012.675356
15.190120; 24758.743937; 1015.008246
15.250160; 24819.685032; 1019.031121
15.310200; 24880.867660; 1016.045619
15.370240; 24941.871039; 1008.108267
15.430280; 25002.397859; 1003.014299
15.490320; 25062.618838; 1052.849575
15.550360; 25125.831926; 1060.623810
15.610400; 25189.511780; 1070.084978
15.670440; 25253.759682; 1074.894120
15.730480; 25318.296325; 1085.484394
15.790520; 25383.468808; 1064.647109
15.850560; 25447.390220; 1024.761335
15.910600; 25508.916891; 997.001859
15.970640; 25568.776883; 988.162208
16.030680; 25628.106142; 978.914818
16.090720; 25686.880187; 990.292243
16.150760; 25746.337334; 991.973298
16.210800; 25805.895410; 965.459062
16.270840; 25863.861572; 957.617892
16.330880; 25921.356951; 942.541744
16.390920; 25977.947157; 931.246602
16.450960; 26033.859203; 936.460982
16.511000; 26090.084320; 911.125225
16.571040; 26144.788279; 901.772841
16.631080; 26198.930720; 910.041130
16.691120; 26253.569590; 903.278322
16.751160; 26307.802420; 908.388254
16.811200; 26362.342051; 890.438068
16.871240; 26415.803952; 909.114781
16.931280; 26470.387204; 925.098378
16.991320; 26525.930110; 909.024018
17.051360; 26580.507912; 926.083352
17.111400; 26636.109957; 945.397079
17.171440; 26692.871598; 997.187095
17.231480; 26752.742711; 1017.312286
17.291520; 26813.822140; 1024.289387
17.351560; 26875.320475; 990.624957
17.411600; 26934.797598; 1007.682492
17.471640; 26995.298854; 1018.562868
17.531680; 27056.453369; 1021.408239
17.591720; 27117.778720; 1007.919162
17.651760; 27178.294186; 1018.950848
17.711800; 27239.471995; 1039.057596
17.771840; 27301.857013; 1055.339550
17.831880; 27365.219600; 1035.170868
17.891920; 27427.371259; 1028.805817
17.951960; 27489.140760; 1012.597627
18.012000; 27549.937121; 1015.067043
18.072040; 27610.881747; 1005.954195
18.132080; 27671.279237; 1002.021673
18.192120; 27731.440618; 980.432170
18.252160; 27790.305765; 985.757640
18.312200; 27849.490654; 976.769918
18.372240; 27908.135920; 958.098019
18.432280; 27965.660125; 948.532465
18.492320; 28022.610014; 954.513119
18.552360; 28079.918982; 964.012096
18.612400; 28137.798268; 970.346065
18.672440; 28196.057846; 948.241731
18.732480; 28252.990279; 933.923826
18.792520; 28309.063066; 957.602362
18.852560; 28366.557512; 960.028585
18.912600; 28424.197628; 965.614867
18.972640; 28482.173145; 968.114957
19.032680; 28540.298767; 961.954354
19.092720; 28598.054506; 960.131026
19.152760; 28655.700773; 979.751103
19.212800; 28714.525029; 983.060526
19.272840; 28773.547983; 957.824029
19.332880; 28831.055738; 972.720857
19.392920; 28889.457898; 966.090834
19.452960; 28947.461992; 948.464752
19.513000; 29004.407815; 949.334381
19.573040; 29061.405852; 926.226464
19.633080; 29117.016489; 910.206186
19.693120; 29171.665268; 935.203450
19.753160; 29227.814883; 924.384584
19.813200; 29283.314933; 937.811118
19.873240; 29339.621113; 939.609929
19.933280; 29396.035293; 890.158302
19.993320; 29449.480398; 872.255787
20.053360; 29501.850635; 876.020645
20.113400; 29554.446915; 898.451268
20.173440; 29608.389929; 886.944098
20.233480; 29661.642052; 876.654483
20.293520; 29714.276388; 883.627165
20.353560; 29767.329363; 917.352997
20.413600; 29822.407236; 916.855374
20.473640; 29877.455233; 908.816751
20.533680; 29932.020591; 930.355352
20.593720; 29987.879126; 924.603869
20.653760; 30043.392342; 935.845020
20.713800; 30099.580477; 938.018330
20.773840; 30155.899098; 926.941608
20.833880; 30211.552672; 954.431150
20.893920; 30268.856718; 972.342128
20.953960; 30327.236140; 1016.755415
21.014000; 30388.282135; 1026.591292
21.074040; 30449.918676; 1030.047737
21.134080; 30511.762742; 1005.771264
21.194120; 30572.149249; 1002.825393
21.254160; 30632.358886; 964.300585
21.314200; 30690.255493; 986.559840
21.374240; 30749.488545; 974.948922
21.434280; 30808.024479; 968.031424
21.494320; 30866.145085; 978.092527
21.554360; 30924.869761; 962.758233
21.614400; 30982.673765; 947.541913
21.674440; 31039.564182; 911.117967
21.734480; 31094.267704; 917.328491
21.794520; 31149.344107; 919.883668
21.854560; 31204.573922; 976.422143
21.914600; 31263.198308; 1002.928173
21.974640; 31323.414115; 980.162803
22.034680; 31382.263090; 973.514060
22.094720; 31440.712874; 957.934320
22.154760; 31498.227251; 949.538139
22.214800; 31555.237520; 926.619575
22.274840; 31610.871760; 896.191833
22.334880; 31664.679117; 875.521508
22.394920; 31717.245429; 864.883718
22.454960; 31769.173047; 851.552843
22.515000; 31820.300280; 853.132389
22.575040; 31871.522348; 877.862070
22.635080; 31924.229187; 907.191396
22.695120; 31978.696959; 890.588920
22.755160; 32032.167917; 863.442274
22.815200; 32084.008991; 833.414598
22.875240; 32134.047204; 838.287282
22.935280; 32184.377972; 857.645110
22.995320; 32235.870985; 851.952316
23.055360; 32287.022202; 881.719364
23.115400; 32339.960632; 905.209478
23.175440; 32394.309409; 915.538270
23.235480; 32449.278327; 948.163647
23.295520; 32506.206073; 975.113808
23.355560; 32564.751906; 1001.350115
23.415600; 32624.872967; 1001.097881
23.475640; 32684.978883; 999.128029
23.535680; 32744.966530; 973.089826
23.595720; 32803.390843; 958.363826
23.655760; 32860.931007; 956.446612
23.715800; 32918.356062; 967.412167
23.775840; 32976.439489; 984.624962
23.835880; 33035.556371; 974.333088
23.895920; 33094.055330; 957.401141
23.955960; 33151.537694; 934.591209
24.016000; 33207.650551; 933.934722
24.076040; 33263.723991; 932.214048
24.136080; 33319.694123; 920.288610
24.196120; 33374.948251; 911.430849
24.256160; 33429.670559; 898.196659
24.316200; 33483.598286; 917.155741
24.376240; 33538.664317; 933.251338
24.436280; 33594.696727; 957.611654
24.496320; 33652.191731; 947.203191
24.556360; 33709.061811; 949.900438
24.616400; 33766.093833; 955.355825
24.676440; 33823.453397; 933.388259
24.736480; 33879.494028; 937.306325
24.796520; 33935.769900; 926.477033
24.856560; 33991.395581; 907.904808
24.916600; 34045.906185; 923.712895
24.976640; 34101.365908; 941.419940
25.036680; 34157.888761; 949.414052
25.096720; 34214.891580; 951.656902
25.156760; 34272.029061; 965.058663
25.216800; 34329.971183; 983.031175
25.276840; 34388.992375; 1007.223593
25.336880; 34449.466079; 989.905688
25.396920; 34508.900017; 997.069086
25.456960; 34568.764045; 1000.763921
25.517000; 34628.849910; 1007.826073
25.577040; 34689.359788; 988.140491
25.637080; 34748.687743; 947.229508
25.697120; 34805.559403; 921.374488
25.757160; 34860.878727; 876.668161
25.817200; 34913.513883; 865.316104
25.877240; 34965.467462; 856.047920
25.937280; 35016.864579; 848.971960
25.997320; 35067.836856; 835.805386
26.057360; 35118.018611; 838.275456
26.117400; 35168.348670; 845.330243
26.177440; 35219.102297; 847.913892
26.237480; 35270.011047; 866.895498
26.297520; 35322.059453; 870.752627
26.357560; 35374.339441; 857.992702
26.417600; 35425.853323; 870.510905
26.477640; 35478.118797; 891.834733
26.537680; 35531.664555; 913.041149
26.597720; 35586.483545; 962.484347
26.657760; 35644.271106; 966.497482
26.717800; 35702.299614; 977.075265
26.777840; 35760.963213; 983.586353
26.837880; 35820.017738; 994.789846
26.897920; 35879.744920; 971.219618
26.957960; 35938.056946; 968.103525
27.018000; 35996.181882; 922.416143
27.078040; 36051.563747; 898.050172
27.138080; 36105.482679; 883.119223
27.198120; 36158.505158; 897.602224
27.258160; 36212.397195; 906.358059
27.318200; 36266.814933; 937.517602
27.378240; 36323.103490; 971.695983
27.438280; 36381.444117; 975.233254
27.498320; 36439.997121; 1016.133427
27.558360; 36501.005772; 1010.880276
27.618400; 36561.699024; 1002.924199
27.678440; 36621.914593; 974.699681
27.738480; 36680.435562; 943.973703
27.798520; 36737.111743; 937.383220
27.858560; 36793.392231; 942.688141
27.918600; 36849.991227; 958.063715
27.978640; 36907.513373; 948.787553
28.038680; 36964.478577; 911.242584
28.098720; 37019.189582; 867.441823
28.158760; 37071.270789; 866.153096
28.218800; 37123.274621; 879.022112
28.278840; 37176.051109; 886.610586
28.338880; 37229.283208; 902.181735
28.398920; 37283.450200; 913.354973
28.458960; 37338.288032; 907.688762
28.519000; 37392.785666; 886.036442
28.579040; 37445.983294; 863.515497
28.639080; 37497.828764; 858.984553
28.699120; 37549.402197; 851.245511
28.759160; 37600.510977; 829.186114
28.819200; 37650.295311; 805.037610
28.879240; 37698.629769; 825.477162
28.939280; 37748.191418; 866.133761
28.999320; 37800.194089; 905.139324
29.059360; 37854.538654; 927.248036
29.119400; 37910.210626; 943.213416
29.179440; 37966.841160; 959.365379
29.239480; 38024.441457; 961.422123
29.299520; 38082.165241; 933.521809
29.359560; 38138.213891; 919.808966
29.419600; 38193.439221; 894.409906
