# Tau / ps;  Linear Fit to MSD / pm^2
30.0200;  38866.2105
30.1705;  38999.2668
30.3210;  39132.3230
30.4714;  39265.3793
30.6219;  39398.4356
30.7724;  39531.4919
30.9229;  39664.5481
31.0733;  39797.6044
31.2238;  39930.6607
31.3743;  40063.7169
31.5248;  40196.7732
31.6752;  40329.8295
31.8257;  40462.8858
31.9762;  40595.9420
32.1267;  40728.9983
32.2771;  40862.0546
32.4276;  40995.1109
32.5781;  41128.1671
32.7286;  41261.2234
32.8790;  41394.2797
33.0295;  41527.3359
33.1800;  41660.3922
33.3305;  41793.4485
33.4810;  41926.5048
33.6314;  42059.5610
33.7819;  42192.6173
33.9324;  42325.6736
34.0829;  42458.7299
34.2333;  42591.7861
34.3838;  42724.8424
34.5343;  42857.8987
34.6848;  42990.9549
34.8352;  43124.0112
34.9857;  43257.0675
35.1362;  43390.1238
35.2867;  43523.1800
35.4371;  43656.2363
35.5876;  43789.2926
35.7381;  43922.3488
35.8886;  44055.4051
36.0390;  44188.4614
36.1895;  44321.5177
36.3400;  44454.5739
36.4905;  44587.6302
36.6410;  44720.6865
36.7914;  44853.7428
36.9419;  44986.7990
37.0924;  45119.8553
37.2429;  45252.9116
37.3933;  45385.9678
37.5438;  45519.0241
37.6943;  45652.0804
37.8448;  45785.1367
37.9952;  45918.1929
38.1457;  46051.2492
38.2962;  46184.3055
38.4467;  46317.3617
38.5971;  46450.4180
38.7476;  46583.4743
38.8981;  46716.5306
39.0486;  46849.5868
39.1990;  46982.6431
39.3495;  47115.6994
39.5000;  47248.7557
39.6505;  47381.8119
39.8010;  47514.8682
39.9514;  47647.9245
40.1019;  47780.9807
40.2524;  47914.0370
40.4029;  48047.0933
40.5533;  48180.1496
40.7038;  48313.2058
40.8543;  48446.2621
41.0048;  48579.3184
41.1552;  48712.3747
41.3057;  48845.4309
41.4562;  48978.4872
41.6067;  49111.5435
41.7571;  49244.5997
41.9076;  49377.6560
42.0581;  49510.7123
42.2086;  49643.7686
42.3590;  49776.8248
42.5095;  49909.8811
42.6600;  50042.9374
42.8105;  50175.9936
42.9610;  50309.0499
43.1114;  50442.1062
43.2619;  50575.1625
43.4124;  50708.2187
43.5629;  50841.2750
43.7133;  50974.3313
43.8638;  51107.3876
44.0143;  51240.4438
44.1648;  51373.5001
44.3152;  51506.5564
44.4657;  51639.6126
44.6162;  51772.6689
44.7667;  51905.7252
44.9171;  52038.7815
45.0676;  52171.8377
45.2181;  52304.8940
45.3686;  52437.9503
45.5190;  52571.0066
45.6695;  52704.0628
45.8200;  52837.1191
45.9705;  52970.1754
46.1210;  53103.2316
46.2714;  53236.2879
46.4219;  53369.3442
46.5724;  53502.4005
46.7229;  53635.4567
46.8733;  53768.5130
47.0238;  53901.5693
47.1743;  54034.6255
47.3248;  54167.6818
47.4752;  54300.7381
47.6257;  54433.7944
47.7762;  54566.8506
47.9267;  54699.9069
48.0771;  54832.9632
48.2276;  54966.0195
48.3781;  55099.0757
48.5286;  55232.1320
48.6790;  55365.1883
48.8295;  55498.2445
48.9800;  55631.3008
49.1305;  55764.3571
49.2810;  55897.4134
49.4314;  56030.4696
49.5819;  56163.5259
49.7324;  56296.5822
49.8829;  56429.6385
50.0333;  56562.6947
50.1838;  56695.7510
50.3343;  56828.8073
50.4848;  56961.8635
50.6352;  57094.9198
50.7857;  57227.9761
50.9362;  57361.0324
51.0867;  57494.0886
51.2371;  57627.1449
51.3876;  57760.2012
51.5381;  57893.2574
51.6886;  58026.3137
51.8390;  58159.3700
51.9895;  58292.4263
52.1400;  58425.4825
52.2905;  58558.5388
52.4410;  58691.5951
52.5914;  58824.6514
52.7419;  58957.7076
52.8924;  59090.7639
53.0429;  59223.8202
53.1933;  59356.8764
53.3438;  59489.9327
53.4943;  59622.9890
53.6448;  59756.0453
53.7952;  59889.1015
53.9457;  60022.1578
54.0962;  60155.2141
54.2467;  60288.2704
54.3971;  60421.3266
54.5476;  60554.3829
54.6981;  60687.4392
54.8486;  60820.4954
54.9990;  60953.5517
55.1495;  61086.6080
55.3000;  61219.6643
55.4505;  61352.7205
55.6010;  61485.7768
55.7514;  61618.8331
55.9019;  61751.8893
56.0524;  61884.9456
56.2029;  62018.0019
56.3533;  62151.0582
56.5038;  62284.1144
56.6543;  62417.1707
56.8048;  62550.2270
56.9552;  62683.2833
57.1057;  62816.3395
57.2562;  62949.3958
57.4067;  63082.4521
57.5571;  63215.5083
57.7076;  63348.5646
57.8581;  63481.6209
58.0086;  63614.6772
58.1590;  63747.7334
58.3095;  63880.7897
58.4600;  64013.8460
58.6105;  64146.9023
58.7610;  64279.9585
58.9114;  64413.0148
59.0619;  64546.0711
59.2124;  64679.1273
59.3629;  64812.1836
59.5133;  64945.2399
59.6638;  65078.2962
59.8143;  65211.3524
59.9648;  65344.4087
