# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 19823.072993
0.060040; 1190.177302; 26464.676026
0.120080; 2779.116451; 23264.267173
0.180120; 4175.903052; 16955.993124
0.240160; 5193.940879; 10416.916799
0.300200; 5819.372564; 6013.415410
0.360240; 6180.418025; 4432.366323
0.420280; 6446.537299; 3904.439400
0.480320; 6680.959841; 3633.155070
0.540360; 6899.094471; 3207.100161
0.600400; 7091.648765; 2687.788637
0.660440; 7253.023595; 2288.431637
0.720480; 7390.421030; 2022.261732
0.780520; 7511.837624; 1879.602771
0.840560; 7624.688975; 1782.336274
0.900600; 7731.700445; 1679.393222
0.960640; 7832.531214; 1652.056729
1.020680; 7931.720700; 1599.372041
1.080720; 8027.746997; 1516.911722
1.140760; 8118.822377; 1446.022477
1.200800; 8205.641566; 1382.004842
1.260840; 8288.617137; 1328.174848
1.320880; 8368.360755; 1272.827811
1.380920; 8444.781337; 1198.304026
1.440960; 8516.727510; 1139.578404
1.501000; 8585.147798; 1083.124476
1.561040; 8650.178591; 1042.839863
1.621080; 8712.790697; 1005.453671
1.681120; 8773.158135; 959.309311
1.741160; 8830.755066; 958.009983
1.801200; 8888.273986; 987.444934
1.861240; 8947.560179; 1033.302778
1.921280; 9009.599678; 1022.662313
1.981320; 9071.000323; 1015.306117
2.041360; 9131.959303; 1009.198671
2.101400; 9192.551591; 1006.823534
2.161440; 9253.001276; 1021.101231
2.221480; 9314.308194; 1029.626981
2.281520; 9376.126998; 1036.454266
2.341560; 9438.355712; 1057.953812
2.401600; 9501.875259; 1138.561215
2.461640; 9570.234474; 1218.398922
2.521680; 9643.387145; 1265.977298
2.581720; 9719.396422; 1296.688054
2.641760; 9797.249573; 1321.952394
2.701800; 9876.619595; 1339.560327
2.761840; 9957.046797; 1332.005359
2.821880; 10037.020399; 1342.668281
2.881920; 10117.634202; 1344.637159
2.941960; 10198.366217; 1335.372940
3.002000; 10278.542009; 1311.448763
3.062040; 10357.281392; 1264.927331
3.122080; 10433.227629; 1253.263018
3.182120; 10508.473541; 1252.882679
3.242160; 10583.696617; 1292.496564
3.302200; 10661.298111; 1343.731540
3.362240; 10741.975752; 1347.196867
3.422280; 10822.861452; 1350.526353
3.482320; 10903.947055; 1361.006200
3.542360; 10985.661867; 1357.565797
3.602400; 11067.170117; 1339.357673
3.662440; 11147.585152; 1341.890620
3.722480; 11228.152265; 1328.093500
3.782520; 11307.890998; 1301.859063
3.842560; 11386.054617; 1279.703683
3.902600; 11462.888026; 1294.102485
3.962640; 11540.585939; 1312.537163
4.022680; 11619.390670; 1298.192917
4.082720; 11697.334173; 1238.175571
4.142760; 11771.674234; 1190.953744
4.202800; 11843.179097; 1187.162473
4.262840; 11914.456332; 1162.733253
4.322880; 11984.266836; 1150.601835
4.382920; 12053.348971; 1190.140145
4.442960; 12124.804985; 1206.479187
4.503000; 12197.241995; 1191.144299
4.563040; 12268.758299; 1132.163848
4.623080; 12336.733417; 1078.286697
4.683120; 12401.473750; 1027.607572
