# Tau / ps;  Linear Fit to MSD / pm^2
30.0200;  35438.1447
30.1705;  35561.7123
30.3210;  35685.2799
30.4714;  35808.8475
30.6219;  35932.4151
30.7724;  36055.9827
30.9229;  36179.5503
31.0733;  36303.1179
31.2238;  36426.6855
31.3743;  36550.2531
31.5248;  36673.8206
31.6752;  36797.3882
31.8257;  36920.9558
31.9762;  37044.5234
32.1267;  37168.0910
32.2771;  37291.6586
32.4276;  37415.2262
32.5781;  37538.7938
32.7286;  37662.3614
32.8790;  37785.9290
33.0295;  37909.4966
33.1800;  38033.0641
33.3305;  38156.6317
33.4810;  38280.1993
33.6314;  38403.7669
33.7819;  38527.3345
33.9324;  38650.9021
34.0829;  38774.4697
34.2333;  38898.0373
34.3838;  39021.6049
34.5343;  39145.1725
34.6848;  39268.7401
34.8352;  39392.3076
34.9857;  39515.8752
35.1362;  39639.4428
35.2867;  39763.0104
35.4371;  39886.5780
35.5876;  40010.1456
35.7381;  40133.7132
35.8886;  40257.2808
36.0390;  40380.8484
36.1895;  40504.4160
36.3400;  40627.9836
36.4905;  40751.5512
36.6410;  40875.1187
36.7914;  40998.6863
36.9419;  41122.2539
37.0924;  41245.8215
37.2429;  41369.3891
37.3933;  41492.9567
37.5438;  41616.5243
37.6943;  41740.0919
37.8448;  41863.6595
37.9952;  41987.2271
38.1457;  42110.7947
38.2962;  42234.3622
38.4467;  42357.9298
38.5971;  42481.4974
38.7476;  42605.0650
38.8981;  42728.6326
39.0486;  42852.2002
39.1990;  42975.7678
39.3495;  43099.3354
39.5000;  43222.9030
39.6505;  43346.4706
39.8010;  43470.0382
39.9514;  43593.6057
40.1019;  43717.1733
40.2524;  43840.7409
40.4029;  43964.3085
40.5533;  44087.8761
40.7038;  44211.4437
40.8543;  44335.0113
41.0048;  44458.5789
41.1552;  44582.1465
41.3057;  44705.7141
41.4562;  44829.2817
41.6067;  44952.8492
41.7571;  45076.4168
41.9076;  45199.9844
42.0581;  45323.5520
42.2086;  45447.1196
42.3590;  45570.6872
42.5095;  45694.2548
42.6600;  45817.8224
42.8105;  45941.3900
42.9610;  46064.9576
43.1114;  46188.5252
43.2619;  46312.0927
43.4124;  46435.6603
43.5629;  46559.2279
43.7133;  46682.7955
43.8638;  46806.3631
44.0143;  46929.9307
44.1648;  47053.4983
44.3152;  47177.0659
44.4657;  47300.6335
44.6162;  47424.2011
44.7667;  47547.7687
44.9171;  47671.3362
45.0676;  47794.9038
45.2181;  47918.4714
45.3686;  48042.0390
45.5190;  48165.6066
45.6695;  48289.1742
45.8200;  48412.7418
45.9705;  48536.3094
46.1210;  48659.8770
46.2714;  48783.4446
46.4219;  48907.0122
46.5724;  49030.5797
46.7229;  49154.1473
46.8733;  49277.7149
47.0238;  49401.2825
47.1743;  49524.8501
47.3248;  49648.4177
47.4752;  49771.9853
47.6257;  49895.5529
47.7762;  50019.1205
47.9267;  50142.6881
48.0771;  50266.2557
48.2276;  50389.8232
48.3781;  50513.3908
48.5286;  50636.9584
48.6790;  50760.5260
48.8295;  50884.0936
48.9800;  51007.6612
49.1305;  51131.2288
49.2810;  51254.7964
49.4314;  51378.3640
49.5819;  51501.9316
49.7324;  51625.4992
49.8829;  51749.0668
50.0333;  51872.6343
50.1838;  51996.2019
50.3343;  52119.7695
50.4848;  52243.3371
50.6352;  52366.9047
50.7857;  52490.4723
50.9362;  52614.0399
51.0867;  52737.6075
51.2371;  52861.1751
51.3876;  52984.7427
51.5381;  53108.3103
51.6886;  53231.8778
51.8390;  53355.4454
51.9895;  53479.0130
52.1400;  53602.5806
52.2905;  53726.1482
52.4410;  53849.7158
52.5914;  53973.2834
52.7419;  54096.8510
52.8924;  54220.4186
53.0429;  54343.9862
53.1933;  54467.5538
53.3438;  54591.1213
53.4943;  54714.6889
53.6448;  54838.2565
53.7952;  54961.8241
53.9457;  55085.3917
54.0962;  55208.9593
54.2467;  55332.5269
54.3971;  55456.0945
54.5476;  55579.6621
54.6981;  55703.2297
54.8486;  55826.7973
54.9990;  55950.3648
55.1495;  56073.9324
55.3000;  56197.5000
55.4505;  56321.0676
55.6010;  56444.6352
55.7514;  56568.2028
55.9019;  56691.7704
56.0524;  56815.3380
56.2029;  56938.9056
56.3533;  57062.4732
56.5038;  57186.0408
56.6543;  57309.6083
56.8048;  57433.1759
56.9552;  57556.7435
57.1057;  57680.3111
57.2562;  57803.8787
57.4067;  57927.4463
57.5571;  58051.0139
57.7076;  58174.5815
57.8581;  58298.1491
58.0086;  58421.7167
58.1590;  58545.2843
58.3095;  58668.8518
58.4600;  58792.4194
58.6105;  58915.9870
58.7610;  59039.5546
58.9114;  59163.1222
59.0619;  59286.6898
59.2124;  59410.2574
59.3629;  59533.8250
59.5133;  59657.3926
59.6638;  59780.9602
59.8143;  59904.5278
59.9648;  60028.0953
