# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9782229775; 0.9997115219; 0.9999880287
0.01000000000;  0.9243970112; 0.9780816331; 0.9965184875; 0.9780375704
0.02000000000;  0.9120680907; 0.9779403090; 0.9933659134; 0.9589234876
0.03000000000;  0.9097557709; 0.9777990054; 0.9902532784; 0.9422759882
0.04000000000;  0.9037621509; 0.9776577222; 0.9871800680; 0.9277734948
0.05000000000;  0.8926687270; 0.9775164595; 0.9841457744; 0.9151363589
0.06000000000;  0.8923677671; 0.9773752171; 0.9811498962; 0.9041213933
0.07000000000;  0.8861589018; 0.9772339952; 0.9781919387; 0.8945171190
0.08000000000;  0.8819182408; 0.9770927936; 0.9752714132; 0.8861396302
0.09000000000;  0.8778618482; 0.9769516125; 0.9723878378; 0.8788289996
0.1000000000;  0.8738762192; 0.9768104517; 0.9695407364; 0.8724461519
0.1100000000;  0.8700850700; 0.9766693114; 0.9667296391; 0.8668701447
0.1200000000;  0.8693134633; 0.9765281914; 0.9639540822; 0.8619958050
0.1300000000;  0.8651386894; 0.9763870919; 0.9612136079; 0.8577316724
0.1400000000;  0.8636261082; 0.9762460127; 0.9585077642; 0.8539982114
0.1500000000;  0.8610540410; 0.9761049539; 0.9558361052; 0.8507262567
0.1600000000;  0.8611276431; 0.9759639155; 0.9531981903; 0.8478556613
0.1700000000;  0.8596010733; 0.9758228974; 0.9505935851; 0.8453341200
0.1800000000;  0.8577726069; 0.9756818998; 0.9480218603; 0.8431161475
0.1900000000;  0.8563999864; 0.9755409225; 0.9454825925; 0.8411621890
0.2000000000;  0.8549441559; 0.9753999656; 0.9429753636; 0.8394378471
0.2100000000;  0.8533711940; 0.9752590290; 0.9404997609; 0.8379132092
0.2200000000;  0.8528628671; 0.9751181129; 0.9380553769; 0.8365622627
0.2300000000;  0.8523070121; 0.9749772170; 0.9356418096; 0.8353623866
0.2400000000;  0.8512712186; 0.9748363416; 0.9332586621; 0.8342939095
0.2500000000;  0.8500114779; 0.9746954865; 0.9309055424; 0.8333397246
0.2600000000;  0.8485023184; 0.9745546517; 0.9285820637; 0.8324849556
0.2700000000;  0.8474865302; 0.9744138373; 0.9262878444; 0.8317166657
0.2800000000;  0.8471083510; 0.9742730432; 0.9240225074; 0.8310236051
0.2900000000;  0.8462806611; 0.9741322695; 0.9217856808; 0.8303959904
0.3000000000;  0.8453562044; 0.9739915162; 0.9195769972; 0.8298253141
0.3100000000;  0.8447895731; 0.9738507831; 0.9173960943; 0.8293041776
0.3200000000;  0.8438513781; 0.9737100704; 0.9152426141; 0.8288261472
0.3300000000;  0.8431234506; 0.9735693780; 0.9131162035; 0.8283856279
0.3400000000;  0.8423852709; 0.9734287060; 0.9110165136; 0.8279777541
0.3500000000;  0.8418913325; 0.9732880543; 0.9089432005; 0.8275982948
0.3600000000;  0.8408662718; 0.9731474229; 0.9068959242; 0.8272435703
