# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9988632664; 0.9999969343; 1.016897544
0.01000000000;  0.9981587886; 0.9988513169; 0.9997620386; 1.016758534
0.02000000000;  0.9976633615; 0.9988393675; 0.9995329995; 1.016620145
0.03000000000;  0.9973302778; 0.9988274183; 0.9993096646; 1.016482374
0.04000000000;  0.9968684359; 0.9988154692; 0.9990918853; 1.016345215
0.05000000000;  0.9965985431; 0.9988035202; 0.9988795169; 1.016208666
0.06000000000;  0.9964526396; 0.9987915714; 0.9986724185; 1.016072721
0.07000000000;  0.9962503763; 0.9987796227; 0.9984704528; 1.015937376
0.08000000000;  0.9961356054; 0.9987676742; 0.9982734862; 1.015802628
0.09000000000;  0.9960299524; 0.9987557258; 0.9980813886; 1.015668472
0.1000000000;  0.9959079180; 0.9987437776; 0.9978940329; 1.015534904
0.1100000000;  0.9957783152; 0.9987318295; 0.9977112959; 1.015401919
0.1200000000;  0.9956600342; 0.9987198815; 0.9975330572; 1.015269515
0.1300000000;  0.9955275722; 0.9987079337; 0.9973591996; 1.015137686
0.1400000000;  0.9954105265; 0.9986959860; 0.9971896091; 1.015006429
0.1500000000;  0.9952966180; 0.9986840385; 0.9970241746; 1.014875741
0.1600000000;  0.9951993889; 0.9986720911; 0.9968627877; 1.014745616
0.1700000000;  0.9950864033; 0.9986601439; 0.9967053431; 1.014616051
0.1800000000;  0.9949948231; 0.9986481968; 0.9965517382; 1.014487042
0.1900000000;  0.9949022888; 0.9986362498; 0.9964018728; 1.014358586
0.2000000000;  0.9948447083; 0.9986243030; 0.9962556497; 1.014230678
0.2100000000;  0.9947852321; 0.9986123563; 0.9961129740; 1.014103315
0.2200000000;  0.9947345703; 0.9986004098; 0.9959737533; 1.013976492
0.2300000000;  0.9946798080; 0.9985884634; 0.9958378976; 1.013850207
0.2400000000;  0.9946281907; 0.9985765172; 0.9957053192; 1.013724455
0.2500000000;  0.9945652261; 0.9985645711; 0.9955759329; 1.013599233
0.2600000000;  0.9945041456; 0.9985526251; 0.9954496555; 1.013474537
0.2700000000;  0.9944392779; 0.9985406793; 0.9953264061; 1.013350364
0.2800000000;  0.9943766094; 0.9985287336; 0.9952061057; 1.013226709
0.2900000000;  0.9943174010; 0.9985167881; 0.9950886776; 1.013103570
0.3000000000;  0.9942704772; 0.9985048427; 0.9949740470; 1.012980942
0.3100000000;  0.9942213426; 0.9984928975; 0.9948621410; 1.012858822
0.3200000000;  0.9941592810; 0.9984809524; 0.9947528887; 1.012737207
0.3300000000;  0.9941113966; 0.9984690074; 0.9946462209; 1.012616092
0.3400000000;  0.9940549970; 0.9984570626; 0.9945420704; 1.012495476
0.3500000000;  0.9939938634; 0.9984451179; 0.9944403716; 1.012375353
0.3600000000;  0.9939535292; 0.9984331734; 0.9943410607; 1.012255722
0.3700000000;  0.9938993199; 0.9984212290; 0.9942440754; 1.012136577
0.3800000000;  0.9938536174; 0.9984092848; 0.9941493552; 1.012017917
0.3900000000;  0.9938249356; 0.9983973407; 0.9940568411; 1.011899737
0.4000000000;  0.9937751259; 0.9983853967; 0.9939664757; 1.011782035
0.4100000000;  0.9937357166; 0.9983734529; 0.9938782030; 1.011664806
0.4200000000;  0.9936821135; 0.9983615092; 0.9937919684; 1.011548048
0.4300000000;  0.9936392267; 0.9983495657; 0.9937077191; 1.011431758
0.4400000000;  0.9935909746; 0.9983376223; 0.9936254031; 1.011315931
0.4500000000;  0.9935439791; 0.9983256791; 0.9935449702; 1.011200566
0.4600000000;  0.9935010790; 0.9983137360; 0.9934663713; 1.011085658
0.4700000000;  0.9934625903; 0.9983017930; 0.9933895588; 1.010971205
0.4800000000;  0.9934285137; 0.9982898502; 0.9933144859; 1.010857204
0.4900000000;  0.9933837087; 0.9982779075; 0.9932411076; 1.010743651
0.5000000000;  0.9933426847; 0.9982659650; 0.9931693795; 1.010630543
0.5100000000;  0.9933101744; 0.9982540226; 0.9930992588; 1.010517877
