# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9992390664; 0.9999984118; 1.017766229
0.01000000000;  0.9986066759; 0.9992286463; 0.9998038628; 1.017627074
0.02000000000;  0.9983005867; 0.9992182263; 0.9996153589; 1.017488542
0.03000000000;  0.9982219937; 0.9992078064; 0.9994327032; 1.017350628
0.04000000000;  0.9979947097; 0.9991973866; 0.9992557048; 1.017213327
0.05000000000;  0.9977851344; 0.9991869670; 0.9990841793; 1.017076636
0.06000000000;  0.9976721583; 0.9991765474; 0.9989179483; 1.016940551
0.07000000000;  0.9974530948; 0.9991661279; 0.9987568391; 1.016805066
0.08000000000;  0.9973069855; 0.9991557086; 0.9986006847; 1.016670179
0.09000000000;  0.9971566081; 0.9991452894; 0.9984493236; 1.016535884
0.1000000000;  0.9970276081; 0.9991348702; 0.9983025993; 1.016402178
0.1100000000;  0.9969218546; 0.9991244512; 0.9981603608; 1.016269056
0.1200000000;  0.9968488044; 0.9991140323; 0.9980224617; 1.016136515
0.1300000000;  0.9967513658; 0.9991036135; 0.9978887606; 1.016004551
0.1400000000;  0.9966886249; 0.9990931948; 0.9977591206; 1.015873159
0.1500000000;  0.9966244098; 0.9990827762; 0.9976334092; 1.015742335
0.1600000000;  0.9965663094; 0.9990723577; 0.9975114984; 1.015612077
0.1700000000;  0.9965062871; 0.9990619394; 0.9973932642; 1.015482379
0.1800000000;  0.9964504395; 0.9990515211; 0.9972785867; 1.015353237
0.1900000000;  0.9963997377; 0.9990411029; 0.9971673500; 1.015224649
0.2000000000;  0.9963571940; 0.9990306849; 0.9970594418; 1.015096610
0.2100000000;  0.9963087971; 0.9990202670; 0.9969547537; 1.014969116
0.2200000000;  0.9962653485; 0.9990098491; 0.9968531805; 1.014842164
0.2300000000;  0.9962200536; 0.9989994314; 0.9967546209; 1.014715749
0.2400000000;  0.9961706967; 0.9989890138; 0.9966589764; 1.014589869
0.2500000000;  0.9961193931; 0.9989785963; 0.9965661520; 1.014464518
0.2600000000;  0.9960801585; 0.9989681789; 0.9964760558; 1.014339695
0.2700000000;  0.9960417913; 0.9989577616; 0.9963885989; 1.014215394
0.2800000000;  0.9959973702; 0.9989473445; 0.9963036951; 1.014091613
0.2900000000;  0.9959521976; 0.9989369274; 0.9962212612; 1.013968348
0.3000000000;  0.9959084399; 0.9989265104; 0.9961412166; 1.013845595
0.3100000000;  0.9958689607; 0.9989160936; 0.9960634835; 1.013723351
0.3200000000;  0.9958287056; 0.9989056769; 0.9959879865; 1.013601611
0.3300000000;  0.9957902396; 0.9988952602; 0.9959146527; 1.013480374
0.3400000000;  0.9957511471; 0.9988848437; 0.9958434115; 1.013359634
0.3500000000;  0.9957144167; 0.9988744273; 0.9957741947; 1.013239390
0.3600000000;  0.9956754909; 0.9988640110; 0.9957069363; 1.013119636
0.3700000000;  0.9956411443; 0.9988535948; 0.9956415725; 1.013000371
0.3800000000;  0.9956082141; 0.9988431787; 0.9955780414; 1.012881590
0.3900000000;  0.9955738856; 0.9988327627; 0.9955162833; 1.012763290
0.4000000000;  0.9955393046; 0.9988223468; 0.9954562403; 1.012645468
0.4100000000;  0.9955026024; 0.9988119311; 0.9953978567; 1.012528121
0.4200000000;  0.9954715772; 0.9988015154; 0.9953410782; 1.012411245
0.4300000000;  0.9954400006; 0.9987910999; 0.9952858525; 1.012294836
0.4400000000;  0.9954121087; 0.9987806844; 0.9952321290; 1.012178893
0.4500000000;  0.9953810245; 0.9987702691; 0.9951798587; 1.012063411
0.4600000000;  0.9953526782; 0.9987598539; 0.9951289942; 1.011948387
0.4700000000;  0.9953235815; 0.9987494388; 0.9950794897; 1.011833819
0.4800000000;  0.9952926128; 0.9987390238; 0.9950313008; 1.011719702
0.4900000000;  0.9952659776; 0.9987286089; 0.9949843847; 1.011606034
0.5000000000;  0.9952367226; 0.9987181941; 0.9949386998; 1.011492812
0.5100000000;  0.9952080131; 0.9987077794; 0.9948942060; 1.011380033
0.5200000000;  0.9951775558; 0.9986973649; 0.9948508645; 1.011267693
0.5300000000;  0.9951518568; 0.9986869504; 0.9948086376; 1.011155790
0.5400000000;  0.9951221914; 0.9986765361; 0.9947674891; 1.011044320
0.5500000000;  0.9950944177; 0.9986661218; 0.9947273837; 1.010933281
0.5600000000;  0.9950678381; 0.9986557077; 0.9946882876; 1.010822670
0.5700000000;  0.9950423777; 0.9986452937; 0.9946501676; 1.010712483
0.5800000000;  0.9950124266; 0.9986348797; 0.9946129922; 1.010602717
0.5900000000;  0.9949873350; 0.9986244659; 0.9945767303; 1.010493371
0.6000000000;  0.9949626149; 0.9986140522; 0.9945413523; 1.010384440
0.6100000000;  0.9949378176; 0.9986036386; 0.9945068293; 1.010275922
0.6200000000;  0.9949127184; 0.9985932252; 0.9944731335; 1.010167814
0.6300000000;  0.9948882902; 0.9985828118; 0.9944402378; 1.010060114
