# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9816862677; 0.9999589408; 0.9999952050
0.01000000000;  0.9486301238; 0.9815459432; 0.9886815512; 0.9730875604
0.02000000000;  0.9242298334; 0.9814056387; 0.9780441842; 0.9506334361
0.03000000000;  0.9129242716; 0.9812653543; 0.9680102969; 0.9318918813
0.04000000000;  0.9078441490; 0.9811250899; 0.9585454332; 0.9162452230
0.05000000000;  0.9003025270; 0.9809848456; 0.9496171040; 0.9031785554
0.06000000000;  0.8910575770; 0.9808446213; 0.9411946754; 0.8922626421
0.07000000000;  0.8833820020; 0.9807044171; 0.9332492625; 0.8831396617
0.08000000000;  0.8764451611; 0.9805642329; 0.9257536296; 0.8755113267
0.09000000000;  0.8709410701; 0.9804240688; 0.9186820962; 0.8691289782
0.1000000000;  0.8683185980; 0.9802839247; 0.9120104480; 0.8637853284
0.1100000000;  0.8648306058; 0.9801438006; 0.9057158532; 0.8593075777
0.1200000000;  0.8616481590; 0.9800036965; 0.8997767837; 0.8555516768
0.1300000000;  0.8589503402; 0.9798636125; 0.8941729405; 0.8523975427
0.1400000000;  0.8568400076; 0.9797235485; 0.8888851837; 0.8497450716
0.1500000000;  0.8552509329; 0.9795835045; 0.8838954661; 0.8475108151
0.1600000000;  0.8535283963; 0.9794434806; 0.8791867711; 0.8456252083
0.1700000000;  0.8524602971; 0.9793034766; 0.8747430536; 0.8440302606
0.1800000000;  0.8512962491; 0.9791634927; 0.8705491846; 0.8426776298
0.1900000000;  0.8501254517; 0.9790235288; 0.8665908988; 0.8415270166
0.2000000000;  0.8495156049; 0.9788835848; 0.8628547457; 0.8405448268
0.2100000000;  0.8490717592; 0.9787436609; 0.8593280425; 0.8397030553
0.2200000000;  0.8486684470; 0.9786037570; 0.8559988308; 0.8389783565
0.2300000000;  0.8481785167; 0.9784638731; 0.8528558346; 0.8383512691
0.2400000000;  0.8475702195; 0.9783240092; 0.8498884222; 0.8378055695
