# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9681121379; 0.9999838868; 0.9999929817
0.01000000000;  0.8986479551; 0.9679887403; 0.9603830913; 0.9483498568
0.02000000000;  0.8522633836; 0.9678653585; 0.9256856226; 0.9059905777
0.03000000000;  0.8446508743; 0.9677419923; 0.8952840622; 0.8712431380
0.04000000000;  0.8459379926; 0.9676186419; 0.8686462374; 0.8427366614
0.05000000000;  0.8314187133; 0.9674953073; 0.8453059010; 0.8193471674
0.06000000000;  0.8140604278; 0.9673719883; 0.8248545635; 0.8001531057
0.07000000000;  0.7966593267; 0.9672486851; 0.8069343391; 0.7843988976
0.08000000000;  0.7838412761; 0.9671253976; 0.7912316762; 0.7714650450
0.09000000000;  0.7722967569; 0.9670021258; 0.7774718658; 0.7608436220
0.1000000000;  0.7613013496; 0.9668788697; 0.7654142294; 0.7521181803
0.1100000000;  0.7523427475; 0.9667556293; 0.7548479037; 0.7449472746
0.1200000000;  0.7457622837; 0.9666324046; 0.7455881467; 0.7390509539
0.1300000000;  0.7398855656; 0.9665091957; 0.7374731021; 0.7341996868
0.1400000000;  0.7343006858; 0.9663860024; 0.7303609644; 0.7302052805
0.1500000000;  0.7291180460; 0.9662628249; 0.7241274945; 0.7269134361
0.1600000000;  0.7252532464; 0.9661396630; 0.7186638441; 0.7241976437
0.1700000000;  0.7223016445; 0.9660165168; 0.7138746489; 0.7219541781
0.1800000000;  0.7202295108; 0.9658933864; 0.7096763581; 0.7200979952
0.1900000000;  0.7185646675; 0.9657702716; 0.7059957712; 0.7185593671
0.2000000000;  0.7170759359; 0.9656471725; 0.7027687556; 0.7172811242
0.2100000000;  0.7163959741; 0.9655240892; 0.6999391236; 0.7162163930
0.2200000000;  0.7166246765; 0.9654010215; 0.6974576477; 0.7153267418
0.2300000000;  0.7163839230; 0.9652779695; 0.6952811987; 0.7145806608
0.2400000000;  0.7150424563; 0.9651549331; 0.6933719904; 0.7139523149
0.2500000000;  0.7141964058; 0.9650319125; 0.6916969173; 0.7134205217
0.2600000000;  0.7146443413; 0.9649089075; 0.6902269751; 0.7129679142
0.2700000000;  0.7154477738; 0.9647859182; 0.6889367525; 0.7125802528
0.2800000000;  0.7151112570; 0.9646629446; 0.6878039860; 0.7122458625
0.2900000000;  0.7148594197; 0.9645399867; 0.6868091702; 0.7119551710
0.3000000000;  0.7150357659; 0.9644170444; 0.6859352160; 0.7117003300
0.3100000000;  0.7146965592; 0.9642941179; 0.6851671512; 0.7114749046
0.3200000000;  0.7138338658; 0.9641712069; 0.6844918586; 0.7112736188
0.3300000000;  0.7136042521; 0.9640483117; 0.6838978455; 0.7110921466
0.3400000000;  0.7135004847; 0.9639254321; 0.6833750433; 0.7109269415
0.3500000000;  0.7134489367; 0.9638025682; 0.6829146305; 0.7107750952
0.3600000000;  0.7134007733; 0.9636797199; 0.6825088784; 0.7106342235
0.3700000000;  0.7130302575; 0.9635568873; 0.6821510158; 0.7105023715
0.3800000000;  0.7126800448; 0.9634340703; 0.6818351103; 0.7103779363
0.3900000000;  0.7119405371; 0.9633112690; 0.6815559643; 0.7102596036
0.4000000000;  0.7114760400; 0.9631884834; 0.6813090242; 0.7101462959
0.4100000000;  0.7116883771; 0.9630657134; 0.6810903003; 0.7100371295
0.4200000000;  0.7115004743; 0.9629429591; 0.6808962975; 0.7099313801
0.4300000000;  0.7113167142; 0.9628202204; 0.6807239532; 0.7098284537
0.4400000000;  0.7116906139; 0.9626974973; 0.6805705846; 0.7097278632
0.4500000000;  0.7115356705; 0.9625747899; 0.6804338410; 0.7096292093
0.4600000000;  0.7109293446; 0.9624520981; 0.6803116631; 0.7095321644
0.4700000000;  0.7109511726; 0.9623294220; 0.6802022464; 0.7094364600
0.4800000000;  0.7108101984; 0.9622067615; 0.6801040103; 0.7093418759
0.4900000000;  0.7106015257; 0.9620841166; 0.6800155697; 0.7092482316
0.5000000000;  0.7111523537; 0.9619614874; 0.6799357112; 0.7091553789
0.5100000000;  0.7114152025; 0.9618388738; 0.6798633719; 0.7090631965
0.5200000000;  0.7109288114; 0.9617162758; 0.6797976202; 0.7089715846
0.5300000000;  0.7109181077; 0.9615936935; 0.6797376402; 0.7088804617
0.5400000000;  0.7110135044; 0.9614711268; 0.6796827169; 0.7087897606
0.5500000000;  0.7104037943; 0.9613485757; 0.6796322241; 0.7086994264
0.5600000000;  0.7104180484; 0.9612260402; 0.6795856128; 0.7086094140
0.5700000000;  0.7108445885; 0.9611035203; 0.6795424025; 0.7085196863
0.5800000000;  0.7107451853; 0.9609810161; 0.6795021717; 0.7084302131
0.5900000000;  0.7106810967; 0.9608585275; 0.6794645515; 0.7083409692
0.6000000000;  0.7106785528; 0.9607360545; 0.6794292186; 0.7082519343
0.6100000000;  0.7103003580; 0.9606135971; 0.6793958896; 0.7081630915
0.6200000000;  0.7098182954; 0.9604911553; 0.6793643164; 0.7080744270
0.6300000000;  0.7097975020; 0.9603687291; 0.6793342816; 0.7079859295
0.6400000000;  0.7100008966; 0.9602463185; 0.6793055946; 0.7078975894
0.6500000000;  0.7099585079; 0.9601239235; 0.6792780885; 0.7078093993
0.6600000000;  0.7099721296; 0.9600015441; 0.6792516172; 0.7077213526
0.6700000000;  0.7098624528; 0.9598791804; 0.6792260525; 0.7076334442
0.6800000000;  0.7095555369; 0.9597568322; 0.6792012822; 0.7075456698
0.6900000000;  0.7092232795; 0.9596344996; 0.6791772078; 0.7074580257
0.7000000000;  0.7089536513; 0.9595121826; 0.6791537434; 0.7073705090
0.7100000000;  0.7090535069; 0.9593898812; 0.6791308133; 0.7072831172
0.7200000000;  0.7092296247; 0.9592675954; 0.6791083515; 0.7071958484
0.7300000000;  0.7091944355; 0.9591453251; 0.6790863000; 0.7071087007
0.7400000000;  0.7091387113; 0.9590230705; 0.6790646080; 0.7070216727
0.7500000000;  0.7088679305; 0.9589008314; 0.6790432311; 0.7069347633
0.7600000000;  0.7083885450; 0.9587786079; 0.6790221304; 0.7068479714
0.7700000000;  0.7083457412; 0.9586564000; 0.6790012716; 0.7067612961
0.7800000000;  0.7084615049; 0.9585342077; 0.6789806248; 0.7066747366
0.7900000000;  0.7084185460; 0.9584120310; 0.6789601640; 0.7065882925
0.8000000000;  0.7084980366; 0.9582898698; 0.6789398660; 0.7065019629
0.8100000000;  0.7084711355; 0.9581677242; 0.6789197109; 0.7064157476
0.8200000000;  0.7082034692; 0.9580455942; 0.6788996809; 0.7063296461
0.8300000000;  0.7080591749; 0.9579234797; 0.6788797606; 0.7062436579
0.8400000000;  0.7079039002; 0.9578013808; 0.6788599365; 0.7061577828
0.8500000000;  0.7078584291; 0.9576792974; 0.6788401968; 0.7060720203
0.8600000000;  0.7079876533; 0.9575572296; 0.6788205311; 0.7059863703
0.8700000000;  0.7079727674; 0.9574351774; 0.6788009302; 0.7059008324
0.8800000000;  0.7078423285; 0.9573131408; 0.6787813863; 0.7058154065
0.8900000000;  0.7077143484; 0.9571911196; 0.6787618922; 0.7057300921
0.9000000000;  0.7074062130; 0.9570691141; 0.6787424420; 0.7056448893
0.9100000000;  0.7073902134; 0.9569471241; 0.6787230302; 0.7055597976
0.9200000000;  0.7072399416; 0.9568251496; 0.6787036522; 0.7054748170
0.9300000000;  0.7070684856; 0.9567031907; 0.6786843038; 0.7053899471
0.9400000000;  0.7071390017; 0.9565812474; 0.6786649814; 0.7053051879
0.9500000000;  0.7070875970; 0.9564593195; 0.6786456819; 0.7052205391
0.9600000000;  0.7067580104; 0.9563374072; 0.6786264025; 0.7051360005
0.9700000000;  0.7065540401; 0.9562155105; 0.6786071408; 0.7050515720
0.9800000000;  0.7063293385; 0.9560936293; 0.6785878947; 0.7049672533
0.9900000000;  0.7060679823; 0.9559717636; 0.6785686622; 0.7048830444
1.000000000;  0.7060792677; 0.9558499135; 0.6785494419; 0.7047989449
1.010000000;  0.7060107902; 0.9557280789; 0.6785302321; 0.7047149548
1.020000000;  0.7058948470; 0.9556062598; 0.6785110318; 0.7046310739
1.030000000;  0.7057459629; 0.9554844563; 0.6784918397; 0.7045473019
1.040000000;  0.7054913143; 0.9553626682; 0.6784726550; 0.7044636387
1.050000000;  0.7053079164; 0.9552408957; 0.6784534767; 0.7043800842
1.060000000;  0.7050890920; 0.9551191388; 0.6784343043; 0.7042966382
1.070000000;  0.7049879176; 0.9549973973; 0.6784151369; 0.7042133004
1.080000000;  0.7049889473; 0.9548756714; 0.6783959741; 0.7041300708
1.090000000;  0.7048472411; 0.9547539609; 0.6783768153; 0.7040469492
1.100000000;  0.7045946356; 0.9546322660; 0.6783576601; 0.7039639353
1.110000000;  0.7044703717; 0.9545105866; 0.6783385081; 0.7038810291
1.120000000;  0.7043091300; 0.9543889227; 0.6783193591; 0.7037982303
1.130000000;  0.7042108247; 0.9542672744; 0.6783002127; 0.7037155388
1.140000000;  0.7041238013; 0.9541456415; 0.6782810686; 0.7036329544
1.150000000;  0.7039298782; 0.9540240241; 0.6782619266; 0.7035504770
1.160000000;  0.7038470087; 0.9539024222; 0.6782427866; 0.7034681064
1.170000000;  0.7037098292; 0.9537808359; 0.6782236483; 0.7033858424
1.180000000;  0.7035430856; 0.9536592650; 0.6782045116; 0.7033036848
1.190000000;  0.7034886530; 0.9535377096; 0.6781853764; 0.7032216336
1.200000000;  0.7033433888; 0.9534161697; 0.6781662426; 0.7031396884
1.210000000;  0.7031547837; 0.9532946453; 0.6781471100; 0.7030578492
1.220000000;  0.7031031087; 0.9531731364; 0.6781279786; 0.7029761159
1.230000000;  0.7030145974; 0.9530516430; 0.6781088482; 0.7028944881
