# Tau / ps;  Occurrence;  1-exp fit;  2-exp fit;  3-exp fit
0.000000000;  1.000000000; 0.9922477055; 0.9997547936; 0.9999882122
0.01000000000;  0.9931467191; 0.9920956453; 0.9992288792; 0.9980944731
0.02000000000;  0.9892517728; 0.9919436084; 0.9987046134; 0.9962554239
0.03000000000;  0.9864463487; 0.9917915948; 0.9981819900; 0.9944693186
0.04000000000;  0.9840607422; 0.9916396045; 0.9976610024; 0.9927344670
0.05000000000;  0.9819590134; 0.9914876375; 0.9971416444; 0.9910492331
0.06000000000;  0.9801949541; 0.9913356938; 0.9966239095; 0.9894120329
0.07000000000;  0.9783674333; 0.9911837734; 0.9961077915; 0.9878213333
0.08000000000;  0.9766952550; 0.9910318762; 0.9955932841; 0.9862756503
0.09000000000;  0.9750927212; 0.9908800024; 0.9950803809; 0.9847735471
0.1000000000;  0.9736350768; 0.9907281518; 0.9945690758; 0.9833136331
0.1100000000;  0.9723247782; 0.9905763244; 0.9940593625; 0.9818945621
0.1200000000;  0.9711821941; 0.9904245204; 0.9935512349; 0.9805150309
0.1300000000;  0.9701229154; 0.9902727396; 0.9930446866; 0.9791737779
0.1400000000;  0.9691891595; 0.9901209820; 0.9925397117; 0.9778695821
0.1500000000;  0.9683232005; 0.9899692478; 0.9920363039; 0.9766012614
0.1600000000;  0.9675087566; 0.9898175367; 0.9915344572; 0.9753676714
0.1700000000;  0.9667429942; 0.9896658490; 0.9910341654; 0.9741677045
0.1800000000;  0.9660251958; 0.9895141844; 0.9905354226; 0.9730002884
0.1900000000;  0.9653524693; 0.9893625431; 0.9900382227; 0.9718643852
0.2000000000;  0.9647178626; 0.9892109251; 0.9895425597; 0.9707589900
0.2100000000;  0.9640965599; 0.9890593303; 0.9890484276; 0.9696831302
0.2200000000;  0.9634912021; 0.9889077587; 0.9885558204; 0.9686358643
0.2300000000;  0.9628941357; 0.9887562103; 0.9880647322; 0.9676162809
