# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 42152.531086
0.060020; 2529.994916; 77029.707120
0.120040; 7153.317937; 64359.109043
0.180060; 11016.151662; 39127.701331
0.240080; 13364.596296; 21495.521162
0.300100; 14654.757476; 15308.100341
0.360120; 15573.549658; 13189.348450
0.420140; 16365.174352; 11126.941639
0.480160; 17033.013389; 8722.953269
0.540180; 17556.565045; 6884.223852
0.600200; 17969.756160; 5219.057339
0.660220; 18283.003982; 3757.270798
0.720240; 18508.515375; 3318.937193
0.780260; 18707.717985; 3002.211495
0.840280; 18887.910719; 2626.235202
0.900300; 19045.537356; 2367.348401
0.960320; 19187.625607; 2440.427879
1.020340; 19334.100088; 2683.203466
1.080360; 19495.145960; 2598.891171
1.140380; 19651.131409; 2382.851216
1.200400; 19794.150139; 2184.410786
1.260420; 19925.258474; 2066.352082
1.320440; 20049.280926; 2008.705712
1.380460; 20169.843443; 1950.710445
1.440480; 20286.925084; 1919.488247
1.500500; 20402.132768; 1841.125304
1.560520; 20512.637109; 1665.815540
1.620540; 20612.619358; 1498.245337
1.680560; 20702.544043; 1454.714812
1.740580; 20789.856026; 1479.615307
1.800600; 20878.662537; 1436.128949
1.860620; 20964.858996; 1337.958618
1.920640; 21045.163272; 1266.840473
1.980660; 21121.199037; 1236.949242
2.040680; 21195.440731; 1293.837885
2.100700; 21273.096881; 1375.074702
2.160720; 21355.628864; 1439.995095
2.220740; 21442.057370; 1499.656953
2.280760; 21532.066780; 1557.524452
2.340780; 21625.549398; 1589.481602
2.400800; 21720.950084; 1573.913155
2.460820; 21815.416351; 1562.941156
2.520840; 21909.224079; 1581.570501
2.580860; 22004.149941; 1616.940318
2.640880; 22101.198699; 1631.101474
2.700900; 22199.097409; 1573.863413
2.760920; 22293.560691; 1474.866864
2.820940; 22382.082200; 1366.349607
2.880960; 22464.090504; 1359.220126
2.940980; 22545.670896; 1426.477189
3.001000; 22631.288057; 1431.070709
3.061020; 22717.180921; 1356.705032
3.121040; 22798.610357; 1322.872080
3.181060; 22878.009139; 1313.290690
3.241080; 22956.832846; 1295.113716
3.301100; 23034.565571; 1252.014654
3.361120; 23109.711491; 1221.014030
3.421140; 23182.996753; 1226.862369
3.481160; 23256.633032; 1113.418136
3.541180; 23323.460389; 933.224317
3.601200; 23379.472512; 844.068746
3.661220; 23430.133519; 921.062807
3.721240; 23485.415708; 1096.814558
3.781260; 23551.246518; 1282.862567
3.841280; 23628.243929; 1438.196523
3.901300; 23714.564485; 1494.595828
3.961320; 23804.270126; 1369.917032
4.021340; 23886.492547; 1144.279931
4.081360; 23955.172228; 1043.024544
4.141380; 24017.774561; 1094.380867
4.201400; 24083.459301; 1171.858846
4.261420; 24153.794269; 1122.939808
